price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Hướng,Lộ giới
65 tỷ VNĐ,"Phố Quang Trung, Hoàn Kiếm-HN", 100m2,"Bán nhà Phố Quang Trung, Hoàn Kiếm-HN, nhà vị trí siêu đẹp. 65 tỷ. - Vị trí siêu đẹp – hiếm – vỉa hè siêu rộng – khu vực tập trung nhiều quần thể tiện ích của TP.  DT 100 m2, chỉ 65 tỷ. - Liên hệ: Quỳnh – chuyên thổ cư khu vực Hà Nội, để được tư vấn trên 300 căn nhà, đất thổ cư khu vực Hà Nội.",07/01/2022,Tin thường,batdongsan_so_com_vn_1673833267.2945871,,,,,,
35 triệu VNĐ/m2,279 Hoàng Mai, 77m2,"💎900 triệu vốn tự có ký HĐMB căn 2PN 2,8 tỷ .Vượng Khí quanh năm, hút nhiều Tài Lộc. Quà tặng tân gia thăng quan tiến chức.   🔑Kỳ vọng là lựa chọn xứng tầm nhất trong năm 2022. Phân khúc nhà chung cư đầy đủ tiện ích xanh bậc nhất của Thủ Đô nói chung và Hoàng Mai nói riêng. Nằm ở phủ Hoàng Mai  khi xưa vốn nơi đại cát, phát tài giàu có nổi danh Hà Thành  #FELIZ_HOMES_HOANG_MAI   Chính sách bán hàng: 👉Miễn 2% kinh phí bảo trì, 1 năm phí dịch vụ 👉Hỗ trợ lãi suất 0% 18 tháng, Ân hạn nợ gốc   👉Vay 75% thời gian 25 năm Báo giá các căn hộ đẹp nhất dự án: Căn hộ 2PN – 77m2 giá từ 2,8 tỷ Căn hộ 3PN diện tích 97m2 giá từ 3.25 tỷ Căn hộ 3PN diện tích 108m2 ( căn góc ) view thành phố, view Hồ Đền giá từ 3.6 tỷ TIỆN ÍCH PHỤC VỤ ĐỜI SỐNG: + Bệnh viện Bạch Mai: 5Km + Hồ Hoàn Kiếm: 6Km + Đại học Bách Khoa – KT Quốc Dân: 3Km + Trường TH, THCS Mai động + Công viên Thống Nhất: 4Km + Bến xe Giáp Bát: 3Km + TTTM Metro Hoàng Mai: 2Km ☯️Theo các cụ xưa có câu “Gia hòa vạn sự hưng”, gia chủ tâm trạng vui vẻ, gia đình hòa mục, các thành viên đoàn kết yêu thương nhau, đó chính là phong thủy tốt, tiền bạc tài lộc gia tăng tiến đời sau vượng hơn đời trước, 🏠Nhận nhà: quý IV /2022  ️🍀Với những hạ tầng và không gian sống thanh khiết 365 +1 bậc nhất giấc mơ nhiệt đới ước vọng cổ tích không còn là xa vời .Phong thủy , cây cối đâm chồi nảy lộc , mưa thuận gió hòa .Nốt nhạc xanh cho tổ ấm hồng.  Hotline Phòng BH trực tiếp CĐT:  #FelizHomes #Felizhomes279hoangmai #Felizhomes92maidong",07/01/2022,Tin thường,batdongsan_so_com_vn_1673833273.1532547,,,,,,
12 tỷ VNĐ,Chính Kinh - Thanh Xuân, 80m2,"Bán nhà mặt phố Chính Kinh, Thanh Xuân, 80m, 6m mặt tiền, kinh doanh khủng, nhỉnh 12 tỷ. Vị trí: Phố Chính Kinh vị trí đắc địa gần phố Nguyễn Trãi, kinh doanh buôn bán sầm uất. Ưu điểm: Diện tích thông số cực đẹp, lô góc, tương lai càng thêm đẹp, phù hợp tòa nhà văn phòng 1 hầm, 7 nổi vừa ở vừa cho thuê. Tiện ích: Trung tâm quận Thanh Xuân, gần trung tâm thương mại Vincom Royal City, Lotte Mart Tây Sơn, Các trường đại học Khoa Học Tự Nhiên, Xã Hội Nhân Văn, Thủy Lợi, Ngân Hàng, Công Đoàn…vv. Pháp lý: Sổ đỏ chính chủ vuông vắn sẵn sàng thương lượng. Lh: Mr Hoàng 0902253303. Miễn trung gian môi giới.",07/01/2022,Tin thường,batdongsan_so_com_vn_1673833277.107167,,,,,,
"32,5 tỷ VNĐ",Nguyễn Văn Cừ phường Ngọc Thụy, 100m2,"+ Vị trí đẹp nhất phố Nguyễn Văn Cừ, vỉa hè thênh thang, kinh doanh siêu sầm uất, tòa nhà Văn phòng tuyệt đỉnh. Dự án Vin sau nhà đi vào triển khai thì vị trí nhà vô cùng đẹp, đỉnh nhất Long Biên với hai mặt thoáng vĩnh viễn, ánh sáng thiên nhiên ngập tràn.+ Nhà chủ tự xây 6 tầng, thang máy, đẹp mỹ mãn.Tầng 1: Thiết kế thông sàn kinh doanh.Tầng 2: Phòng khách lớn, phòng ăn và bếp.Tầng 3,4: Mỗi tầng chia 2 phòng ngủ.Tầng 5: Phòng thờ, sân vui chơi rộng.Tầng 6: Sân phơi.+ Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng giao dịch.Lh: E Mai 0983724773.",07/01/2022,Tin thường,batdongsan_so_com_vn_1673833279.4888172,,,,,,
15 tỷ VNĐ,Nguyễn Trãi, 90m2,"+ Vịtrí đẹp, Ngõ ô tô tránh, Kinh doanh sầm uất, Căn nhà cực kỳ vượng khí làm ăn có lộc. + Lô góc, 2 mặt đều ô tô tránh, vỉa hè, kinh doanh. + Chủ nhà tự xây nên khung cột vô cùng chắc chắn, + Tầng 1 có 2 cửa hàng :hiện đang cho thuê kinh doanh thuốc 30tr/tháng + Thiết kế hiện đại 6 ngủ khép kín công năng đầy đủ + Phù hợp kinh doanh nhiều loại hình : Bán thuốc, phòng khám, ăn sáng, tóc, móng mi, thẩm mỹ, Văn phòng... +Sổ đỏ chính chủ, giao dịch phút mốt +Giá 15 tỷ- Có thương lượng +Để được dẫn xem nhà các B Liên hệ : Ms Dung 0989558620 - Chuyên môi giới nhà đất thổ cư - nhà mặt phố Hà Nội hỗ trợ thủ tục pháp lý mua bán - chuyển nhượng miễn phí. + Vịtrí đẹp, Ngõ ô tô tránh, Kinh doanh sầm uất, Căn nhà cực kỳ vượng khí làm ăn có lộc. + Lô góc, 2 mặt đều ô tô tránh, vỉa hè, kinh doanh. + Chủ nhà tự xây nên khung cột vô cùng chắc chắn, + Tầng 1 có 2 cửa hàng :hiện đang cho thuê kinh doanh thuốc 30tr/tháng + Thiết kế hiện đại 6 ngủ khép kín công năng đầy đủ + Phù hợp kinh doanh nhiều loại hình : Bán thuốc, phòng khám, ăn sáng, tóc, móng mi, thẩm mỹ, Văn phòng... +Sổ đỏ chính chủ, giao dịch phút mốt +Giá 15 tỷ- Có thương lượng +Để được dẫn xem nhà các B Liên hệ : Ms Dung 0989558620 - Chuyên môi giới nhà đất thổ cư - nhà mặt phố Hà Nội hỗ trợ thủ tục pháp lý mua bán - chuyển nhượng miễn phí. ",17/12/2021,Tin thường,batdongsan_so_com_vn_1673833281.7949026,,,,,,
,đại kim ha noi, 60m2,"+Lô góc,liền kề p/lô,ô tô vòng quanh.Khu tập thể quân đội.Đường trước nhà ô tô tránh. +Vị trí siêu đẹp.vừa ở vừa kinh doanh văn phòng đỉnh. +Khu vực nhiều khách tìm mua,gần Đại siêu thị VIP AEON HOÀNG MAI +Gía tri tăng gấp nhiều lần khi AEON HOÀNG MAI khánh thành +Nhà 5tầng,mt12m, ban công view đẹp,mỗi tầng 2ngủ. +Môi trường an sinh tốt,văn minh dân trí cao. +Giao thông thuận tiện,sát vành đai 3,bến xe Nước Ngầm,cao tốc Pháp Vân, di chuyển nhiều hướng vào TTTP. +Gía 10.8tỷ (có thương lượng). +Pháp lý chuẩn,sô đẹp siêu đẹp giao dịch ngay +LH Mr Phúc 097.8895.889zalo-0912.338.038. ",07/01/2022,Tin thường,batdongsan_so_com_vn_1673833284.0912547,,,,,,
"5,8 tỷ VNĐ",Phố Kim Ngưu Hai Bà Trưng Hà Nội, 52m2,"+ Cần bán nhà mặt ngõ Kim Ngưu, Hai Bà Trưng, ô tô, kinh doanh, mặt tiền rộng, vị trí quá đẹp, khách mua về vừa ở vừa kinh doanh thì thật tuyệt. + Diện tích 52m2, 4 phòng ngủ, mặt tiền 4.6 mét. + Sổ đỏ đẹp – sẵn sàng sang tên ngay. + Giá bán: 5 tỷ 800 triệu. + Liên hệ: Minh Quang 0327085656 ( Thông tin chính xác - miễn phí xem nhà ) + Minh Quang chuyên tư vấn nhà đất thổ cư Hà Nội, hỗ trợ pháp lý, hỗ trợ vay vốn ngân hàng với lãi xuất thấp nhất.",07/01/2022,Tin thường,batdongsan_so_com_vn_1673833286.6426027, 4, 4, 4,,,
"3,75 tỷ VNĐ","Đường Nguyễn Chí Thanh, Phường Láng Thượng, Đống Đa, Hà Nội", 35m2,"  BÁN NHÀ NGUYỄN CHÍ THANH  Diện tích: 35m, 3.5 tầng, mặt tiền 3.6 m Giá bán: 3.75 tỷ Mô tả:  + Vị trí đẹp ngõ rộng thông thoáng ba gác, ô tô tránh cách nhà 15m, gần phố tiện ích ngập tràn. Giao thông thuận tiện.   + Nhà 3 tầng thiết kế vô cùng sang trọng, tổng 3 phòng ngủ. Phòng nào cũng có cửa sổ tràn ngập ánh sáng tự nhiên. Đầy đủ công năng.   Liên hệ: Nam 0869727465 ",07/01/2022,Tin thường,batdongsan_so_com_vn_1673833288.9229054, 36,, 3, 2,,
"5,8 tỷ VNĐ",Phố Lạc Trung Hai Bà Trưng Hà Nội, 51m2,"+ Cần bán nhà mặt ngõ Phố Lạc Trung, ô tô, vị trí quá đẹp, cách phố chỉ vài bước chân. + Diện tích 51m2, 5 tầng, tổng 6 phòng ngủ. + Nhà mặt ngõ rộng 3 mét, 2 thoáng 2 mặt ngõ. + Sổ đỏ đẹp – sẵn sàng sang tên ngay. + Giá bán: 5 tỷ 800 triệu. + Liên hệ: Minh Quang 0327085656 ( Thông tin chính xác - miễn phí xem nhà ) + Minh Quang chuyên tư vấn nhà đất thổ cư Hà Nội, hỗ trợ pháp lý, hỗ trợ vay vốn ngân hàng với lãi xuất thấp nhất.",07/01/2022,Tin thường,batdongsan_so_com_vn_1673833291.4262652, 4, 5, 6,,,
"18,9 tỷ VNĐ","Bán nhà mặt phố Trường Chinh Bán nhà mặt phố Đại La, Bán nhà mặt phố Bạch Mai, bán nhà mặt phố Vọng", 55m2,"Bán nhà mặt phố Trường Chinh Phương Liệt Thanh Xuân Hà Nội. sổ đỏ 50m xây dựng 55m2 x 7 tầng cực đẹp, giá 18,9 tỷ, KD tốt.Nhà diện tích 55m2, mặt tiền 4,2m đất vuông vắn thiết kế 7 tầng thang máy cực kỳ hợp lý.Mỗi tầng gồm 1 phòng rộng 40m2 còn lại là thang máy, thang bộ, vệ sinh rộng và kho đồ.-Thiết kế bao Gồm: T1,2,3,4,5,6 thông sàn 1 vệ sinh rộng-T7 phòng thờ sân phơi rộng.:Nội thất hoàn thiện cao cấp với thang máy Nhật Bản, sàn gỗ Malaysia, thiết bị vệ sinh nhập khẩu.Vị trí cực kỳ đẹp trước mặt là vỉa hè rộng và mặt đường đôi 60m vừa hoàn thiện xong. Rất phù hợp cho việc kinh doanh cửa hàng ở dưới, làm văn phòng công ty ở các tầng trên kết hợp ở. Hoặc làm showroom, phòng khám đa khoa, Spa, cửa hàng thiết bị điện lạnh điện dân dụng, VLXD.Gần Ngã Tư Giải Phóng, Phương Liệt, Phố Vọng, trên trục đường vành đai đi lại tấp nập.Sổ đỏ chính chủ, giá 18.9 tỷ có thương lượng.liên hệ chị Yến ĐT 0702138238",05/01/2022,Tin thường,batdongsan_so_com_vn_1673833294.1426747, 4, 7, 5, 6, Bắc, 50
