price,address,Diện tích,Mặt tiền,Details,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Số toilet,Hướng,Lộ giới
7 tỷ VNĐ,"Bán nhà phố Kim Giang, quận Thanh Xuân 56m, mặt tiền 4m, phân lô, vỉa hè, kinh doanh, nhỉnh 7 tỷ.", 56m2, 4,"Bán nhà phố Kim Giang, quận Thanh Xuân 56m, mặt tiền 4m, phân lô, vỉa hè, kinh doanh, nhỉnh 7 tỷ. Vị trí: Phố Kim Giang vỉa hè oto thoải mái đỗ trước của nhà, phân lô kinh doanh sầm uất, thuận tiện di chuyển các quận. Tiện ích: Nhà phù hợp kinh doanh đa dạng tất cả các loại hình hiện cho công ty thuê làm văn phòng 12tr/tháng, đi Vành Đai 3 – Nguyễn Xiển chỉ 2 phút di chuyển, Hồ Hạ Đình, phố Nguyễn Trãi, phố Khương Đình, tới đại học Thăng Long chỉ mấy bước chân, nhà sát KĐT Đại Kim Mới. Pháp lý: Sổ đỏ chính chủ, vuông vắn, sẵn sàng thương lượng. Lh: Hoàng 0902253303. Miễn trung gian môi giới.",28/12/2021,Tin thường,batdongsan_so_com_vn_1673833637.364269,,,,,
20 tỷ VNĐ,Nguyễn Trãi - Thanh Xuân - Hà Nội, 160m2, 10,"Bán thiệt thự đẳng cấp để ở  Nguyễn Trãi, Thanh Xuân – Hà Nội 160m x 10m mặt tiền, nhỉnh 20 tỷ Vị trí: Khu cán bộ dân trí cao, gần nút giao Khuất Duy Tiến là nút giao quan trọng của Thành phố Hà Nội. Tiện ích: Khu phân lô biệt thự cho cán bộ nhà nước, dân trí cao, an ninh cực tốt, cơ sở hạ tầng đồng bộ, tiện nghi, đường sá sạch sẽ, hàng xóm hòa đồng tốt bụng. Mô tả: Nhà rộng thoáng 4 phía, phòng nào cũng có ban công, trước nhà là khu vui chơi trẻ em, người lớn tập thể dục hít thở không khí trong lành của mảng cây xanh, đặc biệt chủ nhà chỉ mang đồ điện tử và tặng lại toàn bộ nội thất đắt tiền đã tâm huyết thuê kiến trúc về sắp xếp. Thiết kế: Tầng hầm: Gara oto, bếp và nhà vệ sinh. Tầng: Phòng khách, 2 ngủ, 2 vệ sinh. Tầng 2: 3 phòng ngủ, 3 vệ sinh. Tầng 3: Phòng thờ, 2 Phòng ngủ và 2 vệ sinh. Pháp lý: Sổ đỏ chính chủ vuông vắn sẵn sàng thương lượng. LH: A Hoàng 0902253303 (các bạn môi giới không làm phiền, xin cảm ơn)",01/01/2022,Tin thường,batdongsan_so_com_vn_1673833642.0146139, 4,,,,
13 tỷ VNĐ,"Bán nhà mặt Hồ Ba Mẫu, Đống Đa 45m, 4m mặt tiền, vỉa hè, nhà đẹp về ở ngay, nhỉnh 13 tỷ", 45m2,,"Bán nhà mặt Hồ Ba Mẫu, Đống Đa 45m, 4m mặt tiền, vỉa hè, nhà đẹp về ở ngay, nhỉnh 13 tỷ Vị trí: Nhà nằm mặt hồ Ba Mẫu, view toàn bộ hồ, cực đẹp cực thoáng. Tiện ích: Vị trí trung tâm quận động Đống Đa nên được thừa hưởng tiện ích tuyệt vời như công viên Lê Nin, bệnh viện Bạch Mai, bệnh viện Việt Pháp, bệnh viện Nhiệt Đới, bệnh viện Đại Học Y Hà Nội…vv. Các trường đại học như Bách Khoa, Xây Dựng, Kinh Tế Quốc Dân..vv. Các tuyến phố kinh doanh sầm uất như Xã Đàn, Phạm Ngọc Thạch Đại Cồ Việt, Lê Duẩn.. vài bước sang quận Hai Bà Trưng...vv. Và hàng loạt tiện ích khác. Mô tả: nhà mặt hồ, vỉa hè rộng vừa ở vừa kinh doanh tuyệt vời, an sinh đỉnh, an ninh tuyệt đối. Pháp lý: Sổ đỏ chính chủ sẵn sàng thương lượng. Lh: Anh Hoàng 0902253303. Miễn trung gian môi giới.",03/01/2022,Tin thường,batdongsan_so_com_vn_1673833643.6953003,,,,,
7 tỷ VNĐ,Nguyễn Ngọc Nại, 50m2, 8,"Bán nhà phố Nguyễn Ngọc Nại, Thanh Xuân 50m2, nhà cực đẹp ở đón tết ngay, nhỉnh 7 tỷ. Vị trí: Phố Nguyễn Ngọc Nại thuộc khu phân lô cán bộ quận đội, dân trí cao, an ninh tuyệt đối, chỉ vài bước sang quận Đống Đa. Tiện ích: Khu dân cư văn hóa, dân trí cao, hàng xóm tốt bụng, oto, ngõ nông thông thoáng gần phố, gần các trường đại học Thủy Lợi, đại học Y Hà Nội, Học viện Ngân Hàng….các bệnh viện đại học Y Hà Nội, các trung tâm thương mại Royal City, Lotte Mart,…vv Giao thông: Kêt nối các tuyến phố Trường Chinh, Vương Thừa Vũ, Cù Chính Lan, Hoàng Văn Thái, Ngã Tư Sở, Tây Sơn, Thái Thịnh, Thái Hà..vv. Thiết kế: Tầng 1: Thông sàn tiện kinh doanh, phòng khách. Tầng 2: mỗi tầng 2 ngủ, 2 WC. Tầng 4: 1 phòng ngủ, phòng thờ. Pháp lý: Sổ đỏ chính chủ sẵn sàng thương lượng. Lh: anh Hoàng 0902253303. Miễn trung gian môi giới.",04/01/2022,Tin thường,batdongsan_so_com_vn_1673833645.7966876, 4, 5,,,
"6,8 tỷ VNĐ",Phố Nguyễn Văn Lộc, 50m2, 5,"TRUNG TÂM MỖ LAO - NHÀ ĐẸP ĐÓN TẾT – PHÂN LÔ Ô TÔ – KINH DOANH VĂN PHÒNG + Liên hệ: Mr. Hiển 0902.08.31.39 + Chính chủ cần tiền bán gấp nhà tại KĐT Mỗ Lao, phường Mỗ Lao, Hà Đông, Hà Nội. Diện tích 50m Nhà 5 tầng, 6 phòng ngủ Mặt tiền rộng 5m Đường trước nhà ô tô tránh. + Giá chào: 6 tỷ 8 (Có thương lượng). + Nhà vị trí cực đẹp ngay cạnh liền kề Làng Việt Kiều Châu Âu. Nhà cách Hồ điều hoà và đường Nguyễn Văn Lộc, Tố Hữu vài bước chân, xung quanh là các KĐT toà nhà cao tầng chung cư Quốc tế Booyoung Hàn Quốc, Mullberylane, Làng Việt Kiều Châu Âu tạo nên môi trường sống năng động, dân trí cao.+ Nhà hiện xây 5 tầng, phong cách kiến trúc hiện đại, chủ tự tay hoàn thiện tâm huyết tỉ mỉ, đồ nội thất trong nhà toàn đồ cao cấp đắt tiền trị giá trên 1 tỷ, nhà đẹp không tỳ vết. + Sổ đỏ chính chủ, vuông vắn sẵn sàng giao dịch.",04/01/2022,Tin thường,batdongsan_so_com_vn_1673833647.5929828, 5, 5, 4,,
20 tỷ VNĐ,"Lê Đại Hành, phường Lê Đại Hành, quận Hai Bà Trưng, Hà Nội", 53m2,,"BÁN NHÀ LÊ ĐẠI HÀNH, NHÀ ĐẸP - VỈA HÈ RỘNG - KINH DOANH - VIEW TRƯỜNG HỌC - THOÁNG TRƯỚC SAU - Ô CHỜ THANG MÁY. GIÁ 20 TỶ.- Diện tích: 53m2, nhưng thực tế 76 từ tầng 1, giá 20 tỷ-  Vị trí mặt phố Lê Đại Hành thông ra Vân Hồ 2, Nguyễn Đình Chiểu, công viên Thống Nhất. Vỉa hè rộng thuận tiện kinh doanh.- 2 mặt thoáng trước sau, phía trước view trường Tiểu học Tây Sơn, phía sau có khe thoáng gần 2m.- Nhà chủ tự xây, còn mới đẹp về ở ngay khung cột chắc chắn thiết kế cầu thang giữa giếng trời rộng cải tạo lắp thang máy được.- Sổ đỏ, vuông đẹp, sẵn sàng giao dịch, (có thương lượng).- Chi tiết liên hệ chị Yến ĐT, Zalo.",04/01/2022,Tin thường,batdongsan_so_com_vn_1673833650.1945755,,,,,
"3,49 tỷ VNĐ","cầu diễn ,nam từ liêm", 39m2,,"Nhà 5 tầng được chủ nhà tự xây tâm huyết, tỉ mỉ, thiết kế đầy tinh tế. Nhà lô góc cùng mặt tiền siêu rộng giúp không gian trong nhà luôn thoáng sáng. Vị trí đẹp, ô tô nhỏ đỗ cửa, xe 5 tạ chạy vòng quanh, ngõ thông thẳng tắp. Nhà nằm ở trung tâm phường Phú Diễn gần các trụ sở chính quyền, đầu ngõ là trường học các cấp mới rộng đẹp, vài bước là chợ dân sinh đẹp như siêu thị. Tiện ích bạt ngàn cùng hệ thống hạ tầng hoàn thiện. Từ nhà đi Cầu Diễn, Nhổn, Hồ Tùng Mậu, Xuân Thuỷ, Mỹ Đình… nhanh chóng thuận tiện. Giá chào 3 tỷ 490 triệu (khách thương lượng trực tiếp với chủ). Sổ đẹp cất két, sẵn sang tên ngay. Cam kết nhà thật, việc thật 100% (hỗ trợ pháp lý và các vấn đề liên quan đến ngân hàng). Gọi em Sơn (thổ cư) ngay để được tư vấn nhiệt tình và xem miễn phí thêm hàng nghìn căn nhiều mức giá ở Hà Nội: 0932382236",04/01/2022,Tin thường,batdongsan_so_com_vn_1673833652.1791682,,,,,
"15,5 tỷ VNĐ","Bán nhà ngõ 128C Đại La, Bán nhà ngõ 100 Trần Đại Nghĩa, Bán nhà ngõ 259 phố Vọng", 80m2, 8,"Bán tòa chung cư mini 7 tầng thang máy ngõ 128C Đại La Hai Bà Trưng. Diện tích sử dụng mỗi tầng  80m2,doanh thu 1 tỷ 100tr trên 1 năm . được thiết kế cực hiện đại, mặt trước và sau đều là ngõ thoáng. Với kiến trúc bao gồm:Tầng 1: chỗ để xe, 2 căn hộ khép kín.Tầng 2, 3, 4,5: mỗi tầng 4 căn hộ riêng biệt, đầy đủ nội thất. Tầng 6 : Thiết kế 2 phòng Master rộng, vệ sinh khép kín.Tầng 7 : Sân phơi cực rộng, có thể tổ chức liên hoan sinh nhật, BBQ.  Tổng tòa có 20 căn hộ mini, mỗi căn hộ gồm 1 phòng ngủ + 1 phòng khách + 1 bếp + phòng tắm + ban công thoáng.Nội thất hoàn thiện đầy đủ 100%, khách chỉ cần xách vali đến ở: mỗi căn hộ đã có sẵn giường ngủ và tủ quần áo, điều hòa, nóng lạnh, bếp + hút mùi, máy giặt, tủ lạnh, dàn phơi...Vị trí trung tâm lý tưởng, ngay ngã tư Lê Thanh Nghị - Trần Đại Nghĩa, cạnh 3 trường ĐH lớn Bách Khoa - Kinh Tế - Xây Dựng và bệnh viện Bạch Mai, tiềm năng cho thuê vô cùng lớn.* Sổ đỏ chính chủ. Giá 15,5 tỷ (có thương lượng) liên hệ chị yến ĐT:0702138238",03/01/2022,Tin thường,batdongsan_so_com_vn_1673833654.63725, 7, 10, 10, Nam, 2
"6,6 tỷ VNĐ","Bán nhà ngõ 104 Lê Thanh Nghị,Bán nhà ngõ 67 Lê Thanh Nghị, Bán nhà ngõ 139 Lê Thanh Nghị", 45m2, 4," Bán nhà mặt ngõ phố Lê Thanh Nghị, Bách Khoa, Hai Bà Trưng, Hà Nội-Diện tích 45m2, 4 tầng khung cột bê tông mới.  -Thiết kế bao gồm:-T1: thông sàn kinh doanh nhỏ-T2: 1 phòng khách, bếp, vệ sinh.-T3:2 phòng ngủ vệ sinh giữa.-T4:1 phòng ngủ, 1 phòng thờ, 1 vệ sinh.Vị trí  đắc địa, ngay ngã tư Trần Đại Nghĩa- Lê Thanh Nghị, từ nhà ra mặt phố chỉ 30m, ngõ to rộng thoáng, xe Lam đỗ cửa thoải máiPhù hợp với nhu cầu vừa ở vừa kinh doanh, hoặc đầu tư cho thuê sinh lờiChủ nhà hiện không ở nên đã cho sang sửa lại cực kỳ đẹp theo phong cách Tân cổ điển Châu âu bắt mắt, trang trí, nội thất thời thượng, khách mua về chỉ việc ởSổ đỏ chính chủ giá 6,6 tỷ có thương lượng liên hệ chị Yến ĐT:0702138238",03/01/2022,Tin thường,batdongsan_so_com_vn_1673833656.5178802, 4, 3, 3, Đông bắc, 3
"5,75 tỷ VNĐ","Bán nhà ngõ 29 Vĩnh Tuy, Bán Nhà Ngõ 120 Vĩnh Tuy, Bán nhà ngõ 622 Minh Khai", 55m2, 4,"Bán nhà ngõ 120 Dương Văn Bé thông Minh Khai. Diện tích 55m2, mặt tiền 4m, nhà xây mới 5 tầng, mặt ngõ thông kinh doanh tốt. Thiết kế hiện đại: Tầng 1 là thiết kế thông sàn, kinh doanh tốt và Bếp Phòng ăn. Tầng 2 là phòng khách rộng, sang trọng. Tầng 3,4 thiết kế mỗi tầng 2 phòng ngủ lớn, vệ sinh giữa. Tầng 5 là phòng thờ và sân phơi. Nhà mặt ngõ rộng, nội thất hiện đại sàn gỗ nhập khẩu, hệ thống tủ bếp đầy đủ. Nhà xây khung cột bê tông chắc chắn. Hệ thống tiết kiệm điện toàn bộ nhà. Vị trí đẹp, ngõ thông tiện kinh doanh. Nhà cực thoáng mát. Gần nhiều trường Tiểu học Vĩnh Tuy, ĐH Kinh doanh công nghệ. Sát CC Times City. SĐCC, Giá bán 5.75 tỷ (có thương lượng) liên hệ chị yến ĐT:0702138238",03/01/2022,Tin thường,batdongsan_so_com_vn_1673833658.6884723, 5, 5, 4, Tây, 3
