price,address,Diện tích,Mặt tiền,Lộ giới,Details,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Số toilet,Hướng
"46,5 tỷ VNĐ",Hồ Trúc Bạch, 115m2, 5, 13,"Chủ chuyển đổi mô hình đầu tư cần nhượng lại tòa căn hộ dịch vụ đã có đầy đủ nội thất và đang kinh doanh tốt. Vị trí đẹp nhất phố Trúc Bạch, Ba Đình vỉa hè rộng rãi. Doanh thu đều 1 tháng đang là 160 triệu.Diện tích: 115m2 x 9 tầng, mặt tiền 5mGiá: 46.5 tỷ (CÒN THƯƠNG LƯỢNG, LÀM VIỆC TRỰC TIẾP CHỦ NHÀ)MẶT PHỐ VIP NHẤT Q.BA ĐÌNH - VIEW HỒ, 2 THOÁNG - NỘI THẤT ĐẲNG CẤP - TỔNG 13 CHLiên hệ xem nhà và nhận thông tin chi tiết: 0981367887Nhà xây mới T1: thông sàn, cầu thang bộ và thang máy ở giữa (thang máy nhập khẩu).T2: Tầng trệt bếp + PNT3 - 8 là mỗi tầng 2 căn hộ khép kín (bao gồm 1 căn 2PN và 1 căn 1 pn) tổng có 13 căn hộ khép kín.T9: sân thượng đang thiết kế quầy bar.- Thừa đất đẹp nở hậu, sổ pháp lý chuẩn 1 chủ cất két sẵn sàng giao dịch",28/12/2021,Tin thường,batdongsan_so_com_vn_1673834417.660083,,,,
"16,5 tỷ VNĐ","Gamuda Gardens,Hoàng Mai, Hà Nội", 120m2,,,"Chính chủ cần bán gấp nhà liền kề Gamuda Gardens, DT 120m2*3T, giá 16,5 tỷ.+ Cần bán gấp nhà, đang ở có sổ đỏ chính chủ, nội ngoại thất cao cấp, khu Gamuda Gardens, nơi có mật độ cây xanh cao nhất khu.+ Diện tích đất 120 m2, xây dựng 3 tầng.+ Do nhu cầu chuyển công tác nên nhượng lại cho ai có thiện chí để lại toàn bộ nội thất, Tủ bếp nhập khẩu, thiết bị bếp của Đức, điều hòa Daikin, Panasonic, tủ nhà vệ sinh bằng gỗ chống nước. Đồ gỗ phòng ngủ phòng ăn bằng gỗ nhập khẩu cao cấp...+ Liên hệ: A Thành 0912525146",28/12/2021,Tin thường,batdongsan_so_com_vn_1673834419.9088693,,,,
,kim giang thanh trì ha nọi, 44m2,,,"+Nhà chủ tự xây chắc chắn còn rất đẹp 2 thoáng trước sau. +Ngõ nông,sạch,thoáng.3 bước ra ô tô, ra phố +Môi trường sống văn minh,thân thiện,dân trí cao. +Gần chợ,nhiều trường MN ,THCS các cấp.UBND Phường +Liền kề KĐT TheManor,CV Chu Văn An Nguyễn Xiển,Kim Văn Kim Lũ. +Kết nối KĐT Tây Nam Linh Đàm,KĐT Đại Thanh. +Giao thông thuận tiện : đi vành đai 3,4,bến xe ,bệnh viên,nhiều ngả đường vào TTTP +Sổ đẹp,chuẩn sẵn sàng giao dịch. +Chào 3.7 tỷ (có thương lượng). +LH Mr Phúc.097.8895.889 - 0912.338.038. ",28/12/2021,Tin thường,batdongsan_so_com_vn_1673834421.976853,,,,
34 triệu VNĐ/m2,279 Hoàng Mai, 77m2,,,"💥Tin được không? 900 triệu chìa khóa trao tay sang năm nhận nhà 2,8 tỷ căn 2PN #FELIZ_HOMES_HOANG_MAI 𝐂𝐡𝐢́𝐧𝐡 𝐬𝐚́𝐜𝐡 𝐛𝐚́𝐧 𝐡𝐚̀𝐧𝐠 𝐚́𝐩 𝐝𝐮̣𝐧𝐠:👉Miễn 2% kinh phí bảo trì, 1 năm phí dịch vụ👉Hỗ trợ lãi suất 0% 18 tháng, Ân hạn nợ gốc 👉Vay 75% thời gian 25 nămBáo giá các căn hộ đẹp nhất dự án:Căn hộ 3PN diện tích 97m2 giá từ 3.25 tỷCăn hộ 3PN diện tích 108m2 ( căn góc ) view thành phố, view Hồ Đền giá từ 3.6 tỷCăn hộ 2PN diện tích 76m2 giá từ 2.7 tỷ TIỆN ÍCH PHỤC VỤ ĐỜI SỐNG:+ Bệnh viện Bạch Mai: 5Km+ Hồ Hoàn Kiếm: 6Km+ Đại học Bách Khoa – KT Quốc Dân: 3Km+ Trường TH, THCS Mai động+ Công viên Thống Nhất: 4Km+ Bến xe Giáp Bát: 3Km+ TTTM Metro Hoàng Mai: 2Km  -----------------------------------------------------------------------------------------Hotline Phòng BH trực tiếp CĐT: 0983.223.911 – 0818.978.979#FelizHomes#Felizhomes279hoangmai#Felizhomes92maidong",28/12/2021,Tin thường,batdongsan_so_com_vn_1673834424.1721854,,,,
17 tỷ VNĐ,LÊ QUANG ĐẠO - NAM TỪ LIÊM- Hà Nội, 66m2,,,"Diện tích: 66m2 - 7 tầng Mặt tiền: 5,2m Thiết kế 1 tầng hầm 6 tầng nổi + tum, vị trí đông dân cư đường rộng thông ra đại lộ thăng long, FULL nội thất Tầng 1: thông sàn Tầng 2-5 mỗi tầng 2 phòng khép kín Tầng 6: thiết kế phòng bếp  Tầng 7: Tum+ sân phơi Sổ đỏ chính chủ.",27/12/2021,Tin thường,batdongsan_so_com_vn_1673834426.1299882, 7, 6, 6,
40 tỷ VNĐ,"Hoàng Quốc Việt, Cầu Giây, Hà Nội", 168m2, 8, 60,"CỰC HIẾM! ĐỈNH CAO XÂY TÒA NHÀ VĂN PHÒNG LÀ ĐÂY MẶT ĐƯỜNG HOÀNG QUỐC VIỆT, CẦU GIẤY, HÀ NỘI.Chính chủ bán lô đất rất đẹp thông số vàng, lô đất nằm hướng Tài Lộc bất tận ngay mặt phố,2 bên vỉa hè rộng thênh thang nhà mình sử dụng được cả 2 bên ô tô dừng đỗ ngày đêm vài chục chiếc.Trước đây gia đình mua cho con để sau con cái trưởng thành làm kinh doanh nhưng hiện tại con làm bên nghành giáo dục, không còn nhu cầu sử dụng cần bán. + Diện tích: 168m2.+ Mặt tiền: 8m.+ Vị trí vàng rất hiếm nhà bán, lô đất rất đẹp sót lại một lô duy nhất ngay mặt đường Hoàng Quốc Việt, thông ra Nguyễn Văn Huyên, Tô Hiệu, tiếp cận gần nhất nút giao cầu vượt Nguyễn Văn Huyên, Hồ Tùng Mậu... đường Nguyễn Văn Huyên kéo dài làm xong đi qua khu Đô thị hạng sang NGOẠI GIAO ĐOÀN, CIPUTRA- Hoàng Quốc Việt, Hồ Tùng Mậu. Quy hoạch tại vị trí lô đất đã ổn định lâu dài. Hàng xóm có vị trí xã hội, toàn gia đình khá giả, xây tòa nhà 10 tầng kinh doanh đỉnh cao luôn.+ Giá trị về tiềm năng khai thác vị trí của lô đất cực cao, một cơ hộ vàng có một không hai cho khách có tầm nhìn và khai thác vị trí của lô đất hiếm có tại khu vực này...Phù hợp xây 10 tầng giống hàng xóm kinh doanh các dịch vụ: văn phòng, khách sạn, nhà hàng...+ Giá chỉ: 40 tỷ. Gặp chính chủ đàm phán có thương lượng giá. Liên hệ ngay kẻo lỡ: 0987006872 - Đạt nhà phố ( Gọi, inbox, hỗ trợ: 24/24 ). Miễn phí xem, tư vấn, mua nhà. Hiện tại tôi có nguồn hàng lớn nhất Hà Nội, sẵn sàng đáp ứng mọi nhu cầu đến với bạn bằng sự CHUYÊN NGHIỆP - UY TÍN - CHU ĐÁO.",11/10/2021,Tin thường,batdongsan_so_com_vn_1673834428.0406792, 1, 1,,
"1,7 tỷ VNĐ","phường Liêm Mạc, quậ Bắc Từ Liêm", 43m2, 5, 10,"phường Liêm Mạc, quận Bắc Từ Liêm, Hà Nội.Chủ bán đi thêm tiền đầu tư làm kinh doanh, đường ô tô vào nhà, lô góc, sổ nở hậu, diện tích 43m2, mặt tiền miên nam, chỉ hơn 300m ra tới trục Tây Thăng Long, đường Văn Tiến Dũng.Mô tả:- Khu dân sinh đang đà phát triển mạnh, dân trí cao toàn cán bộ công chức. Gần trường học, chợ, vài phút là ra Liên cơ Quận ủy Bắc Từ Liêm, gần trường Đại học Mỏ Địa chất, Học viện Tài chính, Học viện Cảnh sát, tiện ích ngập tràn. Gần sông Hồng không gian sống thoáng mát, trong lành, lý tưởng. - Cách đại lộ Tây Thăng Long chỉ 300km, mặt đại lộ Tây Thăng Long các dự án khủng đang thi công dần hình thành: AVENU GARADEN, SUNSHINE,...cách Vinhomes Đan Phượng 1,5km, trục đại lộ Tây Thăng Long chỉ hơn 1 năm nữa hoàn thiện lúc đó đi Hồ Tây chỉ 5 phút, dễ dàng di chuyển ra QL 32, Phạm Văn Đồng, Hoàng Quốc Việt, Cầu Giấy, Mỹ Đình...Cách đường Vành Đai 3,5 khoảng 600m, gần quy hoạch cầu Thượng Cát, giao thông thuận tiện, tiềm năng tăng giá cao. - Mảnh đất đẹp lô góc, ô tô vào nhà, gần phố, nở hậu, khu tập chung đông dân cư. Khách mua xây 5 tầng giống các nhà hàng xóm vừa ở vừa kinh doanh thì tuyệt.- Sổ đỏ cất két, nở hậu pháp lý chuẩn sẵn sàng giao dịch.- Giá chỉ: 1.7 tỷ ( thương lượng mạnh cho khách thiện chí ).Liên hệ: 0987006872 a Đạt biết thêm thông tin chi tiết ( alo, inbox 24/24), nguồn hàng đa dạng. Hỗ trợ miễn phí pháp lý, ngân hàng 24/7 ( KHÔNG TIẾP TRUNG GIAN ).",27/12/2021,Tin thường,batdongsan_so_com_vn_1673834430.560124, 1, 1, 1,
"2,78 tỷ VNĐ",Xa La- Hà Đông, 41m2,,,"Cần bán nhà trước tết, Xa La, Hà Đông, 41m, 4 ngủ, nhỉnh 2 tỷ, ô tô gần, ngõ thoáng + Quận Hà Đông đang phát triển rất nhanh về cơ sở hạ tầng, quỹ đất ở hạn hẹp dần, sở hữu một căn nhà trung tâm Quận Hà Đông là bắt kịp xu thế đầu tư lợi nhuận, ở đẳng cấp và tiện ích, quận trung tâm, di chuyển đi đâu cũng vô cùng thuận lợi. + Nhà phố Xa La 41m2 vuông vắn, ô tô đỗ gần, với 4 tầng  xây hiện đại ngập tràn ánh sáng tự nhiên là sự lựa chọn số 1 cho anh chị đang tìm nhà hơn 2 tỷ để đầu tư hoặc an cư lập nghiệp. Căn nhà tại vị trí vô cùng đắc địa, thuận lợi di chuyển các quận như Hà Đông. + Tôi và anh chị có thể tham khảo so sánh thêm một số căn nhà rất đẹp đang chào bán khoảng dưới 3 tỷ: - Nhà Văn Phú 32m, 4 tầng mới đẹp. - Nhà Yên Xá  30m ngay mặt phố. - Đất Đa Sỹ 35m sổ đỏ vuông vức, gần trường chợ. -Nhà Ngô Quyền 30m xung quanh đầy đủ tiện ích -  Sổ đỏ vuông, pháp lý sạch. - Giá: 2.78 tỷ ( có thương lượng). -  Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.         -  Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",27/12/2021,Tin thường,batdongsan_so_com_vn_1673834432.9101834,, 4,,
"2,78 tỷ VNĐ",Xa La- Hà Đông, 41m2,,,"Cần bán nhà trước tết, Xa La, Hà Đông, 41m, 4 ngủ, nhỉnh 2 tỷ, ô tô gần, ngõ thoáng + Quận Hà Đông đang phát triển rất nhanh về cơ sở hạ tầng, quỹ đất ở hạn hẹp dần, sở hữu một căn nhà trung tâm Quận Hà Đông là bắt kịp xu thế đầu tư lợi nhuận, ở đẳng cấp và tiện ích, quận trung tâm, di chuyển đi đâu cũng vô cùng thuận lợi. + Nhà phố Xa La 41m2 vuông vắn, ô tô đỗ gần, với 4 tầng  xây hiện đại ngập tràn ánh sáng tự nhiên là sự lựa chọn số 1 cho anh chị đang tìm nhà hơn 2 tỷ để đầu tư hoặc an cư lập nghiệp. Căn nhà tại vị trí vô cùng đắc địa, thuận lợi di chuyển các quận như Hà Đông. + Tôi và anh chị có thể tham khảo so sánh thêm một số căn nhà rất đẹp đang chào bán khoảng dưới 3 tỷ: - Nhà Văn Phú 32m, 4 tầng mới đẹp. - Nhà Yên Xá  30m ngay mặt phố. - Đất Đa Sỹ 35m sổ đỏ vuông vức, gần trường chợ. -Nhà Ngô Quyền 30m xung quanh đầy đủ tiện ích -  Sổ đỏ vuông, pháp lý sạch. - Giá: 2.78 tỷ ( có thương lượng). -  Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.         -  Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",27/12/2021,Tin thường,batdongsan_so_com_vn_1673834435.044958,, 4,,
"2,79 tỷ VNĐ",Hà Trì- Hà Đông, 40m2,,,"HOT! Hà Trì, Hà Đông, ngõ thông, ô tô gần, 40mx4 tầng nhỉnh 2 tỷ - Vị trí: Phố Hà Trì quận Hà Đông nơi giao thoa nhiều tuyến phố quan trọng: Quang Trung, Lê Lợi, Bà Triệu, Đa Sỹ, Mậu Lương, Xa La, ... nằm trên trục chính di chuyển thuận lợi. - Tiện ích: gần nhà có đầy đủ tiện ích xã hội như: chợ, siêu thị,  bãi xe, chợ dân sinh, ngân hàng, trường học các cấp, bệnh viện, sân bóng.... Nhà nằm lô góc, ánh sáng ngập tràn. - Nhà được thiết kế hiện đại chuẩn công năng sử dụng gần phố các phòng thoáng mát, khu hiếm nhà bán, an ninh tuyệt đối. - Giá chỉ có 2.79 tỷ ( có thương lượng) cho một căn nhà 4 tầng siêu đẹp diện tích 40m trung tâm quận Hà Đông. - Sổ đỏ vuông, pháp lý sạch. - Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.         - Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn. ",27/12/2021,Tin thường,batdongsan_so_com_vn_1673834437.2120302, 4,,,
