price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Mặt tiền,Lộ giới,Số toilet
"6,33 tỷ VNĐ",Chiến Thắng- Hà Đông, 61m2,"Nhỉnh 6 tỷ nhà đẹp gara ô tô, ngõ thông, Chiến Thắng, Hà Đông, 61m2, dân xây Phố Chiến Thắng nổi tiếng một trong những nơi đáng sống bậc nhất Hà Đông, dân đông, phố rộng hè thoáng, môi trường trong lành, tiện ích ngút ngàn: Siêu thị, chợ, trường học các cấp, trục chính di chuyển thuận lợi:, Văn Quán, Vạn Phúc, Mỗ Lao,Nguyễn Khuyến, Ao Sen, Trần Phú, An Hòa, Nguyễn Văn Trỗi... Nhà được xây dựng trên mảnh đất đẹp, vượng khí tài lộc, gia chủ làm ăn rất phất, nhiều nhà nay bán bớt để mở rộng kinh doanh. Nhà có gara ô tô, ngõ thông tứ tung, các phòng đẹp thoáng sáng. Sổ đỏ chính chủ, sẵn sàng giao dịch. Giá: 6.33 tỷ ( có thương lượng). Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM GẦN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",25/12/2021,Tin thường,batdongsan_so_com_vn_1673834593.04875,,,,,
"2,78 tỷ VNĐ",Hà Cầu- Hà Đông, 41m2,"HOT! Hà Cầu, Hà Đông, ngõ thông, ô tô gần, 41mx4 tầng nhỉnh 2 tỷ - Vị trí: Phố Hà Cầu quận Hà Đông nơi giao thoa nhiều tuyến phố quan trọng: Quang Trung, Lê Lợi, Bà Triệu, Đa Sỹ, Mậu Lương, Xa La, ... nằm trên trục chính di chuyển thuận lợi. - Tiện ích: gần nhà có đầy đủ tiện ích xã hội như: chợ, siêu thị,  bãi xe, chợ dân sinh, ngân hàng, trường học các cấp, bệnh viện, sân bóng.... Nhà nằm lô góc, ánh sáng ngập tràn. - Nhà được thiết kế hiện đại chuẩn công năng sử dụng gần phố các phòng thoáng mát, khu hiếm nhà bán, an ninh tuyệt đối. - Giá chỉ có 2.78 tỷ ( có thương lượng) cho một căn nhà 4 tầng siêu đẹp diện tích 41m trung tâm quận Hà Đông. - Sổ đỏ vuông, pháp lý sạch. - Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.         - Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",25/12/2021,Tin thường,batdongsan_so_com_vn_1673834594.9355907, 4,,,,
"2,77 tỷ VNĐ",Yên Phúc- Hà Đông, 40m2,"Cần bán nhà trước tết, Yên Phúc, Hà Đông, 40m, 4 ngủ, nhỉnh 2 tỷ, ô tô gần, ngõ thoáng + Quận Hà Đông đang phát triển rất nhanh về cơ sở hạ tầng, quỹ đất ở hạn hẹp dần, sở hữu một căn nhà trung tâm Quận Hà Đông là bắt kịp xu thế đầu tư lợi nhuận, ở đẳng cấp và tiện ích, quận trung tâm, di chuyển đi đâu cũng vô cùng thuận lợi. + Nhà phố Yên Phúc 40m2 vuông vắn, ô tô đỗ gần, với 4 tầng  xây hiện đại ngập tràn ánh sáng tự nhiên là sự lựa chọn số 1 cho anh chị đang tìm nhà hơn 2 tỷ để đầu tư hoặc an cư lập nghiệp. Căn nhà tại vị trí vô cùng đắc địa, thuận lợi di chuyển các quận như Hà Đông. + Tôi và anh chị có thể tham khảo so sánh thêm một số căn nhà rất đẹp đang chào bán khoảng dưới 3 tỷ: - Nhà Ngô Quyền 32m, 4 tầng mới đẹp. - Nhà Mậu Lương  30m ngay mặt phố. - Đất Đa Sỹ 35m sổ đỏ vuông vức, gần trường chợ. -Nhà Vạn Phúc 30m xung quanh đầy đủ tiện ích -  Sổ đỏ vuông, pháp lý sạch. - Giá: 2.77 tỷ ( có thương lượng). -  Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.         -  Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",25/12/2021,Tin thường,batdongsan_so_com_vn_1673834597.1095989,, 4,,,
"2,8 tỷ VNĐ",Phùng Hưng- Hà Đông, 40m2,"Căn nhà siêu đẹp duy nhất phố Phùng Hưng, Hà Đông 40mx4 tầng, ô tô gần, ngõ thông. - Căn nhà siêu đẹp phố Phùng Hưng, trung tâm khu hành chính quận Hà Đông, thủ đô Hà Nội, khu vực sầm uất, dân trí cao, đáng sống bậc nhất quận Hà Đông. Giao thông vô cùng thuận lợi thông thương : Mậu Lương, Đa Sỹ, Phúc La, Yên Xá, Thanh Hà, Văn Phú, Phú Lương, Tân Triều, Văn Quán,... - Nhà xây dựng trên mảnh đất vượng khí rộng 40m2, với 4 tầng thiết kế đẹp, đủ công năng sử dụng. Khu dân trí cao, trí thức về đây tụ họp rất nhiều. Cảm giác quan chức nhiều như quần long hội tụ vậy. Khu vực hiếm nhà bán, nhu cầu ở và thuê rất cao. - Chủ nhà thương gia con cái thành đạt bán đi định cư nước ngoài, mong muốn bán nhanh, giá cả rất tốt so với khu vực. - Sổ đỏ chính chủ sẵn sàng giao dịch. - Giá chỉ 2.8 tỷ cho căn nhà siêu đẹp ( có thương lượng). - Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.         - Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",25/12/2021,Tin thường,batdongsan_so_com_vn_1673834599.1698093, 4,,,,
"2,8 tỷ VNĐ",Xa La- Hà Đông, 41m2,"Cần tiền bán gấp nhà  Phố Xa La, Hà Đông, ngõ thông, 41m, 4 tầng nhỉnh 2 tỷ. + Chủ cần tiền bán gấp căn nhà đẹp Xa La, Quận Hà Đông, diện tích 41m2, 4 phòng ngủ rộng. + Nhà nằm trên trục chính nối liền các tuyến phố, các khu đô thị quan trọng bậc nhất Hà Đông: Xa La, Phú Lương, Văn Phú, Thanh Hà. Tiếp giáp Đa Sỹ, Yên Xá, Thanh Trì, Thanh Oai.  + Khu vực nhiều trường đại học lớn tập trung như: Kiến Trúc, Bưu chính viễn Thông, Học viện Quân y, Học Viện an ninh, trường học các cấp, siêu thị, chợ, bệnh viện lớn... + Chủ thiện chí, cần bán gấp lấy tiền đầu tư nhà xưởng, máy móc. + Sổ đỏ vuông đẹp như viên gạch, chủ cất két cho mới. + Giá chỉ 2.8 tỷ, thương lượng trực tiếp với chủ nhà, miễn trung gian. - Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.         - Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý.",25/12/2021,Tin thường,batdongsan_so_com_vn_1673834600.7866697, 4,,,,
"5,9 tỷ VNĐ","vĩnh phúc, ba đình, hà nội.", 45m2,"BÁN NHÀ PHỐ VĨNH PHÚC - BA ĐÌNH, NHÀ ĐẸP LÔ GÓC, 45M2 X 5TẦNG X MT 6.2M GIÁ 5.9 TỶ📕 - Diện tích sổ 40m2, nhà khung móng 8 tầng, xây 5 tầng từ tầng 2 đua ra thành 45m2 mặt tiền 6.2m, 🚚 Vị trí lô góc bề thế 2 mặt ngõ thông.🚚 Ô tô💲 Kinh doanh🚗 - Vị trí trung tâm quận Ba Đình, khu vực an sinh tốt. Di chuyển thuận tiện ra đường Hoàng Hoa Thám, Vĩnh Phúc, Đội Cấn, Lạc Long Quân.🏠 - Nhà mới, đẹp ở ngay, thiết kế bên trong hợp lí. 🏠 Gia chủ tặng toàn bộ nội thất cao cấp🏠 Tầng 1: phòng khách, bếp, wc🏠 Tầng 2: phòng ngủ rộng, wc🏠 Tầng 3,4: chia 2 phòng, wc🏡 Tầng 5: phòng thờ, sân phơi📕 - Sổ đỏ chính chủ, pháp lý sạch sẽ sẵn sàng giao dịch.☎️ Liên hệ ATINHHA Nguyễn Văn Tiên 0912739985",25/12/2021,Tin thường,batdongsan_so_com_vn_1673834603.1231086,,,,,
32 tỷ VNĐ,"Vũ Tông Phan, Thanh Xuân, Hà Nội", 120m2,"Chính Chủ Bán Nhà Mặt Phố Vũ Tông Phan Kinh Doanh. Dt 120m*6t giá 32 tỷ.+ Mặt phố Vũ Tông Phan, phường Khương Đình, quận Thanh Xuân. Vị trí tiếp giáp với các đường Nguyễn Trãi, Định Công, Kim Giang, Hoàng Đạo Thành, khu vực có nhiều tòa nhà văn phòng, trung tâm thương mại, giao thông thuận tiện, tiềm năng phát triển mạnh.+ Tòa nhà văn phòng, trung tâm thương mại, khách sạn.+ Sổ đỏ đẹp, chính chủ, sẵn sàng giao dịch.+ Chủ thiện chí bán, chuyển định cư nước ngoài cần bán nhanh, có thương lượng.+ Liên hệ: Đức Thành. 0912525146",25/12/2021,Tin thường,batdongsan_so_com_vn_1673834605.4560325,,,,,
"22,5 tỷ VNĐ","Bán nhà mặt phố Trần Duy Hưng; DT 42/58m2 x 6 tầng, MT 4m, giá 22,5 tỷ, 0945091666", 50m2,"Bán nhà mặt phố Trần Duy Hưng; DT 42/58m2 x 6 tầng, MT 4m, giá 22,5 tỷ, 0945091666 Địa chỉ: Đường Trần Duy Hưng, Phường Trung Hòa, Cầu Giấy, Hà NộiMức giá : 22.5 tỷDiện tích:  58 m². Mặt tiền 4 m+ Bán nhà mặt phố Trần Duy Hưng diện tích 42/58m2, mặt tiền 4m, diện tích XD 50m2 x 6 tầng.+ Giá bán 22,5 tỷ.+ Vị trí kinh doanh đắc địa sầm uất ngày đêm. Khu vực cực hiếm nhà bán phù hợp mọi loại hình kinh doanh, gần các trung tâm thương mại, các tòa nhà văn phòng, chung cư cao cấp, siêu thị Big C, Vincom Center, khách sạn Grand Plaza, đại học Lao Động Xã Hội, trường chuyên Hà Nội Amsterdam, khu đô thị Trung Hòa Nhân Chính, khu đô thị D'capitale.+ Nhà đang cho thuê ổn định.+ Sổ đỏ chính chủ.  + Giá bán 22,5 tỷ. Liên hệ ông: Trường, chính chủ, số điện thoại 0945091666      http://www.sanbatdongsanviet.com.vn",25/12/2021,Tin thường,batdongsan_so_com_vn_1673834607.1091194,,,,,
3 triệu VNĐ,"Yên Bình, Thạch Thất, Hà Nội", 6001m2,"Vị trí: Yên Bình, Thạch Thất, Hà Nội Cách trục 446 chừng 150m Đơn vị phân phối, bán hàng: Thathuco Land + CS1: Bình Phú, Thạch Thất, Hà Nội. #thathucoland",25/12/2021,Tin thường,batdongsan_so_com_vn_1673834610.3402233,,,,,
"5,7 tỷ VNĐ","Phố Lê Trọng Tấn, Phường Khương Mai, Quận Thanh Xuân, Hà Nội", 47m2,"+ Vị trí trung tâm quận Thanh Xuân, ngõ nông rộng, cách ô tô khoảng 20m, nhà thoáng mát, ánh sáng tự nhiên, khu vực dân trí cao, yên tĩnh, an ninh tốt, hàng xóm thân thiện. Nhà nằm ở lô góc, xây dựng kiên cố, chắc chắn, khung cột bê tông cốt thép, thiết kế hiện đại, nội thất đẹp về ở ngay, tiện ích xung quanh không thiếu gì. + Thiết kế - Tầng 1 : phòng khách, bếp, wc. - Tầng 2,3: Mỗi tầng 2 ngủ + vệ sinh. - Tầng 4: Phòng thờ + sân phơi. - Tầng 5: Tum + DT 47m x 5 tầng x MT 4m x 5.7 tỷ. + Sổ đỏ sẵn sàng giao dịch.           Liên hệ Khanh Ngọc 0989075515 hỗ trợ xem nhà.",25/12/2021,Tin thường,batdongsan_so_com_vn_1673834613.1571293,,,,,
