price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Hướng,Lộ giới
"3,1 tỷ VNĐ",Minh Khai - Hà Nội, 40m2,"Vị trí đắc địa nhất nhì khu vực Hai Bà Trưng , gần ngã  tư  Mai Động  hàng xóm của  Time City, cạnh là tổ hợp chung cư, trung tâm Thương mại rất lớn nữa là Hòa Bình Green City và Imperia Sky Garden, tiện ích vô cùng vài phút ra bờ hồ , thuận tiện di chuyển  ra các bệnh  viện lớn như  Thanh Nhàn , Ung  bướu  , Bạch Mai ,… cũng  như các trường  đại học  lớn như  Bách Khoa , Xây Dựng , Kinh Tế  Quốc  Dân….Đường  Minh Khai, Tam Trinh hiện nay đã quy hoạch ổn định giá đất trong khu vực chỉ có lên chứ không có xuống ,..ngõ nhà thông , xung quanh điện đường , trường , trạm đủ cả  kinh doanh nhỏ cực tốt vài bước đi bộ là ra mặt đường Minh Khai Nhà 4 tâng mới đẹp long lanh tâm huyết chủ nhà xây cho con lấy vợ nhưng vì lý do công việc nên phải bán đi . Nhà cực thoáng thoáng trước thoáng sau chan hòa ánh nắng ngõ oto mặt tiền rộng dãi bề thế cực kỳ thoáng mát chủ nhà cực kỳ thiện trí giá chào 3.1  tỷChi tiết LH: em Nhật 0977194820 (Chuyên Nhà đất Thổ cư).Lưu ý:- Không kênh giá chủ nhà- Miễn phí toàn bộ dịch vụ: Dẫn khách xem nhà, tư vấn pháp lý ",16/12/2021,Tin thường,batdongsan_so_com_vn_1673834768.4809797,,,,,
"1,25 tỷ VNĐ",Bạch Mai - Hà Nội, 22m2,"Vị trí đắc địa gần phố, đúng 3 bước chân ra oto đỗ an sinh tuyệt vời, điện đường trường trạm đủ cả gần công an phường an ninh cực cao vài phút ra đường Bạch Mai rất tiện lợi cho việc đi lại . Tới các khu trung tâm và các tuyến phố lớn khác như Bạch Mai, Đại La, Trương Định, Phố Huế,Thanh Nhàn…..).+ Khu vực đông đúc nhộn nhịp người qua nại, gần hồ, Trường cấp 1, cấp 2, an ninh đảm bảo.Gần các trường lớn như Đại hoc Bách Khoa, Xây Dựng, Kinh tế quốc dân….+ Sổ đẹp pháp lý chuẩn mảnh đất vuông vức chủ nhà cực kỳ thiện trí giá chỉ 1.25 tỷ. Có thương lượng cho khách hữu duyên.. Chi tiết LH: Nhật Nhà Đất  0977194820 (Chuyên Nhà đất Thổ cư với nguồn hàng Hơn 6000 Căn Nhà  Lớn nhỏ Từ 1 – 100 Tỷ trên khắp địa bàn Hà Nội sẵn sàng giúp Khách hàng tìm được những căn nhà ưng ý nhất).Lưu ý:-Tận Tâm, Uy tín , Chuyên nghiệp cái Tâm và cái Tầm đặt lên hàng đầu- Không kênh giá chủ nhà- Miễn phí toàn bộ dịch vụ: Dẫn khách xem nhà, tư vấn pháp lý  ",18/12/2021,Tin thường,batdongsan_so_com_vn_1673834773.178524,,,,,
"1,9 tỷ VNĐ",Bùi Ngọc Dương - Hà Nội, 35m2,"Vị trí cực kỳ đắc địa ngõ thông thoáng hè thoáng, đi được nhiều đường vào, cách mặt phố Bạch Mai chỉ vài bước chân.Căn nhà là tâm huyết của chủ nhà từ hồi thanh xuân vốn là dân xây dựng nên cực kỳ chăm chuốt.+Phố Thanh Nhàn nằm ở trung tâm quận Hai Bà Trưng thuận tiện đi lại tới các khu vực trung tâm trong thành phố như Bạch Mai, Giải Phóng , Trần Khát Chân ,Đại Cồ Việt……..+Khu dân trí cao của khu Hai Bà Trưng hang xóm toàn  giảng viên và giáo viên của các trường đại học lớn  giao thông thuận tiện sang các khu vực trung tâm như Bạch Mai , Giải Phóng , Đai Cồ Việt, Phố Huế,…..gần các trường đại học lớn Bách Khoa, Xây Dựng, Kinh tế quốc dân,+ Giá đẹp trong khu vực Hai Bà Trưng + Sổ đỏ Giêng, sẵn sàng giao dịch + giá: 1.9  tỷ (có thương lượng cho khách hữu duyên)Chi tiết LH: em Nhật 0977194820 (Chuyên Nhà đất Thổ cư).Lưu ý:- Không kênh giá chủ nhà- Miễn phí toàn bộ dịch vụ: Dẫn khách xem nhà, tư ",21/12/2021,Tin thường,batdongsan_so_com_vn_1673834775.2494025,,,,,
78 triệu VNĐ/m2,"25.2ha, Vân Canh, Hoài Đức, HN", 42m2,"42m2 đất DV Vân Canh, Hoài Đức , HN Sát An Lạc Symphony Cách SVĐ MỸ Đình 2km Đầy đủ tiện ích Giá: Thỏa Thuận LH: 0968285568",23/12/2021,Tin thường,batdongsan_so_com_vn_1673834777.1198866, 4,,,,
31 tỷ VNĐ,Tây Hồ, 140m2,"BIỆT THỰ CIPUTRA VIMEFULLAND T Y HỒ Ở NGAY, SỔ TRAO TAYBiệt thự Vimefulland Ciputra Tây Hồ - Ở ngay, sổ đỏ trao tay - Khẳng định vị thế độc tôn.- CĐT: Công ty CP BĐS Vimedimex.- Đơn vị phát triển: Vimefulland.- Vị trí nằm tại giai đoạn 3 khu đô thị Nam Thăng Long, Ciputra, Tây Hồ.-----------------------------------------------Biệt thự lâu đài Green Center Villas nằm trong đại dự án The Lotus Center, thương hiệu bất động sản Vimefulland sở hữu những giá trị khác biệt làm nên đẳng cấp của một dòng sản phẩm mang giá trị trường tồn:Tọa lạc đắc địa tại đất Tây Hồ, giao thoa giữa đường Võ Chí Công và khu đô thị Ciputra hàng đầu - Vị trí đẹp nhất Ciputra.Hệ thống giao thông được quy hoạch đồng bộ, đặc biệt tuyến đường Võ Chí Công rộng 64m, nối với cầu Nhật Tân Nội Bài - Khu đô thị thông minh, hiện đại bậc nhất Đông Nam Á.Phân khu Green Center Villas có diện tích 22.199m2.+ 81 căn biệt thự lâu đài và biệt thự lâu đài phố.+ Diện tích tiêu chuẩn từ 140 - 419m2, đường nội khu rộng từ 17,5 - 21,5m.+ Kiến trúc cổ điển và tân cổ điển Pháp sang trọng, lãng mạn.+ 100% đã có sổ đỏ.+ Hỗ trợ lãi suất 0% trong 12 tháng.+ Chiết khấu thanh toán sớm lên đến 5% tổng giá trị nhà.+ Khách mua được ký hợp đồng mua bán, nhận nhà và sang tên sổ đỏ ngay.+ Giá bán tùy theo vị trí và đúng giá gốc niêm yết của chủ đầu tư. 👉 Liên hệ 𝟬𝟵𝟯𝟱.𝟭𝟭𝟲.𝟭𝟯𝟯 ngay hôm nay để được tư vấn MIỄN PHÍ về dự án!------------️️🔶🔹🔶------------🍀 𝐓𝐇𝐄 𝐋𝐎𝐓𝐔𝐒 𝐂𝐄𝐍𝐓𝐄𝐑 - GIÁ TRỊ Ở SỰ KHÁC BIỆT🍀📌 Vị trí: mặt đường Võ Chí Công, quận Tây Hồ, Hà Nội🏣 Chủ đầu tư: Tập đoàn Vimedimex📈 Đơn vị phát triển kinh doanh: Vimefulland🌈 Đơn vị quản lý vận hành: Savills Việt Nam.",23/12/2021,Tin thường,batdongsan_so_com_vn_1673834779.3481386,,,,,
62 triệu VNĐ/m2,"Trâu Quỳ, Gia Lâm, Hà Nội", 57m2,"Siêu Phẩm Trâu Quỳ!!! Phố Thành Trung 57m2. Ô tô 7 chỗ chỉ 62tr/m2 thương lượng  Đất 57m2. Mt: 4,25m. Vuông vắn, không lỗi. Đã có sổ, không tranh chấp, không quy hoạch. Hiện tại chủ đang cần tiền nên bán. Chủ rất thiện chí.  Cách mặt Thành Trung 30m. Chạy thẳng vào Vinhomes Ocean Park. Hiện tại khu sầm uất nhất trung tâm Gia Lâm, Giá đầu tư tốt, tiềm năng tăng giá.  Thiện chí Gọi ngay: 0399 643 640 để xem đất . Không mất phí và luôn như vậy Uy tín – Niềm tin. BĐS Hùng Vương",08/10/2021,Tin thường,batdongsan_so_com_vn_1673834780.977522, 4,,,,
"8,5 tỷ VNĐ","Tô Vĩnh Diện, phường Khương Trung, quận Thanh Xuân, Hà Nội.", 40m2,"BÁN NHÀ TÔ VĨNH DIỆN, PHÂN LÔ Ô TÔ ĐỖ CỬA, 6 TẦNG THANG MÁY, NHÀ ĐẸP NHẤT NGÕ. GIÁ 8.5 TỶ.- Khu vực nhiều tiện ích xung quanh, dân trí cao, an ninh tuyệt vời.- Diện tích: 40m2 x 6 tầng, mặt tiền 5.2m, giá 8.5 tỷ.- Tầng 2,3,4: 3 ngủ thông sàn khép kín.- Tầng 5: 1 ngủ + phòng thờ.- Tầng 6: Tum trồng hoa + Sân phơi.- Sổ đỏ đẹp, sẵn sàng giao dịch, (có thương lượng).- Chi tiết liên hệ chị Yến ĐT, Zalo, gặp trực tiếp chủ nhà.",23/12/2021,Tin thường,batdongsan_so_com_vn_1673834783.1861618,,,,,
"10,5 tỷ VNĐ","Lê Trọng Tấn, Thanh Xuân, Hà Nội", 72m2,"Chính chủ cần bán gấp nhà khu phân lô Lê Trọng Tấn, DT 72m2*4t giá 10.5 tỷ.+ Nhà nằm trong khu phân lô quân chủng không quân, thích hợp ở hoặc làm văn phòng công ty, chủ tự xây, thiết kế hiện đại hợp lý.+ Nội thất nhập ngoại hoàn toàn, thiết bị vệ sinh cao cấp nhập khẩu nguyên chiếc, điều hòa.+ Vị trí đẹp nhất phố Lê Trọng Tấn, đường vào thuận tiện, gần trung tâm thương mại Vincom, gần các trường Đại học, kết nối các tuyến đường Trường Chinh, Hoàng Văn Thái, Tôn Thất Tùng Khu vực dân trí cao, an ninh tốt.+ Liên hệ: A Thành 0912525146",23/12/2021,Tin thường,batdongsan_so_com_vn_1673834785.045216,,,,,
"6,3 tỷ VNĐ",Quan Nhân -Hà Nội, 46m2,"Thiết kế nhà chắc chắn thoáng mát, mặt tiền rộng,  đầy đủ tiện nghi 5 tầng thông thoáng, sạch sẽ, hiện đại.Nội thất trong nhà đều làm bằng gỗ rất sang trọng và hiện đại.+ Nhà nằm trong khu dân trí cao, yên tĩnh, sạch sẽ hàng xóm thân thiện, đi vài bước chân là đến khu chợ sầm uất.+ Sổ đỏ đẹp mê ly chính chủ, sẵn sàng giao dịch.+ Liên hệ em Hải- 0986001368.",23/12/2021,Tin thường,batdongsan_so_com_vn_1673834787.4215784,, 5, 4,,
"3,45 tỷ VNĐ","phú đô ,nam từ liêm", 45m2,"Ngõ vào rộng rãi, từ ô tô vào mấy chục mét, thẳng tắp. Xung quanh vô vàn tiện ích, rất gần SVĐ Mỹ Đình, chợ dân sinh, trường học các cấp Phú Đô, bãi gửi ô tô và khu vui chơi trẻ em miễn phí rộng rãi. Từ nhà ra đường ô tô chỉ mấy chục mét, gần điểm giao cắt Lê Quang Đạo, Lê Đức Thọ, Mễ Trì, đường đua F1... Nhà diện tích 45m2 thoáng trước sau, được chủ nhà tự xây cẩn thận ép cọc bê tông, tỉ mỉ chọn từng viên gạch. Nay đành giao bán do phải chuyển chỗ làm. Nhà rộng rãi, phòng ốc thoáng sáng, có sân để xe vô cùng sạch sẽ. Giá chào 3 tỷ 450 triệu (khách đàm phán trực tiếp với chủ nhà). Sổ vuông đẹp, sẵn sang tên ngay. Cam kết nhà thật, việc thật 100% (hỗ trợ pháp lý và các thủ tục liên quan đến ngân hàng). Anh chị quan tâm gọi ngay em Sơn (thổ cư) để xem nhà và hàng ngàn căn nhà khác ở Từ Liêm hoàn toàn miễn phí: 0932382236",23/12/2021,Tin thường,batdongsan_so_com_vn_1673834789.0898018,,,,,
