price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Số tầng,Mặt tiền,Lộ giới,Số phòng ngủ,Số toilet,Hướng
560 triệu VNĐ,0968884357, 52m2,"Căn góc Tòa CT8B1, chung cư tại khu đô thị Thanh Lâm - Đại Thịnh - Mê Linh - HN.,- Vị trí thuận lợi: 2 mặt đường to.+ Nằm ngay trung tâm xã Đại Thịnh.+ Cạnh khu hành chính huyện Mê Linh.+ Gần ngay Công An huyện Mê Linh.+ Cách sân bay Nội Bài 9km.+ Cách KCN Quang Minh 5km.- Diện tích 52,5m2, Căn góc, 2pn, 2nvs- Căn hộ mới , vừa nhận.- Giá bán 560 triệu (bao phí)Liên hệ: 0826298899 – 0968884357.",15/12/2021,Tin thường,batdongsan_so_com_vn_1673835892.2293367,,,,,,
"3,6 tỷ VNĐ","Khương Đình, Hà Nội", 38m2,"-    Vị trí đẹp, ngõ thông nhiều hướng, tiện ích xung quanh không thiếu gì, vài bước chân ra hồ, chợ, trường học các cấp.-    Nhà thiết kế đẹp, thoáng đãng, đầy đủ công năng.-    Sổ đỏ chính chủ, sẵn sàng giao dịch.-    Liên hệ:  Trường – 0975644552 (Miễn Môi giới, trung gian). ",15/12/2021,Tin thường,batdongsan_so_com_vn_1673835894.1156716, 4,,,,,
"2,5 tỷ VNĐ",Tân Mai- Hoàng Mai, 61m2,"+ Vị trí: khu dân trí văn minh, yên tĩnh. Cách ô tô đỗ 35m. Đường vào thông tứ tung. Có thể đi vào nhà bằng nhiều ngõ khác nhau.+ Diện tích hơn 60m2, chủ xây nhà 35m2, sân vườn 25m2. Nhà 3 tầng và 1 tầng lửng, thiết kế lệch tầng, rất đẹp, gồm:- Tầng 1: sân vườn, để xe, phòng khách rất rộng.- Tầng lửng: bếp ăn sang trọng.- Tầng 2: 1 phòng ngủ + wc.- Tầng 3: 2 phòng ngủ + wc- Tum: giặt sân phơi.+ Chủ tặng đồ nội thất gắn tường và cây cảnh sân vườn.    Giấy tờ pháp lý đầy đủ, sẵn sàng giao dịch.",15/12/2021,Tin thường,batdongsan_so_com_vn_1673835896.3338065, 4, 6, 2, 3, 3,
"4,24 tỷ VNĐ",Văn Quán- Hà Đông, 51m2,"Siêu phẩm Văn Quán, Hà Đông, 51m2x 4 tầng, nhỉnh 4 tỷ, ô tô gần Giới thiệu đến quý khách hàng một căn nhà tại vị trí Trung tâm Quận Hà Đông, nhà đẹp nhất khu gần Hồ Văn Quán rất hiếm, ngõ thoáng, giao thông di chuyển quá thuận lợi các phố: Thanh Bình, Phùng Hưng, Phúc La, Quang Trung, Trần Phú, Nguyễn Trãi, Chiến Thắng, Nguyễn Khuyến,.... Tiện ích ngút ngàn: xung quanh là các ngân hàng, trường học các cấp, tàu điện, bến xe, siêu thị, việc đi lại quá dễ dàng nhanh chóng. Nhà được chủ là dân xây dựng chuyên nghiệp xây rất chắc chắn, ở giữ gìn bao năm sạch đẹp như mới, các phòng đều mở cửa sổ thoáng sáng với 4 tầng rộng đẹp, khu hiếm nhà bán. Sổ đỏ cất két, giao dịch ngay. Giá: 4.24 tỷ ( có thương lượng). Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn. ",15/12/2021,Tin thường,batdongsan_so_com_vn_1673835898.2905385, 4,,,,,
"3,44 tỷ VNĐ",Thanh Bình- Hà DDông, 48m2,"Nhỉnh 3 tỷ, 48m2, 4 tầng đẹp, gần ô tô, Thanh Bình, Hà Đông Nhà hiếm đẹp có 1-0-2 trung tâm Quận Hà Đông Quang Trung tuyến phố huyết mạch. Giao thông di chuyển thuận lợi các phố: Yết Kiêu, Nguyễn Trãi, Văn Quán, Trần Phú, Vạn Phúc, Ao Sen, Nguyễn Văn Trỗi, Nguyễn Văn Lộc,..... Nhà được thiết kế công phu, khung cột bê tông đẹp chắc chắn mang phong cách hiện đại ấm cúng. Phòng nào cũng có ban công cửa sổ vô cùng thoáng sáng, view trước nhà rất đẹp, chỉ việc đến ở ngay. Xung quanh đầy đủ tiện ích gần phố: Siêu thị, ngân hàng, trường học, hồ điều hòa, bệnh viện, cạnh chợ bước chân ra phố mua được cả thế giới. Hàng xóm xung quanh toàn công chức thân thiện, nếp sống hiện đại, văn minh. Sổ đỏ chính chủ, pháp lý sạch. Giá: 3.44 tỷ ( có gia lộc). Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.   - Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",15/12/2021,Tin thường,batdongsan_so_com_vn_1673835902.450791, 4,,,,,
"2,76 tỷ VNĐ",Đa Sỹ- Hà Đông, 41m2,"Bán nhà gần bể bơi Đa Sỹ, Hà Đông, 41m, MT 4m, nhỉnh 2 tỷ, gần ô tô, ngõ thông Nhà nằm vị trí đắc địa trung tâm Quận Hà Đông, xung quanh các khu đô thị lớn: Xa La, Văn Phú, Phú Lương, Thanh Hà. Thông thương các phố:Mậu Lương, Yên Xá, Yên Phúc, Tân Triều, Phùng Hưng, gần bến xe bus thuận tiện đi lại. Nhà ngõ rộng thông thoáng, gần đường ô tô, xung quanh nhiều tiện ích: chợ, trường học các cấp, bệnh viện lớn ,ngân hàng... Nhà được thiết kế chuẩn công năng sử dụng, khung cột chắc chắn, phòng nào cũng cửa sổ mở thoáng sáng rất tốt cho sức khỏe, nhà mới chỉ việc xách vali đến ở. Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 2.76 tỷ ( có thương lượng). Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.    - Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn. ",15/12/2021,Tin thường,batdongsan_so_com_vn_1673835904.7329664,, 4,,,,
"6,4 tỷ VNĐ",Quang Trung- Hà Đông, 55m2,"Bán nhà trục chính Quang Trung, Hà Đông, gara ô tô, ngõ thông, 55m2, 5 tầng siêu độc Cần bán ngay nhà đẹp trong tháng, nhà mới cách bố trí phòng cổ điển theo phong cách biệt thự Pháp, các tầng thoáng sáng đày đủ công năng sử dụng. Đường thông thoáng, gara ô tô vào nhà, phố thoáng ô tô chạy vòng quanh, dân trí xung quanh toàn quan chức về đây tụ họp, khu phố văn minh, ở quá yên tĩnh. Xung quanh các chợ, siêu thị, ngân hàng, khu vui chơi, bệnh viện,..không thiếu thứ gì, vài bước chân ra phố mua gì cũng có, tiện ích ngút ngàn. Giao thông di chuyển các hướng: Hà Cầu, Cầu Đơ, Nguyễn Trãi, Ngô Thì Nhậm,Quang Trung, Hoàng Đôn Hòa, Văn Phú..., nhà đẹp khu hiếm. Sổ đỏ chính chủ, sẵn sàng giao dịch. Giá: 6.4 tỷ ( có thương lượng). Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM GẦN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",15/12/2021,Tin thường,batdongsan_so_com_vn_1673835906.5521681, 5,,,,,
"5,6 tỷ VNĐ",Mậu Lương- Hà Đông, 50m2,"Bán nhà Liền kề Mậu Lương, Hà Đông, 50mx5 tầng, vỉa hè, gara ô tô, kinh doanh Đỉnh Tôi cần bán Liền kề Mậu Lương, vị trí cực đắc địa trung tâm, khu vực đẹp nhất phố, bao quanh là trường học, tòa chung cư, sân bóng, chợ,...không thiếu thứ gì. Vỉa hè rộng thoáng, mặt tiền 5m, dân cư tập chung đông đúc, đường thông ô tô chạy vòng quanh tránh nhau, kinh doanh đa dạng các loại hình . Nhà xây rất kiên cố, nội thất sang đẹp, các phòng thoáng sáng, chỉ việc xách vali đến ở. Tiếp giáp các Khu đô thị lớn: Văn Phú, Thanh Hà, Phú Lương, Xa La, Văn Quán,...giao thông quá thuận lợi di chuyển các tuyến phố chính. Giá: 5.6 tỷ ( có thương lượng). Sổ đỏ vuông, pháp lý chuẩn. Liên hệ : 0965472910- 0363703491 ( miễn trung gian).",15/12/2021,Tin thường,batdongsan_so_com_vn_1673835908.6622226, 5,,,,,
"6,4 tỷ VNĐ",Quang Trung- Hà Đông, 55m2,"Bán nhà trục chính Quang Trung, Hà Đông, gara ô tô, ngõ thông, 55m2, 5 tầng siêu độc Cần bán ngay nhà đẹp trong tháng, nhà mới cách bố trí phòng cổ điển theo phong cách biệt thự Pháp, các tầng thoáng sáng đày đủ công năng sử dụng. Đường thông thoáng, gara ô tô vào nhà, phố thoáng ô tô chạy vòng quanh, dân trí xung quanh toàn quan chức về đây tụ họp, khu phố văn minh, ở quá yên tĩnh. Xung quanh các chợ, siêu thị, ngân hàng, khu vui chơi, bệnh viện,..không thiếu thứ gì, vài bước chân ra phố mua gì cũng có, tiện ích ngút ngàn. Giao thông di chuyển các hướng: Hà Cầu, Cầu Đơ, Nguyễn Trãi, Ngô Thì Nhậm,Quang Trung, Hoàng Đôn Hòa, Văn Phú..., nhà đẹp khu hiếm. Sổ đỏ chính chủ, sẵn sàng giao dịch. Giá: 6.4 tỷ ( có thương lượng). Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM GẦN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",15/12/2021,Tin thường,batdongsan_so_com_vn_1673835910.3849978, 5,,,,,
"2,76 tỷ VNĐ",Đa Sỹ- Hà Đông, 41m2,"Bán nhà gần bể bơi Đa Sỹ, Hà Đông, 41m, MT 4m, nhỉnh 2 tỷ, gần ô tô, ngõ thông Nhà nằm vị trí đắc địa trung tâm Quận Hà Đông, xung quanh các khu đô thị lớn: Xa La, Văn Phú, Phú Lương, Thanh Hà. Thông thương các phố:Mậu Lương, Yên Xá, Yên Phúc, Tân Triều, Phùng Hưng, gần bến xe bus thuận tiện đi lại. Nhà ngõ rộng thông thoáng, gần đường ô tô, xung quanh nhiều tiện ích: chợ, trường học các cấp, bệnh viện lớn ,ngân hàng... Nhà được thiết kế chuẩn công năng sử dụng, khung cột chắc chắn, phòng nào cũng cửa sổ mở thoáng sáng rất tốt cho sức khỏe, nhà mới chỉ việc xách vali đến ở. Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 2.76 tỷ ( có thương lượng). Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.    - Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",15/12/2021,Tin thường,batdongsan_so_com_vn_1673835915.030866,, 4,,,,
