price,address,Diện tích,Mặt tiền,Details,Ngày đăng,Loại tin,id,Hướng,Lộ giới,Số tầng,Số phòng ngủ,Số toilet
"2,1 tỷ VNĐ","Kính Nỗ, Uy Nỗ, Đông Anh, Hà Nội", 48m2, 4,"+ Nhỉnh 2 tỷ có ngay hàng hiếm 48m2 Kính Nỗ, Uy Nỗ, Đông Anh. + Mặt tiền 4,8m khổ đất vuông vắn, đường rộng ô tô thông tứ phía. + Bán kính 500m chợ, trường học cấp 1,2,3 Đông Anh, bệnh viện Bắc Thăng Long, Đông Anh, Hà Nội. + 5 phút đi xe tới Trung tâm huyện Đông Anh. + Phù hợp cho anh chị xây nhà kinh doanh và đầu tư. + Sổ đỏ chính chủ, pháp lý chuẩn sẵn sàng giao dịch. + Liên hệ: 0828212662 (Mr. Đức Anh) hỗ trợ 24/7.",24/11/2022,Tin thường,batdongsan_so_com_vn_1673786251.2346182,,,,,
86 tỷ VNĐ,"Đường Lê Hồng Phong, Điện Biên, Ba Đình", 149m2, 7,"Bán nhà mặt phố Lê Hồng Phong, Ba Đình, diện tích 150m², mặt tiền 7.5m, 8 tầng khang trang, giá 86 tỉ, thương lượng,Tòa nhà tọa lạc tại vị trí trung tâm quyền lực quận Ba Đình, nơi tập trung các Đại Sứ Quán, Cơ Quan Chính Phủ, thông các ngả đi Hoàng Diệu, Lê Hồng Phong, Kim Mã...thiết kế hiện đại, thanh máy nhập khẩu, vỉa hè đá bóng, chủ mới về thoải mái thiết kế concept theo ý muốn,Sổ đỏ nở hậu, chính chủ, sẵn sàng giao dịch, LH: 0909 160786",24/11/2022,Tin thường,batdongsan_so_com_vn_1673786252.2927887, Đông nam, 10, 8, 6, 6
"2,7 tỷ VNĐ","Đường Thạch Cầu, Long Biên, Long Biên", 40m2, 4,"
    Chính chủ , bán nhà Thạch Cầu , Long Biên , Hà Nội+Đường thông , ô tô đỗ cửa+ 40m2 , 3 tầng , mặt tiền 4,1 m+ Thiết kế hiện đại ,nội thất đẹp*** Sổ đỏ chính chủ (2,7 Tỷ)Liên hệ chủ nhà: 0923846062
",24/11/2022,Tin thường,batdongsan_so_com_vn_1673786253.2322762,, 3, 3, 3, 3
7 tỷ VNĐ,"Đường Hồ Tai Trâu, Ngọc Lâm, Long Biên", 60m2, 4,"
    Chính chủ , bán đất , mặt HỒ TAI TRÂU , LONG BIÊN , HÀ NỘI+ VIEW , đẹp nhất Hồ , phong thủy , hiền hòa+Khu vực tầm nhìn đang phát triển mạnh , của quận Long Biên, theo QUY HOẠCH , đường HỒNG TIẾN ,kéo dài+60.5 M2, mặt tiền 4M ( 7 Tỷ)+Sổ đỏ chính chủLiên hệ chủ nhà : 0923846062
",24/11/2022,Tin thường,batdongsan_so_com_vn_1673786261.7854762,,,,,
"7,5 tỷ VNĐ","Đường Tôn Đức Thắng, Ô Chợ Dừa, Đống Đa", 38m2, 3,"bán nha tôn đuc thang-đông đa- mat ngõ -ô tô- 7 ty x diên tich 38 m2 4 tầng, đây đủ công năng cách mặt phố tôn đuc thắng 70 m. sổ đỏ chính chủ  lh; mr Khải ",24/11/2022,Tin thường,batdongsan_so_com_vn_1673786262.844646,, 6, 4, 4, 4
"17,6 tỷ VNĐ","Đường Dương Khuê, Mai Dịch, Cầu Giấy", 50m2, 4," Cần bán mảnh đất Mặt Phố Dương Khuê, Diện tích 50m2,mặt tiền 4.6 mét- Vị trí víp nhất phố, kinh doanh sần uất ngày đêm, Giao thông thuận tiện kết nối với các đường Lê Đức Thọ, Hồ Tùng Mậu, Cầu Diễn, Phạm Hùng, Phạm Văn Đồng.- Vỉa hè rộng, đường ô tô tránh, dừng trước nhà thoải mái.khu vực kinh doanh gì cũng đỉnh- Sổ đỏ vuông vắn, sẵn sàng giao dịch- Mua đất liên hệ Thiên Thư 0916293888  ",24/11/2022,Tin thường,batdongsan_so_com_vn_1673786263.9058044,, 12,,,
"21,5 tỷ VNĐ",Đinh Tiên Hoàng Hoàn Kiếm Hà Nội, 102m2, 4,"- Diện tích 102m2 X3 Tầng. Mt 4.2m. Giá bán 215 Tỷ ( có thương lượng ) - Vị trí đẹp nhà hai mặt phố , mặt trước là Đinh Tiên Hoàng Nhìn thẳng ra Hồ Hoàn Kiếm ngay cạnh Cầu thê Húc còn mặt sau là Phố Cầu gỗ ,kinh doanh buôn bán ngày đêm. - Hồ Hoàn kiếm là một vị trí tuyệt đẹp trong lòng người dân Việt Nam cũng như du khách trên thế giới khi ghé thăm đất nước Việt Nam! - Chủ xác định bán đất tặng nhà nên không có nhiều mô tả! - đây là khu phố được phép xây dựng nhà cao tầng không phải là khu phố bảo tồn nhà cổ nên khi khách hàng mua xây rất dễ xin giấy phép xây dựng. - Hiện trạng nhà đang cho thuê! - Sổ đỏ chính chủ sẵn sàng giao dịchLiên hệ em Quân để được tư vấn0385 94 1802Miễn ( TG Quảng Cáo ) - Diện tích 102m2 X3 Tầng. Mt 4.2m. Giá bán 215 Tỷ ( có thương lượng ) - Vị trí đẹp nhà hai mặt phố , mặt trước là Đinh Tiên Hoàng Nhìn thẳng ra Hồ Hoàn Kiếm ngay cạnh Cầu thê Húc còn mặt sau là Phố Cầu gỗ ,kinh doanh buôn bán ngày đêm. - Hồ Hoàn kiếm là một vị trí tuyệt đẹp trong lòng người dân Việt Nam cũng như du khách trên thế giới khi ghé thăm đất nước Việt Nam! - Chủ xác định bán đất tặng nhà nên không có nhiều mô tả! - đây là khu phố được phép xây dựng nhà cao tầng không phải là khu phố bảo tồn nhà cổ nên khi khách hàng mua xây rất dễ xin giấy phép xây dựng. - Hiện trạng nhà đang cho thuê! - Sổ đỏ chính chủ sẵn sàng giao dịchLiên hệ em Quân để được tư vấn0385 94 1802Miễn ( TG Quảng Cáo )",24/11/2022,Tin thường,batdongsan_so_com_vn_1673786264.901141,,, 3, 3, 3
"6,45 tỷ VNĐ","Đường Phú Viên, Bồ Đề, Long Biên", 52m2, 5,"GARA Ô TÔ - LÔ GÓC - VÀI BƯỚC RA PHỐ - GẦN CẦU CHƯƠNG DƯƠNG - NHÀ MỚI ĐẸP ĐÓN TẾT.  Vị trí: - Ngõ 1 Phú Viên, mặt ngõ là đê, kinh doanh, từ nhà lên đê 20m, vài phút qua phố cổ. - Ngõ rộng, ô tô đỗ cửa vào nhà, sinh hoạt tiện lợi, vài bước ra phố ô tô tránh, ngõ thẳng tắp. Khu vực dân trí cao, an ninh chất lượng. - Tiện ích ngập tràn, bệnh viện, tttm, cây xăng, trường học các cấp.  Thiết kế: * Nhà xây 4 tầng mới đẹp. Lô góc mở cửa rất thoáng. Mặt tiền rộng, xe 7 chỗ ra vào thoải mái. - Tầng 1: PK, Bếp WC.  - Tầng 2,3: Mỗi tầng 2 PN và WC. - Tầng 4: 1 Phòng + Phòng thờ sân phơi. Pháp lý chuẩn, sổ đỏ vuông đét, cực đẹp, chờ sang tên chủ mới. ☎️ Liên hệ ngay để được tư vấn xem sổ và nhà (không giới hạn số lượng).",24/11/2022,Tin thường,batdongsan_so_com_vn_1673786265.9453912,, 1, 4, 5, 3
"3,3 tỷ VNĐ","Đường Quốc lộ 32, Di Trạch, Hoài Đức", 48m2, 4,"
    Cực Hot Duy nhất 1 căn có 1 0 2 Cần Bán Nhà Di Trạch, Hoài Đức 48m 4 tầng chỉ 3,x tỷ
Nhà mới đẹp sẵn xách đồ về ở luôn, Nhà mới vững chắc, tặng full nội thất. 3,x tỷ ( x mầm non)
+Thiết kế, tối đa công năng sử dụng, 2 mặt thoáng.
+Vị trí đẹp, tiện ích, gần Trường học cấp 1, 2, 3, gần chợ, An ninh cực tốt. Tiện cho việc học tập của các cháu
- Căn nhà vị trí đẹp và được hưởng trọn hết các tiện ích xung quanh. 1 bước ra Phố Lai xá Phát triển Sầm uất.
Nằm sát mặt Đường Quốc lộ 32, Xuân phương, vành đai 3.5 ,Rất thuận tiện cho việc đi lại, gần ngay chợ Lai xá, rất thuận tiện cho việc nội trợ. Gần Trường Đại học Đại Học Thành Đô, Đại Học Công nghiệp Hà Nội.
- Sổ CC, sang tên nhanh gọn, Giá thương lượng, chủ thiện chí.
+ Xem nhà gọi Mr Đức Nhà Đẹp. Rất nhiều nhà đẹp phù hơp mọi nhu cầu Anh Chị Em.
",24/11/2022,Tin thường,batdongsan_so_com_vn_1673786274.429101,, 3, 4, 3, 2
5 tỷ VNĐ,"Số 55 Nguyễn Văn Giáp, Cầu Diễn, Nam Từ Liêm, Hà Nội", 110m2,,"Bán Căn Hộ 3 Ngủ View Đẹp Dự Án Hoàng Thành Pearl-Thiết kế: 3 ngủ; 2 vệ sinh; 2 ban công; 1 logia-Diện tích thông thủy: 110m2-Nội thất: Gần như full cao cấp-Bàn giao nhà: Quý I năm 2024-Chiết khấu ngay 3,5%-Quà tặng nội thất 100 triệu-Thanh toán theo 12 đợtLiên hệ Em Vân Anh: 0977.568.223",24/11/2022,Tin thường,batdongsan_so_com_vn_1673786275.5032728, Đông nam,,, 3, 2
,vũ lăng thanh trì, 53m2,,cần bán gấp căn kiot iec thanh trì cách bến xe nước ngầm 2km ,24/11/2022,Tin thường,batdongsan_so_com_vn_1673786276.5315223,,,,,
"3,9 tỷ VNĐ",Xa La- Hà Đông, 48m2,,"Bán nhà Xa La, Hà Đông 48m, 4 tầng ô tô tránh 10m ngõ nông hơn 3 tỷ Bán nhà riêng chính chủ để chia tài sản cho các con, giá đầu tư tốt nhất khu vực thông số đẹp diện tích 48m nhà 4 tầng thoáng sáng ngõ nông cách ô tô tránh chỉ 10m. Bán kính xung quanh nhà hưởng trọn tiện ích Khu đô thị Xa La nhà cạnh chợ, trường học các cấp, bệnh viện Quân y 103, Viện Bỏng,…hàng xóm thân thiện, ở cực tĩnh. Giao thông giáp Đa Sỹ sang Mậu Lương gần Thanh Trì hàng xóm Yên Xá lên Văn Quán. Xung quanh toàn các Khu đô thị hiện đại Kiến Hưng, Thanh Hà, Phú Lương, Văn Phú. Sổ vuông sẵn sàng giao dịch. Giá: 3.9 tỷ ( gia lộc). Liên hệ : Huyền Ba La Sat Thổ cư ( 0363703491- 0965472910) – Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",24/11/2022,Tin thường,batdongsan_so_com_vn_1673786277.6365662,,, 4,,
"3,25 tỷ VNĐ","Đường Thanh Lãm, Phú Lãm, Hà Đông", 40m2, 3,"
    - Chính chủ gửi e Giao bán lô đất dt 40m tại phường Phú Lãm - Hà Đông. 2 mặt ngõ thông thoáng, nở hậu. Ô tô vào tận đất, 10m ra vị trí đỗ ngày đêm, 30m ra đường xe tải tránh, 100m ra đường QL 21B. 
Khu vực trung tâm phố Xốm, trường học các cấp như Đh Đại Nam, Cđ Thương Mại, cấp 1-2-3, mầm non đầy đủ, chợ Xốm, siêu thị ngập tràn, mọi dịch vụ tiện ích k thiếu thứ gì. Khu dân trí cao, an ninh tốt...
Lh E để xem vị trí và tư vấn miễn phí
 E Giao chuyên thổ cư Hà Đông
",24/11/2022,Tin thường,batdongsan_so_com_vn_1673786278.6169446,,,,,
