price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Mặt tiền,Hướng,Lộ giới,Số tầng,Số phòng ngủ,Số toilet
"3,25 tỷ VNĐ",Trương Định, 45m2,"Gọi ngay: Hoàng Anh Homes: 0936060682 (nhà đẹp, thông tin chuẩn, uy tín) Chủ nhà đã mua nhà mới trên phố cổ, thiện chí bán nhanh Ngõ nông, rộng thoáng, 10m ra mặt đường ô tô tránh Mảnh đất rất đẹp, vuông vắn, phù hợp khách mua xây ở, hoặc đầu tư giữ tiền thì tuyệt vời. Sổ đỏ vuông vắn. Giá chỉ 3 Tỷ 25 (còn thương lượng) Gọi ngay: Hoàng Anh Homes 0936060682 (xem nhà miễn phí, phục vụ 24/24)",24/11/2022,Tin thường,batdongsan_so_com_vn_1673786305.5684023,,,,,,
170 triệu VNĐ,"Đường Nguyễn Khang, Trung Hòa, Cầu Giấy", 150m2,"
    Đất nền Thanh Hoá - Chỉ từ 190tr/lôĐất nền Phú Thọ - Chỉ từ 300tr/lô
Đất nền Thanh Hoá - Chỉ từ 190tr/lôĐất nền Phú Thọ - Chỉ từ 300tr/lô
Đã có sổ theo từng lô - Full thổ cư
Hạ tầng hoàn thiện sẵn sàng ra hợp đồng và sang tên
đất nền Thanh Hoá- đất nền giá rẻđất nền Phú Thọ- đất nền giá rẻhttps://batdongsanhungvuong.vnhttps://datnenthanhhoagiare.blogspot.com/HÙNG VƯƠNG GROUP hungvuonggroupLiên hệ ngay: 0969110390
",24/11/2022,Tin thường,batdongsan_so_com_vn_1673786321.7031925, 6,,,,,
"2,6 tỷ VNĐ",ngõ 1137 quang trung hà đông hà nội, 31m2,"
    Chính chủ bán gấp căn nhà 5 tầng
Dt 31m
Mt 3.3m vuông đẹp như bao diêm
Vị trí thuộc tổ 3 Yên Nghĩa Hà Đông
Sát vòng xuyến vành đai 4 với ql6
Phía sau là khu sinh thái đồng mai hà đông
Chỉ cách ql6 khoảng 80m
Ngõ cực to và rộng tầm 3m đối diện TGDD
Tiện ích xung quanh không thiếu gì
Xung quanh toàn nhà biệt thự
Dân trí cao an ninh đảm bảo tuyệt đối
Đi bộ ra bến xe Yên Nghĩa chỉ 5 phút
Tàu điện trên cao sát mông
Hiện tại đang cho thuê 5tr một tháng
Sổ đỏ chính chủ đi giao dịch ngay
Cam kết k quy hoạch k chanh chấp
Giá đầu tư 2.6 tỷ.
Lh 0345404040
",19/11/2022,Tin thường,batdongsan_so_com_vn_1673786322.8431158, 3, Đông nam, 3, 5, 5, 5
"8,9 tỷ VNĐ",CIPUTRA, 70m2,"Suất ngoại giao shop khối đế Sunshine City vào tên trực tiếp từ CDT Sunshine Group.- Với vị trí đẹp, mặt tiền đường 40m, nằm trong khuôn viên của KĐT Ciputra đẳng cấp.Diện tích từ 70m² đến 307 m².- Chỉ có 10 suất shophouse, chân đế giá tốt vị trí đẹp.Chiết khấu 26%, miễn phí dịch vụ 2 năm.Giá chỉ 8.x tỷ / căn 2 tầng - Quy hoạch trong 3 năm sắp tới rất nổi bật và hiệu quả kinh doanh cao khi các dự án dọc đường 40m xong (Crystal, Golden River, Wonder Villas, offitel... ) sẽ trở thành 1 trục đường kinh doanh của Ciputra và Tây Hồ.- Các lô thương mại thiết kế vô cùng hợp lý, với 2 tầng phục vụ tất cả ngành hàng: Cafe, nhà hàng, trung tâm giáo dục...- Bàn giao thiết bị trong shophouse full đầy đủ, nhà đầu tư có thể vào sử dụng luôn mà không cần mất tiền sửa chữa.",24/11/2022,Tin thường,batdongsan_so_com_vn_1673786323.8953855, 5,, 40, 2, 2, 2
"5,55 tỷ VNĐ","Đường Quang Trung, Quang Trung, Hà Đông", 40m2,"
    

* Vị trí: 
 
- Phố Quang Trung kinh doanh tấp nập đủ mọi loại hình.
 
- Nhà nằm trên mặt phố kinh doanh sầm uất, mặt tiền rộng.
 
- Nhà 4 tầng,  tầng 1,2  kinh doanh.
 
- Chủ nhà đang cần tiền làm ăn nên bán gấp cho khách thiện chí.
 
+ Sổ đỏ chính chủ, chủ đang cầm trong tay, sẵn sàng giao dịch ngay phút mốt.
 
Liên hệ: Công 0931706698 để xem nhà.
Chú ý: không tiếp môi giới, trung gian.
",24/11/2022,Tin thường,batdongsan_so_com_vn_1673786324.9425843, 4,, 20, 4, 4, 4
"5,2 tỷ VNĐ","Đường Vũ Trọng Phụng, Nhân Chính, Thanh Xuân", 62m2,"-Cần vốn đầu tư chuỗi cửa hàng ăn uống, cần bán gấp căn nhà tại phố Vũ Trọng Phụng quận Thanh Xuân, tiếp giáp các phố Quan Nhân, Nhân Hòa, Nguyễn Trãi, Ngụy Như Kon Tum, Lê Văn Lương -Nhà 5 tầng với 5 ngủ, công năng tiện ích đầy đủ phù hợp với mọi nhu cầu ở hoặc cho thuê, kinh doanh online… -Vị trí đẹp, trung tâm quận Thanh Xuân, dân cư đông đúc, gần nhiều tòa chung cư, văn phòng, cực kỳ sầm uất. -Cách Royal 3 phút đi xe đạp, ngay đó là trung tâm Ngã Tư Sở, lên phố cổ chỉ 15p di chuyển. -Sổ đỏ chính chủ, nở hậu, giao dịch ngay -Chủ cần bán gấp để đầu tư chuỗi nhà hàng đồ nướng. -Anh/chị xem nhà liên hệ ngay em : Phước Đức -Để được xem nhà sớm nhất và không bỏ lỡ cơ hội này. -Zalo/Call : Không ba sáu chín sáu 9999 tám",24/11/2022,Tin thường,batdongsan_so_com_vn_1673786325.9289792,,, 3, 5, 5,
"9,2 tỷ VNĐ","Đường Đỗ Đức Dục, Mễ Trì, Nam Từ Liêm", 45m2,"+ Chính chủ cần bán nhà diện tích 45m2 x 6 tầng MT Rộng giá 9.2 tỷ.  + Nhà mới 6 tầng thông sàn, móng 10 tầng, ô chờ thang máy. Khách mua về bỏ thêm 200 - 300 triệu lắp thang máy thì quá đẹp. + Ngõ thông, ô tô tránh, sầm uất, kinh doanh bất chấp. + Khu vực đang phát triển mạnh, gần khách sạn Marriot, gần trường, gần chợ. + Sổ đỏ chính chủ, sẵn sàng giao dịch. + LH,Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất,thổ địa hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7",24/11/2022,Tin thường,batdongsan_so_com_vn_1673786326.977223, 5,, 10, 6, 6,
"3,39 tỷ VNĐ","Đường A, Đông Dư, Gia Lâm", 42m2,"- Bán đất Đông Dư 42m², ôtô tránh thông có vỉa hè. Đường rộng, xung quang không gian rất thoáng, đầy đủ tiện ích. - 100m ra đường to đi Ecopark, ngay gần Vin Ocean Parl, sang năm 2023 Gia Lâm lên Quận. - Mặt tiền 4,64 m hậu 4,66 m (nở hậu, hướng Tây Nam). - Nhà ngay sát trường mầm non, cấp 1, cấp 2, chợ, UBND xã Đông Dư, hồ điều hoà, vườn hoa... Giá 3,4 tỷ có thương lượng. Chính chủ liên hệ Mr Thao: 0976616611. Bán trực tiếp cho khách cần mua; không hợp tác Môi giới và trung gian.",24/11/2022,Tin thường,batdongsan_so_com_vn_1673786328.044402, 4,,,,,
"3,75 tỷ VNĐ","Kim ngưu , hai bà trưng", 46m2,"   Bán Nhà Riêng Ngõ 203 Kim Ngưu Kim Ngưu DT 46m2, Giá 3.75 Tỷ.  - Nhà xây 4 tầng, rất chắc chắn. Khách mua về sơn sửa nhẹ lại là đẹp như mới.  - Nhà Thoáng 2 mặt trước sau, nên phòng nào cũng có cửa sổ thoáng mát. - Thiết kế: + Tầng 1: Khách, Bếp, Sân sau và WC. + Tầng 2,3: Mỗi tầng 2 PN và WC.( Tổng 4 ngủ) + Tầng 4: Phòng thờ và sân phơi rộng. - Đường vào nhà rộng, đẹp, rất thoáng, sạch sẽ.  - Hàng xóm cực thân thiện, hòa đồng. - Sổ đỏ vuông đẹp, cất két.    Lh:0903854881",31/03/2022,Tin thường,batdongsan_so_com_vn_1673786333.9870694, 6,,, 4, 4, 4
"4,95 tỷ VNĐ",lĩnh nam, 48m2,"Bán Nhà Riêng Lĩnh Nam, Ngõ Thông, Ô Tô Tránh, Kinh Doanh, DT 48m2, Giá 4.95 tỷ Bán nhà riêng Lĩnh Nam, diện tích 48m2 x 4 tầng ,giá 4.95 tỷ . - Nhà xây 4 tầng, khung cột bê tông chắc chắn, khách mua về muốn lên thêm tầng thoải mái. - Thiết kế đẹp , cầu thang giữa, tất cả các phòng đều có cửa sổ kèm theo giếng trời nên trong nhà rất thoáng sáng.- Vị trí nhà thuộc mặt ngõ thông, kinh doanh, đường trước nhà rộng 2 ô tô tránh nhau, sửa lại cửa là ô tô vào nhà.- Phù hợp với vừa ở vừa mở cửa hàng kinh doanh vô cùng thuận tiện. + Tầng 1: Sân để xe, Phòng Khách, bếp, ,Wc+ Tầng 2,3: Mỗi tầng 1 Phòng ngủ to, 1 Phòng nhỏ , WC.+ Tầng 4:  Phòng thờ, Sân phơi.  Sổ đỏ cất két chờ giao dịch.",30/03/2022,Tin thường,batdongsan_so_com_vn_1673786334.86172,,,, 4, 4, 3
