price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số toilet,Details,Ngày đăng,Loại tin,id,Số phòng ngủ
125 tỷ VNĐ,"Đường Lạc Long Quân, Nhật Tân, Tây Hồ", 194m2, 26, 50, 7, 7,"
    LÔ GÓC - 2 MẶT TIỀN - SÁT VÁCH LOTTE - 1 HẦM 5 NỔI - 1 TUM KHU BIỆT THỰ ĐẲNG CẤP SỐ 1 THỦ ĐÔ
Tòa Văn phòng D5 Vườn Đào vip nhất khu Võ Chí Công - Tây Hồ.
- Căn góc vip, vị trí đẹp nhất phố, Đường và vỉa hè rộng thông thoáng, để ô tô và xe máy số lượng lớn.
- Trên đất là toà building Văn phòng.
- Hiện đang cho 1 tập đoàn thuê làm trụ sở tập đoàn.
- Thích hợp cho tổ chức cá nhân mua làm trụ sở cty, VP,Nhà Hàng,Cafe
- Đang cho thuê: 6.500 usd/1 tháng
- Sổ đỏ nét căng
Liên hệ Mr Kiên 0332999689 Chuyên gia BĐS Hà Nội để xem nhà miễn phí
",19/11/2022,Tin thường,batdongsan_so_com_vn_1673787011.8521273,
"4,5 tỷ VNĐ","Đường Đội cấn, Ngọc Hà, Ba Đình", 38m2, 5, 4, 5, 4,"
    
Bán nhà đẹp gần ôtô 5tầng mt 5m ngõ 279 Phố Đội Cấn Ba Đình nhỉnh 4tỷ (4)

GẦN OTO - TRUNG TÂM -THOÁNG TRƯỚC SAU

- Nhà thuộc ngõ VIP ôtô tránh 279 Đội Cấn thông 173 Hoàng Hoa Thám lõi Ba Đình giao thông thuận lợi, tiện ích phong phú, khu dân trí cao, an ninh, khách nước ngoài cực kỳ ưa thích tìm kiếm thuê ở và làm việc...
Thiết kế:
- Tầng 1:phòng khách +bếp
- Tầng 2+3+4: 3 phòng ngủ
- Tầng 5: phòng thờ + sân phơi
- Sổ đẹp, vuông vắn, sẵn sàng giao dịch.
Chú ý:
1. LH: A. Hoàng Anh 0393265766 (xem nhà miễn phí)
2. Giá niêm yết có thương lượng cho khách hàng thiện chí.
3. Hỗ trợ tài chính cho vay mua nhà đến 70% giá trị căn nhà, lãi suất thấp nhất thị trường.
4. Hỗ trợ BHNT Chubblife kế hoạch tài chính, an sinh, bảo vệ trọn đời đến 99 tuổi.
5. Môi giới, trung gian, quảng cáo mạng miễn làm phiền dưới mọi hình thức xin chân thành cảm ơn!
",19/11/2022,Tin thường,batdongsan_so_com_vn_1673787012.9890862, 3
"6,5 tỷ VNĐ","Đường Đình Thôn, Mỹ Đình 1, Nam Từ Liêm", 142m2, 4, 10, 1, 3,"Chính chủ cần bán căn hộ 4 ngủ chung cư The Emerald, Mỹ Đình 1, Nam Từ Liêm - Địa chỉ: chung cư The Emerald, Lô CT08, Mỹ Đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội - Diện tích 142 m2 gồm 4 ngủ, 3 WC, tầng 12, toà E1 - View sân Mỹ Đình Full nội thất, đã thay sàn gỗ Thuỵ Sĩ, làm lại trần thạch cao, giường tủ gỗ Sồi, phòng ăn rộng rãi - Giá bán: 6,5 tỷ Liên hệ chính chủ: 0968103680",19/11/2022,Tin thường,batdongsan_so_com_vn_1673787014.0372815, 4
200 triệu VNĐ,"Đường Nguyễn Khang, Trung Hòa, Cầu Giấy", 250m2, 10,,,,"Đất nền Thanh Hoá - Chỉ từ 170tr/lôĐất nền Phú Thọ - Chỉ từ 300tr/lô
Đã có sổ theo từng lô - Full thổ cư
Hạ tầng hoàn thiện sẵn sàng ra hợp đồng và sang tên
https://batdongsanhungvuong.vnhttps://datnenthanhhoagiare.blogspot.com/HÙNG VƯƠNG GROUP hungvuonggroupLiên hệ ngay: 0966149534
",19/11/2022,Tin thường,batdongsan_so_com_vn_1673787015.1393356,
"3,28 tỷ VNĐ","đương ngô gia tự, phường đức giang, quận long biên, hà nội", 35m2,,, 5,,"Chuyển Công Tác Bán Nhà Ngô Gia Tự, Long Biên 35m2, 5T giá 3,28 tỷ  - Tầng 1: Phòng khách + bếp. - Tầng 2, 3, 4: Mỗi tầng 1 phòng khép kín, tổng 3 phòng ngủ. - Tầng 5: Phòng thờ + sân phơi.  Nhà xây dựng chắc chắn, công năng bố trí hợp lý, ngõ gần ô tô đỗ. Xung quanh gần chợ, trương học cấp 1,2 và các tổ hợp dịch vụ kinh doanh sầm uất ngày đêm. Thuận tiện đi các hướng như ra đường Ngô Gia Tự, Hoa Lâm, Lệ Mật, Ô Cách, Vũ Đức Thận, bán kính không xa là Big C Long Biên…khu vực Vip của Quận Long Biên. Lh ngay cho Mr Tùng : 0965 722 358",19/11/2022,Tin thường,batdongsan_so_com_vn_1673787016.1167834, 3
"3,28 tỷ VNĐ","đương ngô gia tự, phường đức giang, quận long biên, hà nội", 35m2,,, 5,,"Chuyển Công Tác Bán Nhà Ngô Gia Tự, Long Biên 35m2, 5T giá 3,28 tỷ  - Tầng 1: Phòng khách + bếp. - Tầng 2, 3, 4: Mỗi tầng 1 phòng khép kín, tổng 3 phòng ngủ. - Tầng 5: Phòng thờ + sân phơi.  Nhà xây dựng chắc chắn, công năng bố trí hợp lý, ngõ gần ô tô đỗ. Xung quanh gần chợ, trương học cấp 1,2 và các tổ hợp dịch vụ kinh doanh sầm uất ngày đêm. Thuận tiện đi các hướng như ra đường Ngô Gia Tự, Hoa Lâm, Lệ Mật, Ô Cách, Vũ Đức Thận, bán kính không xa là Big C Long Biên…khu vực Vip của Quận Long Biên. Lh ngay cho Mr Tùng : 0965 722 358",19/11/2022,Tin thường,batdongsan_so_com_vn_1673787017.206906, 3
"7,4 tỷ VNĐ","Đường Thái Hà, Trung Liệt, Đống Đa", 46m2,, 4, 5, 4,"CHỦ GỬI BÁN NHÀ THÁI HÀ. PHÂN LÔ VIP KHU VỰC HIẾM NHÀ BÁN. MẶT TIỀN 4M Mô tả: + Nhà thiết kế 5 tầng 6 phòng ngủ khung cột chắc chắn (ảnh chụp thật 100%) + Khu phân lô, xung quanh toàn văn phòng, + Trước cổng nhà ô tô tránh, vỉa hè rộng + Mặt tiền 4m trước cửa là khoảng sân rộng 3m, sổ phân lô Anh/chị liên hệ em Hùng Nhà Tốt: 094 665 8282 ( Đàm phán trực tiếp với chủ nhà-Miễn trung gian-Xem nhà miễn phí 24/7)",19/11/2022,Tin thường,batdongsan_so_com_vn_1673787018.1992118, 6
200 triệu VNĐ,"Đường Nguyễn Khang, Trung Hòa, Cầu Giấy", 250m2, 10,,,,"Đất nền Thanh Hoá - Chỉ từ 170tr/lôĐất nền Phú Thọ - Chỉ từ 300tr/lô
Đã có sổ theo từng lô - Full thổ cư
Hạ tầng hoàn thiện sẵn sàng ra hợp đồng và sang tên
https://batdongsanhungvuong.vnhttps://datnenthanhhoagiare.blogspot.com/HÙNG VƯƠNG GROUP hungvuonggroupLiên hệ ngay: 0966149534
",19/11/2022,Tin thường,batdongsan_so_com_vn_1673787019.2404268,
"13,2 tỷ VNĐ","Nhà 5 tầng tại Nghi Tàm, Tây Hồ, gara ô tô đường 2 xe tải tránh 13,2 tỷ; 0944498989", 98m2,,,,,"Nhà 5 tầng tại Nghi Tàm, Tây Hồ, gara ô tô đường 2 xe tải tránh 13,2 tỷ; 0944498989Nhà nằm mặt ngõ, đường 2 xe tải tránh, ngay cạnh Cục Quân Y - đảm bảo an ninh. Khu vực dân cư dân trí cao, giao thông thuận tiện. Nhà phù hợp ở hoặc kinh doanh đều đẹp. Cách 100m ra mặt phố Nghi Tàm.Thiết kế 4 tầng + 1 tum:+ Tầng 1: Gara ô tô riêng biệt + bếp + phòng ăn + sân to 40m².+ Tầng 2.3.4: Mỗi tầng 2 phòng + 1 phòng tắm/vệ sinh.+ Tầng 5: Tum và sân thượng.Sổ đỏ chính chủ, gia chủ làm ăn có lộc muốn đổi nhà to hơn.Diện tích: 98m2. Mặt tiền 6 mGiá: 13.2 tỷ, có thương lượng.Liên hệ: Em Duy 0944498989     http://www.sanbatdongsanviet.com.vn",19/11/2022,Tin thường,batdongsan_so_com_vn_1673787020.3484764,
"5,1 tỷ VNĐ","Đường Kim Hoa, Phương Liên, Đống Đa", 56m2,, 4, 7, 6,"CHỦ GỬI BÁN CC MINI PHỐ KIM HOA CẠNH CÔNG VIÊN THỐNG NHẤT. KHU VỰC GẦN CÁC TRƯỜNG ĐẠI HỌC ""BÁCH-KINH-XÂY' Mô tả: +Ngõ taxi chạy, trước nhà ba gác đỗ cửa  +7 tầng thang máy, full nội thất xịn xò( ảnh thật 100% )
+ Nhà thiết kế 6 tầng 1 tum:
- Tầng 1 khu để xe, 1 phòng khép kín
- Tầng 2,3,4 mỗi tầng gồm 2 phòng đang cho thuê kín phòng. Nếu cho thuê cả nhà doanh thu đạt 60 triệu/ tháng. 
- Tầng 5 gồm 2 phòng ngủ, 1 vệ sinh, 1 phòng đọc sách. 
- Tầng 6 phòng khách, phòng bếp.
- Tầng 7 chủ thiết kế sân vườn với 3 mặt thoáng, tại đây rất thích hợp tổ chức các buổi tiệc BBQ, thưởng trà ngắm phố…..
Anh/chị đầu tư liên hệ em Hùng Nhà Tốt: 094 665 8282 ( Đàm phán trực tiếp với chủ nhà-Miễn trung gian-Xem nhà miễn phí 24/7)",19/11/2022,Tin thường,batdongsan_so_com_vn_1673787021.3408365, 9
