price,address,Diện tích,Mặt tiền,Details,Ngày đăng,Loại tin,id,Số tầng,Lộ giới,Số phòng ngủ,Số toilet,Hướng
"8,2 tỷ VNĐ",Trần Đăng Ninh- Hà Đông, 50m2, 5,"Bán đất mặt phố Trần Đăng Ninh, Hà Đông kinh doanh 50m, MT 5m hơn 8 tỷ Chị tôi chính chủ bán đất mặt phố Trần Đăng Ninh, Hà Đông gần Quận uỷ, Nhà thi đấu giao thông thuận tiện cách mặt phố Quang Trung chỉ 50m với thông số vàng diện tích 50m, mặt tiền rộng 5m xây lên 7 tầng thang máy đẹp nhất khu Vị trí đắc địa mặt phố thông tứ tung đường ô tô tránh có vỉa hè kinh doanh đỉnh cao kết hợp ở hoặc làm văn phòng. Giao thông thuận lợi hàng xóm Hoàng Đôn Hoà ra Lý Thường Kiệt đối diện Ngô Thì Nhậm sang phường Hà Cầu. Giá: 8.2 tỷ ( gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910) - Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn. ",14/11/2022,Tin thường,batdongsan_so_com_vn_1673787890.3956735,,,,,
"3,6 tỷ VNĐ",Mỗ Lao- Hà Đông, 35m2,,"Bán nhà Mỗ Lao, Hà Đông 35m, 4 tầng ngõ nông gần ô tô hơn 3 tỷ Chính chủ chị tôi bán nhà Mỗ Lao, Hà Đông tầm tiền rất hiếm với diện tích rộng 35m thiết kế 4 tầng thoáng sáng đầy đủ công năng, nội thất hiện đại, ngõ nông gần ô tô ở ngay. Bán kính xung quanh nhà gần chợ, gần hồ sinh thái hưởng tiện ích Khu đô thị. Khu vực trung tâm di chuyển thuận lợi ra bến xe gần tàu điện, bệnh viện, bưu điện xung quanh nhiều trường đại học lớn. Giao thông trục chính hàng xóm Văn Quán gần Yết Kiêu cắt Quang Trung ra Nguyễn Trãi xuống Vạn Phúc sang Phúc La. Sổ vuông sẵn sàng giao dịch. Giá: 3.6 tỷ ( gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910) - Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.  ",14/11/2022,Tin thường,batdongsan_so_com_vn_1673787891.7201302, 4,,,,
"3,5 tỷ VNĐ",Vạn Phúc- Hà Đông, 35m2,,"Bán nhà Vạn Phúc, Hà Đông 35mx4 tầng ngõ nông gần phố nhỉnh 3 tỷ Cô tôi chính chủ bán nhà Vạn Phúc, Hà Đông cực đẹp nội thất xịn về ở ngay diện tích 35m có nhà 4 tầng ngõ thoáng rộng nông gần phố hơn 3 tỷ. Nhà bán nằm trong khu dân cư toàn cán bộ rất văn minh yên tĩnh, bán kính xung quanh đầy đủ tiện ích trường chợ, ngân hàng, bệnh viện, bưu điện. Khu vực trung tâm đi đâu cũng thuận tiện giáp Ngô Quyền gần Đại Mỗ cắt Tố Hữu hàng xóm Yết Kiêu ra Quang Trung sang Văn Quán. Sổ vuông sẵn sàng giao dịch. Giá: 3.5 tỷ ( gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910) - Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn. ",14/11/2022,Tin thường,batdongsan_so_com_vn_1673787892.9588156, 4,,,,
358 tỷ VNĐ,"Đường Đào Duy Từ, Hàng Buồm, Hoàn Kiếm", 302m2, 10,"  ✝️ Để xây được 7 tầng trong phố cổ tổng Diện tích 350m2 thì Chủ đã phải chi các phí ABC và chi phí xây dựng, nội thất mất hơn 100 tỷ. Chúng ta đừng nghĩ đến giá bao nhiêu tiền 1m2 mà hãy nghĩ đến Khối Tài Sản đó sẽ mang lại cho Người Chủ Mới giá trị trong tương lai. Phố Đào Duy Từ là Cỗ Máy In Tiền Tự Động như khách sạn, nhà hàng, quán bar danh tiếng và lâu đời. giá thuê rất cao. ✝️ Thiết kế 7 tầng tổng có 45 phòng cao cấp, nhà hàng, lounge & bar, spa & massage ✝️ Pháp lý: 3 sổ đỏ vuông vắn, nở hậu cực kỳ đẹp, tổng 3 nhà mặt phố khách mua có thể để hoặc nhập 3 sổ thành một. Hiện chủ đã xây về thành 1 khối.✝️ Giá thương lượng 358 tỷ.Liên hệ: Lê Tiến 0979393221 xem nhà 24/7",14/11/2022,Tin thường,batdongsan_so_com_vn_1673787894.272302, 7, 7, 45, 45,
"5,5 tỷ VNĐ","Đường Hoàng Cầu, Ô Chợ Dừa, Đống Đa", 45m2,,"NHÀ ĐẸP ĐỐNG ĐA - GẦN PHỐ - BA GÁC TRÁNH -KD - DT45M * 5T - 5,5 tỷ. Lõi Đống Đa - Vị trí đẹp miễn bàn, 10m ra phố, trước nhà xe 3 gác tránh xe máy. Giao thông vô cùng thuận tiện, tiếp giáp các phố lớn như Hoàng Cầu, Hào Nam, Thái Hà, Yên Lãng, La thành, Đặng Tiến Đông, từ đây đi đâu cũng tiện. + Khu vực rất nhiều tiện ích xung quanh không thiếu thứ gì, nhà sát hồ Hoàng Cầu đi bộ ra hồ tập thể dục hàng ngày cực tiện, vài bước là ra chợ dân sinh, gần 4 cụm chung cư cao cấp và nhiều toà văn phòng cao tầng, dân cư đông đúc, văn minh, kết hợp vừa ở vừa KD online quá đinh.  Thiết kế:  + Nhà chủ tự xây 5 tầng khung cột chắc chắn. + Tầng 1: Phòng khách, Bếp & phòng ăn. + Tầng 2,3,: Tổng 4 phòng ngủ. + Tầng 4: Phòng ...
",14/11/2022,Tin thường,batdongsan_so_com_vn_1673787895.825147, 5, 7, 4,,
"3,8 tỷ VNĐ","Đường Bế Văn Đàn, Nguyễn Trãi, Hà Đông", 77m2, 7,"Bán nhà KĐT Việt Hưng, 77/150m2, mặt tiền 16m, giá 3.85 tỷ. Phù hợp làm phòng khám, viện thẩm mỹ, nha khoa ...cửa hàng Cafe, quán ăn sáng...  Căn nhà là lô góc, có 2 cửa, mặt tiền 16m, vừa ở vừa kinh doanh cực tốt Vị trí căn nhà ở tầng 1 của chung cư, có sân rộng oto đỗ 20 chiếc.  Chỉ 3 bước chân ra tới công viên không khí trong lành, thể dục thể thao thoải mái.  Cách trường học cấp 1.2.3 chỉ 200m, các cháu tự đi học ko cần đưa đón.  Cách khu biệt thự chỉ 100m, hưởng trọn không khí trong lành, mát mẻ.  Khu nhà ở gần quận ủy trung tâm hành chính quận long biên, an ninh cực tốt.  Mặt tiền rộng có 2 cửa quay ra sân rộng thoáng mát, nhiều cây cối.  Vì gần mọi tiện ích nên kinh doanh rất tốt.  Nhà hiện được chia làm 2 căn có cửa thông. Gia chủ có thể ở 1 gian và cho thuê 1 gian giá 10 triệu / tháng. thuê cả nhà 18-20 triệu/tháng  Sổ đỏ lâu dài, chính chủ, sẵn sàng giao dịch 24/7  Thiết kế : Tổng diện tích sàn 77m2, chia 2 căn rất hợp lý.  +Hướng Tây Nam: 1 gian thông sàn có gác sép, nhà wc riêng mới toanh. điều hòa, bình nóng lạnh... nội thất đầy đủ.  +Hướng Tây Bắc : 1 gian thông sàn, 1 phòng ngủ riêng, wc khép kín, điều hòa nội thất đầy đủ.  RẤT KHÓ TÌM ĐƯỢC MỘT CĂN NHÀ MÀ CÓ NHIỀU TIỆN ÍCH NHƯ VẬY...  Hãy liên hệ : Mr KHANH  Điện thoại : 0977811387 - 0936018488  Để được tư vấn pháp lý & xem chi tiết căn nhà. .............",14/11/2022,Tin thường,batdongsan_so_com_vn_1673787897.1206818, 1, 10, 3,, Tây nam
54 tỷ VNĐ,"Đường Nguyễn Khánh Toàn, Quan Hoa, Cầu Giấy", 120m2, 6,"Bán nhà 9 Tầng mặt phố Nguyễn Khánh Toàn Quan Hoa Cầu Giấy trên 50 tỷ. Nhà đẹp thiết kế mới 2 mặt thoáng (1 mặt phố và 1 mặt ngõ) mở của 2 mặt vỉa hè rộng phố kinh doanh sầm uất, đoạn phố toàn nhà 8-9 tầng mới, sổ đỏ vuông đẹp 120m2 giao dịch ngay gia đình cần bán giá chào nhỉnh 54 tỷ có thương lượng trục tiếp liên hệ Hoàng Sơn 0945999599.",14/11/2022,Tin thường,batdongsan_so_com_vn_1673787898.6376235, 8, 30,,,
6 tỷ VNĐ,"Đường Võng Thị, Bưởi, Tây Hồ", 60m2, 5,"Do gia đình vào Nam sinh sống cần bán gấp nhà phố Võng Thị - Tây Hồ phường Bưởi Diện tích 60m2 x 5 tầng mt 5m  Cách Hồ Tây lộng gió vài phút đi bộ,ngõ rộng thông thoáng trước nhà SH quay đầu thoải mái Gần chợ,trường học Chu Văn An các cấp,bệnh viện Thu Cúc Thiết kế 5 tầng cầu thang giữa gồm 4 phòng ngủ,phòng nào cũng có cửa sổ đón ánh sáng tự nhiên Sổ đỏ chính chủ nở hậu Giá bán 6 tỷ có thương lượng Liên hệ ngay : 0945550369",14/11/2022,Tin thường,batdongsan_so_com_vn_1673787899.725712, 5, 2, 4, 4,
"4,85 tỷ VNĐ","Đường Mỹ Đình, Mỹ Đình 1, Nam Từ Liêm", 50m2, 4,"
    
- Tầng 1: Sân để xe, khách, bếp.
- Tầng 2, 3, 4: Mỗi tầng 2 ngủ, vệ sinh.
- Tầng 5: Phòng thờ, sân phơi.
+ Nhà chủ tự xây, mới 100%, khách về ở luôn. Hệ thống sàn cầu thang gỗ cực xịn, hệ thống bóng đèn, đèn led bố trí khắp các phòng.
+ Hai thoáng trước sau vĩnh viễn, nên phòng nào cũng có cửa sổ, có ô thoáng nữa nên nhà mát lạnh, không khí lưu thông.
+ Sổ đỏ chính chủ, vuông đét, giao dịch ngay.
+ Liên hệ: Em Hữu.
",14/11/2022,Tin thường,batdongsan_so_com_vn_1673787900.9284945, 5, 4, 6, 5,
2 tỷ VNĐ,"Đường Bắc Sơn, Thủy Xuân Tiên, Chương Mỹ", 240m2,,"Mảnh đất dành cho ai có nhu cầu bắt đáy.Chủ cắt lỗ sâu . Chỉ còn hơn 1 tỷ 👉 Diện tích 240m2/180m2 thổ cư. mặt tiền 10m hậu 10m👉 Cách trục chính liên xã 15m👉 Xuân Linh, Thủy Xuân Tiên, Chương Mỹ, Hà Nội👉 Xung quanh tiện ích thì đầy đủ👉 Dân chí rất cao👉 Cách đường HCM vài trăm mét .👉 Cách khu nghỉ dưỡng 500m",14/11/2022,Tin thường,batdongsan_so_com_vn_1673787902.290851,,,,,
