price,address,Diện tích,Lộ giới,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số toilet,Hướng
,"Đường Đông Tác, Nam Đồng, Đống Đa", 45m2, 1, 4, 6,"MẶT NGÕ ÔTÔ phố Đông Tác - NGÕ THÔNG - KINH DOANH nhỉnh 5 tỷ+ Ngõ trước nhà rộng, thoáng và sạch sẽ, Khu vực xung quanh quá nhiêu tiện ích : Vincom Phạm Ngọc Thạch , Hồ Phương Mai, BV Bạch Mai , các trường ĐH lớn như Ngân Hàng , Bách Khoa ... Thuận tiện, an sinh tốt, dân trí cao.+ DT: 45m x 4 tầng.+ Giá chào : 5,6 tỷ. ( có thương lượng).+ Chủ nhà xây ở từ đầu nên thiết kế rất tỉ mỉ chắc chắn. + Sổ đỏ chính chủ, pháp lý sạch, giao dịch ngay..XEM NHÀ LÀ CHỐT NGAY XIN ĐỪNG BỎ LỠ CƠ HỘI - Gọi ngay: Hiền Trần   Để được Hỗ trợ MIỄN PHÍ xem, mua và vào sổ,…",02/11/2022,Tin thường,batdongsan_so_com_vn_1673790734.1452549,,,
"11,3 tỷ VNĐ","Đường Thụy Khuê, Thụy Khuê, Tây Hồ", 60m2, 20, 5, 6,"- Nhà thuộc mặt phố Thuỵ Khuêgần Lạc Long Quân, Bưởi, Trích Sài, … ô tô đua nhau, thông ra Hồ Tây lộng gió,…  - Khu vực phát triển bậc nhất Tây Hồ Tây, 1 phút ra Hồ Tây lộng gió, 3p ra Cầu Giấy và chỉ 15p ra Sân Bay, giao thông vô cùng thuận tiện  - Nhà mặt phố kinh doanh đa dạng các mặt hàng sầm uất, khách Tây nhiều như khách ta, buôn bán hái ra tiền.  - DT rộng 60m thiết kế hiện đại, ô thang máy sẵn, nội thất nhập khẩu, nhà dân xây chắc, 3 thế hệ ở vẫn vừa ở vừa kinh doanh, cho thuê vô tư.-Chủ nhà thành đạt, con cái giỏi giang ở rất có lộc! Chủ bán gấp chuyển Biệt thự lớn! Giá chốt linh động cho khách thiện chí!  - Giá: 11.3 tỷ thương lượng Lh ngay Mrs. Ngân chuyên nhà mặt phố   ",02/11/2022,Tin thường,batdongsan_so_com_vn_1673790735.6143246, 5, 3,
"4,3 tỷ VNĐ","Đường La Khê, La Khê, Hà Đông", 42m2, 3, 4, 4,"
    
+ NHÀ MỚI ĐÓN TẾT _E NHÀ 2 MẶT THOÁNG _ĐẸP LONG LANH_ OTO CÁCH NHÀ 50m.
+NGÕ THÔNG THOÁNG SÁNG VÔ CÙNG_AN SINH CỰC ĐỈNH.
+TIỆN ÍCH xung quanh ngập tràn_5 phút ra TỐ HỮU_LÊ VĂN LƯƠNG_Lê Trọng Tấn.....
     (  100% thông tin nhà và ảnh là THẬT nói K với tin ẢO )
+ Sổ ĐỎ  phân lô, vuông vắn.
+ Thiên chí mua Alo E.
",02/11/2022,Tin thường,batdongsan_so_com_vn_1673790737.002612, 4, 3,
"6,2 tỷ VNĐ","Đường Hoàng Đạo Thúy, Phương Mai, Thanh Xuân", 48m2, 4, 5,,"Siêu HOT nhà phố Hoàng Văn Thái 48m 5 tầng , ô tô đỗ cửa ngày đêm, KD. Chỉ 6,2 tỷSiêu phẩm Hoàng Văn Thái nhà đẹp ở luôn oto ngay cạnh, chợ búa đủ cả+ Vị trí : Nhà ngõ oto ,oto bé vào nhà, cách 1 nhà ra oto tránh. Gần phố ngõ thông tứ tung khu vực phân lô.+ Thiết kế:- Tầng 1 : Phòng bếp, để xe, cầu thang giữa, có giếng trời phía sau.Tầng 2,3: 4 phòng ngủ, 2 wc.- Tầng 4: phòng thờ sân phơi.+ Chủ mới sửa lại rất đẹp Nhanh nhanh gọi điện hẹn tôi đi xem sớm thôi, kẻo lỡ cơ hội sở hữu em nó.E. Hiền - BĐS Thổ cư 0972.168.342, giá nào cũng có. ",02/11/2022,Tin thường,batdongsan_so_com_vn_1673790738.2393034,,,
"4,8 tỷ VNĐ",Trần Phú, 45m2,,,,"Ô TÔ LÔ GÓC – TRẦN PHÚ HÀ ĐÔNG – Bán Đất 45m2 x MT 4.64m. Giá hơn 4 tỷ.  ✅ Thông số: Mảnh đất có DT 45m2 với mặt tiền 4,64m trước nhà đường 2 ôtô tránh. Giá chỉ hơn 4 Tỷ. ✅ Tọa lạc tại Trung tâm Hà Đông, giao thông thuận lợi. QL6 trục đường Trần Phú là con đường huyết mạch nối quận Hà Đông đi ra Thủ Đô và ngược hướng về các tỉnh phía bắc. ✅ Tiện ích ngập tràn với các hàng quán, Siêu thị, Khu vui chơi,… ✅ Sổ đỏ chính chủ cất két, giao dịch ngay.Chủ cực thiện chí bán.  ☎️ LH NGỌC SƠN 0812316789 ( Thổ Cư HÀ ĐÔNG ).  + Miễn phí xem nhà, hỗ trợ vay vốn ngân hàng, hỗ trợ pháp lý 24/7, thủ tục nhanh gọn…  Xin cám ơn quý khách đã xem bài đăng! ",02/11/2022,Tin thường,batdongsan_so_com_vn_1673790740.9829617, 4,,
"5,5 tỷ VNĐ","Đường Xuân Đỉnh, Xuân Đỉnh, Bắc Từ Liêm", 51m2, 4, 4, 4,"Cần bán gấp nhà khu ngoại giao đoàn, ô tô cách 10 mét, 2 thoáng, nhà đẹp, an sinh đỉnhDiện tích 51 mét xây 4 tầng, Nhà mới với thiết kế hiện đại, ngõ rộng thoáng, vài bước ra ngoại giao đoàn, xung quanh rất nhiều trường học lớn nhỏ, rất tiện lợi cho khách hàng muốn cho con học gần nhàThiết kế tổng 4 ngủ đầy đủ công năngSổ đỏ chính chủ, sẵn sàng giao dịchMua nhà liên hệ e Thiên Thư 0916293888",02/11/2022,Tin thường,batdongsan_so_com_vn_1673790744.262767, 4, 4,
95 triệu VNĐ/m2,"💥Bán đất liền kề B32 Đại Mỗ, Nam Từ Liêm, 95tr/m2; 0936554068", 86m2,,,,"💥Bán đất liền kề B32 Đại Mỗ, Nam Từ Liêm, 95tr/m2; 0936554068Diện tích 86m2, MT 5m,  nhìn ra vườn hoa. Dự án gần các trục đường lớn giao thông thuận tiện. Giáp dự án FLC Đại Mỗ, đường Lê Quang Đạo kéo dài, đường 70, Gần siêu thị Aeon Hà Đông, hồ điều hoà thiên văn học.  Giá bán: 95 tr/m2 Liên hệ chính chủ: Ms Hà 0936554068       http://www.sanbatdongsanviet.com.vn",02/11/2022,Tin thường,batdongsan_so_com_vn_1673790745.4535804,,,
40 triệu VNĐ/m2,29 Tố Hữu, 135m2,, 10, 3,"♻️ Căn 3PN 136m2 phòng rộng, dành cho các gia đình muốn có không gian thoải mái, thông thoáng   ✨ 𝐌𝐇𝐃 𝐓𝐑𝐔𝐍𝐆 𝐕𝐀̆𝐍, 𝟐𝟗 𝐓𝐨̂́ 𝐇𝐮̛̃𝐮, 𝐍𝐚𝐦 𝐓𝐮̛̀ 𝐋𝐢𝐞̂𝐦, 𝐇𝐚̀ 𝐍𝐨̣̂𝐢 ✨- Bàn giao thô, gia chủ tuỳ ý thiết kế theo phong cách của mình.- Mua nhà tặng ngay gói nội thất 250 triệu trừ vào giá bán.- Chiết khấu thêm 182 triệu khi thanh toán sớm 70%- Giá chỉ còn 40triệu/m2- Có gói vay bank 70% miễn lãi đến khi bàn giao- Tiện ích: TTTM, bể bơi 4 mùa, Sky Garden, nhà hàng, trường quốc tế, gym&yoga,…👉 LH 0886.320.234. (zalo)#MHDTrungVănChungcưNamTừLiêm #chungcưcaocấp #MHDTrungVăn29TốHữu #Căn3ngủ #căn3phòngngủ #Căn3PN #ChungcưHàNội",02/11/2022,Tin thường,batdongsan_so_com_vn_1673790747.221854,, 2,
"4,3 tỷ VNĐ","Đường Thượng Thanh, Thượng Thanh, Long Biên", 53m2, 2, 4, 4,"LÔ GÓC – NGÕ THÔNG KHẮP NGẢ - NHÀ ĐẸP  – 53M2 – 4 TẦNG – 4 NGỦ - Vị trí rất đẹp, chỉ cách vài bước chân là ra Ô tô tránh.Lợi thế lô góc nên phòng nào cũng có cửa sổ, cực kỳ sáng thoáng. Mặt tiền rộng.Tiện ích xung quanh nhiều vô kể, từ mầm non đến cấp 3 THPT Lý Thường Kiệt, Bãi đỗ xe cách nhà vài chục mét, Chợ Thượng Cát chỉ cách 5 phút đi bộ.Xem nhà - Liên hệ Mrs. Hương.",02/11/2022,Tin thường,batdongsan_so_com_vn_1673790748.3827446, 5, 3,
"3,2 tỷ VNĐ","Đường Thượng Thanh, Thượng Thanh, Long Biên", 52m2,,,,"Mô tả:  + Vị trí gần sát dự án HIM LAM NEW STAR, CC Home Land, Gần trường học cấp 1,2 Thượng Thanh, cấp 3 Lý Thường Kiệt, gần chợ Thượng Cát.  + Khu vực phường Thượng Thanh, quận Long Biên đang trên đà phát triển mạnh, quy hoạch nhiều tuyến phố to đẹp, nhiều toà chung cư lớn, tiện ích nhiều vô cùng ....  + Gần Trung tâm thương mại Bigc Long Biên, giao thông thuận tiện. Đường Thượng Thanh nối liền đường Lý S",02/11/2022,Tin thường,batdongsan_so_com_vn_1673790749.5675747, 4,, Đông nam
