price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Số toilet,Mặt tiền,Lộ giới
"3,7 tỷ VNĐ","Cần bán gấp nhà nhà số 62 ngõ 156 Lạc Trung, P.Thanh Lương, Hai Bà Trưng, 3,7 tỷ; 0902372529", 47m2,"Cần bán gấp nhà nhà số 62 ngõ 156 Lạc Trung, P.Thanh Lương, Hai Bà Trưng, 3,7 tỷ; 0902372529  Diện tích: 4,5m x 10,5 m, khoảng trên 45m2, Nhà 3 tầng, có 2 mặt đường, đường phía trước rộng 6 m, 2 xe tải tránh nhau được, có vỉa hè rộng 1,5 m rất tiện cho việc kinh doanh, khu dân cư đông đúc, nhà đang cho thuê, ngõ sau rộng 3m,nhà đang chờ sổ đỏ,  Giá bán 3,7 tỷ Số điện thoại liên hệ 0902372529       http://www.sanbatdongsanviet.com.vn",24/10/2022,Tin thường,batdongsan_so_com_vn_1673792918.221958,,,,,
30 tỷ VNĐ,Bán đất Chùa Láng 200m mt 20m sổ đỏ chính chủ, 200m2,"Bán đất Chùa Láng 200m mt 20m sổ đỏ chính chủ  + Sổ đỏ chính chủ, giá thương lượng + Gần mặt phố, gần hồ Quan Hệ, gần ĐH ngoại thương, ngoại giao… + Tiện ích đủ đầy, dân trí cao, vừa ở vừa kinh doanh tuyệt vời, gần nhiều trường ĐH nhiều sinh viên, công chức sinh sống. Đặc biệt là ẩm thức và cafe + Khu vực nhiều tòa cao tầng đã xây, kinh doanh căn hộ rất đa dạng. + Giá trung bình 100 – 110/m có thương lượng  Liên hệ: Kim Hạnh 0946 553 655",24/10/2022,Tin thường,batdongsan_so_com_vn_1673792919.3190236,,,,,
"4,35 tỷ VNĐ",Bùi Xương Trạch, 35m2,"Bán Nhà Số 1.x Bùi Xương Trạch Đường Ôtô Tránh 35m2x6T chỉ 4tỷ35 Khương Trung, Thanh Xuân Vị trí cực đẹp, giao thông thuận lợi, thông nhiều tuyến phố. Xung quanh cực nhiều tiện ích (Trường cấp 1,2,3 Khương Đình, 1,2 Khương Trung, Siêu thị Vinmart, hồ điều hoà Đầm Chuối, chợ Khương Trung…) Ngõ có đường vành đai 2,5 chạy qua (đang thi công sắp hoàn thiện) mua xong nhà tăng x giá nhớ mời ly trà đá nhé. Nhà mới tinh lung linh 6 tầng KBT chắc chắn, thiết kế hiện đại: 4 Phòng ngủ khép kín, phòng khách, bếp, phòng thờ, sân phơi… Diện tích 35m2 giá mong muốn là 4.35 tỷ Mua nhà liên hệ em Quản: 0822.667.666",24/10/2022,Tin thường,batdongsan_so_com_vn_1673792920.5876296, 6, 4, 5,,
20 tỷ VNĐ,"Phú Cường, Sóc Sơn", 2000m2,"- Biệt thự nghỉ dưỡng, tự tay xây tâm huyết để ở khi về già. Do cần vốn làm ăn nên đành tiếc hùi hụi bán đi, giá chỉ 10tr/m2 - Hiện tại nhà xây thiết kế 4 tầng và 1 tum nổi, thêm tầng hầm để xe, mặt tiền lô góc siêu rộng: 36m. - Vừa ở vừa cho thuê 30 căn hộ khép kín. - Thời điểm trước dịch sử dụng chỉ đúng tầng 1, cho thuê kín 30 căn hộ, doanh thu 4tr/căn. - Vị trí nằm gần sân bay Nội Bài, cách trung tâm thành phố 22km. - Xung quanh có nhiều cơ sở hạ tầng đang dần hình thành, quy hoạch tương lai phát triển cực kỳ mạnh, dự kiến lên Thành Phố Vệ Tinh vùng ven trực thuộc Thủ Đô, giá trị lên gấp bội. - Sổ đỏ pháp lý chuẩn, chờ giao dịch. - Lh em Trác: 0965492571( chuyên thiết kế, xây dựng và tư vấn nhà ở miễn phí)",24/10/2022,Tin thường,batdongsan_so_com_vn_1673792925.661955, 5,,,,
17 tỷ VNĐ,Đường Kim Đồng phường Giáp Bát, 59m2,"
    - Vị trí đẹp với hai mặt tiền trước sau đều ô tô tránh, kinh doanh sầm uất. View Hồ Kim Đồng- Khu vực nhiều ngân hàng, siêu thị, công ty văn phòng làm việc, bến xe, các bệnh viện lớn, trường học các cấp...- Nhà cũ nhưng khung cột bê tông chắc chắn, khách mua về sửa sang lại và thêm tầng, lắp thêm thang máy hoặc đập đi xây cao tầng.- Nhà thiết kế 4 tầng.- Sổ đỏ vuông đẹp. Sẵn sàng giao dịch.- Diện tích 59m2 x 4 tầng - Giá 17 tỷ- Liên hệ Em Trường: 0971.999.203
",24/10/2022,Tin thường,batdongsan_so_com_vn_1673792926.7770474, 4, 4, 3, 4, 3
"3,6 tỷ VNĐ",Đường Vân Hồ 2 phường Trương Định, 30m2,"Cực hiếm. Bán nhà Trương Định 30m2 x 5 tầng giá chỉ 3.6 tỷ (Có thương lượng) Vị trí gần phố, trước nhà thoáng sáng mát mẻ. Nhà xây chắc chắn, mới, đầy đủ công năng với 3 phòng ngủ. Sổ đó vuông vắn, chính chủ, pháp lý sạch sẽ. Liên hệ ngay với em để được xem nhà và tư vấn miễn phí",24/10/2022,Tin thường,batdongsan_so_com_vn_1673792927.9319596, 5, 3, 4, 3, 3
"2,25 tỷ VNĐ","Tả Thanh Oai, Thanh Trì, Hà Nội", 30m2,"🌟🌟THƯỢNG PHÚC, TẢ THANH OAI - NHÀ ĐẸP - Ở NGAY ❤️ 👉 Diện tích: 3O m2 SỔ ĐỎ 👉 Mặt tiền: 3.5m 👉 Giá bán: 2.25 tỷ có bớt 🌟🌟MÔ TẢ: 👉 Nhà đẹp, gần trường mầm non Thượng Phúc. Cách ô tô tránh 20m. Không gian yên tĩnh, thoáng sáng. 👉 Nhà thiết kệ hiện đại, nhà có ô thoáng, không gian tràn ngập ánh sáng các phòng 👉Thiết kế: ❤️ Tầng 1: để xe + bếp, khách ❤️Tầng 2,3: 1 ngủ rộng rãi, vệ sinh khép kín. ❤️Tầng 4: phòng thờ + sân phơi 👉 Pháp lý:",24/10/2022,Tin thường,batdongsan_so_com_vn_1673792929.239459, 4, 3, 3, 3, 2
,Đường Hàm Nghi phường Mỹ Đình 2,," Trung tâm kinh tế chính trị văn hóa. Gần khu Liên cơ quan quận, Bến xe, sân vận động, đường đua, các trường đại học lớn: Thương Mại. ĐH Quốc Gia, Sư Phạm, Ngoại Ngữ.Sổ đỏ chính chủ sẵn sàng giao dịch. ",24/10/2022,Tin thường,batdongsan_so_com_vn_1673792930.7583969, 7, 8, 7,, 15
"78,8 tỷ VNĐ",Đường Âu Cơ phường Nhật Tân, 246m2,"- Diện tích 246m2, căn góc, một mặt phố một mặt ngõ. - Giá bán 348 tr/m2 có thỏa thuận. Liên hệ0935628686 để biết thêm thông tin ( Miễn TG & MG )
",24/10/2022,Tin thường,batdongsan_so_com_vn_1673792931.9951837, 2, 4, 5, 12, 40
"4,3 tỷ VNĐ",Đường Thụy Khuê phường Thụy Khuê, 33m2,"Chủ cần bán căn siêu phẩm Lạc Long Quân 33m-5 tầng-mt 3.3m GIÁ CHỈ 4T3NGÕ NÔNG - GẦN PHỐ - SỔ VUÔNG NỞ HẬU - Ô TÔ ĐỖ GẦN - VÀI BƯỚC RA HỒ TÂY - Ở SƯỚNG- Vị trí đẹp , ngay sát Phố Lạc Long Quân , vài bước ra đến Hồ Tây lộng gió. Tiện ích xung quanh đa dạng . Ở cực Sướng- Thông ngõ Lạc Long QuânThiết kế:Tầng 1: Khách , bếp , vsTầng 2-3-4: Tổng 3 ngủ , vsTầng 5: Phòng thờ , sân phơiSỔ ĐỎ VUÔNG ĐẸP - NỞ HẬU LỘC LÁ , PHÁP LÝ CHUẨN. SẴN GIAO DỊCH NGAY * Liên hệ: Em Nam 0988534280Miễn phí xem nhà Nhiệt tình tận tâm - Hỗ trợ 24/24. ",24/10/2022,Tin thường,batdongsan_so_com_vn_1673792933.1840024, 5, 3,, 3, 2
