price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Lộ giới,Hướng
6 tỷ VNĐ,"Nguyễn Chí Thanh, Đống Đa, Hà Nội", 43m2, 3, 4, 3, 3,"Bán nhà riêng phố Nguyễn Chí Thanh, Đống Đa - Diện tích 43m2, 4 tầng, mặt tiên 3.5m, giá chào 6 tỷ - Liên hệ 072365640 trực tiếp làm việc chủ nhà - Thông tin chính xác 100%.Hàng xóm Vincom Nguyễn Chí Thanh, vài bước ra đường ô tô, xung quanh là cá tòa văn phòng, dịch vụ, khách sạn Daewoo,.... Khu phố VIP to và VIP nhất nhì Hà Nội. An sinh cực tốt bán kính 500m là bệnh viện, chợ dân sinh, trường tiểu học đến THPT, ĐH Luật, Thương Mại,....Thiết kế 4 tầng gồm 3 ngủ và 3 WC.Sổ đỏ vuông vắn không lỗi phong thủy - Liên hệ ngay 0972365640 - Luôn sẵn sàng chờ cuộc gọi từ anh chị.",17/10/2022,Tin thường,batdongsan_so_com_vn_1673794337.9157808,,
6 tỷ VNĐ,"Nguyễn Chí Thanh, Đống Đa, Hà Nội", 43m2, 3, 4, 3, 3,"Bán nhà riêng phố Nguyễn Chí Thanh, Đống Đa - Diện tích 43m2, 4 tầng, mặt tiên 3.5m, giá chào 6 tỷ - Liên hệ 072365640 trực tiếp làm việc chủ nhà - Thông tin chính xác 100%.Hàng xóm Vincom Nguyễn Chí Thanh, vài bước ra đường ô tô, xung quanh là cá tòa văn phòng, dịch vụ, khách sạn Daewoo,.... Khu phố VIP to và VIP nhất nhì Hà Nội. An sinh cực tốt bán kính 500m là bệnh viện, chợ dân sinh, trường tiểu học đến THPT, ĐH Luật, Thương Mại,....Thiết kế 4 tầng gồm 3 ngủ và 3 WC.Sổ đỏ vuông vắn không lỗi phong thủy - Liên hệ ngay 0972365640 - Luôn sẵn sàng chờ cuộc gọi từ anh chị.",17/10/2022,Tin thường,batdongsan_so_com_vn_1673794340.3668346,,
"8,6 tỷ VNĐ",Đường Lê Đức Thọ phường Mỹ Đình 1, 48m2, 4, 6, 5, 4,"Bán nhà gấp tại phố Lê Đức Thọ - Nam Từ Liêm, OTO ĐỖ CỬA ,DT48m2x6 tầng, mt 3,5m , giá chỉ 8.6 Tỷ 💯 PHÂN LÔ 6 TẦNG, Ô TÔ ĐỖ CỬA, CÁCH 1 NHÀ RA Ô TÔ TRÁNH, 15M RA PHỐ, NGÕ THÔNG 💯 Mô tả :- Vị trí : Nằm ngay cách đường Lê Đức Thọ 15m, ngõ thông, Ô tô đỗ cửa. - Nhà ngay đầu ngõ Lê Đức Thọ, xung quanh là các chung cư cao cấp, khu liên hợp thể thao Mỹ Đình. - Thiết kế:+ Tầng 1 : Để xe, Khách, Bếp, WC+ Tầng 2: Phòng làm việc, Phòng ngủ, WC+ Tầng 3,4,5: Mỗi tầng 2 phòng, WC+ Tầng 6: Phòng thờ, Sân phơi - Khu vực đang phát triển cực mạnh, hạ tầng - Giao thông hiện đại. Tiện ích ngập tràn : Siêu thị, Trung tâm Thương mại, Thể thao, Trường học các cấp quanh nhà . ....  - Sổ đỏ sẵn sàng giao dịch.LIÊN HỆ : 056.562.1234",17/10/2022,Tin thường,batdongsan_so_com_vn_1673794342.5861654, 10,
39 triệu VNĐ/m2,"Số 29 Tố Hữu, Trung Văn, Nam Từ Liêm, Hà Nội", 106m2, 10, 10, 3, 2,"Chung cư cao cấp MHD Trung Văn - Tọa lạc tại 29 Tố Hữu - Trung Văn - Nam Từ Liêm - Hà Nội. * Với chính sách ưu đãi hấp dẫn: - Tặng ngay gói nội thất trị giá 250tr trừ trực tiếp vào hợp đồng. - Khi thanh toán sớm 70% nhận ngay chiết khấu 3% trừ thẳng vào giá bán. - NH hỗ trợ vay 70%, lãi suất 0% đến khi có thông báo nhận nhà; thủ tục dễ dàng, nhanh gọn. * Vị trí đắc địa: - Tọa lạc tại vị trí đắc địa mặt đường đôi 27m Tố Hữu Lê - Văn Lương kéo dài, hầm Cầu Chui đã thông giao thông đi lại thuận tiện, vào trung tâm thành phố chỉ mất hơn 10phút. - Xung quanh nhiều trường Đại Học, tt Y Tế, TTTM, Chợ... - Quy mô: 276 căn hộ. - Mật độ: 8 căn/sàn, 276 căn hộ, 7 thang máy. - Cam kết 01 chỗ để ô tô và 02 xe máy cho mỗi hộ trên HĐMB. - Tiện ích đầy đủ: Bể bơi 4 mùa, phòng Gym, siêu thị, không gian cây xanh, quầy bar, cafe, trường mầm non, khu vui chơi trẻ em. - Pháp lý sở hữu sổ đỏ lâu dài. * Cơ cấu căn hộ: - Căn 3 ngủ diện tích 106m², thiết kế hiện đại vuông vắn giá chỉ từ 4,1 tỷ. - Căn 4 ngủ diện tích 123 136m², thiết kế hiện đại 100% các phòng đón sáng tự nhiên giá chỉ từ 5,3 tỷ. - Bàn giao căn hộ tháng 6/2023.",17/10/2022,Tin thường,batdongsan_so_com_vn_1673794344.4930155, 12, Đông nam
40 tỷ VNĐ,Đường Nguyễn Ngọc Vũ phường Trung Hòa, 90m2, 6, 9, 3, 11,"CHÀO BÁN TÒA VP 9 TẦNG - MẶT PHỐ NGUYỄN NGỌC VŨ - TRUNG HÒA - CẦU GIẤY - KINH DOANH SIÊU ĐỈNH LH : Mr Tiến  - Diện tích : 90m2 x 9 tầng thang máy ; MT 6m( giá yêu thương : 39 tỷ 999 triệu ) - Vị trí siêu đắc địa, khu vực tập trung kinh doanh văn phòng sầm uất nhất phố Nguyễn Ngọc Vũ , Trung Hòa , Cầu Giấy, Vỉa hè 2 bên mênh mông bát ngát, nhà 1 mặt phố, 1 mặt ngõ ô tô tránh, phù hợp kinh doanh đa dạng các loại hình. - tòa văn phòng tọa lac trên trung tâm đẹp nhất phố, giao thoa kết nối tam giác vàng 3 quận, đống đa, cầu giấy , Thanh Xuân, ( láng hạ, đường Láng, Giáp Nhất ,Trần Duy Hưng, Lê Văn Lương...) - Tòa nhà thiết kế kinh doanh văn phòng hiện đại 8 tầng nổi, 1 tầng hầm, Thông sàn T1.2.3.4.5.6.7 Tầng 8 là căn hộ penhouse  - Sổ đỏ chính chủ",17/10/2022,Tin thường,batdongsan_so_com_vn_1673794346.9774456, 29,
"4,5 tỷ VNĐ","Ngõ 192 Lê Trọng Tấn, Thanh Xuân, Hà Nội", 33m2, 3, 5, 4, 4,"Bán nhà riêng phố Lê Trọng Tấn, Thanh Xuân, sổ đỏ chính chủ - Diện tích 33m2, 5 tầng, mặt tiền 3.4m giá chào 4.5 tỷ - Cam kết thông tin chuẩn 100%Tọa lạc tại phố Lê Trọng Tấn, giao thông thuận tiện kết nối Trường Chinh, Ngã Tư Sở, .... Khu vực toàn các cán bộ quân đội, an ninh an sinh tốt. Bán kính 1km là các trường học từ tiểu học đến đại học, TTTM, Vincom, chợ, siêu thị, bệnh viện,... Trước nhà ngõ rộng ô tô qua, hướng ĐTT.Thiết kế mỗi tầng 2 ngủ + WC. Sổ đỏ chính chủ, sẵn sàng sang tên.Liên hệ ngay sẵn sàng nghe máy 24/24.",17/10/2022,Tin thường,batdongsan_so_com_vn_1673794348.7975762,,
"14,2 tỷ VNĐ",Đường Đồng Bát phường Mỹ Đình 1, 60m2, 7, 7, 5, 4,"Hót🔥- Bán Nhà tại Phố Đồng Bát ( Trần Bình - Nguyễn Hoàng ) ,DT60m2, 7 tầng,mặt tiền 7m, giá chỉ 14.2 tỷ - CÓ GARA OTO🔥🔥 GẦN PHỐ - LÔ GÓC 2 THOÁNG - 7 TẦNG THANG MÁY - KINH DOANH - GARA Ô TÔ 🔥🔥 - Vị trí nhà mình nằm trong khu phân lô cán bộ Viện 198 . Ngay nút giao Nguyễn Hoàng - Trần Bình - Hồ Tùng Mậu - Đường Vành Đai 3 Phạm Văn Đồng ... Kết nối giao thông đi khắp nơi. - Khu vực Trung Tâm , gần Phố . Cách Phố Nguyễn Hoàng - Trần Bình chỉ vài chục mét. Xung quanh tiện ích nhiều vô số kể ( gần trường học các cấp 1-2-3. Bệnh viện Bộ C.An 198 , chợ , bến xe mỹ đình ...) - Nhà xây Lô Góc cực thoáng sáng với diện tích trên sổ 47m , thực tế từ tầng 2 đua ra là 60m sử dụng. Thiết kế: 7 tầng thang máy , thiết kế thông sàn , thang máy nhập khẩu , nội thất toàn gỗ quý gỗ Xưa Đỏ , gỗ Lim ta . Phù hợp Vừa ở kết hợp cho thuê , Công năng sử dụng linh hoạt. + Tầng 1: Kinh doanh, Gara ô tô, vệ sinh.  + Tầng 2: Phòng khách + Vệ sinh.  + Tầng 3, 4, 5 : 3 Ngủ Master khép kín.  + Tầng 6 : Bếp Ăn + Quầy Bar.  + Tầng 7: Phòng thờ + Sân Phơi.  📕 SỔ ĐỎ VUÔNG ĐẸP - NÉT CĂNG , PHÁP LÝ CHUẨN. SẴN GIAO DỊCH NGAYTel : 056.562.1234",17/10/2022,Tin thường,batdongsan_so_com_vn_1673794351.1981707, 20,
6 tỷ VNĐ,Đường Phan Kế Bính phường Cống Vị, 50m2, 5, 5, 4, 3,"Bán nhà gấp tại phố Phan Kế Bính - Ba Đình, Diện tích 50mX4t,mặt tiền 5m giá chỉ 6 tỷ 🔥🔥 TRUNG TÂM - TIỆN ÍCH - NGÕ NÔNG - GẦN PHỐ - Ô TÔ CÁCH 30M - Ở SƯỚNG 🔥🔥 + Vị trí đẹp , trung tâm Ba Đình . Phan Kế Bính - Linh Lang - Đào Tấn - Liễu Giai  khu Víp Nhật - Hàn . Dân trí cao ở rất sướng. Xung quanh tiện ích vô cùng. Bán kính 80m có Chợ , TTTM Lotte , CV Thủ Lệ , Trường học các cấp 1-2-3 , Bệnh viện ...  +Nhà ở Phan Kế Bính thông khắp ngả , ngõ thông 58 - 92 Đào Tấn , giao thông di chuyển thuận tiện.  Thiết kế: Cơ bản tầng chia 2 phòng , 2 thoáng trước và sau nhà có khe thoáng thông khí.T1: Khách , bếp , vsT2: 1Ngủ , 1vs masterT3: 2Ngủ , vsT4: Phòng thờ , sân phơi❤️ SỔ ĐỎ CHÍNH CHỦ , PHÁP LÝ CHUẨN. SẴM GIAO DỊCH NGAYLiên hệ : 056.562.1234",17/10/2022,Tin thường,batdongsan_so_com_vn_1673794352.4179084, 20,
"4,5 tỷ VNĐ",135 Trần Phú, 98m2,,,,,"Bán căn hộ dự án Grand Sunlake 2N+1 tầng 16 Văn Quán, Hà Đông  + 3p tới Ga Tàu điện Văn Quán , Đại học Kiến trúc, Học viện An ninh,…+ 5p tới chợ dân sinh, Big C, Trường tiểu học Nguyễn Du, Trường THCS Văn Quán, Hồ Văn Quán,…+ 10p tới Bệnh viện Đa khoa Hà Đông, Bệnh viện Quân Y 103,…+ 15p tới Trung tâm Hà Nội+ Chi tiết: Liên hệ trực tiếp qua số điện thoại/ZaloVị trí:+ Nằm tại ngã 3 Trần Phú giao Nguyễn Khuyến+ 3p tới Ga Tàu điện Văn Quán , Đại học Kiến trúc, Học viện An ninh,…+ 5p tới chợ dân sinh, Big C, Trường tiểu học Nguyễn Du, Trường THCS Văn Quán, Hồ Văn Quán,…+ 10p tới Bệnh viện Đa khoa Hà Đông, Bệnh viện Quân Y 103,…+ 15p tới Trung tâm Hà NộiTiện ích nội khu:- Trung tâm thương mại- Trường mầm non- Bể bơi, Gym, Hiệu thuốc,….- Hầm để xe oto-xe máyChính sách: - Ngân hàng hỗ trợ 70% giá trị căn hộ, miễn gốc+lãi trong 2 năm",17/10/2022,Tin thường,batdongsan_so_com_vn_1673794353.6585891,,
"8,5 tỷ VNĐ",Đường Khuất Duy Tiến phường Nhân Chính, 42m2, 4, 4, 6,,"+ Nhà kiên cố chủ tự xây tâm huyết ở vô cùng có lộc. Thiết kế tầng 2 phòng cầu thang và vệ sinh ở giữa. Tổng có 5 phòng, 3 vệ sinh. + Khách mua về chỉ việc thêm thùng sơn là lại lung linh. Ô tô vào nhà, khu dân cư toàn cán bộ dân trí cao. Có thể kinh doanh cho thuê văn phòng. + Vị trí đẹp cách mặt ngõ chỉ 10m, cách đường Khuất Duy Tiến chỉ 50m. Ngõ thông ô tô tránh sang Nguỵ Như Kon Tum. Giao thông thuận tiện. ,
",17/10/2022,Tin thường,batdongsan_so_com_vn_1673794355.129653, 3,
