price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id
"4,5 tỷ VNĐ",Đường Trần Cung phường Cổ Nhuế 1, 53m2, 4, 2, 4, 4, 3,"Mô tả:+ Ngõ 117 thông sang ngõ 195 Trần Cung, Phạm Văn Đồng, sau quy hoạch nhà mình bán sẽ ra mặt phố.+ Thiết kế:- Tầng 4: Phòng thờ, sân phơi rộng, khu ngắm cảnh.+ Giá trên chỉ bán trong tuần chủ cần bán gấp. Anh Chị quan tâm xin liên hệ hoặc giới thiệu cho anh em bạn bè giúp ạ ! ",15/10/2022,Tin thường,batdongsan_so_com_vn_1673794604.0368423
700 triệu VNĐ,bạch hạ- phú xuyên- hà nội, 77m2, 4, 4,,,,"
    Thông tin mô tả
💥Chính chủ , em bán đất Bạch Hạ - Phú Xuyên -Hà Nôi
💥Bán kính 300m xung quanh tiện ích đầy đủ :chợ ,trường, trạm , bến xe buýt
💥 Trường học cách 200m
💥Gần quy hoạch KCN ĐẠI XUYÊN và cụm CN LÀNG NGHỀ Bạch Hạ( bán kính 1.5km)
💥 Đường ngõ thông thoáng từ 3.5-6m
💥Dân cư đông đúc thân thiện
💥Cách quốc lộ 1A cũ khoảng 5km
💥Cơ hội sinh lời ngay sau khi sang tên cho các nhà đầu tư
",15/10/2022,Tin thường,batdongsan_so_com_vn_1673794605.3004596
"9,3 tỷ VNĐ",Đường Trần Quang Đạo phường Phú Đô, 40m2, 4, 15, 5, 5, 9,"hà 5 tầng thông sàn mặt ngõ , 2 ô tô tránh kinh doanh sầm uất. - Tầng 2: Phòng khách, phòng ngủ, wc.-4- Tầng  + Sổ đỏ chính chủ, giao dịch ngay., ",15/10/2022,Tin thường,batdongsan_so_com_vn_1673794606.3765807
"9,3 tỷ VNĐ",Đường Trần Quang Đạo phường Phú Đô, 40m2, 4, 15, 5, 5, 9,"hà 5 tầng thông sàn mặt ngõ , 2 ô tô tránh kinh doanh sầm uất. - Tầng 2: Phòng khách, phòng ngủ, wc.-4- Tầng  + Sổ đỏ chính chủ, giao dịch ngay., ",15/10/2022,Tin thường,batdongsan_so_com_vn_1673794607.5055606
"4,2 tỷ VNĐ",Đường Tạ Quang Bửu phường Cầu Dền, 43m2, 5, 4, 5, 4, 4," + Nhà năm trên phố Tạ Quang Bửu sầm uất, hiện đại, tiện ích và giao thông thuận tiện. + Gần các tuyến phố : Bạch Mai, Trương Định, Đại La, Lê Thanh Nghị + Nhiều tiện ích : Khu Bách Kinh Xây nổi tiếng, Bệnh Viện Thanh Nhàn.. + Gần nhiều đại học : Đại Học Bách Khoa, Kinh Tế Quốc Dân, Xây Dựng.. + Nhà trong khu phân lô, dân trí cao, an ninh tuyệt đối. + Ngõ thông, 6m ra đường ô tô tránh, 90 m ra phố Tạ Quang Bửu + Diện tích  43m x 5 tầng. + Nhà mới xây, thiết kế hiện đại, Chủ xây cực kỳ tâm huyết. + Chủ TẶNG TOÀN BỘ NỘI THẤT. + Sổ đỏ chính chủ, đảm bảo pháp lý, sẵn sàng giao dịch. + Giá 4tỷ 200 –Tặng chi phí sang tên.  Liên hệ: em Dũng - 0945676597 ",15/10/2022,Tin thường,batdongsan_so_com_vn_1673794608.6076164
"6,6 tỷ VNĐ","💥Nhà mới đẹp ngay TT Xã Đàn - Phạm Ngọc Thạch, 6,6 tỷ; 0983032992", 50.5m2,,,,,,"💥Nhà mới đẹp ngay TT Xã Đàn - Phạm Ngọc Thạch, 6,6 tỷ; 0983032992 Do có kế hoạch chuyển sang nước ngoài, tôi muốn bán ngôi nhà mới ở ngay trung tâm quận Đống Đa này. * Diện tích: 50.5 m2 x3 tầng (4 phòng ngủ, 1 Phòng kho/ thờ, 3WC, phòng khách to rộng). * Mặt tiền 8m2. Nhà rất thoáng và mát. Ánh nắng dịu từ trên xuống.* Mặt ngõ 3m2 tiện cho mọi giao thông đi lại. Trước mặt nhà là đầu đường Phạm Ngọc Thạch. * Khu dân trí cao, an ninh và an toàn rất tốt. * Gần các Bệnh viện Đống Đa, bệnh viện Bạch Mai, các trường học và công viên. Sổ đỏ sẵn sàng để giao dịch  Giá: 6,6 tỷ (có thương lượng)Mình mong sớm đón được chủ nhà ưng ý về với ngôi nhà này. Ai quan tâm vui lòng liên hệ cho mình. Phương chính chủ: 0983032992        http://www.sanbatdongsanviet.com.vn",15/10/2022,Tin thường,batdongsan_so_com_vn_1673794609.8512862
16 tỷ VNĐ,Đường Kim Mã phường Liễu Giai, 50m2, 4, 5, 4, 4, 3,"- Nhà khung cột bê tông chắc chắn lên thêm tầng thoải mái: - Tầng 2.3: Mỗi tầng 2 phòng, vs ",15/10/2022,Tin thường,batdongsan_so_com_vn_1673794611.1762528
"9,3 tỷ VNĐ",Đường Trần Quang Đạo phường Phú Đô, 40m2, 4, 15, 5, 5, 9,"hà 5 tầng thông sàn mặt ngõ , 2 ô tô tránh kinh doanh sầm uất. - Tầng 2: Phòng khách, phòng ngủ, wc.-4- Tầng  + Sổ đỏ chính chủ, giao dịch ngay., ",15/10/2022,Tin thường,batdongsan_so_com_vn_1673794612.8148708
"5,75 tỷ VNĐ",Nguyễn Khang QUan Hoa Cầu Giấy Hà Nội, 42m2,,, 5,,,"KỊCH ĐỘC -MẶT NGÕ Ô TÔ TRÁNH - PHÂN LÔ  phố Nguyễn Khang Cầu Giấy 42m2 5T Mt 4.3m chỉ 5.75 tỷNhà gần phố trong tương lai, Thiết kế:- Tầng 1: Để xe, phòng khách và bếp.- Tầng lửng: làm kho- Tầng 3: 1 phòng ngủ + vệ sinh và 1 phòng đọc sách.- Tầng 4: 2 phòng ngủ + vệ sinh.- Tầng 5: sân phơi.+ Nhà gần Công viên Cầu Giấy, đường Nguyễn Văn Huyên kéo dài, tương lai rộng mở, tiện ích xung quanh đầy đủ vô cùng.+ Sổ đỏ đẹp, sẵn sàng giao dịch.Liên hệ: Mrs Phượng 0974352054 - Tư vấn tận tâm, miễn phí 24/24h (zalo, Fb) , hỗ trợ tư vấn Pháp lý, vay vốn.",15/10/2022,Tin thường,batdongsan_so_com_vn_1673794614.259005
499 triệu VNĐ,Đường Phạm Văn Đồng phường Cổ Nhuế 1, 1m2, 1, 1, 1, 1, 1,"
    Mazda3 Sedan gốc Thành Phố Sản xuất 2016 Màu Trắng  - 499trHãng sản xuất: MazdaSố cửa :4Model : 1.5 ATSố chỗ ngồi :5Năm sản xuất : 2016Màu ngoại thất :TrắngMàu nội thất :ĐenSố km đã đi : 68,000 KmHộp số : Số tự độngLoại động cơ :XăngDẫn động : FWD - Dẫn động cầu trướcTHÔNG TIN CHI TIẾTMazda3 sedan TP tỉnh Sản xuất 2016 Màu Trắng nội thất đen Odo: 6.8vạn km Bảo dưỡng chính hãng. Lịch sử đầy đủ Option: ghế da cao cấp, chìa khóa thông minh, cửa sổ nóc, trần 3Dcam lùi, và rất nhiều trang thiết bị tiện ích Cam kết về chất lượng xe, pháp lý đầy đủ Hỗ trợ vay vốn Ngân hàng với lãi suất cạnh tranh. Thủ tục nhanh gọnSau chuyển bán cho khách đăng kí ở Tỉnh khác sẽ không mất 20tr tiền biển sốĐịa chỉ : LT LUXURY AUTO ,123-125 Phạm Văn Đồng, Quận Bắc Từ Liêm, Hà Nội .Liên hệ SĐT hoặc zalo :0586116666( MR VINH )
",15/10/2022,Tin thường,batdongsan_so_com_vn_1673794615.3919742
