price,address,Diện tích,Hướng,Mặt tiền,Details,Ngày đăng,Loại tin,id,Lộ giới,Số tầng,Số phòng ngủ,Số toilet
53 triệu VNĐ/m2,"Khu DG02, Thị trấn Quốc Oai, Quốc Oai, Hà Nội", 336m2, Nam, 16,"Chính chủ cần bán lô góc 336m2, mặt tiền 16m, khu đấu giá DG02, thị trấn Quốc Oai, Hà Nội Lô góc, kinh doanh cực đỉnh, mở văn phòng kinh doanh nhà hàng, quán cà phê, hoặc trụ sở công ty, xây biệt thự Vị trí: Khu Đấu Giá DG02, Thị trấn Quốc Oai, Quốc Oai, Hà Nội Diện tích: 336m2, mặt tiền 16m2 Hướng Nam mát mẻ Gần trường mầm non thị trấn Trung tâm hành chính huyện 3 phút ôtô Sát với cụm công nghiệp Thạch Thất 72ha. Cách đại lộ Thăng Long 100m Khu đô thị Sunny Garden City 3 phút ôtô Gần Khu danh lam thắng cảnh Chùa Thầy nổi tiếng Đi thêm một tý là khu bãi biển nhân tạo Tuần Châu nổi tiếng Hãy gọi ngay cho tôi để có giá tốt 0967205590 bất kỳ khi nào.",07/07/2022,Tin thường,batdongsan_so_com_vn_1673796229.5106,,,,
"4,33 tỷ VNĐ",Đường Việt Hùng phường Việt Hùng, 50m2,, 5,"
    Bán nhà phố Việt Hùng, Đông Anh, ô tô, kinh doanh, tiện ích, giá nhỉnh 4 tỷ, 0375555372+Do có nhu cầu thay đổi chỗ ở chủ cần bán căn nhà C4 công năng đầy đủ, mặt phố đường Việt Hùng., Đông Anh, Hà Nội.+Nhà cấp 4 sẵn ở, kinh doanh, cho thuê, công năng đầy đủ, tiện ích xung quanh rất nhiều không kể hết : gần trường tiểu học, Trung học cơ sở Việt Hùng, cách trường cấp 3 vài trăm mét, gần chợ, gần UBND xã Việt Hùng, tiện đi Bắc Ninh, Ga Đông Anh, bệnh viện đa khoa ĐA,...+Mặt tiền 5m, giá chào : 4.33 tỷ ( có gia lộc).+Sổ đỏ cất két, pháp lý chuẩn, sẵn sàng giao dịch công chứng ngay.+ Liên hệ ngay với em Hưng để làm việc trực tiếp với chủ nhà.-----------EM HƯNG CHUYÊN THỔ CƯ ĐÔNG ANH - HÀ NỘI - 0375555372
",08/10/2022,Tin thường,batdongsan_so_com_vn_1673796230.7926776, 1, 1, 1, 1
"7,9 tỷ VNĐ",Đường Yên Lãng phường Láng Hạ, 50m2,, 3,"Nhà đẹp Yên Lãng về ở luôn diện tích đẹp 50m2 PHÂN LÔ HAI MẶT NGÕ TRƯỚC SAU NGÕ THÔNG TỨ PHƯƠNG TÁM HƯỚNG KINH DOANH Ô TÔ 5 TẠ ĐỖ CỬA.  - Ngõ 82 Yên Lãng rộng đẹp kinh doanh ngày đêm , ngõ thông 105 , 151 Láng Hạ , 508 Đường Láng . Gần BV nội tiết TW , trường cấp 1,2 Thái Thịnh . Nhà vị trí đẹp 2 mặt ngõ rộng  khu vực trung tâm , dân trí cao an ninh tốt .  - Nhà mới đẹp . KBT chắc chắn 4 ngủ đầy đủ công năng thoáng sáng vô cùng . Thiết kế : Tầng 1: Khách , bếp, vs , cầu thang giữa Tâng 2: 2 Phòng ngủ vệ sinh khép kín Tầng 3 : 2 Phòng ngủ vệ sinh kép kín . Sân phơi  - Sổ đỏ vuông A4 cất két , sẵn sàng giao dịch - Liên Hệ Ngọc Anh 0982832991",07/10/2022,Tin thường,batdongsan_so_com_vn_1673796232.184043, 4, 3, 4, 3
75 tỷ VNĐ,Đường Phùng Chí Kiên phường Nghĩa Đô, 200m2,, 10,"
    BÁN BIỆT THỰ TRÀNG AN COMPLEX SỐ 1 PHÙNG CHÍ KIÊN-CẦU GIẤY 200M2 4T MT 9M-ĐẸP LỘNG LẪY 76 TỶLH NGAY 0982833366 (ĐẲNG CẤP NHẤT HÀ THÀNH)------------------- BIỆT THỰ SIÊU VIP TRÀNG AN COMPLEX 200M2 - ĐẲNG CẤP - TẶNG TOÀN BỘ NỘI THẤT XỊN - VỊ TRÍ TUYỆT VỜI - THANG MÁY NHẬP KHẨU-ĐẸP NHƯ CUNG ĐIỆN CHÂU ÂU-HẦM RƯỢU SANG TRỌNG-VÀO MỚI CẢM NHẬN ĐƯỢC - HOÀN THIỆN GẦN 20 TỶ- Khu biệt thự VIP chỉ có 11 căn, trước nhà thoáng mát chân toà chung cư Tràng An.- Xung quanh toàn chính khách, quan chức cấp cao - Thiết kế: diện tích xây khoảng 60% còn lại làm sân vườn.- Nội thất mang nét Hoàng Gia hoàn thiện hết 16 tỷ. Đồ đạc được tặng trang trí rất nhiều. Tặng lại toàn bộ nội thất trong nhà- Thiết kế hiện đại hệ thống điều hoà không khí thoáng mát trong lành, thang máy nhập khẩu:Thiết kế 3 tầng nổi 1 tầng hầm:+ Tầng hầm: Hầm rượu có 3 bàn ăn có quầy BAR có đầy đủ thiết bị nhà bếp cho bữa tiệc 20 người.+ Tầng 1: phòng khách + Phòng ăn bàn dài + phòng bếp.+ Tầng 2, 3: Mỗi tầng 2 phòng ngủ khép kín hiện đại. Ở giữa có khu làm việc riêng.+ Gia chủ là chính khách+ Sổ đẹp cất két giao dịch----------------------------GIÁ BÁN CHỈ: 75 TỶ (NHÀ THẬT+THÔNG TIN THẬT+ẢNH THẬT+GIÁ THẬT)---------------------------- LH: PHƯƠNG_NHÀ_PHỐ 0982833366 ZALO 0902223785(Chuyên mặt phố, biệt thự, nhà ngõ ô tô Hà Nội).Kết nối trực tiếp chủ nhà, giúp ACE mua giá tốt nhấtMiễn phí tư vấn, xem nhà 100%...
",07/10/2022,Tin thường,batdongsan_so_com_vn_1673796234.0062916, 20, 4, 4, 6
"5,29 tỷ VNĐ","hoàng mai, hà nội", 40m2,,,"+ 100% tt thật. SIÊU PHẨM PHÂN LÔ, NGÕ THÔNG, 7 CHỖ VÀO NHÀ, CĂN GÓC, KINH DOANH NHỎ. Bán nhà Hoàng Mai, 40mx4t, mt5m, 5,29 tỷ.+ Quá hiếm nhỉnh 5 tỷ có nhà phân lô, ngõ thông, ô tô 7 chỗ vào nhà, căn góc phòng nào cũng có cửa sổ tràn ngập ánh sáng. + Thiết kế: Tầng 1 : Phòng khách, bếp.Tầng 2 : 1 phòng ngủ master, WC.Tầng 3 : 2 phòng ngủ, 1 WC.Tầng 4 : Phòng thờ ( có thể làm phòng ngủ ), sân phơi siêu rộng thoáng.+ Hoàng Mai gần với Minh khai, Gốc Đề, Mai Động, Trương Định, Giải Phóng, Kim Đồng, Tam Trinh, Giáp Nhị, trường Đại Học Kinh Tế Quốc Dân Xây Dựng, Bách khoa, Bến Xe Giáp Bát, Bệnh viện Bạch Mai, hưởng trọn tiện ích của các chung cư lân cận.+ Sổ đỏ bánh chưng, sang tên tiktok. lh 0989035951 hoặc 0346363362.",07/10/2022,Tin thường,batdongsan_so_com_vn_1673796236.5573094,,,,
3 tỷ VNĐ,Đường Nguyễn Văn Cừ phường Ngọc Lâm, 40m2,, 4,"Bán nhà Nguyễn Văn Cừ, Dt gần 40m, 3 Tầng giá hơn 3 tỷ. + Vị trí đỉnh cao, ô tô đỗ cửa, an ninh tốt, thuộc khu tập thể của công ty thiết kế đường sắt. Khu dân trí cao, giao thông thuận tiện, cách mặt phố 100m... + Nhà 3 tầng lô góc 3 thoáng, khung cột bê tông kiên cố. Thiết kế: - Tầng 1 : phòng khách + bếp  - Tầng 2 : 2 phòng ngủ + WC  - Tầng 3: phòng ngủ + sân phơi. LH: 
",07/10/2022,Tin thường,batdongsan_so_com_vn_1673796237.7575133, 3, 3, 3, 3
,Đường Nguyên Hồng phường Láng Hạ, 58m2,, 4,- Giá 10.1 tỷ còn thương lượng.  ,07/10/2022,Tin thường,batdongsan_so_com_vn_1673796239.6035676, 8, 4, 4, 3
4 tỷ VNĐ,Đường Đông Ngạc phường Đông Ngạc, 35m2,, 4,"
    
Mới đẹp ở luôn - Ô TÔ ĐỖ CỬA - 15m RA Ô TÔ TRÁNH - TẶNG FULL NỘI THẤT XỊN SÒ - CHỈ VIỆC XÁCH VALI VỀ Ở - TIỆN ÍCH NGÚT NGÀN
-nhà cách mặt ngõ ô tô tránh chỉ vài bước chân. Gần cầu Thăng Long, Ciputra, Ecohome, giao thông thuận tiện, dân trí cao, trường, chợ tiện ích xung quanh không thiếu thứ gì.
- Thiết kế hiện đại, hài hòa, phòng nào cũng có ban công, cửa sổ lớn đón gió và ánh sáng tự nhiên.

+ Tầng 1: Khách, Bếp
+ Tầng 2, 3, 4: Mỗi tầng 1 phòng ngủ + WC
+ Tầng 5: Phòng Thờ, Sân phơi 
",07/10/2022,Tin thường,batdongsan_so_com_vn_1673796241.1055574, 6, 5, 3, 4
"11,5 tỷ VNĐ",Đường Nguyễn Văn Trỗi phường Mộ Lao, 60m2,,,"Bán nhà phố Nguyễn Văn Trỗi - Mỗ lao - Hà đông, hàng xóm Làng Việt kiều Châu âu. Nhà  ở vị trí đắc địa, nằm trên mặt phố kinh doanh sầm uất  Nguyễn Văn Trỗi, phố rộng, vài bước chân ra đường Trần Phú. Xung quanh gần 10 trường Đại học, các trung tâm thương mại nên rất thuận tiện để ở, hoặc cho thuê,  buôn bán kinh doanh mọi loại hình đều rất tuyệt vời. Nhà 7 tầng , khung cột bê tông chắc chắn , thang máy chạy vù vù. - Tầng 1, 2, 3 : Thông sàn, kinh doanh. - Tầng 4 : Bếp, 1 phòng. - Tầng 5, 6 : Mỗi tầng 2 phòng. - Tầng 7 : Tum, sân phơi. Sổ đỏ chính chủ, pháp lý minh bạch, sẵn sàng giao dịch. Liên hệ Dương Hoa để được tư vấn và dẫn đi xem nhà miễn phí.  ",07/10/2022,Tin thường,batdongsan_so_com_vn_1673796243.2154016, 10, 7, 4, 7
"28,5 tỷ VNĐ",Đường Cầu Giấy phường Quan Hoa, 130m2,, 22,"Cần bán gấp Biệt Thự Cầu Giấy trong tháng này- Diện tích 130 mét- mặt tiền 22 mét- Giá 28.5 tỷ- Vị trí Lô Góc, Ô tô tránh,vừa ở vừa kinh doanh văn phòng- Sổ đỏ đẹp, cất két sẵn sàng giao dịch.- A/C Mua nhà ib ngay em Thư qua sđt 0916293888 để được hỗ trợ tốt nhất, nhanh nhất, mua được những căn nhà ưng ý nhất",07/10/2022,Tin thường,batdongsan_so_com_vn_1673796244.917365, 10, 4, 6, 6
