price,address,Diện tích,Lộ giới,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet
7 tỷ VNĐ,Đường Hoàng Cầu phường Ô Chợ Dừa, 56m2, 4,"+Bán Nhà Phố Hoàng Cầu, Trung Tâm Quận Đống Đa Kinh doanh, gần ÔTô. + Vị Trí Tuyệt đẹp, thoáng 2 mặt trước Sau vĩnh viễn, với DT 56m2 Kinh doanh, vài bước chân ra ôtô, Nhà Đẹp thiết kế hiện đại, thông nhiều phố lớn như Hào Nam, Thái Hà, Ô chợ Dừa. + Dân trí cao, thuận tiện cuộc sống , vui chơi giải trí, thể thao văn nghệ.  + Sổ Đỏ Chính Chủ Sẵn sàng giao dịch.",29/09/2022,Tin thường,batdongsan_so_com_vn_1673798587.7552795,,,,
"4,5 tỷ VNĐ",Đường Bùi Xương Trạch phường Khương Đình, 46m2, 5,"
    + Vị trí trung tâm, ngõ thông rộng ô tô đỗ sát cửa. Ngõ thông xang phố Lê Trọng Tấn - Hoàng Văn Thái - Khương Hạ - Khương Trung - Vũ Tông Phan - Định Công Thượng.- Tầng 1: Phòng khách, bếp, wc.- Tầng 5: Phòng thờ, sân phơi.
",29/09/2022,Tin thường,batdongsan_so_com_vn_1673798589.8654408, 4, 6, 6, 6
"3,3 tỷ VNĐ",Đường Phố Trạm phường Long Biên, 54m2, 3,"Bán Gấp mảnh đất phố Trạm Long Biên hàng xóm AEON Long Biên. + Vị trí đắc địa nằm khu vực giao giữa Cổ Linh và Đàm Quang Trung lên cầu Vĩnh Tuy. + Tiện ích khu vực đầy đủ ngay sát TTTM AEON, Sân Golf, sân bay, kết nối cầu Vĩnh Tuy sang phố cực tiện. + Gia đình cần bán gấp mảnh đất 54m2 mặt tiền 4.3m Chủ mới về xây tòa nhà 5 tầng ở cực sướng. + Sổ đỏ đẹp sẵn sàng giao dịch Gọi e Hoàn 0868246333 để biết thêm chi tiết, đi xem và đàm phán trực tiếp chủ nhà.",29/09/2022,Tin thường,batdongsan_so_com_vn_1673798591.1166499, 4,,,
"3,6 tỷ VNĐ",Đường Mai Động phường Vĩnh Hưng, 35m2, 1,"- Nhà gần chợ, trường học, tiện ích xung quanh, dân trí cao. - Nhà 5 tầng, 3 phòng ngủ - Sổ đỏ chính chủ - Chủ nhà cần bán gấp để chuyển công tác. LH: em Trang 
",29/09/2022,Tin thường,batdongsan_so_com_vn_1673798592.502717, 3, 5, 3, 3
"4,2 tỷ VNĐ",Đại từ hoàng mai hà nội., 34m2,,"Mô tả. + Nhà Hiếm! Phố Đại Từ Quận Hoàng Mai, 4Tầng, 4,2Tỷ. Ngõ Ô tô-Kinh Doanh Sầm Uất. Chỉ 5 Phút Ra Hồ Linh Đàm. +Vị trí đẹp, khu vực ở an ninh tốt và yên tĩnh, vài bước ra hồ Linh Đàm. Nhà xây 4 tầng chắc chắn, thoáng trước thoáng sau, chủ tự xây tâm huyết +Tầng 1: Phòng khách, để xe, bếp và vệ sinh. +Tầng 2,3: Mỗi tầng 2 phòng ngủ, 1 vệ sinh +Tầng 4: Phòng thờ, sân phơi. + Nhà nằm khu vực tiện ích xung quanh trường,chợ,hồ Linh Đàm vài bước chân - Giao thông đi lại thuận lợi thông thông tứ tung các tuyến phố Định công,Giải phóng,Nguyễn xiển + Sổ đỏ chính chủ, đảm bảo pháp lý, sẵn sàng giao dịch. + Liên hệ; Mr Quân-0911303899. Tư vấn, xem nhà, miễn phí. Hỗ trợ cùng khách mua nhà với giá tốt nhất.",29/09/2022,Tin thường,batdongsan_so_com_vn_1673798594.1339204,,,,
"4,8 tỷ VNĐ",đường Trần Quốc Vượng, 54m2, 3,"Trung tâm quận Cầu Giấy, 5m ra đường ô tô, nhà dân kiên cố, ở ngay. S = 54m2, 4 tầng, giá 4.8 tỷ ĐC: Đường Trần Quốc Vượng, quận Cầu Giấy. + Vị trí đẹp, xung quanh tập trung rất nhiều trường cao đẳng, đại học lớn: Đại học Thương mại, Đại học Ngoại ngữ, Đại học Quốc gia, Đại học Sư phạm, Học viện Báo chí Tuyên truyền, Cao đẳng Bách khoa, Học viện Múa,… + Giao thông: Bến xe Mỹ Đình, Phạm Hùng, Xuân Thủy, Cầu Giấy, Phạm Văn Đồng, Dịch Vọng,… Thiết kế: 5 phòng ngủ và 1 phòng thờ, sân phơi. Sổ đổ đẹp, chủ muốn bán rất gấp. * Gọi ngay em Bình, 0345752279 để xem nhà miễn phí, không tiếp môi giới.",29/09/2022,Tin thường,batdongsan_so_com_vn_1673798595.4612813, 4, 4, 5,
"3,45 tỷ VNĐ",Đường Hà Trì phường Hà Cầu, 41m2, 2,"
    - Chủ nhà làm ăn lộc lá chuyển nhà ra phố nên cần bán gấp căn nhà 5 tầng tại hà Trì - Hà Cầu - Hà Đông.- Nhà nằm tại khu vực dân cư đông đúc, phát triển, trung tâm quận Hà Đông. Nhà di chuyển thuận tiện qua các tuyến đường Kiến Hưng, Tô Hiệu, khu phố cổ Hà Đông... Tiện ích xung quanh đầy đủ trường học, bệnh viện, chợ Hà Đông...- Thiết kế 5 tầng, diện tích 38m2, tầng 2 đua ra 41m đầy đủ công năng sử dụng. Nhà nằm ở vị trí lô góc nên thoáng sáng tất cả các phòng.- Khu vực nhà yên thích thích hợp để ở, hàng xóm xung quanh thân thiện, dân trí cao.- Sổ đỏ chính chủ, công chứng trong ngày.- Liên hệ em Nhung - Nhà Hà Đông để được tư vấn.
",29/09/2022,Tin thường,batdongsan_so_com_vn_1673798597.1087494,, 5, 4, 3
32 tỷ VNĐ,Vĩnh Phúc Ba Đình Hà Nội, 196m2,,"- Diện tích 196.7m2. Mặt tiền 12m Giá bán 32 tỷ ( có thương lượng )  - Mảnh đất toạ lạc tại mặt ngõ Vĩnh Phúc. Đường trước nhà ô tô tránh nhau view cực đẹp. Trung tâm không tìm được mảnh đất thứ 2. - Khách mua về phù hợp xây toà building, căn hộ apartment, khách sạn rất đông khách!  - Sổ đỏ chính chủ, pháp lý chuẩn sẵn sàng giao dịch. Liên hệ với em để được tư vấn chi tiết hơn về mảnh đất. Miễn ( TG Quảng Cáo )",29/09/2022,Tin thường,batdongsan_so_com_vn_1673798598.1822586, 12,,,
"9,48 tỷ VNĐ",Đường Lạc Long Quân phường Xuân La, 52m2, 3,"'+gần="""" quận="""" ủy="""" tây="""" hồ,="""" gần="""" khu="""" liên="""" cơ="""" võ="""" chí="""" công,="""" lotte="""" mail,="""" ngõ="""" thông,="""" di="""" chuyển="""" đi="""" đâu="""" cũng="""" tiện,="""" vài="""" bước="""" ra="""" hồ="""" lộng="""" gió,="""" 5="""" phút="""" phố="""" cổ,="""" 18="""" sân="""" bay="""" nội="""" bài.="""" span="""" p="""" class=""MsoNormalSPAN"" vi'+diện="""" tích:="""" 52m2="""" vi'="""">+Mặt t+Sổ đỏ chính chủ, pháp lý chuẩn, chủ cần bán gấp. '+giá="""" chào:="""" 9.48="""" tỷ="""" có="""" thương="""" lượng.="""" span="""" pspan="""" vi'="""" p="""" class=""MsoNormalSPANTahoma"",sans-serif;"" 0'="""">+Liên hệ xem nhà Hoàng Lan ",29/09/2022,Tin thường,batdongsan_so_com_vn_1673798599.6094248, 4, 6, 4, 5
80 tỷ VNĐ,Đường Hàng Mã phường Hàng Mã, 100m2, 10,"- Diện tích nhà: 100m2, MT: 3,5m, xây 5 tầng đẹp - Giá bán chỉ: 80 tỷ (Có thương lượng) - Chỉ tiếp khách có thiện chí và sẵn sàng về tài chính. - Trân trọng cảm ơn ! ",29/09/2022,Tin thường,batdongsan_so_com_vn_1673798601.19349, 3, 5, 5, 5
