price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Số tầng,Lộ giới,Số phòng ngủ,Số toilet,Mặt tiền,Hướng
750 triệu VNĐ,"2. Bán nhà thôn Nam Dương, xã Hòa Nam, huyện Ứng Hòa, Hà Nội", 30m2,"Nhượng Ki ốt mặt chợ thu nhập tốt tại Hoàng Mai, 800tr; 0396645252  1.Nhượng ki ốt mặt chợ thu nhập tốt tại Hoàng Mai  Diện tích: 6m2 - Nhà 2 tầng, điện nước phụ, ô tô đỗ cửa, giấy tờ viết tay, sử dụng vĩnh viễn Giá: 800 triệu Liên hệ: 0396645252  2. Bán nhà thôn Nam Dương, xã Hòa Nam, huyện Ứng Hòa, Hà Nội - Diện tích: 30m2 - Nhà 2 tầng gồm: 2 phòng ngủ, 2 vệ sinh, khu an ninh tốt, giao thông thuận tiện, đất giãn dân - Gần trường, gần chợ, gần các tiện ích xung quanh  - Giá: 750 triệu - Liên hệ: 0396645252     http://www.sanbatdongsanviet.com.vn",24/09/2022,Tin thường,batdongsan_so_com_vn_1673799594.5547042,,,,,,
"3,9 tỷ VNĐ",Trường Chinh, 34m2,"1 NHÀ RA Ô TÔ TRÁNH, Phố Trường Chinh, Thanh Xuân 34m2, 5 Tầng, Giá 3.7 Tỷ. + Phân khúc cực hiếm nhà bán, nằm trong trung tâm Quận Thanh Xuân, ngõ rộng thoáng, thông tứ tung. + Vị trí đắc địa, gần nhiều trường Đại học lớn, TTTM, đi bộ vài phút ra Ngã Tư Sở, khu dân trí cao, an ninh đảm bảo. + Nhà dân xây tâm huyết, chắc chắn, kiên cố, đầy đủ công năng sử dụng, khách mua về ở ngay. + Sổ đỏ vuông đẹp, pháp lý chuẩn, sẵn sàng dao dịch. LH: Mr Hoan, 0925088355, nhiệt tình, vui vẻ dẫn khách, miễn phí xem nhà 24/7.",24/09/2022,Tin thường,batdongsan_so_com_vn_1673799596.4506314, 5,,,,,
"3,2 tỷ VNĐ",Đường 299 Cầu Giấy phường Dịch Vọng, 100m2,"nhà đẹp, đủ đồ, hướng mát. LH: 0949035102",24/09/2022,Tin thường,batdongsan_so_com_vn_1673799598.175018,, 29, 2, 2,,
866 triệu VNĐ,hoàn kiếm hà nội, 80m2,"🎊Chỉ từ 148 triệu bạn đã sở hữu cho mình lô đất nằm kẹp giữa khu Đô thị và các khu Công nghiệp lớn ở Hưng Yên, đường 6m trải áp phan.✨Ưu đãi lớn dành cho khách hàng lên đến 6% khi mua từ sản phẩm thứ 2 tiền vào theo tiến độ linh hoạt trả góp 0% lãi xuất.✨Diện tích từ 70-80m2 phù hợp với thiết kế nhà hiện đại.✨Đường nội bộ 6m trải nhựa, đủ hướng cho các nhà đầu tư.🌿 Nằm trên trục đường huyết mạch Tân Phúc Võng Phan chạy qua các KCN như Ân Thi- Phù Cừ- Tiên Lữ- Bình Giang- và các KCN lân cận.🌿Xung quanh là các KCN lớn ở Hưng Yên quy mô rộng gần 400 ha, đối diện là khu quy hoạch Khu Dân Cư Mới Tân Phúc 300 ha. 🌿Nằm trong khu dân cư đông đúc đầy đủ tiện ích bán kính không quá 1km.🌿Hạ tần đồng bộ, mốc giới rõ ràng, hệ thống cấp thoát nước đầy đủ.🌿Mua bán chính chủ không qua trung gian.💥Quy trình mua bán  giãn cách 6 lần thanh toán linh hoạt không tính lãi:",24/09/2022,Tin thường,batdongsan_so_com_vn_1673799599.7268667,, 6,,, 5,
"3,3 tỷ VNĐ",Phố Lê Hồng Phong, 35m2,"+ Thông số : 35m2, 4 tầng.  Chính chủ có việc nên cần bán mảnh đất phố Lê Hồng Phong, rất gần QL6 phố Quang Trung, Đường Tô Hiệu, Siêu thị Metro, chợ Hà Đông, Bệnh viện Quân y 103, Bệnh viện Đa khoa Hà Đông.  +Tiện ích xung quanh đầy đủ, giao thông tiện lợi+ Sổ đỏ trong két, giao dịch nhanh phút mốt.Liên hệ Ngọc Sơn : 0812316789 để được đưa đi xem nhà 24/7 miễn phí nhiệt tình tận tâm.+ Hỗ trợ khách hàng các thủ tục liên quan đến thủ tục sang tên Sổ đỏ công chứng, kiểm tra quy hoạch, giấy phép xây dựng...  Ngoài ra sẽ được hỗ trợ vay vốn Ngân Hàng lên đến 80%.+ Thông số : 35m2, 4 tầng.  Chính chủ có việc nên cần bán mảnh đất phố Lê Hồng Phong, rất gần QL6 phố Quang Trung, Đường Tô Hiệu, Siêu thị Metro, chợ Hà Đông, Bệnh viện Quân y 103, Bệnh viện Đa khoa Hà Đông.  +Tiện ích xung quanh đầy đủ, giao thông tiện lợi+ Sổ đỏ trong két, giao dịch nhanh phút mốt.Liên hệ Ngọc Sơn : 0812316789 để được đưa đi xem nhà 24/7 miễn phí nhiệt tình tận tâm.+ Hỗ trợ khách hàng các thủ tục liên quan đến thủ tục sang tên Sổ đỏ công chứng, kiểm tra quy hoạch, giấy phép xây dựng...  Ngoài ra sẽ được hỗ trợ vay vốn Ngân Hàng lên đến 80%. ",24/09/2022,Tin thường,batdongsan_so_com_vn_1673799601.6716633, 4,,,, 4,
"7,4 tỷ VNĐ",Đường Cự Lộc phường Hạ Đình, 35m2,"+ Nhà xây mới tuyệt đẹp, nội thất cực xịn, nhà gần đường nguyễn trãi, nhìn sang RoyalCity. +LH: Hoàng Bắc, ĐT: 0377610275, chuyên nhà đất Hà Nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7",24/09/2022,Tin thường,batdongsan_so_com_vn_1673799603.6105115, 5, 10, 4,, 5,
"7,4 tỷ VNĐ",Đường Cự Lộc phường Hạ Đình, 35m2,"ị trí nhà cực đẹp, cách mặt phố Vũ Hữu vài bước chân. tâm huyết+dân trí cao + ",24/09/2022,Tin thường,batdongsan_so_com_vn_1673799605.9990902, 5, 10, 4,, 5,
11 tỷ VNĐ,Đường Phúc La - Văn Phú phường Kiến Hưng, 70m2,"
    * Mô tả: + Nhà vị trí đẹp, mặt tiền lớn trục chính, nằm trong khu liền kề cực Vip Luxury năm ngay sau dãy shophouse mặt đường Xa La - Nguyễn Xiển chạy thẳng ra đường Cienco5, hạ tầng đồng bộ rất đẹp tiềm năng tăng giá cao.+ Vị trí giao thông vô cùng thuận tiện kết nối các khu đô thị như Xa La, Văn Phú, Văn Quán khu MIPEC. Tiện ích mọi mặt gần trường học các cấp, chợ, TTTM, viện 103, viện K... - Tầng 1: Gara, văn phòng làm việc, WC - Tầng 2: Phòng khách, bếp, WC - Tầng 3, 4: Mỗi tầng 2 phòng, WC - Tầng 5: Phòng thờ, sân phơi + Pháp lý rõ ràng, sẵn sàng giao dịch, ảnh minh hoạ+ Liên hệ: em Trà 0983831788Hỗ trợ ngân hàng, hỗ trợ pháp lý, xem nhà miễn phí
",24/09/2022,Tin thường,batdongsan_so_com_vn_1673799607.9767966, 5, 10, 4, 4, 7,
"2,8 tỷ VNĐ","Yên Viên, thị trấn Trâu Quỳ, Gia Lâm, Hà Nội", 80m2,"Gấp!!! Bán cắt lỗ! Căn 3N, giá 2,8 tỷ bao phí, tại S2.02 Vinhomes Ocean Park Gia Lâm.* Nằm tại tòa S202 thuộc phân khu nhộn nhịp nhất dự án, cụm tòa gần sông nhất, tầng trung siêu thoáng mát.* Tầm view triệu đô sang công viên ven sông, lưng tựa sơn, mặt hướng thủy. Có thể nhìn thấy nhà mình từ cao tốc 5B Hà Nội - Hải Phòng.* Tiện ích: Đầy đủ các tiện ích: Trạm sạc xe điện vinfast, máy tập thể thao, công viên BBQ...* Hướng ĐN - TN thoáng mát.* Nội thất đầy đủ, cao cấp.* Diện tích 80m2.* Sổ đỏ cầm tay.* Giá 2,8 tỷ bao mọi loại phí.Liên hệ: Hoàng Đức Vinhomes 0963060369(FB/Zalo/Viber).",24/09/2022,Tin thường,batdongsan_so_com_vn_1673799614.6229022,,, 3, 2,, Đông nam
"1,68 tỷ VNĐ","Yên Viên, thị trấn Trâu Quỳ, Gia Lâm ,Hà Nội.", 55m2,"Bán nhanh căn hộ 2PN + 1, giá 1,68 tỷ bao phí.+ Vị trí S209 thuộc phân khu nhộn nhịp nhất dự án.+ Diện tích: 55m2.+ Tầng trung view đẹp.+ Tiện ích: Khu vui chơi, cây xanh, máy tập thể thao...+ Nội thất: Nguyên bản của chủ đầu tư.+ Giá 1,68 tỷ bao mọi loại phí + sổ đỏ cầm tay. Liên Hệ: em Đức 0963060369 ( mess/zalo/viber)",24/09/2022,Tin thường,batdongsan_so_com_vn_1673799615.8605373,,, 2, 1,,
