price,address,Diện tích,Mặt tiền,Details,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Số toilet,Lộ giới,Hướng
,đức thượng, 100m2, 4,"Chính chủ cần bán nhanh lô đất ở Thôn Nội 2 – Đức Thượng – Hoài Đức. DT : 100m2. MT : 7m. Giá : 3,5 tỷ. Đường oto vào, ngõ thông. Cách TL 366A khoảng 300m. Cách đường liên khu 1 khoảng 500m. 3p đi bộ ra nhà Văn Hóa, trường học, UBND xã. Khu vực dân cư đông đúc, đầy đủ tiện  ích. Liên hệ chính chủ : Khánh – 0833173377.",23/09/2022,Tin thường,batdongsan_so_com_vn_1673799831.6820195,,,,,
22 tỷ VNĐ,Trần Quốc Vượng- Cầu Giấy, 55m2, 5,"
    
Nhà Mặt phố Trần Quốc Vượng-1 mặt phố 1 mặt ngõ, 55m*7T thang máy mt 5m, 22 tỷ Cầu Giấy+ Nhà 2 mặt thoáng, một mặt phố và một mặt ngõ sau 2m. Mặt tiền 5m kinh doanh sầm uất mọi loại hình, thuận tiện giao thông đi chuyển các ngả.+ Thiết kế:Tầng 1,2,3,5: Thông sàn + wc.Tầng 4: 2 ngủ + wc.Tầng 6: Bếp + Khách + wcTầng 7: Tum.+ Sổ đỏ chính chủ, sẵn sàng, giao dịch.LH E Đăng : 0969990569


 

",23/09/2022,Tin thường,batdongsan_so_com_vn_1673799835.7653768, 7, 6, 5,,
,đức thượng, 50m2, 4,"Chính chủ gửi bán lô đất tại Thượng Thụy – Đức Thượng – Hoài Đức. DT : 50m. MT : 4m. Giá : 1,7 tỷ. Cách 200m ra đường 366A ( rộng 30m ). Cách đường trục chính liên xã 20m. 3p đi bộ ra QL 32. 3p đi xe tới trung tâm huyện Hoài Đức. Gần chợ và 3 cấp trường học, vô cùng tiện ích. Ngõ thông, oto vào tận cửa. Sổ đẹp, sẵn giao dịch, k có tranh chấp. Lhe gặp chủ đất : Khánh – 0833173377",23/09/2022,Tin thường,batdongsan_so_com_vn_1673799837.028426,,,,,
"4,8 tỷ VNĐ",Cầu Giấy QUan Hoa Cầu Giấy Hà Nội, 38m2,,"Bán nhà đẹp ở ngay  ngõ 79 Cầu Giấy 38m2 4T chỉ 4.8 tỷNhà nằm ngay đầuCầu Giấy, ngõ thông tứ tung, kinh doanh sầm uất, tiện ích không thiếu gì.+ Vị trí trung tâm nơi tiếp giáp của 3 quận Đống Đa - Ba Đình - Cầu Giấy, giao thông cực thuận tiện. + Ngõ trước nhà rất thoáng. Thiết kế hiện đại bắt mắt mỗi tầng 2 phòng rộng + Cầu thang và Wc giữa từng tầng, phòng nào cũng trổ cửa sâng thoáng vô cùng. Móng có thể chồng thêm tầng.+ Pháp lý chuẩn, sổ đỏ đẹp chính chủ, giao dịch trong ngày.Liên hệ: Mrs Phượng 0974352054 - Tư vấn tận tâm, miễn phí 24/24h (zalo, Fb) , hỗ trợ tư vấn Pháp lý, vay vốn.",23/09/2022,Tin thường,batdongsan_so_com_vn_1673799838.242212, 4,,,,
50 triệu VNĐ/m2,quốc lộ 32, 50m2,,"Gia đình cần bán lô đất Đức Thượng, Hoài Đức Dt 50m , Mt 5m, giá 38tr_ Mô tả + DT 50m+ Mt 5m+ Đường trước mặt 3m+Cách QL32 khoảng 200m+ Cách đường tỉnh 366A mở rộng 40m khoảng 400m+2’ ra đường liên khu 1+ Gần khu vực hành chính công, chợ+ Gần trường mầm non, trường cấp 1,2,3 Đức Thượng+ Dân cư đông đúc, dân trí cao+ Sổ đỏ pháp lý rõ ràngGiá 38trLiên hệ e Vinh – 0916226107 để biết thêm thông tin ",23/09/2022,Tin thường,batdongsan_so_com_vn_1673799839.602575,,,,,
168 tỷ VNĐ,Đường Gia Ngư phường Hàng Bạc, 200m2, 10,"
    Thông số:

KS Tổng diện tích 200m2 x9 Tầng (1 nổi ,2 hầm)
Mặt tiền 10m
 
Mô tả: 
- Vị trí đỉnh của đỉnh view trọn Hồ Gươm.
-Nằm giữa phố Chợ Gia Ngư ,sinh khí ngút trời ,hưởng trọn tiện ích
Khách Sạn  thiết kế 25-30 phòng đầy đủ gồm: superior 1 đôi 2 đơn, standard, deluxe, junior sute,,bể bơi,quán Bar chuẩn 5 sao. 
Với thiết kế hiện đại độc đáo không phòng nào lặp lại ,bản vẽ thiết kế riêng siêu xịn ,độc nhất phố cổ ,vỉa hè xe 45 chỗ tránh nhau cực lợi thế cho nghành kinh doanh,thang máy nhập khẩu 1 đôi 1 tỷ /chiếc
- Hiện đang cho đơn vị thuê kinh doanh với giá 180triệu/tháng
vẫn tiếp tục hợp đồng cho chủ mới 
 
Thủy-BĐS-HK : 0857552222
",23/09/2022,Tin thường,batdongsan_so_com_vn_1673799840.7375388, 9, 30, 30, 6,
34 tỷ VNĐ,Đường Kim Mã phường Kim Mã, 130m2, 6,"Bán nhà 4 tầng Phân Lô Kim Mã, Ô TÔ TRÁNH, giá Đầu Tư 34 tỷ. Nhà 4 tầng xây khung cột bê tông chắc chắn, ở ngay. Hoặc xây tòa 9 tầng như hàng xóm bên cạnh. Đường trước nhà rộng, ô tô tránh nhau thoải mái, dừng đỗ ngày đêm. Nhà xây 4 tầng thiết kế mỗi tầng 2 phòng ngủ. Tầng 1 làm cửa hàng kinh doanh café. Nhà hiện đang cho thuê 50 tr/tháng. Diện tích sổ đỏ 130 m2, mặt tiền 6,5 m. Sổ đỏ chính chủ sẵn sàng giao dịch. Giá 34 tỷ có thương lượng. u nhà, mặt ngõ ô tô, tòa nhà văch sạ quan tâm, có nhu cầ đượn.",23/09/2022,Tin thường,batdongsan_so_com_vn_1673799841.7986987, 4, 4, 5, 10,
3 tỷ VNĐ,Đường Mỗ Lao phường Biên Giang, 35m2, 5,"
    Trung Tâm Mỗ Lao Đông giá rẻ chủ tặng nội thất khách mua dọn đồ về ở luôn
Mỗ Lao Hà Đông 35m 5tầng mt5m 3.1tỷ

Mô tả: 

+ Nhà bán nằm ngay đầu xóm Thị Mộ Lao. Ngõ thông rất thuận lợi.
+ Khu vực đầy đủ tiện ích, nhà gần phố, gần khu đô thị Mộ Lao hạ tầng văn minh, khu vực đông đúc, dân trí cao.
+ Nhà xây 5 Tầng BTCT chịu lực, phong cách kiến trúc hiện đại. 

- Tầng 1: phòng khách, bếp, WC. 

- Tầng 2,3,4 : 1 Phòng ngủ, WC. 

- Tầng 5: Phòng thờ, sân phơi. 
",23/09/2022,Tin thường,batdongsan_so_com_vn_1673799843.1141791, 5, 3, 4, 1,
"9,4 tỷ VNĐ","Phố Lê trọng tấn, Phường Khương Mai", 60m2, 4,"NHÀ MỚI, PHỐ LÊ TRỊNG TẤN, THANG MÁY, 2 THOÁNG, SIÊU ĐẸP.+ Diện tích: 60 m.+ Sổ đỏ chính chủ, sẵn giao dịch.+ NHỈNH 9 tỷ.+ Tháng máy nhập khẩu chạy êm rủ.+ Thiết kế hiện đại, Nở hậu, ánh sáng tự nhiên tràn ngập ngôi nhà.+ Tầng 1 thông sàn.+ Tổng 8 ngủ khép kín, phòng thờ, sân phơi.+ khu vực trung tâm, tiện ích đẳng cấp gần nhà. + Phố Lê Trọng Tấn thông Tôn Thất Tùng, Trương chính, Trương định.....+ Gần Bệnh viện Đại học Y, gần các trường Đại học lớn....+ Anh chị quan tâm vui lòng liên hệNguyễn Dương: 0825920555.",23/09/2022,Tin thường,batdongsan_so_com_vn_1673799844.2730794, 7, 8, 9, 3,
32 triệu VNĐ/m2,quốc lộ 32, 117m2,,"Gia đình có việc cần bán gấp lô đất Đức Thượng, Hoài Đức DT 117m , MT 7m , giá 32 tr_ DT: 117m_ Mặt Tiền 7m_ Đường trước mặt 5m_ Cách đường tỉnh 336A mở rộng khoảng 200m-Cách đường liên khu 1 khoảng 400m_ 5’ ra nhà văn hóa thôn_ Gần trường học , UBND Xã_ Cách trung tâm thị trấn Trôi 2km _ Sổ đỏ pháp lý rõ ràng _ đường ngõ thông các ngả_ Giá 32trThông tin LH : E Vinh- 0916226107",23/09/2022,Tin thường,batdongsan_so_com_vn_1673799845.4459407,,,,,
