price,address,Diện tích,Lộ giới,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số phòng ngủ,Số toilet,Số tầng,Hướng
"3,5 tỷ VNĐ","Đường Trần Quốc Vượng, Dịch Vọng Hậu, Cầu Giấy", 42m2, 2,"
    
  + Nhà phố Trần Quốc Vượng, quận Cầu Giấy, vị trí trung tâm, phố xá sầm uất. Ô tô đỗ cách nhà 100m. Gầncông viên Cầu Giấy, Bệnh Viện 19-8 Bộ Công An , 3 bước ra Các Trường Đại Học của ĐH Quốc Gia Hà Nội,  tiện đủ đường.


+ Các đường lớn xung quanh thông nhau đi lại rất tiện lợi, gần Phố Duy Tân, Tôn Thất Thuyết, Cầu Giấy, Xuân Thủy + Chủ nhà anh Vũ hiền lành xởi lởi,làm ăn lộc lá bán nhà vào TP HCM sinh sống  + Miễn phí trung gian và môi giới. +Cam kết: Không thu bất cứ loại phí gì. Được gặp trực tiếp với chủ nhà đàm phán. + Giá: 3.5 tỷ (có thương lượng). Chủ nhà thiện chí bán. + Liên hệ Mr Toản để đi xem nhà ngay 0916796366.",22/12/2022,Tin thường,batdongsan_so_com_vn_1673782505.4975505,,,,,
9 tỷ VNĐ,"Đường Lê Văn Lương, Nhân Chính, Thanh Xuân", 145m2, 1,"Do nhu cầu cuối năm cần giải quyết nhiều công việc nên tôi chính chủ:- Cần Bán Nhanh Căn Góc 25 Lê Văn Lương - BRG Diamond Residence- Rẻ hẳn so với Chủ Đầu Tư- Giá thương lượng trực tiếp, chào giá 9,5 tỷ. rẻ hẳn so với giá hiện tại 11,9 tỷ. Hướng Đông Nam  145m 3 ngủ  ",22/12/2022,Tin thường,batdongsan_so_com_vn_1673782506.7243469, 5, 3, 2,,
"4,25 tỷ VNĐ","Đường Cầu Giấy, Yên Hòa, Cầu Giấy", 35m2, 2,"
    
NHÀ PHỐ CẦU GIẤY DÂN XÂY 35M2 X 4 TẦNG , 2 THOÁNG, 4 NGỦ GIÁ CHỈ 4.25 TỶ

 + Diện tích 35m2 xây 4 tầng BTCT, chủ tự xây chắc chắn
+  Nhà dáp ứng 4 ngủ , vệ sinh và cầu thang giữa. Tầng nào cũng có ban công, trước nhà rông

+ Vị trí trung tâm quận Cầu Giấy, ngõ thông tứ tung. 
+ Ngõ thông tứ tung sang Nguyễn Khang .khu vực tập trung nhiều trường ĐH Ngoại giao - Ngoại thương- ĐH GTVT- Cao đẳng Su Phạm.
+ Nhà phù hơp để ở hoặc cho sinh viên, hộ gia đình thuê.
+ Sổ đỏ đẹp, giao dịch ngay .

LH : Em Phương để xem nhà miễn trung gian
",22/12/2022,Tin thường,batdongsan_so_com_vn_1673782507.883248, 3, 4, 3, 4,
"3,1 tỷ VNĐ","Hà Trì Phường Hà Cầu, Hà Đông", 36m2,,"-Chủ nhà là vợ chồng trẻ làm ăn có lộc ,bán nhà nhỏ đổi nhà to nên cần bán. -Bán nhà Hà Trì, Phường Hà Cầu, Hà Đông, Hà Nội ngay gần Bể bơi Đa sỹ ,chợ Hà Trì,Sân bóng Hà Trì,trường Tiểu Học Lê Lợi, trường THCS Lê Lợi,trường Tiểu Học MARIE CURIE I,5 phút đi xe là ra Viện 103, Học Viện Quân Y, Viện K, Viện Bỏng Quốc Gia, thuận tiện di chuyển ra các phố Đa Sỹ,Phúc La, Bà Triệu, Lê Lai, Lê Lợi. Tô Hiệu,Mậu Lương, Cầu Bươu. Phùng Hưng. -Diện tích Nhà 36m xây 5 tầng thiết kế bê tông cọc hiện đại, nội thất sang trọng, ghế sofa cao cấp , thiết bị vệ sinh ToTo. -Phù hợp để ở/ kinh doanh/ cho thuê tài chính từ trên 3 tỷ đến dưới 4 tỷ. -Pháp lý rõ ràng, cam kết thông tin chuẩn 100%. - Giá 3,1 tỷ ( có thương lượng cho khách hàng thiện chí) -Liên hệ: Mr Diệu (24/7) 0944052268- Nhà đẹp pháp lý chuẩn khu vực Hà Nôi (nhận ký gửi nhà, đất khu vực Hà Nội ).",22/12/2022,Tin thường,batdongsan_so_com_vn_1673782508.9035175,,,,,
"10,5 tỷ VNĐ","Đường Tỉnh lộ 422, Tiền Yên, Hoài Đức", 150m2,,"
    Cực Hiếm, Cần Bán gấp trước Tết, Bán Đất DV Lại Yên , Hoài Đức 150m chỉ 10,x tỷ
- Nhanh tay Đầu tư sinh lời, xây CCMN, Nhà hàng, Khánh sạn, Building, Văn Phòng Công ty, Chia lô...
- Vị trí cực đẹp. Hàng xóm Trường THPT Hoài Đức C, Học Viện Chính Sách,Gần các trường học cấp 1,2,3 Kinh doanh, cho thuê, tương lai trung tâm phát triển, gần Thiên Đường Bảo Sơn, Khu đô thị, KCN.. TTTM Vincom Mega Mall, AEon Mall,.. Khu vực phát triển mạnh, Tương lai lên Quận Hoài Đức.
- Giao thông thuận tiện, Đường Đại lộ Thăng long, Lê Trọng Tấn, TL 70, vành đai 4, vành đai 3.5
- Sổ CC, sang tên nhanh gọn. Giá thương lượng. Chủ thiện chí
Thông tin chi tiết liên hệ Mr Đức Nhà Đẹp .
Rất nhiều Nhà Đất đẹp phù hợp mọi nhu cầu Anh Chị Em nhé.
",22/12/2022,Tin thường,batdongsan_so_com_vn_1673782510.0444648, 8,,,,
11 tỷ VNĐ,"Đường Lý Thường Kiệt, Phú La, Hà Đông", 80m2, 15," Bán nhà mặt phố Lý Thường Kiệt, Hà Đông phân lô vỉa hè 80m2_MT 6m 5 tầng _ KD sầm uất giá 11tỷ .bán gấp nhà mặt phố Lý Thường Kiệt, Hà Đông, gần ga tàu điện trên cao, điểm xe bus nhanh chạy liên tục, cách đường Quang Trung vài bước chân, kết nối các tuyến phố huyết mạch như Văn Phú, lê trọng tấn, la khê, ngô thì nhậm, tô hiệu, lê hồng phong.- Vị trí: Cả khu phố đều kinh doanh đa dạng các mặt hàng, sầm uất ngày đêm, mặt phố rộng, vỉa hè thênh thang.Nhà 5 tầng chủ xây tâm huyết thiết kế sang trọng, nội thất đầy đủ:- Tầng 1,2: Bố trí thông sàn kinh doanh.- Tầng 3, 4: Mỗi tầng 02 phòng ngủ, WC.- Tầng 5: Phòng thờ, sân phơi.- Sổ đỏ pháp lý chuẩn chỉ vuông đét cất két, chờ sang tên chủ mới.lh : e Giỏi 0986727121 để xem căn nhà siêu đẹp này, và nhiều thông tin BĐS khác.",22/12/2022,Tin thường,batdongsan_so_com_vn_1673782511.0627441, 6, 4, 6, 5,
"13,5 tỷ VNĐ",Lạc Long Quân Cầu Giấy Hà Nội, 62m2,,"- Diện tích 62m2 X7 Tầng. Mặt tiền 4m Giá bán 13.5 tỷ ( có thương lượng ) - Vị trí đẹp ngõ ô tô tránh kinh doanh thông sang Võ Chí Công tiện ích xung quanh đầy đủ! - Thiết kế:- Tầng 1: Gara ô tô, kinh doanh- Tầng 2: Phòng khách, bếp - Tầng 3, 4, 5 : thông sàn! - Tầng 6: phòng thờ, sân phơi.- Tầng 7: tum , phòng trà - Giao thông kết nối : Lạc Long Quân, Võ Chí Công!  - Sổ đỏ nở hậu pháp lý chuẩn sẵn sàng giao dịch!  Liên hệ em Quân để được tư vấn và xem nhà! 0385 94 1802 Miễn ( TG Quảng Cáo )",22/12/2022,Tin thường,batdongsan_so_com_vn_1673782512.3094115, 4,,, 7,
"3,29 tỷ VNĐ","Đường Khương Trung, Khương Trung, Thanh Xuân", 33m2, 3,"+ Cần bán nhà phố Khương Trung - Thanh Xuân. Diện tích: 33m2 - 4 tầng - mặt tiền 3.8m. Khu dân trí cao, an ninh tốt. + Vị trí đẹp, ngõ rộng thênh thanh, cách mặt phố chỉ 20m, đi bộ ra Ngã Tư Sở. Tiện ích đầy đủ, bán kính 500m không thiếu gì: trường học, bệnh viện, bãi đỗ xe, TTTM Royal City, hồ Đầm Hồng, UBND và UB Phường, chợ... + Giao thông thuận tiện kết nối phố Khương Trung - Nguyễn Trãi - Trường Chinh - Hoàng Văn Thái - Vương Thừa Vũ - Tô Vĩnh Diện - Khương Hạ - Bùi Xương Trạch - Vũ Tông Phan. + Nhà chủ tự xây 4 tầng khung cột chắc chắn, thiết kế hiện đại, tổng 3 phòng ngủ, đầy đủ công năng. + Sổ đỏ chính chủ sẵn sàng giao dịch. + Giá: 3.29 tỷ ( có thương lượng ). Liên hệ ngay Minh Liệu để xem nhà miễn phí, làm việc chính chủ.",22/12/2022,Tin thường,batdongsan_so_com_vn_1673782513.344643, 3, 3, 3, 4,
"1,65 tỷ VNĐ","Đường Vĩnh Hưng, Vĩnh Hưng, Hoàng Mai", 38m2, 3,"NHÀ MỚI TINH - NGÕ NÔNG RỘNG - SẠCH SẼ - XE 3 GÁC VÀO TẬN NHÀ - MẶT TIỀN RỘNG 3,8M- Nhà xây mới và rất đẹp trong tầm giá (1 tuần nữa là đẹp long lanh). Chủ mới chỉ việc xách vali về ở.- Nhà mình bán ngõ 200 Vĩnh Hưng ô tô chạy thông sang phố Đông Thiên, vào ngách rộng ba gác vào tận cửa nhà, bãi gửi xe ô tô rất gần tầm tiền nhiều khách săn tìm. - Tầng 1: Phòng khách, bếp, vệ sinh- Tầng 2: Tổng 2 ngủ, 1 vệ sinh- Pháp lý: Thửa đất vuông vắn, nguồn gốc đất SX Nông Nghiệp, Đóng thuế hàng năm đầy đủ, chủ tách từng mảnh riêng biệt đã check quy hoạch pháp lý rõ ràng không tranh chấp, giao dịch Vi Bằng. ----------------------Liên hệ xem nhà MIỄN PHÍ: 0965 399 689 (Mr Châu) ",22/12/2022,Tin thường,batdongsan_so_com_vn_1673782517.8352115, 3, 2, 2, 2,
4 tỷ VNĐ,135 Trần Phú, 96m2,,"Siêu ưu đãi cuối năm- Chỉ cần thanh toán  1,12 tỷ tới khi bàn giao căn hộ. L/h 0346029085 Em Trưởng+ Vị Trí: Hồ Văn Quán- Hà Đông+ Loại căn hộ: Căn hộ cao cấp 3 ngủ-2 vệ sinh+ Diện tích: tim tường 102,32m2- thông thủy 95,9m2+ Tầng:  22+ Hướng view: view hồ Văn Quán, phố Nguyễn Khuyến+ Thời gian sử dụng: 50 năm+ Thời gian bàn giao căn hộ: tháng 8/2024+ Liên hệ: Zalo 0346.029.085 - em TrưởngVị trí:+ Nằm tại ngã 3 Trần Phú giao Nguyễn Khuyến+ 3p tới Ga Tàu điện Văn Quán , Đại học Kiến trúc, Học viện An ninh,…+ 5p tới chợ dân sinh, Big C, Trường tiểu học Nguyễn Du, Trường THCS Văn Quán, Hồ Văn Quán,…+ 10p tới Bệnh viện Đa khoa Hà Đông, Bệnh viện Quân Y 103,…+ 15p tới Trung tâm Hà NộiTiện ích nội khu:+ Trung tâm thương mại+ Trường mầm non+ Bể bơi, Gym, Hiệu thuốc,….+ Hầm để xe oto-xe máyLiên hệ: +Zalo 0346.029.085 - em Trưởng",22/12/2022,Tin thường,batdongsan_so_com_vn_1673782518.8032565, 96, 3, 2, 1, Đông bắc
