price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Details,Ngày đăng,Loại tin,id,Số phòng ngủ,Số toilet,Hướng
"6,8 tỷ VNĐ",đường Phạm Văn Đồng, 50m2, 4, 2, 7,"CHUNG CƯ MINI 11 PHÒNG KHÉP KÍN, ĐỦ ĐỒ, ĐANG KÍN PHÒNG + S = 50m2, 7 tầng, mặt tiền 4m, giá 6.8 tỷ + ĐC: Đường Phạm Văn Đồng, Cầu Giấy. Vị trí vàng, gần ngã tư Hồ Tùng Mậu, Cầu Giấy, Phạm Hùng. Khu vực tập trung các trường cao đẳng, đại học lớn: Đại học Thương mại, Đại học Ngoại ngữ, Cao đẳng Du lịch, Đại học Điện lực, Đại học Quốc gia, Cao đẳng Cơ điện, Đại học Sư phạm,… Thiết kế 7 tầng, 11 phòng khép kín, đủ đồ, chủ mới khai thác ngay, dòng tiền cao và ổn định. * Sổ đỏ đẹp, chủ nhà thiện chí. * Liên hệ em Bình để xem nhà miễn phí, không tiếp môi giới.",15/09/2022,Tin thường,batdongsan_so_com_vn_1673801758.0303104,,,
"4,65 tỷ VNĐ",Tự Khoát Ngũ Hiệp HN, 61m2,,,,"+ Khu đát phân lô bàn cờ, vỉa hè rộng,  ô tô tránh, văn phòng hoặc ở đều tuyệt. + Khu dân trí cao, thanh bình, tiện ích trung tâm không thiếu thứ gì, ĐƯỜNG, TRƯỜNG, TRẠM + Cơ sở hạ tầng đồng bộ, giao thông thuận tiện. Tiện ích ngập tràn. + Nhà C4 mới xây,ở tốt hoặc đập đi xây mới 5 tầng thang máy, gara Ô Tô đẹp long lanh + Sổ đỏ chính chủ, sang tên nhanh gọn. ",15/09/2022,Tin thường,batdongsan_so_com_vn_1673801759.3149078,,,
"4,5 tỷ VNĐ","Tam Hiệp, Văn Điển HN", 45m2,,,,"+ Nhà mặt Phố 2 Tầng, Kinh doanh đa dạng + Nhà khu vực phát triển thần tốc, gần chợ đầu mối Tam Hiệp, Đường 7m, vỉa hè 3m, trước cửa công viên, Trường học các cấp đi bộ + 3m vỉa hè vào là 20m2 đất lưu không, cả dãy phố đều xây 5-6 tầng, sau nhà ngõ rộng 3m, tiện ích vô vàn.",15/09/2022,Tin thường,batdongsan_so_com_vn_1673801761.5459387,,,
"4,4 tỷ VNĐ",Đường Cầu Giấy phường Dịch Vọng, 40m2, 3, 2, 4,"
    NHÀ ĐẸP - 2 THOÁNG - 4 NGỦ - NGÕ 3M - TRUNG TÂM - HIẾM - BAY NHANH - KHÁCH XEM MANG LUÔN TIỀN.Cầu Giấy 36/40T2m2, 4 tầng, mặt tiền 3.4m, 4.4 Tỷ Cầu Giấy  Khu vực: Cầu Giấy Mô tả chi tiếtT1: Phòng khách, bếp, wc.T2,3: Mỗi tầng 2 phòng, wc.T4: Phòng thờ, sân phơi.Nhà thoáng mát, xe bác gác vào tận cửa, khu dân trí cao, yên tĩnh.+ Vị trí dẹp gần công viên Cầu Giấy: Cách đường Nguyễn Văn Huyên 100m.",15/09/2022,Tin thường,batdongsan_so_com_vn_1673801763.266336, 4, 4,
"11,3 tỷ VNĐ",Đường Âu Cơ phường Nhật Tân, 150m2, 8, 3, 3," CẦN BÁN, GIÁ CỰC TỐT - BIỆT THỰ SÂN VƯỜN - ÔTÔ ĐỖ SÂN   Chính chủ gửi bán gấp căn Biệt thự sân vườn phố Âu Cơ, Tây Hồ. Nằm trong khu vực nhiều tiện ích Vip nhất Thủ Đô, phố đi bộ Trịnh Công Sơn, CVN Hồ Tây, thung lũng Hoa.  Nhà xây khoảng 50m2 còn lại là sân vườn trên tổng Dt 150m2, xung quanh nhà trồng Hoa Lan cùng nhiều loại cây không khí mát mẻ.  Nhà 3 tầng, 4 ngủ lâu năm, khách mua về  thiết kế tổng thể lại toàn bộ đảm bảo cuộc sống như mơ.    - Pháp lý : Sổ đỏ chính chủ không lỗi phong thủy, giao dịch ngay  - Giá bán : 11,3 tỷ ( Thương lượng nhiệt tình, miễn trung gian)  - Liên hệ : Em Cường, Chuyên gia tư vấn Bđs, tư vấn miễn phí thủ tục pháp lý giúp khách mua nhà ưng ý.",15/09/2022,Tin thường,batdongsan_so_com_vn_1673801765.0316145, 4, 3,
"21,5 tỷ VNĐ",Đường Võng Thị phường Thụy Khuê, 92m2, 5, 3, 8,"Cam kết hình ảnh thật thông số thật , môi giới uy tín trung thục -  NHÀ MỚI ĐẸP - THIẾT KẾ HOÀN MỸ - 8 TẦNG THANG MÁY - 2 THOÁNG VĨNH VIỄN - KHÁCH THUÊ FULL PHÒNG  - DOANH THU CỰC KHỦNG 110TR/THÁNG ( 1,3TY/nắm ) giá thực tế +VỊ TRÍ thuộc ngõ 50 Võng Thị cực đẹp tầng 7, 8 là phong cảnh Hồ Tây lộng gió cùng những bữa tiệc BBQ ngoài trời mà khách Tây cực thích khi thuê trọ ở đây +Phòng đẹp thiết kế nội thất toàn đồ xịn full setup đầy đủ chỉ việc mang dép đến ở + Ngõ 50 Võng thị chỉ cần 100m là ra mặt phố Trích Sài, gần trường THCS Văn Thái ,  bãi đỗ xe ngày đêm ở đầu ngõ cách nhà 15m  Nhà có tổng diện tích 92m2  Mặt tiền 5m Giá chỉ 21,5 tỷ ( có thể thương lượng ) cực hợp lý so với giá đất và vật liệu xây dựng ngày càng tăng . Đặc biệt khi mà nhà nước sắp xiết chặt quản lý nhà đất khi sở hữu căn nhà thứ 2 thì việc sớm sở hữu 1 căn nhà cho ra dòng tiền và lợi nhuận lớn là vô cùng cần thiết  liên hệ 0774134888 để biết thêm chi tiết : Trung Tuấn chuyên môi giới nhà mặt phố . dòng tiền  - Bán nhà ngõ 45 Võng Thị 96m2 lô góc x5 tầng mặt tiền 9m giá 22 tỷ  tại Hồ Tây - Bán nhà ngõ 45 Võng Thị 190m2  x3 tầng mặt tiền 16m giá 68 tỷ  tại Hồ Tây - Bán nhà ngõ 45 Võng Thị 105m2 x9 tầng 20PN mặt tiền 6,3m giá 55 tỷ  tại Hồ Tây - Bán nhà mặt phố Võng Thị 63m2 x7 tầng mặt tiền 6m giá 43 tỷ  tại Hồ Tây - Bán nhà mặt phố  Võng Thị 219m2 x8 tầng mặt tiền 13m giá 90 tỷ  tại Hồ Tây",15/09/2022,Tin thường,batdongsan_so_com_vn_1673801766.5116541, 13, 13,
6 tỷ VNĐ,Đường Nguyễn Lương Bằng phường Nam Đồng, 45m2, 5, 4, 5," Thiết kế cực đẹp, hiện đại, trước nhà sáng thoáng, có sân để xe riêng
Tầng 3: 2 phòng ngủ, vệ sinh. Sổ đỏ chính chủ, cất két.  Tùng Thổ Cư – 0973661066",15/09/2022,Tin thường,batdongsan_so_com_vn_1673801768.1402993, 4, 4,
"16,5 tỷ VNĐ",Đường Lạc Long Quân phường Bưởi, 75m2, 6, 2, 8,"Chính chủ gửi bán Tòa nhà Căn Hộ dịch vụ cho thuê Cao Cấp tại Lạc Long Quân, khu Võng Thị sát Hồ Tây cực đẹp, được xây trên mảnh đất có 1 không 2, nhà 3 mặt thoáng, các phòng đều tràn ngập ánh sáng tự nhiên. Khu vực dân trí cao, giao thông đi lại thuận lợi, kinh doanh đuổi không hết khách.  Nhà được thiết kế dạng căn hộ Cao Cấp dành cho các gia đình trẻ, các bạn thích sống tự lập. Chủ nhà cẩn thận đến từng chi tiết, đã đầu tư Full nội thất, điều hòa, nóng lạnh, bếp từ cao cấp cho tất cả các căn. Hệ thống Phòng cháy chữa cháy đã được kiểm định. Khách mua chỉ việc kinh doanh, có thể cho đơn vị thứ 3 thuê toàn bộ chỉ việc thu tiền.   Doanh thu thừa sức trên 900tr/ năm.  - Pháp lý : Sổ đỏ chính chủ vuông đẹp, không lỗi phong thủy, giao dịch ngay.  - Giá bán : 16,5 tỷ ( Có gia lộc)  - Liên hệ : Em Cường, Chuyên gia tư vấn Bđs, tư vấn miễn phí thủ tục pháp lý giúp khách mua nhà ưng ý.",14/09/2022,Tin thường,batdongsan_so_com_vn_1673801769.8871362, 15, 16,
2 tỷ VNĐ,Xã Đàn, 20m2,,, 4,"+ Nhà nằm ở vị trí trung tâm Quận Đống Đa, vài bước ra đường lớn, bạt ngàn tiện ích, đi đâu cũng tiện, vài bước ra phố Xã Đàn. Đằng sau nhà có ngõ đi nên rất thoáng sáng.+ Chủ xây tâm huyết, đủ công năng cho 1 gia đình nhỏ hoặc vợ chồng mới cưới lập nghiệp.+ Mảnh đất ở rất có lộc, hiện chủ đang ở vì lí do chuyển công tác nên đành phải bán đi.+ Tầng 1: PK + Bếp + WC+ Tầng 2: 1PN + WC + Tầng 3: 1PN + WC + Tầng 4: Thờ + Sân phơi+ Sổ đỏ đẹp, nở hậu. Sẵn sàng giao dịch.+ Giá chào 2 tỷ (có thương lượng).+ Liên hệ ngay: 0354526316 Em Thế Anh (hỗ trợ xem nhà, tư vấn pháp lý, vay vốn ngân hàng, sang tên sổ đỏ).",14/09/2022,Tin thường,batdongsan_so_com_vn_1673801771.4130912, 2,,
"2,02 tỷ VNĐ",Đê La Thành, 21m2,,, 3,"- Vị trí trung tâm giao thông thuận tiện.- Ngõ thông, trước nhà rộng 3m- Gần chợ, trường học các cấp, ... tiện ích k thiếu thứ gì.- Nhà dân xây khung cột bên tông chắc chắn:- Thiết kế 3 tầng 1 tum:+ Tầng 1: để xe + bếp + wc+ Tầng 2: Phòng ngủ + wc.+ Tầng 3: phòng ngủ + wc(để máy giặt + ban công phơi đồ)+ Tầng tum+ Sổ đỏ đẹp, nở hậu. Sẵn sàng giao dịch.+ Giá chào 2.02 tỷ (có thương lượng).+ Liên hệ ngay: 0354526316 Em Thế Anh (hỗ trợ xem nhà, tư vấn pháp lý, vay vốn ngân hàng, sang tên sổ đỏ).",14/09/2022,Tin thường,batdongsan_so_com_vn_1673801772.5629766,,,
