price,address,Diện tích,Mặt tiền,Số tầng,Details,Ngày đăng,Loại tin,id,Số phòng ngủ,Lộ giới
,"XUÂN PHƯƠNG, NAM TỪ LIÊM, HN", 110m2, 5, 7,"CẦN BÁN GẤP NHÀ CCMN XUÂN PHƯƠNG NAM TỪ LIÊM 110m 7 tầng Thang máy Mt 5m Nhỉnh 15 tỷ. + Vị trí đẹp: Gần nhiều trường Đại Học, Đại Học Công Nghiệp Hà Nội, Đại Học Thành Đô, Đại Học Thương Mại. + Địa điểm : Độc  quyền, Xung quanh không có căn hộ cho thuê.  Khu vực Đông Sinh viên, Công nhân. Học tập và làm việc + Tiện ích: 23 Phòng khép kín Sẵn ở. +  Diện tích: 110m2  Sổ đỏ chính chủ, pháp lý sạch. Sẵn sàng sang tên. + Giá Bán:  Thương Lượng Trực Tiếp Liên hệ: Đức Thổ Cư HN  0898839292 (Liên hệ tư vấn, xem nhà hoàn toàn miễn phí). Tôi đang có rất nhiều căn nhà với nhiều phân khúc khác nhé.",25/05/2022,Tin thường,batdongsan_so_com_vn_1673802589.9479685,,
"7,1 tỷ VNĐ","MỸ ĐÌNH, NAM TỪ LIÊM , HN", 80m2, 5,,"BÁN ĐẤT MỸ ĐÌNH ĐÌNH THÔN HIẾM 80M MT5,5 NHỈNH 7 TỶ      + Vị trí rất đẹp: Giao thông thuận tiện, Gần bến xe mỹ đình. Gần các trường đại học Thương Mại, đại học quốc gia, đại học sư phạm... + Địa điểm: - Khu phát triển mạnh - Dân cư đông đúc, nhiều học sinh sinh viên, công nhân, nhân viên văn phòng. +  Giá:   Thương lượng . + Liên hệ: Em Đức 0898839292. (Liên hệ tư vấn, trao đổi xem nhà hoàn toàn miễn phí). ",24/05/2022,Tin thường,batdongsan_so_com_vn_1673802591.237517,,
"8,8 tỷ VNĐ","LÊ ĐỨC THỌ ,DỊCH VỌNG HẬU, CẦU GIẤY,HN", 60m2, 4, 7,"+ Vị trí rất đẹp: Gần các trường đại học Thương Mại, đại học quốc gia, đại học sư phạm... + Địa điểm: - Khu phố Chung cư - Dân cư đông đúc, nhiều học sinh sinh viên, công nhân, nhân viên văn phòng. + Tiện ích: Nhà mới,đầy đủ nội thất phòng khép kín. 60tr/ tháng +  Giá:   Thương lượng . + Liên hệ: Em Đức 0898839292. (Liên hệ tư vấn, trao đổi xem nhà hoàn toàn miễn phí).",23/05/2022,Tin thường,batdongsan_so_com_vn_1673802592.2926981,,
4 tỷ VNĐ,"NAM TỪ LIÊM , HN", 40m2, 7, 6,"+ CẦN BÁN NHÀ Mỹ Đình CHMN  50m 6 tầng Mt 7m Ô tô vào tận cửa Dòng tiền 15tr/tháng   Nhỉnh 4 tỷ + Vị trí đẹp: Gần nhiều trường Đại Học, ĐH Thương Mại, ĐH Quốc Gia , ĐH Sư Phạm, Chợ, Bến xe Mỹ Đình, Đường vành đai 3, đường Hồ tùng mậu, đường lê đức thọ, Đường nguyễn cơ thạch, phố Hàm Nghi... + Địa điểm : Hot kinh doanh,Cho thuê, Đông Sinh viên, Công nhân. Học tập và làm việc + Tiện ích: Doanh thu Ổn định.  Sẵn ở , Sạch sẽ yên tĩnh, Đường rộng Ô tô vào. +  Diện tích: 95m2  Sổ đỏ chính chủ, pháp lý sạch. Thủ tục nhanh gọn. + Giá Bán:  Thương Lượng Trực Tiếp Liên hệ: Đức Thổ Cư HN  0898839292",17/05/2022,Tin thường,batdongsan_so_com_vn_1673802593.6352148, 5,
"10,8 tỷ VNĐ","NAM TỪ LIÊ, HN", 95m2, 6, 5,"+ CẦN BÁN NHÀ MỄ TRÌ 95m 5 tầng Mt 6m Ô tô vào tận cửa  Nhỉnh 10 tỷ + Vị trí đẹp: Gần nhiều trường Đại Học, ĐH Thương Mại, ĐH Quốc Gia , ĐH Sư Phạm, Chợ.. + Địa điểm : Hot kinh doanh,Cho thuê, Đông Sinh viên, Công nhân. Học tập và làm việc + Tiện ích: Doanh thu Ổn định.  Sẵn ở , Sạch sẽ yên tĩnh, Đường rộng Ô tô tránh nhau. +  Diện tích: 95m2  Sổ đỏ chính chủ, pháp lý sạch. Thủ tục nhanh gọn. + Giá Bán:  Thương Lượng Trực Tiếp Liên hệ: Đức Thổ Cư HN  0898839292",17/05/2022,Tin thường,batdongsan_so_com_vn_1673802594.6504986,,
"12,6 tỷ VNĐ",mễ trì nam từ liêm hn, 96m2, 6, 6,"+ CẦN BÁN NHÀ Dòng Tiền Mỹ Đình Căn Hộ Cao Cấp  96m 6 tầng Mt 6,5m Nhỉnh 12 tỷ. + Vị trí đẹp: Gần nhiều trường Đại Học, ĐH Thương Mại, ĐH Quốc Gia , ĐH Sư Phạm, Gần bến xe Mỹ Đình, , Nguyễn Hoàng, Hồ Tùng Mậu, Lê Đức Thọ, Bệnh Viện 19-8, Chợ.. + Địa điểm : Hot kinh doanh,Cho thuê, Đông Sinh viên, Công nhân. Học tập và làm việc + Tiện ích: Doanh thu gần 1 Tỷ/ 1 năm.  Sẵn ở , Sạch sẽ yên tĩnh, Đường rộng Ô tô tránh nhau. +  Diện tích: 96m2  Sổ đỏ chính chủ, pháp lý sạch. Thủ tục nhanh gọn. + Giá Bán:  Thương Lượng Trực Tiếp Liên hệ: Đức Thổ Cư HN  0898839292",11/05/2022,Tin thường,batdongsan_so_com_vn_1673802596.606266,,
"8,2 tỷ VNĐ","QUAN HOA, CẦU GIẤY, HN", 99m2, 4, 5,"+ Bán nhà Quan Hoa Cầu Giấy 99m2 x 5 tầng Mt4.5m 2  mặt thoáng trước sau, kinh doanh văn phòng, căn hộ cho thuê tốt. + Vị trí rất đẹp: Quan Hoa Khang Trung tâm Cầu giấy. + Gần trường Đại Học, gần trục đường chính: Láng Hạ, Cầu Giấy, Bến Xe Cầu Giấy, ĐH Sư Phạm, ĐH Quốc Gia, Học viên Báo chí Tuyên truyền, ĐH Giao Thông Vận Tải.. + Địa điểm. Kinh doanh cho thuê rất tốt. Dân cư đông đúc, nhiều học sinh sinh viên, công nhân, nhân viên văn phòng. + Tiện Ích: Nhà chủ tự xây tâm huyết, chắc chắn, nhà 2 mặt thoáng. +  Diện tích: 100m2  Sổ Vuông  đẹp, Chính chủ cất tủ, pháp lý sạch, sẵn sang tên. +  Giá:   tỷ ( Có thương lượng ). + Liên hệ: Đức Thổ Cư HN 0898839292.",09/05/2022,Tin thường,batdongsan_so_com_vn_1673802597.8748739, 5,
"8,2 tỷ VNĐ","CẦU GIẤY, HN", 100m2, 4, 5,"+ Bán nhà Cầu Giấy 100m2 x 5 tầng Mt4.5m 2 thoáng, kinh doanh văn phòng, căn hộ cho thuê tốt. + Vị trí rất đẹp: Trung tâm Cầu giấy. + Gần trường Đại Học,  gần trục đường chính Cầu Giấy, Nguyễn Khang, Bến Xe Cầu Giấy, ĐH Sư Phạm, ĐH Quốc Gia, Học viên Báo chí Tuyên truyền, ĐH Giao Thông Vận Tải. + Địa điểm. Kinh doanh cho thuê rất tốt. Dân cư đông đúc, nhiều học sinh sinh viên, công nhân, nhân viên văn phòng. + Tiện Ích: Nhà chủ tự xây tâm huyết, chắc chắn, nhà 2 thoáng. +  Diện tích: 100m2 Vuông  đẹp ,Sổ Chính chủ cất tủ, pháp lý sạch, sẵn sang tên. +  Giá:   tỷ ( Có thương lượng ). + Liên hệ: Đức Thổ Cư HN 0898839292.",09/05/2022,Tin thường,batdongsan_so_com_vn_1673802598.9150896, 6,
"10,2 tỷ VNĐ","cầu giấy , hn", 50m2, 6, 6,"+ Bán nhà Cầu Giấy 50m2 x 6 tầng Mt6m thang máy êm du . + Vị trí rất đẹp: Một bước ra phố ô tô tránh đỗ. + Gần trường  gần trục đường chính, đường lớn Xuân Thủy CG, Bến Xe Mỹ Đình, ĐH Sư Phạm, ĐH Quốc Gia, Học viên Báo chí Tuyên truyền.. + Địa điểm. Kinh doanh cho thuê tốt. Cạnh nhà có bãi gửi xe ngày đêm. +  Diện tích: 50m2 Sổ Chính chủ cất tủ, pháp lý sạch, sẵn sang tên. +  Giá:   tỷ ( Có thương lượng ). + Liên hệ: Đức Thổ Cư HN 0898839292",07/05/2022,Tin thường,batdongsan_so_com_vn_1673802600.0989232,,
"2,6 tỷ VNĐ","Nam từ liêm, hà nội", 32m2, 3, 4,"+ CẦN BÁN NHÀ HIẾM Hồ Tùng Mậu 32m2 Mt3,7m Nhỉnh 2 tỷ chút xíu + Vị trí đẹp: Gần nhiều trường Đại Học, ĐH Mỏ Địa Chất, ĐH Công Nghiệp HN, ĐH Thương Mại, ĐH Quốc Gia , ĐH Sư Phạm, Gần bến xe Mỹ Đình, Đường 32, Nguyễn Hoàng, Hồ Tùng Mậu, Lê Đức Thọ, Bệnh Viện 19-8, Chợ.. + Địa điểm : Hot kinh doanh Cho thuê, Đông Sinh viên, Công nhân. Học tập và làm việc + Tiện ích:  Sẵn ở , Sạch sẽ yên tĩnh +  Diện tích: 32m2  Sổ đỏ chính chủ, pháp lý sạch. Thủ tục nhanh gọn. + Giá Bán:  Thương Lượng Trực Tiếp Liên hệ: Đức Thổ Cư HN  0898839292",07/05/2022,Tin thường,batdongsan_so_com_vn_1673802601.3306277,,
