price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Details,Ngày đăng,Loại tin,id,Số phòng ngủ
"6,7 tỷ VNĐ","CẦU GIẤY, HN", 47m2, 5, 10, 6,"+ Bán nhà Nguyễn khang 47m2, 6 tầng thang máy mới nguyên, Ngõ thông, Cho thuê kinh doan. + Vị trí rất đẹp: Vài bước ra phố ô tô tránh đỗ. Lô góc hai mặt tiền. + Gần trường  gần trục đường chính, đường lớn. + Địa điểm. Kinh doanh cho thuê tốt. +  Diện tích: 47m2 +  Giá:  6,7 tỷ ( Có thương lượng ). + Liên hệ: Đức 0898839292",01/05/2022,Tin thường,batdongsan_so_com_vn_1673802648.7032597,
4 tỷ VNĐ,"VẠN PHÚC , HÀ ĐÔNG", 39m2,,,,"+ Bán nhà Ngô Quyền Hà Đông, kinh doanh Cho thuê văn phòng.+ Vị trí đẹp: ĐANG PHÁT TRIỂN MẠNH, GIÁ ĐANG TĂNG NHANH , CHỦ NHÀ THIỆN TRÍ+ Hà Đông, Gần Đường chính lớn, Phố Ô tô tránh đỗ.+ Địa điểm : Ngô quyền Hà Đông, Ô tô đỗ cửa, 1 bước ra Phố đường lớn nhộn nhịp , giao thương thuận lợi.+ Diện tích: 39m2 X 5 tầng Sổ đỏ chính chủ, pháp lý sạch.+ Giá: 4 tỷ ( Có thương lượng ).Miễn môi giới và trung gian..!Liên hệ: Đức 0898839292.",01/05/2022,Tin thường,batdongsan_so_com_vn_1673802650.3229241,
"7,9 tỷ VNĐ",TRUNG HÒA CẦU GIẤY HN, 73m2, 6, 5, 4,"+ Kiến Trúc Sư Về Quê ở Bán Nhà 73m2.Hai ngõ thông+Tiện ích ngập tràn, Gần Trường Đại Học, Công ty.. Kinh doanh, Cho thuê rất tốt..+ Vị trí rất đẹp: Nhà thoáng Ô tô đỗ ngay nhà. Trung tâm phát triển, Sầm uất, tiện đi lại.+ Gần trường Đại Học Lao Động và Xã Hội, Phương Đông, Trung Tâm thương mại, Siêu thị, chợ, gần trục đường chính, đường lớn.+ Địa điểm Nguyễn Khang , Khu Dân trí cao, nhiều dịch vụ tiện ích, vui chơi giải trí.+ Diện tích: 73m2+ Giá: 7,9 tỷ ( Có thương lượng ).Miễn môi giới và trung gian..!Liên hệ: Đức 0898839292(Liên hệ để được tư vấn, xem nhà hoàn toàn miễn phí).Tôi đang có rất nhiều căn nhà với nhiều phân khúc khác nha.",30/04/2022,Tin thường,batdongsan_so_com_vn_1673802652.6950924, 4
7 tỷ VNĐ,"CẦU GIẤY, HN", 73m2,,,,"+ Kiến Trúc Sư Về Quê ở Bán Nhà 73m2 mới Không sứt mẻ lại còn rẻ. Tiện ích ngập tràn, Gần Trường Đại Học, Công ty.. + Vị trí rất đẹp: Trung tâm phát triển, Sầm uất, tiện đi lại. + Gần trường Đại Học Lao Động và Xã Hội, Phương Đông, Trung Tâm thương mại, Siêu thị, chợ, gần trục đường chính, đường lớn. + Địa điểm Trần Duy Hưng , Khu Dân trí cao, nhiều dịch vụ tiện ích, vui chơi giải trí. +  Diện tích: 73m2 +  Giá: 6,9 tỷ ( Có thương lượng ). Miễn môi giới và trung gian..! Liên hệ: Đức Phố 0898839292 (Liên hệ để được tư vấn, xem nhà hoàn toàn miễn phí). Tôi đang có rất nhiều căn nhà với nhiều phân khúc khác nha.",29/04/2022,Tin thường,batdongsan_so_com_vn_1673802655.1973975,
"8,9 tỷ VNĐ","BIÊN GIANG, HÀ ĐÔNG", 222m2, 15, 6,,"+ BÁN GẤP ĐỂ VÀO NAM NHÀ Biên Giang Hà Đông, Cho thuê Rất tốt 20TR/1 THÁNG. + Vị trí đẹp: ĐANG PHÁT TRIỂN MẠNH, GIÁ ĐANG TĂNG NHANH , CHỦ NHÀ THIỆN TRÍ +  Hà Đông, Gần Đường chính lớn, Phố Ô tô tránh đỗ. + Địa điểm : Biên giang  Hà Đông, Ô tô đỗ cửa, 1 bước ra Phố đường lớn nhộn nhịp , giao thương thuận lợi. +  Diện tích: 222 m2 X 5 tầng  Sổ đỏ chính chủ, pháp lý sạch. +  Giá: 9 tỷ ( Có thương lượng ). Miễn môi giới và trung gian..! Liên hệ: Đức Phố 0898839292. (Liên hệ để được tư vấn, xem nhà hoàn toàn miễn phí). Tôi đang có rất nhiều căn nhà với nhiều phân khúc khác nha.",29/04/2022,Tin thường,batdongsan_so_com_vn_1673802657.2708719,
10 tỷ VNĐ,VĂN QUÁN HÀ ĐÔNG HN, 85m2, 5, 8, 5,"+ Cần bán nhà Văn Phú Hà Đông, Đẹp. Ở thuận tiện,cho thuê Rất tốt. Mới xây đẹp lung linh, Thiết kế sang trọng công năng đầy đủ .. + Vị trí đẹp: Trung Tâm Hà Đông thuận tiện, KDT Văn Quán, Giao thương dễ dàng, Đô thị phát triển.. +  Trung tâm Hà Đông, Gần Đường chính lớn, Gần Trường Đại Học Kiến Trúc,Công Nghệ Giao Thông Vận Tải, ĐH KHXHNV, nhộn nhịp KĐT phát triển mạnh, Công viên, chợ, tiện ích .. + Địa điểm :Văn Phú Hà Đông, Ô tô đỗ cửa,Phố đường lớn nhộn nhịp , giao thương thuận lợi, dân cư đông đúc. +  Diện tích: 83m2 X 5 tầng  Sổ đỏ chính chủ, pháp lý sạch. +  Giá: 11.5 tỷ ( Có thương lượng ). Miễn môi giới và trung gian..! Liên hệ: Đức Phố 0898839292. (Liên hệ để được tư vấn, xem nhà hoàn toàn miễn phí). Tôi đang có rất nhiều căn nhà với nhiều phân khúc khác nha.",29/04/2022,Tin thường,batdongsan_so_com_vn_1673802658.851623, 5
"11,5 tỷ VNĐ","VĂN QUÁN,HÀ ĐÔNG", 85m2, 5, 8, 5,"+ Cần bán nhà Văn Quán Hà Đông, Đẹp. Ở thuận tiện,cho thuê Rất tốt. Mới xây đẹp lung linh, Thiết kế sang trọng công năng đầy đủ .. Cho thuê văn phòng rất tốt , T1 thông sàn+ Vị trí đẹp: Trung Tâm Hà Đông thuận tiện, KDT Văn Quán, Giao thương dễ dàng, Đô thị phát triển..+  Trung tâm Hà Đông, Gần Đường chính lớn, Gần Trường Đại Học Kiến Trúc,Công Nghệ Giao Thông Vận Tải, ĐH KHXHNV, nhộn nhịp KĐT phát triển mạnh, Công viên, chợ, tiện ích ..+ Địa điểm :Văn Quán Hà Đông, Ô tô đỗ cửa,Phố đường lớn nhộn nhịp , giao thương thuận lợi, dân cư đông đúc.+  Diện tích: 83m2 X 5 tầng  Sổ đỏ chính chủ, pháp lý sạch.+  Giá: 11.5 tỷ ( Có thương lượng ).Miễn môi giới và trung gian..!Liên hệ: Đức Phố 0898839292.(Liên hệ để được tư vấn, xem nhà hoàn toàn miễn phí).Tôi đang có rất nhiều căn nhà với nhiều phân khúc khác nha.",28/04/2022,Tin thường,batdongsan_so_com_vn_1673802660.6378434, 5
"19,6 tỷ VNĐ","hồ tùng mậu, mai dịch", 120m2, 5, 6,,"+ Bán nhà 120m2x6T MT 5m  tầng Mai Dịch Đang cho thuê 130tr/ tháng. Full phòng 150tr/tháng + Vị trí đẹp: Trung tâm Phát triển, các khu đô thị xung quanh, Nhiều dịch vụ tiện ích. Dân cư đông, Dân trí cao,  nhiều người ngoại quốc sinh sống. + Địa điểm : Gần Bến xe Mỹ Đình, Ôtô đỗ cửa, tránh nhau , đường hai chiều, vỉa hè rất rộng. + Tiện ích: Đang Kinh doanh cho thuê rất tốt, Dân trí cao, Gần Trung tâm nhộn nhịp phát triển rất mạnh, Gần các trường Đại Học - Cao Đẳng, cơ quan, công ty.. +  Diện tích: 120m2 x 7 tầng  Sổ đỏ chính chủ, pháp lý sạch. + Giá: 19 tỷ ( Có thương lượng trực tiếp chủ nhà) Miễn môi giới và trung gian..! Liên hệ: Đức Phố 0898839292. (Liên hệ để được tư vấn, xem nhà hoàn toàn miễn phí). Tôi đang có rất nhiều căn nhà với nhiều phân khúc khác nha",28/04/2022,Tin thường,batdongsan_so_com_vn_1673802661.867555,
"16,66 tỷ VNĐ","MỸ ĐÌNH, HN", 120m2, 5, 6, 7,"+ Bán nhà 120m2 Mỹ Đình Đang cho thuê 130tr/ tháng. Full phòng 150tr/tháng + Vị trí đẹp: Gần Các Trường Đại Học, Bến xe, Nhiều dịch vụ tiện ích. Dân cư đông, Dân trí cao nhiều người ngoại quốc sinh sống. + Địa điểm : Gần Bến xe Mỹ Đình, Thuận tiện Kinh doanh Cho thuê Rất tốt , Ôtô đỗ cửa, tránh nhau , đường hai chiều, vỉa hè rất rộng. + Tiện ích: Đang Kinh doanh cho thuê rất tốt, Dân trí cao, Gần Trung tâm nhộn nhịp phát triển rất mạnh, Gần các trường Đại Học, cơ quan, công ty.. +  Diện tích: 120m2 x 7 tầng  Sổ đỏ chính chủ, pháp lý sạch. Miễn môi giới và trung gian..! Liên hệ: Đức Phố 0898839292. (Liên hệ để được tư vấn, xem nhà hoàn toàn miễn phí). Tôi đang có rất nhiều căn nhà với nhiều phân khúc khác nha",28/04/2022,Tin thường,batdongsan_so_com_vn_1673802663.9909084,
"6,9 tỷ VNĐ",NAM TỪ LIÊM. HN, 126m2, 7, 5,,"+ Bán  Đất 126m2 Tương lại Mặt phố MT 7m, Ngõ thông, ô tô kinh doanh,Công ty, Gần khu đất dịch vụ đấu giá.. + Vị trí rất đẹp: Tương lai khu phố tiềm năng, Đô thị, Trung tâm phát triển, Sầm uất, tiện đi lại. + Gần trường Cao Đẳng Công Nghệ, Vinhome Smartcyti , Siêu thị, Bệnh Viện Hồng Ngọc, gần trục đường chính, đường lớn. + Địa điểm. Tương lai Trung tâm đô thị mới +  Diện tích: 126m2 +  Giá:  6.8 tỷ ( Có thương lượng ). Miễn môi giới và trung gian..! Liên hệ: Đức Phố 0898839292 (Liên hệ để được tư vấn, xem nhà hoàn toàn miễn phí). Tôi đang có rất nhiều căn nhà với nhiều phân khúc khác nha.",27/04/2022,Tin thường,batdongsan_so_com_vn_1673802665.8592181,
