price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Số tầng,Mặt tiền,Số phòng ngủ,Số toilet,Lộ giới
"5,5 tỷ VNĐ","Pháp Vân, Ngọc Hồi HN", 36m2,"+ Nhà đẹp mới coong 5 tầng, nở hậu , trước sau 2 mặt thoáng, kinh doanh tốt + t1 kinh doanh hoặc để xe ô tô + bếp, wc + T2 p khách rộng, t 2-3 có 4p ngủ, t5 p thờ, sân phơi, công năng đầy đủ + Sổ cất két giao dịch ngay",08/09/2022,Tin thường,batdongsan_so_com_vn_1673803410.0473971,,,,,
"5,5 tỷ VNĐ","hoàng mai, hà nội", 75m2,"7Bán nhà Hoàng Mai, Phố Tân Mai, 75m, 5t, 5,5 tỷ.+ Nhà mới, ngõ thông, 5M oto tránh kinh doanh, 6 ngủ đầy đủ công năng, hai mặt thoáng vĩnh viễn.+ Gần Giải Phóng, Kim Đồng, Tam Trinh, Trương Định, Hoàng Mai, trường Đại Học Kinh Tế Quốc Dân Xây Dựng, Bách khoa, Bến Xe Giáp Bát, Bệnh viện Bạch Mai, hưởng trọn tiện ích của các chung cư lân cận.+ Sổ đỏ chính chủ sẵn sàng giao dịch.Lh: 0346363362 : Phú Gia chuyên nhà phố Hà Nội.",08/09/2022,Tin thường,batdongsan_so_com_vn_1673803412.0330648,,,,,
24 tỷ VNĐ,Hoàng Hoa Thám, 86m2,"Cần bán nhà mặt phố Hoàng Hoa Thám, Ba Đình Diện tích 86m,nhà 1 tầng cũ bán đất,mặt tiền 5.70m Đoạn nhà mình đẹp nhất dãy phố, vỉa hè trước nhà rộng thênh thang.Phố ô tô 2 chiều, kinh doanh ngày đêm, hiện đang cho thuê vui tầng 1 là 20tr/tháng Nhà 1 tầng cũ phù hợp khách mua về xây dựng kinh doanh tuyệt vời Sổ đỏ chính chủ,giao dịch ngay Giá 24 tỷ có thương lượng Liện hệ : Tùng BĐS 0981 669 144 - Chuyên nhà đất thổ cư Hà Nội",08/09/2022,Tin thường,batdongsan_so_com_vn_1673803413.2598224,,,,,
"7,8 tỷ VNĐ",Khương Đình Thanh Xuân Hà Nội, 45m2,"LÔ GÓC THANG MÁY Ô TÔ KINH DOANH PHỐ KHƯƠNG ĐÌNH TX 45M 6T MT 5.4 CHỈ 7.8 TỶVị trí nhà 6 tầng lô góc 2 mặt thoáng vĩnh viễn, cầu thang máy mới đẹp long lanh,  Kinh doanh, văn phòng cực tốt+ Thiết kế thang máy nhập khẩu xịn xò cực đẹp, đẳng cấp, cầu thang bộ tay vịn gỗ, thiết kế tất cả mỗi tầng 1 phòng (thông sàn) + vệ sinh đẹp long lanh. Tầng 1: Phòng khách + vệ sinh đẹp.- Tầng 2, 3, 4, 5: Mỗi tầng 1 phòng ngủ đẹp hiện đại + vệ sinh- Tầng 6: Phòng Thờ + sân phơi.+ Giá chào: 7.8 tỷ (Có thương lượng)+ Sổ đỏ chính chủ vuông đẹp, sẵn sang giao dịch.Liên hệ: Mrs Phượng 0974352054 - Tư vấn tận tâm, miễn phí 24/24h (zalo, Fb) , hỗ trợ tư vấn Pháp lý, vay vốn.",08/09/2022,Tin thường,batdongsan_so_com_vn_1673803414.5573497, 6,,,,
9 tỷ VNĐ,phúc la, 52m2,"Bán Nhà, Xa La. Hà Đông. Ô Tô Kinh Doanh 52m2 x 6 tầng. Mặt Tiền 4.1m Giá 9 Tỷ.   MẶT PHỐ - KINH DOANH SẦM UẤT – Ô TÔ ĐỖ NGÀY ĐÊM  + Nhà mặt phố Xa La cách đường Phùng Hưng vài chục mét, giao với các đường Trần Phú, Nguyễn Trãi, Ngã Tư Sở, Quang Trung, Cen Cô 5, Ngả đi các hướng nội thành và các tỉnh lân cận rất thuận tiện. + Nhà gần các trường đại học lớn như; Đại Học Kiến Trúc, Bưu Chính Viễn Thông, gần Trung Tâm Thương mại Roal Anl CiTy, Bệnh Viện 103, Viện Bỏng, Học Viện Quân Y, gần Siêu Thị BigC Hồ Gươm, Siêu Thị Coopmax Hà Đông, Chợ Hà Đông, Huyện Uỷ Hà Đông, cũng như rất nhiều dịch vụ xung quanh đa dạng và phong phú các loại hình vui chơi giải trí khác. Giao thông thuận tiện, an sinh đỉnh, an ninh an toàn. + Nhà nằm trên khu phố sầm uất và rất tấp lập của Hà Đông, buôn bán, kinh doanh, hàng ăn, spa, văn phòng và các loại hình dịch vụ rất đa dạng và phát triển.  + Nhà thiết kế 6 tầng:                                                                                                          - - - Tầng 1: Phòng khách, Bếp, wc  - Tầng 2,3,4,5: Mỗi tầng 2 phòng ngủ và wc - Tầng 6 : Phòng thờ, sân phơi. + Nhà xây dựng bê tông cốt thép rất chắc chắn, nhà mới đẹp chủ mới về chỉ việc ở.  Sổ đỏ chính chủ, cất két sẵn sàng giao dịch.   LH: E KHÁNH: 0984568179 ",08/09/2022,Tin thường,batdongsan_so_com_vn_1673803416.3645153, 6, 4, 8, 5,
"6,5 tỷ VNĐ",cầu giấy hà nội, 66m2,"+ Bán Nhà Phố Trung Kính, Quận Cầu Giấy- Kinh Doanh 66m 3tầng giá 6.5Tỷ. Giao với các phố; Trần Duy Hưng, Nguyễn Ngọc Vũ, Trung Hòa, Trần Thánh Tông, Nguyễn Khang… + Ngõ thông rộng ô tô đỗ cửa, cho thuê văn phòng, kinh doanh nhà nghỉ,  dòng tiền tốt mỗi tháng thu về từ 30 đến 35 triệu. + Chủ bán để sang nước ngoài định cư với con, căn nhà rất có lộc không lỗi phong thủy. + Sổ đỏ cất két, sẵn sàng giao dịch. + Liên hệ; 0911303899 - Mr Quân. Tư vấn miễn phí 24/24.",08/09/2022,Tin thường,batdongsan_so_com_vn_1673803417.843565,,,,,
"12,8 tỷ VNĐ",Trần Quốc Hoàn, 41m2,"Cần bán nhà phân lô ngõ 201 Trần Quốc Hoàn,Cầu GiấyDiện tích 41m x 6 tầng,mặt tiền 4m Nhà đẹp nằm trung khu phân lô của ĐH Ngoại Ngữ.Ngõ rộng ô tô 7 chỗ vào nhà, kinh doanh, văn phòngNhà thiết kế phong cách hiện đại,nhà gần như mới khách mua về ở được ngaySổ đỏ chính chủ,giao dịch ngayGiá 12.8 tỷ có thương lượng Liện hệ : Tùng BĐS 0981 669 144 - Chuyên nhà đất thổ cư Hà Nội ",08/09/2022,Tin thường,batdongsan_so_com_vn_1673803419.4592755,,,,,
"7,1 tỷ VNĐ",văn quán, 56m2,"Bán Nhà, Chiến Thắng. Hà Đông. Ô Tô Kinh Doanh 56m2 x 5 tầng. Mặt Tiền 4.2m Giá 7.1 Tỷ.    PHÂN LÔ - KINH DOANH SẦM UẤT – Ô TÔ ĐỖ NGÀY ĐÊM – VỈA HÈ RỘNG  + Nhà phân lô, cách đường Chiến Thắng vài bước chân, giao với các đường Trần Phú, Nguyễn Trãi, Ngã Tư Sở, Quang Trung, Ngả đi các hướng nội thành và các tỉnh lân cận rất thuận tiện. + Nhà gần các trường đại học lớn như; Đại Học Kiến Trúc, Bưu Chính Viễn Thông, Học Viện An Ninh, gần Trung Tâm Thương mại Roal Anl CiTy, Bệnh Viện 103, gần Siêu Thị BigC Hồ Gươm, Siêu Thị Coopmax Hà Đông, Chợ Phùng Khoang, cách Hồ Văn Quán vài trăm mét, cũng như rất nhiều dịch vụ xung quanh đa dạng và phong phú các loại hình vui chơi giải trí khác. Giao thông thuận tiện, an sinh đỉnh, an ninh an toàn. + Nhà nằm trên khu phố sầm uất và rất tấp lập của Hà Đông, buôn bán, kinh doanh, hàng ăn, spa, văn phòng và các loại hình dịch vụ rất đa dạng.  + Nhà thiết kế 5 tầng:                                                                                                          - - - Tầng 1: Phòng khách, Bếp, wc  - Tầng 2,3,4: Mỗi tầng 2 phòng ngủ và wc - Tầng 5 : Phòng thờ, sân phơi. + Nhà xây dựng chắc chắn, kiên cố. Chủ thiện chí bán để mau biệt thự.  Sổ đỏ chính chủ, cất két sẵn sàng giao dịch.   LH: E KHÁNH: 0984568179 ",08/09/2022,Tin thường,batdongsan_so_com_vn_1673803420.794711, 5,, 6, 4,
"3,5 tỷ VNĐ",Đường Thượng Thanh phường Thượng Thanh, 47m2," Gia đình cần bán nhanh mảnh đất đẹp nhất phường Thượng Thanh + Diện tích 47m, mặt tiền 3,6m  + Đường trước nhà rộng 3,5m, thông thoáng, ô tô vào đất  + Cách 20m ra đường ô tô tránh nhau thoải mái + Đường thông mọi ngả, đi từ Lý Sơn hay Thượng Thanh đều vào được + Cách Big C Long Biên vài trăm m, sang Phố Cổ chỉ 10 - 15 phút xe máy  + Xung quanh có nhiều khu chung cư cao cấp, công viên công cộng phục vụ cho mọi người + Dân cư sầm uất, đa dạng các loại hình dịch vụ, trường học, chợ, siêu thị chỉ cần đi bộ cũng đến + Sổ đỏ chính chủ Giá bán : 3,5 tỷ ( Có thương lượng ). Liên hệ : 0373968926 ( Miễn trung gian ).",08/09/2022,Tin thường,batdongsan_so_com_vn_1673803422.1470935,, 3,,,
"4,2 tỷ VNĐ",Đường Tây Sơn phường Quang Trung, 50m2,"+ phân lô, ô tô quân đội đẹp nhất phố Tây Sơn, vô cùng thoáng mát, dân trí cao, an ninh tốt.Nhà thiết kế bê tông cốt thép vô cùng chắc chắn, ở ngay.- Tầng 1: Phòng khách, bếp, vệ sinh.- Tầng 2,3,4: Mỗi tầng 1 phòng vệ sinh khép kín.- Tầng 5: Phòng thờ, sân phơi.+ Sổ đỏ phân lô nở hậu siêu đẹp+ Sổ đỏ, chính chủ, sang tên nhanh.",08/09/2022,Tin thường,batdongsan_so_com_vn_1673803423.4396353, 4, 5, 3, 4, 15
