price,address,Diện tích,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Mặt tiền
"5,4 tỷ VNĐ",Đường Ngõ Quỳnh phường quỳnh lôi, 35m2, 1, 5, 4, 3,"+ Nhà nằm mặt ngõ to rộng , kinh doanh sầm uất, thông các ngả, giao thông thuận tiện, gần các trường tiểu học, trung học, các cấp.. bệnh viện   + Ngõ quỳnh thông thương với các tuyến phố Chùa Quỳnh, Bạch Mai, Minh Khai, Hồng mai + Tầng 4: Phòng thờ , sân phơi ",02/09/2022,Tin thường,batdongsan_so_com_vn_1673804765.4029744,
6 tỷ VNĐ,Đường Bằng Liệt phường Hoàng Liệt, 64m2,,,,,"Bán nhà riêng đường Bằng Liệt, Hoàng Mai, 64m2 giá chỉ từ 90tr/m2  Thông số diện tich 33m2, mặt tiền 4m  + Nhà cũ, chủ xác định bán đất. Khách mua đập đi xây tòa nhà 6, 7 tầng thang máy vừa ở vừa kinh doanh, làm nhà hàng, văn phòng... đều vô cùng đẹp. Tầng 2: 2 phòng ngủ, WC.  ",02/09/2022,Tin thường,batdongsan_so_com_vn_1673804766.8510995, 5
"6,2 tỷ VNĐ",Đường Nguyễn Sơn phường Phúc Đồng, 58m2, 7, 2, 2, 2,"
    
PHÂN LÔ ÔTÔ TRÁNH Khu 918 Phúc Đồng Long Biên 58m 2 tầng 6.2 tỷ

+ Vị trí đắc địa, hàng xóm Aeon Mall, vài phút là lên Cầu Vĩnh Tuy, đường vào nhà rải nhựa alphane, ô tô vào nhà thoải mái

+ Nhà 2 tầng đẹp đầy đủ công năng khách mua về ở hay đập đi xây căn 6 tầng thang máy thì cực đỉnh.

+ Sổ đỏ chính chủ, chủ là giám đốc công ty xây phá cực giàu cực lộc đã mua Vinhomes ở nhà để không (nếu cho thuê 5t/tháng đầy khách)

Lh 0904264580 gặp Hương thổ dân để được tư vấn hỗ trợ mua giá tốt.
",02/09/2022,Tin thường,batdongsan_so_com_vn_1673804770.6538699, 4
"3,85 tỷ VNĐ",Đa Sỹ - Kiến Hưng - Hà Đông, 62m2,,, 3,,"BÁN GẤP NHÀ KIẾN HƯNG - 62m*2T - NGÕ Ô TÔ - GIÁ CHỈ 3.X TỶ+ Nhà nằm tại trung tâm quận Hà Đông, nằm tại Đa Sỹ, cách Hà Trì chỉ khoảnh 100m+ Ngõ trước nhà thoáng, ô tô con đi qua nhà.+ Nhà nằm gần trường học các cấp, gần chợ, Winmart...+ Diện tích 62m2, nhà dân xây chắc chắn được thiết kế 2 tầng với 3 phòng ngủ thoáng. Trước nhà có sân để xe.+ Giá chỉ: 3.85 tỷ (có thương lượng)+ Sổ đỏ chính chủ - công chứng trong ngày.+ Liên hệ: Mrs Nhung - nhà đẹp Hà Đông: 0944.795.382 để được tư vấn.",02/09/2022,Tin thường,batdongsan_so_com_vn_1673804772.9053712,
"5,5 tỷ VNĐ","Nguyễn Đức Cảnh, Hpang Mai HN", 35m2,,,,,"+ Vị trí mặt ngõ  Nguyễn Đức Cảnh thông sang Hoàng Mai, Đền Lừ, Trương Định. ô tô 7C tránh nhau, kinh doanh sầm uất, xung quanh tiện ích, Trước nhà là sân chung thoáng vĩnh viễn - T1: Khách, bếp, wc. - T2,3, 4: Mỗi tầng 1 ngủ, wc. - T5: Phòng thờ, sân phơi.  + Sổ đỏ vuông vắn sang tên nhanh gọn.",02/09/2022,Tin thường,batdongsan_so_com_vn_1673804773.9775054,
"5,5 tỷ VNĐ","Vĩnh Tuy, Hai Bà Trưng HN", 42m2,,,,,"- Vị trí đẹp gần phố, nhà thuộc phường Vĩnh Tuy quận Hai Bà Trưng, ngay gần ngã giao Minh Khai- Dương Văn Bé. Nhà lô góc, xe ba gác đỗ cửa, gân Time City, giao thông thuận lợi, tiện ích đầy đủ không thiếu thứ gì … - Diện tích 42m, rộng 5.3m, xây 5 tầng mới rất đẹp, chất lượng. Có thiết kế giếng trời nên nhà rất thoáng mát, điều hoà không khí các tầng - Tầng 1 : Để xe + P Khách + Bếp + Vệ Sinh . Tầng 2+3+4 : Mỗi Tầng 1 P.Ngủ + Vệ sinh. Tầng 5 : P Thờ + Sân phơi ☎️☎️",02/09/2022,Tin thường,batdongsan_so_com_vn_1673804775.14937,
"5,5 tỷ VNĐ","hoàng mai, hà nội", 81m2,,,,,"8Bán nhà Hoàng Mai, Phố Tân Mai, oto, Kinh Doanh, 81m, 3 tầng, mt 4m, 5,5 tỷ.+ Gần Trương Định, Giải Phóng, Kim Đồng, Tam Trinh, trường Đại Học Kinh Tế Quốc Dân Xây Dựng, Bách khoa, Bến Xe Giáp Bát, Bệnh viện Bạch Mai, hưởng trọn tiện ích của các chung cư lân cận.+ Nhà thiết phù hợp cho 2 thế hệ ở.+ Sổ đỏ chính chủ sẵn sàng giao dịch.Lh: 0346363362 : Phú Gia chuyên nhà phố Hà Nội.",02/09/2022,Tin thường,batdongsan_so_com_vn_1673804776.3720973,
"11,9 tỷ VNĐ",Đường Chính Kinh phường Nhân Chính, 80m2, 5, 5, 6, 5,"- Giá 11.9 tỉ còn thương lượng Miễn trung gian, môi giới và báo mạng làm phiền.",02/09/2022,Tin thường,batdongsan_so_com_vn_1673804777.5718882, 4
"10,3 tỷ VNĐ",Trần Quý Kiên Dịch VỌng Cầu Giấy Hà Nội, 60m2,,,,,"Nhà mặt phố ở ngay Nội Thất xịn thang máy phố Trần Quý Kiên Cầu GIấy 60m2 MT 5.5m 10.3 tỷNHÀ ĐẸP Ở NGAY - CÁCH MP 10M  - NỘI THẤT TOÀN LIM XỊN - Ô CHỜ THANG MÁY - GIẾNG TRỜI THOÁNG SÁNG - MẶT TIỀN SIÊU RỘNG. Vị trí siêu víp, trung tâm Cầu Giấy, cách phố ba bước chân, tiện ích tận răng không thiếu thứ gì, đi bộ ra CV Ngĩa Đô - CV Cầu Giấy, hệ thống giáo dục víp nhất Miền Bắc…♻️ Nhà chủ tự xây cực tâm huyết chắc chắn, móng chồng 7 tầng vô tư, ô chờ thang máy, hai giếng trời cực thoáng sáng, công năng thoải mái, thiết kế hợp lý, nội thất hoành tráng toàn Lim tuyển Thanh Hoá. Vào nhà ấm cúng vượng khí phát tài. - T1: Để xe, khách, bàn thờ, wc. - T2: Bếp, 1 ngủ, wc. - T3: Hai ngủ 1wc. - T4: 1 ngủ, sân phơi, wc.Liên hệ: Mrs Phượng 0974352054 - Tư vấn tận tâm, miễn phí 24/24h (zalo, Fb) , hỗ trợ tư vấn Pháp lý, vay vốn. ",01/09/2022,Tin thường,batdongsan_so_com_vn_1673804778.9362378,
9 tỷ VNĐ,trung liệt, 130m2,,,,,"Hàng Hiếm,130m2, Mặt tiền 12m, Mặt Phố Trung Liệt, Kinh Doanh Sầm Uất, Giá Cực Rẻ Chỉ 9tỷ Mô tả Bán nhà MẶT PHỐ, hiếm, đẹp khu vực Trung Liệt, Đống Đa gần các khu vực Nguyễn Văn Tuyết, Tây Sơn, Thái Hà, Tôn Đức Thắng, Khâm Thiên, Đê La Thành, Nguyễn Lương Bằng, trung tâm quận Đống Đa , diện tích 130m2. + Mặt tiền 12m kinh doanh đủ mọi thứ. + Vị trí cực đẹp, kinh doanh sầm uất nhất phố. + Nhà có 4 phòng mới, vừa ở vừa kinh doanh được. + Sổ đỏ lung linh, sẵn sàng giao dịch. + Giá: 9 tỷ Liên hệ: Nghĩa – 0868181683 ( để được gặp chủ thương lượng trực tiếp) Miễn phí xem nhà – Nguồn hàng phong phú – Nhiệt tình tận tâm – Hỗ trợ 24/24h/7",01/09/2022,Tin thường,batdongsan_so_com_vn_1673804780.0652192,
32 tỷ VNĐ,Nghĩa Tân Cầu Gấy Hà Nội, 80m2,, 9,,," - Diện tích 80m2, X9 tầng thang máy. Mt 5,5m!- Giá bán 32 tỷ ( có thương lượng ) - Nhà vị trí cực đẹp ngõ 2 ô tô tránh vỉa hè 2m kinh doanh đa ngành nghề.  Thiết kế:- Tầng hầm: gara oto. - Tầng 1,2,3,4,5, thông sàn. - Tầng 6: 2 phòng. - Tầng 7: bếp + 1 phòng. - Tầng 8: tum sân phơi. - Sổ đỏ đẹp sẵn sàng giao dịch. Liên hệ ngay với emMiễn ( TG Quảng Cáo ) ",01/09/2022,Tin thường,batdongsan_so_com_vn_1673804781.8704257, 5
"4,25 tỷ VNĐ",Cầu Giấy Quan Hoa Cầu Giấy Hà Nội, 40m2,,,,,"Đập hộp nhà đẹp ngõ thông gần ô tô đường Cầu Giấy 40m2 5T MT 4.2m chỉ 4.25 tỷ Vị trí tiếp giáp giữa quận Cầu Giấy - Đống Đa - Ba Đình, giao thông cực thuận tiện.👉 Ngõ 79 Cầu Giấy thông 445 Nguyễn Khang, 155 Cầu Giấy, Thành Thái ra Công viên Cầu Giấy. 30m ra hồ, chợ ngay đầu ngõ, tiện ích quanh nhà không thiếu gì.👉 Đi bộ ra Đại học Giao thông vận tải, Công viên Thủ lệ…👉 Nhà sạch đẹp long lanh, thiết kế mỗi tầng 1 ngủ và 1WC rộng (tổng 3 ngủ rộng rãi).+ Sổ đỏ đẹp long lanh, sẵn sàng giao dịch. Liên hệ: Mrs Phượng 0974352054 - Tư vấn tận tâm, miễn phí 24/24h (zalo, Fb) , hỗ trợ tư vấn Pháp lý, vay vốn.",01/09/2022,Tin thường,batdongsan_so_com_vn_1673804783.2995646,
"5,8 tỷ VNĐ","Phương Liệt, Thanh Xuân", 45m2, 2, 5, 6, 4,"Bán Nhà Phương Liệt, Thanh Xuân, Mới Đẹp, Ở Luôn, Ngõ Xe 3 Gác, DT 45m2 x5T, Chỉ 5.8 Tỷ. Vị trí: Ngôi nhà, gần trường cấp 1,2 Phương Liệt, Bv Bạch Mai, xung quanh tiện ích không thiếu gì, hàng xóm thân thiện. - Nhà nằm trong khu phân lô ô bàn cờ, rất gần trường Đại Học danh tiếng như Y Hà Nội, Kinh Tế, Xây Dựng, an sinh tuyệt vời. Thiết Kế: + T1 phòng khách, bếp +WC. + T2,3,4 mỗi tầng 2 phòng ngủ + WC. + T5 phòng thờ + sân phơi. Pháp lý: Sổ đỏ chính chủ sẵn sàng giao dịch Giá bán: 5.8 tỷ ( có thương lượng) Liên hệ trực tiếp 24/7 để đi xem nhà miễn phí.                                                                                                                                                                           - Mr Luyện thổ cư: 0911779569 - Chuyên Nhà đất Thổ cư các phân khúc từ 1 tỷ đến trên 100 tỷ.  “TRAO GỬI NIỀM TIN_ NHẬN LẠI YÊU THƯƠNG”",01/09/2022,Tin thường,batdongsan_so_com_vn_1673804784.8085306, 6
