price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số phòng ngủ,Số toilet,Hướng
7 tỷ VNĐ,Vũ Tông Phan, 50m2, 5,"+ Bán nhà Phố Vũ Tông Phan, Thanh Xuân, 50m2, 5 Tầng, GARA Ô TÔ, Ở, KINH DOANH, Nhỉnh 7 Tỷ.+ Vị trí đẹp, cách mặt Phố Vũ Tông Phan 20m, tiện ích bạt ngàn.+ Ngõ thông rộng, ô tô tránh nhau, ô tô vào nhà, kinh doanh văn phòng hoặc vừa ở vừa cho thuê đều tuyệt.+ Sổ đỏ vuông đẹp, pháp lý chuẩn, sẵn sàng dao dịch.LH: Em Hoan, 0925088355, chuyên Thổ cư Thanh Xuân, Đống Đa, miễn phí xem nhà 24/7.",01/09/2022,Tin thường,batdongsan_so_com_vn_1673804816.6083562,,,,,
"7,7 tỷ VNĐ",Phố Nguyễn văn Tuyết, 52m2, 5,"+ Nhà Siêu đẹp, với thiết kế hiện đại, thông sàn rộng thoáng.+ Đầy đủ công năng cho cuộc sống đẳng cấp. + Diện tích: 52m, 5 tầng, Mặt tiền 4.6m.+ Giá chào 7.7 tỷ, Thương lượng với khách thực sự quan tâm.+ Vị trí trung tâm ĐỐNG ĐA, vô vàn tiện ích, gần nhiều chợ dân sinh, Trung tâm TM.+ Gần nhiều trường ĐẠI HỌC như ĐH Thủy Lợi, Công Đoàn, HV Ngân Hàng, ĐH Y.+ Gần Bệnh viện Đại Học Y...+ Liên Hệ: 0825920555 - Mr Dương.",01/09/2022,Tin thường,batdongsan_so_com_vn_1673804818.2918515, 4, 2, 4, 4,
"13,4 tỷ VNĐ",Đường Trương Định phường Trương Định, 61m2, 4,"
    
+  PHÂN LÔ - VỈA HÈ - Ô TÔ TRÁNH - NHÀ ĐẸP CHUẨN 3 VÒNG - SỔ ĐỎ HOA HẬU - AN NINH TUYỆT ĐỐI - Ở, KINH DOANH VP, ONLINE SƯỚNG.

Mô tả:
+ Ngõ tuyệt đẹp, toàn bộ là nhà phân lô, đường ô tô tránh, vỉa hè 2 bên. Đầu ngõ có trạm bảo vệ 24/24h, an ninh an toàn tuyệt đối.
+ Đường trước nhà mình bán vỉa hè rộng để nhiều xe máy, ô tô tránh đỗ ngày đêm.
+ Nhà phù hợp vừa ở vừa làm văn phòng, kinh doanh online, spa…
+ Thiết kế KCBT chắc chắn, lên thêm 1-2 tầng thoải mái. Chế thêm được thang máy.
- Tầng 1: P Khách - Bếp - Wc - Khe thoáng sau làm tiểu cảnh
- Tầng 2: Phòng sinh hoạt chung - 1 P ngủ - 1 Wc
- Tầng 3: 2 P ngủ - 1 Wc
- Tầng 4: Phòng thờ - Khu đặt máy giặt - Sân phơi
+ Sổ đỏ phân lô.
+ AC quan tâm alo Đỗ Hạnh : 0911 206 189 hoặc 0845 790 555 thanks AC.
",01/09/2022,Tin thường,batdongsan_so_com_vn_1673804819.6562037, 47, 8, 5, 5,
"2,1 tỷ VNĐ",Đường Yên Lộ phường Yên Nghĩa, 58m2,,"
    Yên Lộ ( tổ 11 Yên Nghĩa) Hà Đông 58 Đất 3.5m 2.2 tỷ

Miêu tả : 
-Vị trí đẹp giá tốt

Mảnh đất siêu hiếm, 3 bước chân ra chợ tấp nập ngày đêm
- Chủ cần bán giá thương lượng 
- Vị trí cách ô tô 30m      
- sổ đỏ chính chủ đẹp không tỳ vết.",01/09/2022,Tin thường,batdongsan_so_com_vn_1673804820.8320565, 4,,,,
28 tỷ VNĐ,Đường Linh Đàm phường Định Công, 250m2, 4,"+ Vị trí cách mặt đường Nguyễn Xiển chỉ 2 phút đi bộ, rất gần Hồ Linh Đàm, không gian sống xanh lý tưởng. + Tầng 1 là gara để xe, phòng khách. Phòng bếp , phòng làm việc ngoài trời trong nhà đầy đủ + wc. + Sổ đỏ vuông đẹp. ",01/09/2022,Tin thường,batdongsan_so_com_vn_1673804822.3589716, 15, 20, 6, 6,
"5,1 tỷ VNĐ","Bán nhà Hoàng Mai, Phố Lương Khánh Thiện, 55m, 5,1 tỷ.", 55m2,,"5 Bán nhà Hoàng Mai, Phố Lương Khánh Thiện, 55m, 5,1 tỷ.+ Đi bộ ra hồ Đền Lừ, Gần Bến Xe Giáp Bát, Giáp Tam Trinh, Tân Mai, Trương Định, Giải Phóng,  trường Đại Học Kinh Tế Quốc Dân Xây Dựng, Bách khoa...,Bệnh viện Bạch Mai, hưởng trọn tiện ích của các chung cư lân cận.+ Nhà thiết kế hiện đại, 3 ngủ + 3wc, chủ làm ăn có lộc mua nhà mới nên tặng toàn bộ nội thất trị giá 200-300tr, ngõ 3 gác, 100m ra đường ô tô tránh.+ Sổ đỏ chính chủ sẵn sàng giao dịch.Lh: 0346363362 : Phú Gia chuyên nhà phố Hà Nội. ",01/09/2022,Tin thường,batdongsan_so_com_vn_1673804823.6265802,,,,,
173 tỷ VNĐ,Đường Gia Thượng phường Ngọc Thụy, 1240m2, 3,"BIỆT THỰ LONG BIÊN SÂN VƯỜN - KIẾN TRÚC TÂY ÂU - VIEW HỒ THƠ MỘNG.  Mô tả: Biệt thự sân vườn, hồ bơi, kiến trúc tây âu.  + Vị trí rất đẹp, 2 mặt ngõ ô tô tránh, 1 mặt view Hồ, sân vườn, bể bơi, khu vui chơi giải trí, không khí trong lành mát mẻ, không gian sống đẳng cấp. Dự án đang mở đg 40m.  + Xây dựng đẳng cấp châu âu, nội thất, trang thiết bị hiện đại, phòng tập gym, bbq ngoài trời.  + Tổng diện tích 1240m2 - thổ cư 100%  + Mặt tiền 40m, thoáng trước sau, view hồ, 2 mặt ngõ ô tô tránh, cách phố chưa đầy 100m  + Diện tích xây dựng hiện tại 300m.  + Nhà đang cho đơn vị nước ngoài thuê làm sự kiện mỗi tháng 10000$. + Giá chào: 173 Tỷ Thương lượng call 0396688855 để biết thêm chi tiết.",01/09/2022,Tin thường,batdongsan_so_com_vn_1673804824.8652673, 40, 10, 5, 5,
"9,5 tỷ VNĐ",Đường Vương Thừa Vũ phường Khương Trung, 45m2, 6,"Mô tả  + Nhà 6 tầng thang máy, ô tô vào nhà, mới đẹp long lanh, ngõ phân lô ô bàn cờ thoáng mát.  + Chủ nhà rất tâm huyết với căn nhà, xây dựng thiết kế cẩn thận, chắc chắn, đẹp từng centimet. Mặt ngoài ốp đá sang trọng, cửa 2 lớp gỗ tự nhiên, thể hiện đẳng cấp sang quý của chủ nhà.  - Thiết kế :  - Tầng 1 thông sàn, thang máy, Wc  - Tầng 2,3,4 mỗi tầng 1 phòng ngủ master rộng với WC khép kín  - Tầng 5 phòng ăn và bếp, sân phơi  - Tầng 6 1 phòng thờ và phòng kĩ thuật  + Nhà ngay chợ, gần trường cấp 1,2,3, xung quanh 6 trường đại học danh tiếng. Chưa đến 1km ra bệnh viện Đại Học Y, 1km ra bệnh viện Bạch Mai, Tai Mũi Họng, Việt Nhật,... Đúng là tiện ích chẳng thiếu gì  + Sổ đỏ chính chủ...hỗ trợ sang tên.  + Giá có 9.5 tỷ...thương lượng nhẹ.  + Liên hệ : Tuấn Tĩnh Tâm 0989 848 188",01/09/2022,Tin thường,batdongsan_so_com_vn_1673804826.2226832, 8, 4, 3, 5,
"3,1 tỷ VNĐ","Trâu Quỳ, Gia Lâm, Hà Nội", 52m2,,"Cần Bán Căn Nhà 2 Tầng ở Thị Trấn Trâu Quỳ, Gia Lâm Nhỉnh 3 tỷ   Diện tích 52m2. Mặt tiền rộng: 5m = hậu 5m Đường trước nhà hơn 2m trải nhựa. cách mặt trục chính chỉ vài bước chân. Nhà còn mới, sử dụng tốt, đầy đủ công năng sử dụng cho hộ gia đình.  Gần Vinhomes, Chiều tối đi bộ, đi chơi, siêu thị…. Có sẵn sổ đỏ, giao dịch nhanh chóng Hỗ trợ vay ngân hàng, thủ tục pháp lý nhanh gọn.  Cách đường LÝ THÁNH TÔNG 150m. Cách trường học và Uỷ Ban chỉ 500m SDT: 0399 643 640 gặp MR Công để xem nhà. #congbdsgialam",01/09/2022,Tin thường,batdongsan_so_com_vn_1673804827.3595939,,,,,
866 triệu VNĐ,"ân thi, hưng yên", 80m2,," Bán đất ăn theo quy hoạch đô thị và khu công nghiệp lớn hàng nghìn hecta tại Hưng Yên chỉ từ 866tr/lô. ⛳ Nằm ngay gần nút giao cao tốc Hà Nội- Hải Phòng chỉ 700m . 💥 Diện tích từ 70m2 đến 80m2 . 💥Giá đầu tư, tiềm năng sinh lời vượt trội chỉ từ : 866tr/lô 💥 Đường nội khu giải asphalt rộng 5-7m. 💯Nằm trong vùng quy hoạch kcn và đô thị hàng nghìn hecta bán kính chỉ từ 1km ☀️-Xung quanh là khối hành chính ủy ban, trường học, y tế… chỉ vài phút di chuyển 💥Sở hữu hàng loạt tuyến đường trọng điểm như: 💥Quốc lộ 38, quy hoạch đường mới Tân Phúc-đường tỉnh 387, 204, 382, đường huyện 61.... 📕Sổ đỏ lâu dài pháp lý an toàn tuyệt đối",01/09/2022,Tin thường,batdongsan_so_com_vn_1673804828.5334666, 4, 7,,, Đông bắc
