price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Hướng
6 tỷ VNĐ,Hà Nội, 52m2,"
    CẦN BÁN CCMN MỄ TRÌ 52M 5 TẦNG Ô TÔ NHỈNH 6 TỶ
- Vị trí đẹp: 2 mặt thoáng vĩnh viễn.
- Đường thông các ngả.
- Khu vực nối tiếp giữa trung tâm với ngoại ô, bến xe mỹ đình.
- Gần các trường Đại Học Luật, ĐH Thương Mại, ĐH Sư Phạm, ĐH Quốc Gia.. Bến xe Mỹ Đình.
- Sang tên nhanh gọn.
- Tư vấn, xem nhà Gọi Mr Đức 0898839292 - 0812212525.
",28/08/2022,Tin thường,batdongsan_so_com_vn_1673805946.3784513,,,,,,
"9,1 tỷ VNĐ","Thái Hà, Hà Nội", 60m2,"BÁN NHÀ ĐẤT THÁI HÀ - Ô TÔ ĐỖ CỬA - AN SINH ĐỈNHTRUNG TÂM ĐỐNG ĐA, Ở SƯỚNG THUẬN TIỆN. TẶNG TOÀN BỘ NỘI THẤT + Nhà nằm trong trung tâm quận Đống Đa, thuận tiện đi lại ra trường học và khu vực mua sắm lớn.+ Thiết kế: 60mX4T, MT 4.2m+ Tầng 1: phòng khách + bếp WC+ Tầng 2, 3, mỗi tầng 2 phòng ngủ 1 to 1 nhỏ+ Tầng 4, 1 phòng ngủ + 1 phòng thờ + Sổ đỏ vuông đẹp, pháp lý sạch, chủ thiện chí bán. + Liên Hệ Em Phương: 0949500686Chuyên giới thiệu, tư vấn bất động sản khu vực Đống Đa, và nội thành Hoàn Toàn Miễn Phí 24/7. ",07/07/2021,Tin thường,batdongsan_so_com_vn_1673805947.9921362, 4, 3, 4, 4, 3,
"7,5 tỷ VNĐ","THỔ QUAN, ĐỐNG ĐA, HÀ NỘI", 79m2,"
     

BÁN NHÀ THỔ QUAN - ĐỐNG ĐA - DÒNG TIỀN 45tr/th - SỔ ĐỎ - DT79m,MT6m - Giá 7.5 TỶ - NỘI THẤT ĐẦY ĐỦ
 


 Dòng Tiền Đống Đa 100tr/1m
 Diện Tích khủng - Dòng Tiền 45tr/1 Tháng   Siêu Phẩm Dòng Tiền. Full nội thất. Full khách. Nhà diện tích To dòng tiền cho thuê cực lớn
 Trang bị đầy đủ Cửa Vân Tay, Điện Nước riêng, Điều Hoà , Giường Tủ , Bếp.
Mô tả:
+ Tầng1 : Để Xe + 1 Pn
+ Tầng 2,3,4,5: 7PN khép Kín
+ Tổng 8pn khép kín rộng thênh thang


 
Đảm bảo nhà mới, xây dựng thi công chắc chắn bền lâu
Sổ Đỏ Chính Chủ
 
Liên hệ: 0949500686
Tôi Phương Mua Nhà Giá Rẻ Hà Nội!

",28/08/2022,Tin thường,batdongsan_so_com_vn_1673805949.938359, 6,, 5,,,
"11,9 tỷ VNĐ",Đường Xã Đàn phường Phương Liên, 68m2,"- Mô tả :  + Vị trí vàng, ngõ 198 Xã Đàn to như Phố, kinh doanh sầm uất thông ra Hồ Ba Mẫu thủ phủ được mệnh danh là con đường đắt nhất hành tinnh của Quận Đống Đa.  + Khu vực cực hiếm nhà bán lên nhà nào là bay nhà đó, dân cư đông đúc nên Kinh doanh buôn bán gì cũng ok, sát chợ Khâm Thiên cạnh trường cấp 1 Phương Liên vài trăm mét ra công an Phường nên an ninh rất tốt...  Thiết kế :  + Diện tích 68m xây 4 tầng, Mặt tiền rộng 4.5m thoáng sáng.  - Tầng 1 : Kinh doanh + Bếp và Wc.  - Tầng 2&3: Mỗi tầng 2 Ngủ khép kín.  - Tầng 4 : Phòng thờ Sân phơi + tiểu cảnh.  + Nhà tiện ích vô vàn, vài trăm mét ra Công viên Thống Nhất....trường đại học Bách Khoa, Xây Dựng và Kinh Tế cũng gần, thông ra các phố như Phạm Ngọc Thạch, Đào Duy Anh, Ô Chợ Dừa 1km ra viện Bạch Mai....  + Sổ đỏ chính chủ, giao dịch chủ nhà, hỗ trợ sang sổ cho khách.  + Giá cực mềm mại có 11.9 tỷ thôi...có thương lượng nhẹ.  + Liên hệ : Tuấn Tĩnh Tâm 0989 848 188  #NHÀ MỚI RẤT HOT - QUÝ KHÁCH CHẬM LÀ KO ĐÉN LƯỢT ĐÂU Ạ !",28/08/2022,Tin thường,batdongsan_so_com_vn_1673805951.072282, 4, 1, 4, 5, 4,
"7,5 tỷ VNĐ","Bán nhà số 20 ngõ 172/128 Âu Cơ Tây Hồ, SĐCC, miễn môi giới 7,5 tỷ; 0908313333", 73m2,"Bán nhà số 20 ngõ 172/128 Âu Cơ Tây Hồ, SĐCC, miễn môi giới 7,5 tỷ; 0908313333  Địa chỉ: Số 20, Ngõ 172/128, Âu Cơ, Tứ Liên, Tây Hồ, Hà NộiDiện tích: 72,9m2; Mặt tiền 6,4m sâu 14m Nhà có 2 mặt thoáng cách nhà sau 1,8m, nhà kiên cố 4 tầng, cột bê tông, tường 20cm, 5 phòng ngủ, sàn lát gỗ, bếp + phòng khách ở tầng 1, có sân thượng phơi quần áo, nhà để xe riêng (có trạm ăng ten mobifone thu nhập 1 tháng 6 triệu). Giá bán: 7.5 tỷLiên hệ chính chủ: 0908313333       http://www.sanbatdongsanviet.com.vn",28/08/2022,Tin thường,batdongsan_so_com_vn_1673805952.3276038,,,,,,
80 triệu VNĐ/m2,Ngõ chợ Khâm Thiên, 56m2,"Bán mảnh đất - Cực đẹp - Đống Đa nhà cấp 4  đầu tư xây CCMN, xây nhà ở . Ngõ rộng, thông nhiều ngả, gần trường học ủy ban vô vàn tiện ích.  Diện tích 56m2 mặt tiền 3m9. Sổ đỏ chính chủ . Mua bán sang tên công chứng ngay, pháp lý rõ ràngGần chợ, Trường học, Uỷ ban, Bệnh viện, Ngân hàng . . . .Đường 5m xe bagac di chuyển thoải máiCách đường lớn Xã Đàn 300m , Khâm Thiên 400m Vị trí thuận tiện đi hồ Gươm, Lăng Bác, vincomThích hợp cho mua xây nhà  ở hoặc đầu tư xây chung cư mini kinh doanh hàng tháng. Quý khách có nhu cầu đi xem đất liên hệ em nhé . Xin cảm ơn quý khách",28/08/2022,Tin thường,batdongsan_so_com_vn_1673805953.7019277, 3,,,,,
15 tỷ VNĐ,Đường Bồ Đề phường Bồ Đề, 120m2,"Biệt thự siêu đẹp Bồ Đề Long Biên Duy nhất ngay cầu Chương Dương + Vị trí chỉ cách phố cổ 2 km đường hiện tại Ôtô tránh vào nhà cực yên tĩnh.+ Khu vực dân phố An ninh cực tốt ra vào rất tiện lối phố thân thiện.+ Diện tích 120m xây dựng kiểu biệt thự với tiểu cảnh thoáng mát. + Tương Lai trước là khu vườn hoa của Khu đô thị đã lên dự án.+ Chủ muốn bán Gấp chỉ cần xem và thích.+ Sổ đỏ lâu dài thổ cư sẵn gửi Ngân Hàng. Gọi e Hoàn xem ngay 0868246333Gặp trực tiếp, đàm phán giá chủ tài sản.",28/08/2022,Tin thường,batdongsan_so_com_vn_1673805954.954654, 8, 9, 3, 3, 3,
"3,85 tỷ VNĐ",Quận Cầu Giấy, 35m2,"CỰC HIẾM. NHÀ C4 LÔ GÓC TRUNG KÍNH. 35M2 CÁCH MẶT PHỐ 2OM. GIÁ CHỈ 3.85 TỶ. 0962745289+ VỊ TRÍ LÔ GÓC NHÀ C4 2 PHỌNG RỘNG CÓ GÁC XÉP ĐANG CHO THUÊ. PHÙ HỢP XÂY NHÀ 7 TẦNG THANG MÁY CHO THUÊ VĂN PHÒNG.+ Sổ đỏ vuông vức chính chủ sẵn sàng giao dịch.+ Giá:Thỏa thuận. + Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn  pháp lý, sang tên thủ tục nhanh gọn.+ Tư vấn 24/7. ",28/08/2022,Tin thường,batdongsan_so_com_vn_1673805956.2462003,,,,,,
"7,9 tỷ VNĐ","Quan Nhân, Thanh Xuân", 63m2,"Nhà Mới Đẹp, Quan Nhân, Thanh Xuân, Kinh Doanh,Nở Hậu, Ở Luôn DT 63m2 x 5T, Chỉ 7.9Tỷ.Vị trí: Ngôi nhà nằm trung tâm sầm uất nhất nhì Quận Thanh Xuân, gần trường ĐH lớn như ĐHQG HN, ĐH KHOA HỌC TỰ NHIÊN, xung quanh tiện ích không thiếu gì, khu dân trí cao, an ninh tốt, Ngõ rộng thông các ngả, mặt tiền rộng 5,8 m, có thể kinh doanh hiệu thuốc, spa, tiệm tóc, tạp hoá…. Bao bọc xung quanh là các khu đô thị như Royal City, Hapulico Vũ Trọng Phụng.Thiết Kế: Nhà xây 5 tầng, mới đẹp, khung cột bê tông chắc chắn.+ T1 phòng khách, bếp +WC.+ T2,3,4 mỗi tầng 2 phòng ngủ rộng+ WC.+ T5 phòng thờ, khu phơi đồ.Pháp lý: Sổ đỏ chính chủ sẵn sàng giao dịchGiá bán: 7.9 tỷ ( có thương lượng)Liên hệ trực tiếp 24/7 để đi xem nhà miễn phí.    - Mr Luyện thổ cư: 0911779569- Chuyên Nhà đất Thổ cư các phân khúc từ 1 tỷ đến trên 100 tỷ. “TRAO GỬI NIỀM TIN_ NHẬN LẠI YÊU THƯƠNG”",28/08/2022,Tin thường,batdongsan_so_com_vn_1673805957.6414757, 5, 3, 5, 6, 4, Nam
66 tỷ VNĐ,Thanh Hà Hoàn Kiếm Hà Nội, 150m2,"- Diện tích 150m2  x3 tầng mt 9m giá bán 66 tỷ ( có thương lượng )  - Vị trí trung tâm phố cổ  khu vực chợ Đồng Xuân kinh doanh sầm uất - Phố Thanh Hà nằm song song với Phố Hàng Chiếu - Cả phố bán thực phẩm, ăn uống tấp nập ngày đêm. - Chủ lớn tuổi không kinh doanh nữa xác định bán đất trong nhà không có gì nhiều để mô tả! Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng giao dịch! Liên hệ với em nha. Miễn ( TG Quảng Cáo ) ",28/08/2022,Tin thường,batdongsan_so_com_vn_1673805958.9539542, 9,, 3, 2, 2,
