price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Số toilet
"5,8 tỷ VNĐ",thai thịnh, 66m2,"Hiếm HÓT Phân Lô-3 Thoáng-Nhà Đẹp-An Ninh-66Mx4Tầng, Thái Thịnh,5.8 tỷ Mô tả Cần tiền bán gấp nhà Thái Thịnh Đống Đa, gần khuc vực Phạm Ngọc Thạch, Tôn Thất Tùng, Trần Quang Diệu, Nguyễn Lương Bằng, Thái Hà. Diện tích: 66m2 + Tiện ích khỏi phải nói sát nhiều trường Đại Học như Thủy Lợi, Ngân Hàng, ĐH Y, Công Đoàn, bệnh viện ĐH Y, Bạch Mai, trung tâm thương mại siêu thị, chợ... + Nhà có sân vườn tầng thượng, nhà rất mát, thiết kế thông thoáng các mặt. + Ngõ ô tô cách 30m. Ngõ rộng và sạch sẽ, khu hàng xóm tri thức, văn hóa cao, yên tĩnh, an ninh rất tốt. + Sổ đỏ đẹp, sẵn sàng giao dịch. + Giá bán: 5.8 tỷ (có thương lượng) Liên hệ: Nghĩa – 0868181683 ( để được gặp chủ thương lượng trực tiếp) Miễn phí xem nhà – Nguồn hàng phong phú – Nhiệt tình tận tâm – Hỗ trợ 24/24h/7",21/08/2022,Tin thường,batdongsan_so_com_vn_1673807205.2482564,,,,,
14 tỷ VNĐ,Quận Cầu Giấy, 50m2,"MẶT PHỐ PHẠM VĂN ĐỒNG, LÔ GÓC VỈA HÈ , KINH DOANH. GIÁ.14 TỶ 0962745289+Vị trí ĐẸP nhất phố, DT. 50M2, LÔ GÓC mặt tiền khủng, vỉa hè 15m, mặt phố hiếm nhà bán.Trung tâm Quận Cầu Giấy. Tiện ích nhất khu vực.+ Tuyến phố đã xong quy hoạch ổn định, gần ngã ba Trần Quốc Hoàn, ngã tư Xuân Thủy, Hồ Tùng Mậu.Hoàng Quốc Việt.+ Nhà lô góc, mặt phố + mặt ngõ 3m, vỉa hè rộng 15m, kinh doanh bất chấp.+Nhà xây các tầng thông sàn KINH DOANH, cho thuê văn phòng, đầy đủ công năng sử dụng, dân trí cao, an ninh tốt, tiện ích vây quanh, quy hoạch ổn định.+ Sổ đỏ vuông vức chính chủ sẵn sàng giao dịch.+ Giá:Thỏa thuận. + Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn  pháp lý, sang tên thủ tục nhanh gọn.+ Tư vấn 24/7. ",21/08/2022,Tin thường,batdongsan_so_com_vn_1673807206.9078116,,,,,
"5,7 tỷ VNĐ",Đường Yên Hòa phường Yên Hòa, 30m2,"GẤP LẮM RỒI BÁN NHANH TRONG NGÀYSIÊU PHẨM YÊN HOÀ,CẦU GIẤY HÀNG HIẾM KHÁCH XEM NHÀ LÀ CHỐTĐI XEM NHÀ NHỚ CẦM THEO TIỀN CỌC SẮN SÀNG NHÉ CÁC THƯỢNG ĐẾNHÀ BAO ĐẸP, KHÔNG ĐẸP KHÔNG LẤY TIỀNTHIẾT KẾ 5 TẦNG XÂY MỚI,4 NGỦ CÓ PHÒNG THỜ VÀ SÂN PHƠI SỔ VUÔNG ĐẸP NHƯ BÁNH TRƯNGLIÊN HỆ ĐỨC TUẤN 0383458999",21/08/2022,Tin thường,batdongsan_so_com_vn_1673807208.3322282, 5, 3, 5, 4, 5
70 tỷ VNĐ,Vũ Miên Tây Hồ Hà Nội, 95m2,"+ Vị trí vip, mặt phố view hồ, kinh doanh mọi loại hình, lô góc 3 mặt thoáng!  -  Thiết kế:  - Tầng 1: Gara, cửa hàng. - Tầng 2, 3, 4: Mỗi tầng 4 căn hộ khép kín. - Tầng 5, 6: 2 căn penhouse. - Tầng 7: Bếp, phòng khách, WC. - Tầng 8: Phòng thờ, sân thượng tổ chức party sức chứa trên 30 người, tầm nhìn bao trọn góc Hồ Tây.+ Sổ đỏ chính chủ giao dịch ngay.Giá 70 tỷ có thương lượng.Alo ngay cho em Miễn TG Quảng Cáo",21/08/2022,Tin thường,batdongsan_so_com_vn_1673807209.9698458, 12,, 8, 10, 10
"4,7 tỷ VNĐ",đường Hoàng Quốc Việt, 38m2,"GIÁ TỐT NHẤT KHU VỰC, PHẢI THẬT NHANH Đc: Đường Hoàng Quốc Việt, quận Cầu Giấy.S = 38m2, 6 tầng, giá 4.7 tỷ + Vị trí rất thuận lợi đi làm hoặc di chuyển đi các hướng Hoàng Quốc Việt, Cầu Giấy, Bưởi, Hoàng Hoa Thám, Vành Đai 2, Lạc Long Quân, Võ Chí Công,… + Khu vực dân trí cao, ở sướng, cạnh hồ điều hòa. + 10 m ra đường ô tô tránh. * Thiết kết 6 tầng: Tầng 1: Khách bếp, vệ sinh. Tầng 2,3,4: Mỗi tầng 1 phòng ngủ + vệ sinh. Tầng 5: Phòng thờ. Tầng 6: Tum trồng rau. Sổ đỏ chính chủ, giao dịch ngay. * Liên hệ: Em Bình 0345752279 để xem nhà miễn phí.  * Không tiếp môi giới. ",21/08/2022,Tin thường,batdongsan_so_com_vn_1673807211.283332, 4, 2, 6, 3,
"3,5 tỷ VNĐ",Vạn Phúc- Hà Đông, 40m2,"Bán nhà Vạn Phúc, Hà Đông 40mx5T ngõ nông gần ô tô ở sướng hơn 3 tỷ Bán nhà trong tháng 7 âm lịch khu vực Vạn Phúc, Hà Đông diện tích rộng 40m với 5 tầng hiện đại thoáng trước sau rất hiếm trung tâm Làng Lụa, ngõ nông gần ô tô gần phố. Nhà gần Chợ Vạn Phúc. Khu vực văn minh đáng sống bậc nhất Hà Đông, dân cư văn minh ở rất sướng. Giao thông đi lại thuận tiện hàng xóm Ngô Quyền vài bước ra Tố Hữu thông Đại Mỗ giáp Yết Kiêu ra Quang Trung. Sổ đỏ vuông, sẵn sàng giao dịch. Giá 3.5 tỷ ( có gia lộc). Liên hệ tôi Huyền Hà Đông ( 0363703491- 0965472910). Hỗ trợ 24/7, tư vấn thủ tục giấy tờ pháp lý miễn phí",21/08/2022,Tin thường,batdongsan_so_com_vn_1673807212.6387067,,, 5,,
"3,5 tỷ VNĐ",Xa La- Hà Đông, 40m2," Bán nhà Xa La, Hà Đông 40mx5 tầng, ngõ nông gần ô tô hơn 3 tỷ Cực hiếm nhà đẹp Xa La, Hà Đông 40m thiết kế 5 tầng thoáng trước sau các phòng ánh sáng ngập tràn, ngõ nông gần ô tô cách phố vài bước chân. Hàng xóm Khu đô thị Xa La thân thiện văn minh ở cực sướng. Bán kính xung quanh đầy đủ tiện ích Khu đô thị Xa La: Trường học, ngân hàng, siêu thị, chợ bệnh viện,… Giao thông đi muôn nơi giáp Mậu Lương xuống Đa Sỹ xuôi về Văn Phú gần yên Xá sang Phùng Hưng. Sổ đỏ vuông, sẵn sàng giao dịch. Giá 3.5 tỷ ( có gia lộc). Liên hệ tôi Huyền Hà Đông ( 0363703491- 0965472910). Hỗ trợ 24/7, tư vấn thủ tục giấy tờ pháp lý miễn phí.",21/08/2022,Tin thường,batdongsan_so_com_vn_1673807214.0763013,,, 5,,
"6,5 tỷ VNĐ",Mỗ Lao- Hà Đông, 58m2,"Hơn 6 tỷ kinh doanh, vỉa hè, ô tô, 58mx4T, Phùng Hưng, Hà Đông Hàng hiếm có 1-0-2 phân lô, vỉa hè rộng đường trước nhà ô tô tránh, diện tích lớn 58m với 4 tầng rộng đầy đủ công năng sử dụng, thoáng vô cùng, ở sướng. Nhà phù hợp ở kết hợp văn phòng hay kinh doanh quá đỉnh. Giáp các bệnh viện lớn Học viện Quân y 103, Viện Bỏng. Khu vực dân cư đông đúc, nhu cầu tiêu dùng rất lớn. Giao thông đi muôn nơi hàng xóm Khu đô thị Văn Phú giáp Yên Xá thông Xa La xuống Cầu Bươu đối diện Mỗ Lao xuống Vạn Phúc. Sổ đỏ vuông, sẵn sàng giao dịch. Giá 6.5 tỷ ( có gia lộc). Liên hệ tôi Huyền Hà Đông ( 0363703491- 0965472910). Hỗ trợ 24/7, tư vấn thủ tục giấy tờ pháp lý miễn phí.",21/08/2022,Tin thường,batdongsan_so_com_vn_1673807215.7168298,,, 4,,
"6,5 tỷ VNĐ",Mỗ Lao- Hà Đông, 58m2,"Kinh doanh đỉnh Mỗ Lao,Hà Đông 58mx4T ô tô vỉa hè hơn 6 tỷ Hiếm quá Mỗ Lao, Hà Đông, diện tích khủng 58m thiết kế 4 tầng hiện đại vừa ở kết hợp văn phòng hay kinh doanh quá đỉnh. Gần các trường đại học lớn, khu vực văn minh, dân đông đúc đáng sống bậc nhất. Giao thông đi muôn nơi giáp Yết Kiêu chạy dọc Vạn Phúc, song song Văn Phú hàng xóm Trần Phú vài bước ra Quang Trung. Chủ nhà chỉ bán trong tháng 7 âm lịch lo việc gia đình giá tốt nhất thị trường. Sổ đỏ vuông, sẵn sàng giao dịch. Giá 6.5 tỷ ( có gia lộc). Liên hệ tôi Huyền Hà Đông ( 0363703491- 0965472910). Hỗ trợ 24/7, tư vấn thủ tục giấy tờ pháp lý miễn phí.",21/08/2022,Tin thường,batdongsan_so_com_vn_1673807217.2449636,,, 4,,
7 tỷ VNĐ,Tô Vĩnh Diện, 49m2,"Ô TÔ qua, Phố Tô Vĩnh Diện, Thanh Xuân 49m2x5T, KINH DOANH, Nhỉnh 7 Tỷ + Vị trí đắc địa, gần Ngã Tư Sở, giao thông thuận tiện. + Đường rộng thông thoáng, ô tô ra vào thoải mái, khu vực kinh doanh sầm uất, phù hợp mọi mặt hàng kinh doanh. + Sổ đỏ vuông đẹp, pháp lý chuẩn, sẵn sàng dao dịch. LH: Em Hoan, 0925088355, chuyên Thổ cư Thanh Xuân, Đống Đa, miễn phí xem nhà 24/7. ",21/08/2022,Tin thường,batdongsan_so_com_vn_1673807234.236386,,, 5,,
