price,address,Diện tích,Lộ giới,Số tầng,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số phòng ngủ,Số toilet
5 tỷ VNĐ,Đường Hoàng Mai phường Hoàng Văn Thụ, 30m2, 1, 5,"Bán nhà chính chủ. Bán nhà Hoàng Mai, Hoàng Văn Thụ 30m2, 5T, MT 4m, nhỉnh 3 tỷ, Ô tô, Phân lô  Nhà thiết kế 5 tầng hiện đại , với 4PN khép kín.  Nhà thuộc khu phân lô, an ninh cực tốt, có sân để xe chung nên rất thoải mái Chủ để lại toàn bộ nội thất , nên về chỉ việc ở, sổ đỏ chính chủ , sẵn giao dịch có thương lượng LH: Ngọc Bé 0962753326 để được tư vấn và xem nhà miễn phí.",17/08/2022,Tin thường,batdongsan_so_com_vn_1673808075.1902654,,,
"65,5 tỷ VNĐ",Hoàng Hoa Thám Ba Đình, 262m2,,,"Vị trí : Nằm trên mặt phố Hoàng Hoa Thám kinh doanh mọi loại hình!  Diện tích 262m2 mt 9m Giá 65,5 tỷ còn thương lượng!   Chủ mới mua về rất thích hợp xây toà nhà văn phòng khách sạn!  - thửa đất vuông vắn nở hậu cực đẹp, sẵn sàng giao dịch!  Alo ngay cho em để được tư vấn Miễn TG Quảng Cáo! ",17/08/2022,Tin thường,batdongsan_so_com_vn_1673808076.6533504, 9,,
20 tỷ VNĐ,Đường Yên Lãng phường Trung Liệt, 54m2, 10, 4,"Siêu phẩm Yên Lãng, Đống Đa, 54m2 x 4T, mt4.5m, kinh doanh đỉnh, cực hiếmNhà phố Yên Lãng quận Đống Đa, kết nối Tây Sơn, Thái Hà, Hoàng Cầu, Láng. Phốkinh doanh nhiều loại hình: ẩm thực, nhà hàng, thời trang kinh doanh sầm uất ngày đêm.Thông số đẹp, vỉa hè ô tô. Xây mới tòa nhà 7 tầng thang máy thì tuyệt đẹp. Sổ đỏ vuông nét.Giá bán 20 tỷ.Liên hệ Mr. Hưng: 0974139313 (24/24), miễn trung gian.Chuyên thổ cư Hà Nội tài chính dưới 100 tỷ.Cam kết thông tin chuẩn. ",17/08/2022,Tin thường,batdongsan_so_com_vn_1673808078.1437516, 4, 4, 3
"6,3 tỷ VNĐ",la khê, 48m2,, 4,"Bán Nhà, Phan Đình Giót . Hà Đông. Ô Tô Kinh Doanh 46m2 x 4 tầng. Mặt Tiền 4.2m Giá 6.3 Tỷ.    MẶT PHỐ - KINH DOANH ĐA DẠNG – NHÀ MỚI – Ô TÔ ĐỖ CỬA  + Nhà mặt phố Phan Đình Giót, cách đường Quang Trung vài trăm mét giao với các đường Trần Phú, Lê Trọng Tấn, Tố Hữu, Ngã Tư Sở, Hoà Bình, Ngả đi các hướng nội thành và các tỉnh lân cận rất thuận tiện. + Nhà gần trường học các cấp, hàng xóm Pack CiTy, gần Bệnh Đa Khoa Hà Đông, gần ga tàu điện trên cao, bến xe Yên Nghĩa, gần Trung Tâm Thương Mại AON, Siêu Thị MêTro Hà Đông, Thiên Đường Bảo Sơn, nhà Thi Đấu Hà Đông cũng như rất nhiều dịch vụ xung quanh đa dạng và phong phú các loại hình vui chơi giải trí khác. Giao thông thuận tiện, an ninh an toàn. + Nhà nằm trên khu phố sầm uất nhất khu vực Hà Đông, Nhà mặt phố, kinh doanh, văn phòng các loại hình dịch vụ rất đa dạng.  + Nhà thiết kế 4 tầng:                                                                                                          - - - Tầng 1: Phòng khách, Bếp, wc  - Tầng 2,3: Mỗi tầng 2 phòng ngủ và wc - Tầng 4 : Phòng thờ, sân phơi. + Nhà khung cột bê tông chắc chắn. Chủ bán để vào Nam ở với các con.  Sổ đỏ chính chủ, sẵn sàng giao dịch.   LH: E KHÁNH: 0984568179 ",17/08/2022,Tin thường,batdongsan_so_com_vn_1673808079.3295782,, 4, 3
20 tỷ VNĐ,Đường Nguyễn Văn Tuyết phường Trung Liệt, 55m2, 15, 4,"Mặt phố Nguyễn Văn Tuyết, Đống Đa, 55m2, mt4.5m, kinh doanh đỉnh, cực hiếm Mặt phố Nguyễn Văn Tuyết quận Đống Đa hiếm nhà bán, kết nối từ Tây Sơn sang Yên Lãng. Phố ẩm thực, nhà hàng, thời trang kinh doanh sầm uất ngày đêm. Thông số đẹp, vỉa hè ô tô. Phù hợp tòa nhà 7 tầng thang máy cực đẹp. Sổ đỏ vuông nét. Giá bán 20 tỷ. Liên hệ Mr. Hưng: 0974139313 (24/24), miễn trung gian. Chuyên thổ cư Hà Nội tài chính dưới 100 tỷ. Cam kết thông tin chuẩn.",17/08/2022,Tin thường,batdongsan_so_com_vn_1673808080.5971868, 4, 4, 3
"6,9 tỷ VNĐ",Đường Trần Phú phường Văn Quán, 45m2, 6, 4,""",""sans-serif"";="""" background:="""" white;="""" color:="""" #001a33;="""" line-height:="""" 110%;="""" mso-ansi-language:="""" vi'7="""" chỖ="""" vÀo="""" nhÀ="""" -="""" dÂn="""" trÍ="""" cao="""" an="""" sinh="""" ĐỈnh="""" chỦ="""" tỰ="""" xÂy="""" 2="""" thoÁng="""" phÂn="""" Ô="""" bÀn="""" cỜ="""" span="""" p="""" class=""MsoNormalSPAN"" vi'+="""" phố="""" trần="""" phú="""" –="""" văn="""" quán="""" hà="""" Đông="""" vi'="""">+ Diện tích 45m – Nhà 4 tầng – mặt tiền 3.5m – 6.9 tỷ "",""sans-serif"";="""" background:="""" white;="""" color:="""" #001a33;="""" line-height:="""" 110%;="""" mso-ansi-language:="""" vi'+="""" vị="""" trí="""" khu="""" phân="""" lô="""" tập="""" thể="""" cán="""" bộ="""" học="""" viện="""" an="""" ninh="""" dân="""" cao,="""" sinh="""" đỉnh="""" cách="""" 5m="""" ô="""" tô="""" tránh,="""" dừng="""" đỗ="""" ngày="""" đêm.="""" span="""" p="""" class=""MsoNormalSPAN"" Đường="""" trước="""" nhà="""" 7="""" chỗ="""" cửa="""" vào="""" thoải="""" mái="""" mặt="""" đường="""" trần="""" phú="""" 50m.="""" vi'="""">+ Nhà chủ tự xây KCBT kiên cố thêm vài nước Sơn là đẹp long lanh. "",""sans-serif"";="""" background:="""" white;="""" color:="""" #001a33;="""" line-height:="""" 110%;="""" mso-ansi-language:="""" vi'+="""" thiết="""" kế:="""" span="""" p="""" class=""MsoNormalSPAN"" vi'-="""" t1:="""" phòng="""" khách,="""" bếp,="""" wc="""" hay="""" gara="""" ô="""" tô.="""" vi'="""">- T2: 2 Phòng ngủ khép kín. "",""sans-serif"";="""" background:="""" white;="""" color:="""" #001a33;="""" line-height:="""" 110%;="""" mso-ansi-language:="""" vi'-="""" t3:="""" 1="""" phòng="""" ngủ="""" khép="""" kín,="""" thờ.="""" span="""" p="""" class=""MsoNormalSPAN"" t4:="""" 2="""" tum="""" rộng="""" làm="""" sân="""" phơi.="""" vi'="""">+ Móng KCBT thêm Tầng, thêm Phòng, thêm công năng sử dụng thoải mái. Sau nhà là khe thoáng gần 1m nên Phòng nào cũng mở được cửa sổ, nhà rất thoáng khí. "",""sans-serif"";="""" background:="""" white;="""" color:="""" #001a33;="""" line-height:="""" 110%;="""" mso-ansi-language:="""" vi'+="""" chủ="""" nhà="""" là="""" cán="""" bộ="""" giảng="""" viên="""" hv="""" an="""" ninh="""" đã="""" nghỉ="""" hưu="""" bán="""" đi="""" để="""" về="""" biệt="""" thự="""" hòa="""" bình="""" sinh="""" sống.="""" span="""" p="""" class=""MsoNormalSPAN"" sổ="""" đỏ="""" chính="""" phân="""" lô="""" bàn="""" cờ="""" chờ="""" giao="""" dịch.="""" vi'="""">+ Liên hệ xem nhà: 0902083139",17/08/2022,Tin thường,batdongsan_so_com_vn_1673808081.9605398, 3, 4, 4
"6,6 tỷ VNĐ",quang trung, 48m2,, 5,"Bán Nhà, Trần Đăng Ninh . Hà Đông. Ô Tô Kinh Doanh 48m2 x 5 tầng. Mặt Tiền 5m Giá 6.6 Tỷ.    MẶT PHỐ - KINH DOANH SẦM UẤT – NHÀ MỚI – NỞ HẬU  + Nhà mặt phố Trần Đăng Ninh, cách đường Quang Trung vài bước chân giao với các đường Trần Phú, Ngã Tư Sở, đi Hoà Bình, Ngả đi các hướng nội thành và các tỉnh lân cận rất thuận tiện. + Nhà gần trường học các cấp, gần Bệnh Đa Khoa Hà Đông, gần ga tàu điện trên cao, bến xe Yên Nghĩa, gần Trung Tâm Thương Mại AON, Siêu Thị MêTro Hà Đông, Thiên Đường Bảo Sơn, nhà Thi Đấu Hà Đông cũng như rất nhiều dịch vụ xung quanh đa dạng và phong phú các loại hình vui chơi giải trí khác. Giao thông thuận tiện, an ninh an toàn. + Nhà nằm trên khu phố sầm uất nhất khu vực Hà Đông, Nhà mặt phố, kinh doanh, văn phòng các loại hình dịch vụ rất đa dạng.  + Nhà thiết kế 5 tầng:                                                                                                          - - - Tầng 1: Phòng khách, Bếp, wc  - Tầng 2,3,4: Mỗi tầng 2 phòng ngủ và wc - Tầng 5 : Phòng thờ, sân phơi. + Nhà khung cột bê tông chắc chắn. Chủ bán để mua biệt thự.  Sổ đỏ chính chủ, sẵn sàng giao dịch.   LH: E KHÁNH: 0984568179 ",17/08/2022,Tin thường,batdongsan_so_com_vn_1673808083.2254856,, 6, 4
6 tỷ VNĐ,Đường Văn Cao phường Liễu Giai, 55m2, 4, 5,""",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(229,239,255);="""" text-indent:="""" user-select:="""" text;="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-thickness:="""" initial;="""" text-decoration-style:="""" text-decoration-color:="""" initial'bán="""" nhà="""" phố="""" văn="""" cao="""" ngõ="""" oto="""" 55m2="""" 5t="""" mt5m="""" 6tỷ="""" ba="""" Đình="""" span="""" p="""" pspan="""" initial'siÊu="""" phẨm="""" lÊn="""" sÓng="""" -="""" lÔ="""" gÓc="""" 2="""" mẶt="""" tiỀn="""" ngÕ="""" thÔng="""" tỨ="""" phÍa="""" nhÀ="""" mỚi="""" Ở="""" ngay="""" lÕi="""" trung="""" tÂm="""" thoÁng="""" sÁng="""" initial'="""">- Chủ bán cần bán gấp đầu tháng 8, chuyển vào Sài Gòn với gia đình"",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(229,239,255);="""" text-indent:="""" user-select:="""" text;="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-thickness:="""" initial;="""" text-decoration-style:="""" text-decoration-color:="""" initial'br-="""" nhà="""" lô="""" góc,="""" 2="""" mặt="""" tiền,="""" không="""" có="""" gì="""" ngoài="""" ánh="""" sáng="""" và="""" gió="""" trời="""" tự="""" nhiên="""" span="""" p="""" pspan="""" initial'-="""" thiết="""" kế="""" tầng="""" 1,2,3="""" thông="""" sàn,="""" 4="""" là="""" phòng="""" ngủ="""" ,="""" 5="""" thờ,="""" sân="""" phơi="""" rộng="""" initial'="""">- ",17/08/2022,Tin thường,batdongsan_so_com_vn_1673808084.474146, 5, 4, 4
"17,2 tỷ VNĐ",Đường Cầu Giấy phường Dịch Vọng, 60m2, 6, 5,""",serif;="""" color:="""" #4c4c00;="""" line-height:="""" 107%;="""" mso-fareast-font-family:="""" ""times="""" roman"";="""" mso-fareast-language:="""" en-gb'bán="""" nhà="""" spanspantimes="""" en-gb;="""" mso-ansi-language:="""" en-gb'ngõ="""" 165="""" spanspan="""" vi'="""">Cầu Giấy"",serif;="""" color:="""" #4c4c00;="""" line-height:="""" 107%;="""" mso-fareast-font-family:="""" ""times="""" roman"";="""" mso-fareast-language:="""" en-gb':="""" 1="""" spanspantimes="""" en-gb;="""" mso-ansi-language:="""" en-gb'7="""" spanspan="""" en-gb'="""">,70"",serif;="""" color:="""" #4c4c00;="""" line-height:="""" 107%;="""" mso-fareast-font-family:="""" ""times="""" roman"";="""" mso-fareast-language:="""" en-gb'm2,="""" spanspantimes="""" en-gb;="""" mso-ansi-language:="""" en-gb'5,5="""" spanspan="""" en-gb'=""""> Tầng, MT 2 Mặt Thoáng "",serif;="""" color:="""" #4c4c00;="""" line-height:="""" 107%;="""" mso-fareast-font-family:="""" ""times="""" roman"";="""" mso-fareast-language:="""" vi'trung="""" tÂm="""" cẦu="""" giẤy="""" -="""" diỆn="""" tÍch="""" rỘng="""" spanspantimes="""" vi;="""" mso-ansi-language:="""" en-gb'nhÀ="""" vi'=""""> ĐẸP -  "",serif;="""" color:="""" #4c4c00;="""" line-height:="""" 107%;="""" mso-fareast-font-family:="""" ""times="""" roman"";="""" mso-fareast-language:="""" en-gb'diện="""" tích="""" sổ:="""" spanspantimes="""" en-gb;="""" mso-ansi-language:="""" en-gb'60="""" spanspan="""" en-gb'="""">m25.5"",serif;="""" color:="""" #4c4c00;="""" line-height:="""" 107%;="""" mso-fareast-font-family:="""" ""times="""" roman"";="""" mso-fareast-language:="""" en-gb'="""" tầng,="""" kết="""" cấu="""" btct,="""" có="""" ô="""" chờ="""" thang="""" máy="""" span="""" p="""" class=""MsoNormalSPAN"" en-gb'mặt="""" tiền="""" rộng:="""" spanspantimes="""" en-gb;="""" mso-ansi-language:="""">5"",serif;="""" color:="""" #4c4c00;="""" line-height:="""" 107%;="""" mso-fareast-font-family:="""" ""times="""" roman"";="""" mso-fareast-language:="""" en-gb'm="""" span="""" p="""" class=""MsoNormalSPAN"" en-gb'hướng:="""" spanspantimes="""" en-gb;="""" mso-ansi-language:="""" en-gb'="""">Đông "",serif;="""" color:="""" #4c4c00;="""" line-height:="""" 107%;="""" mso-fareast-font-family:="""" ""times="""" roman"";="""" mso-fareast-language:="""" en-gb'*="""" sổ="""" đỏ="""" chính="""" chủ,="""" đẹp="""" như="""" tờ="""" giấy="""" a4.="""" span="""" p="""" class=""MsoNormalSPAN"" en-gb'+="""" nhà="""" spanspantimes="""" en-gb;="""" mso-ansi-language:="""" en-gb'="""">2 mặt"",serif;="""" color:="""" #4c4c00;="""" line-height:="""" 107%;="""" mso-fareast-font-family:="""" ""times="""" roman"";="""" mso-fareast-language:="""" en-gb'="""" thoáng="""" xây="""" dựng="""" kiên="""" cố,="""" chắc="""" chắn.="""" span="""" p="""" class=""MsoNormalSPAN"" en-gb'*="""" thiết="""" kế:="""" spanspantimes="""" en-gb;="""" mso-ansi-language:="""">5.5Tầng 1: Gara ô tô + phòng khách + Bếp ăn + Phụ. ,4"",serif;="""" color:="""" #4c4c00;="""" line-height:="""" 107%;="""" mso-fareast-font-family:="""" ""times="""" roman"";="""" mso-fareast-language:="""" vi'="""" :="""" spanspantimes="""" vi;="""" mso-ansi-language:="""" en-gb'6="""" spanspan=""""> Phòng ngủ + wc. 5"",serif;="""" color:="""" #4c4c00;="""" line-height:="""" 107%;="""" mso-fareast-font-family:="""" ""times="""" roman"";="""" mso-fareast-language:="""" vi':="""" span="""" spanphòng="""" thờ="""" +="""" sân="""" phơi.="""" p="""" class=""MsoNormalSPANTimes"" vi;="""" mso-ansi-language:="""" en-gb'-="""" spanspan="""" vi'="""">Tầng tum. "",serif;="""" color:="""" #4c4c00;="""" line-height:="""" 107%;="""" mso-fareast-font-family:="""" ""times="""" roman"";="""" mso-fareast-language:="""" en-gb'*="""" mô="""" tả:="""" span="""" p="""" class=""MsoNormalSPAN"" vi'-="""" khu="""" vực="""" cao="""" ráo,="""" chưa="""" bao="""" giờ="""" ngập="""" lụt="""" ui="""" emoji"",sans-serif;="""" vi;="""" mso-ansi-language:="""" en-gb;="""" mso-bidi-font-family:="""" ""segoe="""" emoji""'="""">- "",serif;="""" color:="""" #4c4c00;="""" line-height:="""" 107%;="""" mso-fareast-font-family:="""" ""times="""" roman"";="""" mso-fareast-language:="""" vi'nhà="""" vị="""" trí="""" ngõ="""" spanspantimes="""" vi;="""" mso-ansi-language:="""" en-gb'165="""" spanspan="""" vi'="""">Cầu Giấy , ô tô dừng đỗ ngày đêm, ngõ rộng thông thoáng.  2"",serif;="""" color:="""" #4c4c00;="""" line-height:="""" 107%;="""" mso-fareast-font-family:="""" ""times="""" roman"";="""" mso-fareast-language:="""" vi'="""" mặt="""" thoáng="""" spanspantimes="""" vi;="""" mso-ansi-language:="""" en-gb'="""" phí="""" sau="""" ban="""" công="""" trồng="""" cây="""" spanspan="""">, trước nhà là sân chơiNhà còn mới đẹp, khách mua chỉ việc xách vali về ở, thiết kế hiện đại. Tiện ích xung quanh đầy đủ."",serif;="""" color:="""" #4c4c00;="""" line-height:="""" 107%;="""" mso-fareast-font-family:="""" ""times="""" roman"";="""" mso-fareast-language:="""" vi;="""" mso-ansi-language:="""" en-gb'="""" spanspantimes="""" en-gb'Đi="""" 1’30”="""" ra="""" đến="""" cầu="""" giấy.="""" span="""" p="""" class=""MsoNormalSPANTimes"">- Khu dân trí cực cao, phù hợp vừa ở kết hợp VP "",serif;="""" color:="""" #4c4c00;="""" line-height:="""" 107%;="""" mso-fareast-font-family:="""" ""times="""" roman"";="""" mso-fareast-language:="""" en-gb'+++="""" cam="""" kết="""" thông="""" tin="""" thật="""" 100%="""" +++="""" span="""" p="""" class=""MsoNormalSPAN"" en-gb'gọi="""" ngay="""" cho="""" tôi="""" bất="""" cứ="""" lúc="""" nào:="""" 0904.758.468="""" (không="""" chín="""" không="""" bốn,="""" bẩy="""" sáu="""" tám,="""" bốn="""" tám)="""" en-gb'="""">Miễn TG làm phiền. "",serif;="""" color:="""" #4c4c00;="""" line-height:="""" 107%;="""" mso-fareast-font-family:="""" ""times="""" roman"";="""" mso-fareast-language:="""" en-gb'cảm="""" ơn="""" mọi="""" người="""" đã="""" spanspantimes="""" en-gb;="""" mso-ansi-language:="""" en-gb'xem="""" spanspan="""" en-gb'=""""> tin !",17/08/2022,Tin thường,batdongsan_so_com_vn_1673808085.8285227, 5, 6, 5
"4,5 tỷ VNĐ",1x6/6 Nguyễn Son, 60m2,, 3,"Bán Nhà Nguyễn Sơn - Long BiênPHÂN LÔ NGUYỄN SƠN - DIỆN TÍCH RỘNG - GẦN Ô TÔ - TIỆN ÍCH NGẬP TRÀN ! * Mô tả :+ Vị trí thuộc khu phân lô , ngõ rộng thoáng, cách ô tô 15m. + Nhà 3 tầng cũ xây khá chắc chắn, có thể sữa chữa hoặc thích thì đập đi xây lại. + Sổ đỏ đẹp, sẵn sàng giao dịch. Gia đình thiện chí bán có thương lượng và gia lộc, thông tin nhà hoàn toàn đầy đủ và chính xác.+ Anh/Chị có nhu cầu mua nhà liên hệ em Quyết chuyên nhà đất thổ cư để được tư vấn và xem nhà hoàn toàn “MIỄN PHÍ”+ Vui lòng Liên hệ: Mr. Quyết (Quyết Thổ Cư Long Biên), điện thoại/ Zalo: 0374148382 (không tiếp trung gian, quảng cáo).",17/08/2022,Tin thường,batdongsan_so_com_vn_1673808087.1958637, 4, 3, 3
