price,address,Diện tích,Hướng,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Lộ giới
"5,2 tỷ VNĐ","Nguyễn An Ninh, Hoàng Mai, Hà Nội", 56m2, Đông bắc, 4, 4, 3, 3,"+ Nằm ở vị trí đắc địa trung tân Quận Hoang Mai, giao thoa với các đường Tân Mai, Bạch Mai,Gốc Đề,Trương Định…Gần nhà có đầy đủ tiện ích xã hội như; Bến xe, chợ dân sinh,các trường Đại học,bệnh viện Bạch Mai,khu vui chơi và nhiều tiện ích khác… +Nhà còn mới, khách mua về ở ngay, thiết kế hiện đại, tối ưu hóa công năng sử dụng, di chuyển 15 phút đến Bờ Hồ. + Sổ đỏ chính chủ, đảm bảo pháp lý, sẵn sàng giao dịch. + Gọi ngay để có cơ hội sở hữu; Mr Quân – 0911303899 (zalo-messenger). Chuyên khu vực Hoàng Mai,Hai Bà Trưng.Để được tư vẫn miễn phí, còn rất nhiều căn nhà cùng khu vực với tài chính từ 3-10 tỷ.",17/08/2022,Tin thường,batdongsan_so_com_vn_1673808243.656441,
"6,7 tỷ VNĐ",Lê Quang Đạo, 70m2,, 4, 5, 6,,"S = 70m2, 5 tầng, mặt tiền 4.5m, giá 6.7 tỷ + Vị trí tuyệt đẹp, ngõ thông thuận tiện di chuyển các ngả: Lê Quang Đạo, Mễ Trì, Đại Lộ Thăng Long, sân vận động Mỹ Đình, bến xe Mỹ Đình, vành đai 3, Đình Thôn, khu đô thị Five Star,… + Nhà 2 thoáng trước sau, dân xây tâm huyết tỷ mỉ, về ở ngay. + Thiết kế mỗi tầng 2 ngủ, cầu thang giữa. + Sổ đỏ chính chủ, sẵn sàng giao dịch. * Liên hệ em Bình, 0345752279 để xem nhà miễn phí, không tiếp môi giới.",17/08/2022,Tin thường,batdongsan_so_com_vn_1673808245.3907998, 3
12 tỷ VNĐ,hồ đắc di, 36m2,,, 4, 3, 3,"+ Chính chủ cần tiền bán nhà lô góc phố Hồ Đắc Di. + Vị trí đẹp nhất mặt hồ Đắc Di, phố kinh doanh cafe view hồ; khu vực đông dân văn phòng, công sở; thông các tuyến phố Nam Đồng, Xã Đàn, Đặng Văn Ngữ gần trường THCS Kim Liên; + Nhà xây 4 tầng kiên cố + Hiện tại nhà đang cho thuê với giá nhẹ nhàng 17 triệu/ tháng. + Sổ đỏ chính chủ cần bán gấp. Giá nhỉnh 12 tỷ. + Liên hệ ngay 0983438681, 0911609234. Phùng Diện - chuyên thổ cư Hà Nội.",17/08/2022,Tin thường,batdongsan_so_com_vn_1673808246.7661226,
"5,35 tỷ VNĐ",Hồng Tiến, 41m2,,, 5,,,"- Ngõ ô tô thông, cách MP Hồng tiến vài phút đi bộ, tiện ích xung quanh không thiếu gì, Ngõ oto vào nhà thoải mái. - Hiện trạng nhà 5 tầng, cầu thang giữa. + Tầng 1: PK, bếp, WC. + Tầng 2;3;4: Mỗi tầng 01 PN, WC. + Tầng 5: Phòng thờ, sân phơi. - Sổ đỏ vuông vắn, cất két giao dịch ngay. - Lh Mr Trác: 0965492571   ",17/08/2022,Tin thường,batdongsan_so_com_vn_1673808252.6402543,
24 tỷ VNĐ,Đường Nguyễn Quý Đức phường Thanh Xuân Bắc, 100m2,, 6, 6, 6, 6,"+ Diện tích 100m – Nhà 6 tầng – Mặt tiền 6.4m – 24 tỷ + Nhà chủ tự xây KCBT kiên cố, nhà cũ chủ xác định bán đất vẫn sử dụng thêm đôi chục năm nhưng đẹp nhất là đập đi xây mới vừa ở vừa kinh doanh hay xây toà Thương mại 7 tầng thang máy tầng hầm thì không gì bằng. + Liên hệ xem nhà: 0902083139 ",17/08/2022,Tin thường,batdongsan_so_com_vn_1673808253.9209483, 15
15 tỷ VNĐ,Đường Phố Vọng phường Đồng Tâm, 100m2,, 5, 7, 7, 7,THANG MÁY - PHÂN LÔ - Ô TÔ VÀO NHÀ -  PHỐ VIP - NHU CẦU CAO - AN SINH ĐỈNH. ,16/08/2022,Tin thường,batdongsan_so_com_vn_1673808255.1347017, 4
"6,5 tỷ VNĐ",đa sỹ hà đông hà nội, 54m2,,, 4,,,"Bán nhà khu dân cư mới Đa Sỹ, hà đông, Hà Nội Diện tích 54m2  nhà 4 tầng dân xây chắc chắn không gian thoáng mát khu dân trí cao. Gần trường học, giao thông thuận tiện đường ô tô tránh nhau. Giá: 6tỷ5 Liên hệ: A. Thận: 0971389666",16/08/2022,Tin thường,batdongsan_so_com_vn_1673808256.4092925,
"5,2 tỷ VNĐ","Trương Định , Hoàng Mai, Hà Nội.", 48m2, Đông nam, 4, 4, 4, 3,"+ Nằm ở vị trí đắc địa trung tân Quận Hoang Mai, giao thoa với các đường Tân Mai, Bạch Mai,Gốc Đề,Tam Trinh…Gần nhà có đầy đủ tiện ích xã hội như; Bến xe, chợ dân sinh,các trường Đại học,bệnh viện Bạch Mai,khu vui chơi và nhiều tiện ích khác… +Nhà còn mới, khách mua về ở ngay, thiết kế hiện đại, tối ưu hóa công năng sử dụng, di chuyển 15 phút đến Bờ Hồ. + Sổ đỏ chính chủ, đảm bảo pháp lý, sẵn sàng giao dịch. + Gọi ngay để có cơ hội sở hữu; Mr Quân – 0911303899 (zalo-messenger). Chuyên khu vực Hoàng Mai,Hai Bà Trưng.Để được tư vẫn miễn phí, còn rất nhiều căn nhà cùng khu vực với tài chính từ 3-10 tỷ.",16/08/2022,Tin thường,batdongsan_so_com_vn_1673808257.6230953,
"4,8 tỷ VNĐ","Ngô Thi Sỹ, Hà Đông, Hà Nội.", 45m2,, 4, 4, 4,,"  # Bán nhà quận Hà Đông đường Vạn Phúc, nhà xây chắc, thiết kế đẹp, gần công viên, ở thích, 5m ô tô đỗ, 15m bãi gửi ô tô. 45m2, 4T, mt 4m, giá chỉ trên 4 tỷ. nhanh tay LH: 0983858722 thương lượng trực tiếp, giá chốt tốt so với thị trường. + Vị trí: khu víp, gần công viên, gần nhà văn hóa, cạnh bãi gửi xe, ở sướng, an sinh đỉnh, tiện ích đủ đầy. + Nhà 2 mặt thoáng, xây chắc, thiết kế đẹp, cầu thang cạnh, mỗi tầng 2 phòng rộng + ws, đầy đủ công năng về ở ngay. + Sổ đỏ vuông đẹp, pháp lý chuẩn, sang tên nhanh. # nhanh tay LH: 0983858722 Tình nhà phố ( chuyên bán, nhận ký gửi nhà đất Thổ cư, có uy tín trong giới nhà đất quận Hà Đông – Hà Nội ).",16/08/2022,Tin thường,batdongsan_so_com_vn_1673808258.7890267, 3
11 tỷ VNĐ,Đường Dương Quảng Hàm phường Dịch Vọng Hậu, 80m2,, 5, 5, 4, 4,"Bán nhà Ngõ Ôtô 5tầng 80m2 MT 5m 11tỷ phố kinh doanh Dương Quảng Hàm Cầu Giấy  SIÊU PHẨM CẦU GIẤY CÓ 1 KHÔNG 2 - NGÕ THÔNG - Ô TÔ QUA NHÀ - KINH DOANH - 2 THOÁNG - Vị trí nhà siêu đẹp giao thông thuận tiện ngõ ôtô thông phố Dương Quảng Hàm sang Nguyễn Văn Huyên, tiện ích phong phú: Chợ, siêu thị, trường học, bệnh viện, công viên...- Nhà dân xây KCBT chắc chắn 5tầng ở cực đẹp, có thể lên thêm tầng, lắp thang máy, cải tạo thành chung cư mini cho thuê kinh doanh.+ Tầng 1 : Sân Để xe + Thông Sàn  + Bếp ( có thể làm gara).+ Tầng 2 : Phòng Khách + Phòng Ngủ.+ Tầng 3 : 2 Phòng Ngủ + WC.+ Tầng 4 : Phòng Thờ + Sân Phơi.+ Tầng 5 : Tum + Sân Vườn.- Sổ đỏ chính chủ, vuông vắn mặt tiền rộng, sẵn sàng giao dịch.Chú ý: 1. LH: A. Hoàng Anh 0934266313 (xem nhà miễn phí)2. Link kho nhà đẹp: https://www.facebook.com/3569393082707223. Hỗ trợ tài chính cho vay mua nhà đến 80% giá trị căn nhà, lãi suất thấp nhất thị trường.4. ACE Môi giới kết hợp làm việc tại: https://www.facebook.com/108917115160629",16/08/2022,Tin thường,batdongsan_so_com_vn_1673808260.157365, 5
