price,address,Diện tích,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Hướng,Mặt tiền,Lộ giới,Số toilet
"4,699 tỷ VNĐ","Quan Nhân, Nhân Chính", 35m2, 4, 4,"TRUNG TÂM QUẬN - LÔ GÓC 3 THOÁNG - Ô TÔ 4 CHỖ NGÕ THÔNG - GẦN PHỐ + Trung tâm quận đắc địa,an sinh đỉnh, an ninh tốt, giao thông thuận lợi, 3p đi bộ ra chợ thuốc hapulico,The Golden PalmT1 : PK + bếp wc khép kín.T2 : 2 PN + wc khép kín.T3 : 2 PN + wc khép kín.T4 : sân phơi+ phòng thờ+ Lô góc 3 thoáng, ngõ thông, ô tô 4 chỗ đỗ cửa, ánh sáng ngập tràn, có ban công viễn cảnh rất đẹp mắt. + Sổ đỏ chính chủ, sẵn sàng giao dịch.+ Giá chỉ 4.7 tỷ (có thương lượng).+ Liên hệ ngay: 0354 526 316 Em Thế Anh (hỗ trợ xem nhà, tư vấn pháp lý, vay vốn ngân hàng, sang tên sổ đỏ).",14/08/2022,Tin thường,batdongsan_so_com_vn_1673808698.3314865,,,,
17 tỷ VNĐ,khâm thiên, 65m2,,,"Mô tả Chính chủ cần bán nhà Khâm Thiên, Đống Đa, gần các khu vực Khâm Thiên, Lê Duẩn, Đê LA Thành, Xã Đàn, Nguyễn Lương Bằng, Tây Sơn, Hoàng Cầu, Hào Nam,… Diện tích: 65m2 + Ngõ to như phố ô tô tránh, kinh doanh đỉnh thông các ngả, 3 bước ra hồ Văn Chương không khí trong lành, an sinh đỉnh. + Nhà vị trí đẹp nhất ngõ mặt tiền lý tưởng ở, kinh doanh, văn phòng làm gì cũng đỉnh. Thiết kế:Nhà chủ tự xây kiên cố chắc chắc mỗi tầng 2 phòng vệ sinh khép kín. Tầng 1: Kinh doanh, vệ sinhTầng 2,5: Mỗi tầng 2 phòng, 2 vệ sinh. Tầng 6: Tầng thượng trồng cây, rau, sân cafe.  + Sổ nở hậu 1m tuyệt đẹp, sẵn sàng giao dịch. + Giá: 17 tỷ (có thương lượng) Liên hệ: Nghĩa – 0868181683 ( để được gặp chủ thương lượng trực tiếp) Miễn phí xem nhà – Nguồn hàng phong phú – Nhiệt tình tận tâm – Hỗ trợ 24/24h/7",14/08/2022,Tin thường,batdongsan_so_com_vn_1673808699.72779,,,,
"6,3 tỷ VNĐ","Lê Quý Đôn, Nguyễn Trãi, Hà Đông", 42m2, 3, 3,"Bán Nhà Lê Quý Đôn, Hà Đông, Ô Tô Tránh, Kinh Doanh Đỉnh, DT 42m2 x 3T, Chỉ 6.3 Tỷ. Vị trí: Nhà mặt phố, kinh doanh đỉnh, gần trường Tiểu Học, THCS Lê Lợi, gần sân bóng Hà Đông, xung quanh buôn bán tấp nập, nhà hướng Đông Nam mát mẻ. Thiết kế: Nhà xây 3,5 tầng, khung cột bê tông chăc chắn, đường trước nhà rộng 7m, -          Tầng 1 để xe, kinh doanh, bếp, bồn cây, tầng lửng là phòng khách. -          Nhà có 3 phòng ngủ đầy đủ công năng sử dụng, phòng thờ, sân phơi, ban công café -          Chủ tặng lại toàn bộ nội thất. Giá bán: 6.3 Tỷ ( Có thương lượng ) Pháp lý: Sổ đỏ chính chủ sẵn sàng sang tên. Liên hệ trực tiếp 24/7 để đi xem nhà miễn phí.                                                                                                                                                                           - Mr Luyện thổ cư: 0911779569 - Chuyên Nhà đất Thổ cư các phân khúc từ 1 tỷ đến trên 100 tỷ.  “TRAO GỬI NIỀM TIN_ NHẬN LẠI YÊU THƯƠNG”",14/08/2022,Tin thường,batdongsan_so_com_vn_1673808700.8562808, Đông nam, 3, 7, 3
"2,8 tỷ VNĐ","phố Bạch Mai, Hai Bà Trưng, Hà Nội", 45m2, 3, 2,"+ Nhà vẫn còn rất mới, ngõ xe ba gác tránh, Phố Bạch mai, Hai Bà Trưng, Hà Nội. +Vị trí; Thuộc phía Nam Quận Hai Bà Trưng, giao thoa với 3 Quận, Hoàn Kiếm,Hoàng Mai,Đống Đa. Vô cùng thuận tiện di chuyển 15p đến Bờ Hồ. + Tiện ích; Gần nhà có đầy đủ tiện ích xã hội như; Bến xe, chợ dân sinh, trường học,khu vui chơi và nhiều tiện ích khác…. +Công năng; Cấu trúc nhà hiện đại, có ban công, của nhôm xịn xò đẳng cấp Châu Âu. + Sổ đỏ chính chủ sẵn sàng giao dịch. + Gọi ngay để có cơ hội sở hữu; Quân Nhà Đất-0911303899(zalo-messenger). Chuyên khu vực Hoàng Mai,Hai Bà Trưng.Để được tư vẫn miễn phí, còn rất nhiều căn nhà cùng khu vực với tài chính từ 3-10 tỷ.",14/08/2022,Tin thường,batdongsan_so_com_vn_1673808702.099954,,,, 3
"6,7 tỷ VNĐ",Đường Nguyễn Trãi phường Thanh Xuân Nam, 62m2, 5, 5,"Bán nhà Gấp PHÂN LÔ CÁN BỘ phố Nguyễn Trãi - Thanh Xuân Nam - Thanh Xuân* Ô TÔ - Cán bộ - Hướng Đông Nam - Nhà đẹp, bền chắc ở ngay +Diện tích 62m2 x 4 tầng+Mặt tiền 5m - Hướng Đông Nam+Đường rộng 5m, Ô tô đỗ cửa+Cách Phố 50m+Sổ đỏ vuông vắn 56m2, Phân lô cán bộ chính chủ+Giá bán 6.7 tỷ (Giá đất 90 triệu/m2. Cả nhà 120 triệu/m) *Đặc điểm: Phân lô Cán bộ, DÂN TRÍ cao, nếp sống kỷ luật nề nếp. Đường đẹp, sạch sẽ tinh tươm , bước vào đem lại cảm giác Thoải Mái, An bình. Nơi AN CƯ và nuôi dạy con cái lý tưởng. Liên hệ: 09654.02.653 - để xem nhà và được tư vấn đầy đủ , nhiệt tình  (Pháp lý, giá thị trường, tránh các rủi ro, Nâng cấp kiến trúc...) 🏡🍁🍀",14/08/2022,Tin thường,batdongsan_so_com_vn_1673808703.397482,, 5, 5, 5
"16,5 tỷ /tháng",tôn đức thắng, 60m2,,,"Mô tả Chính chủ cần bán nhà Tôn Đức Thắng, Đống Đa, gần các khu vực Khâm Thiên, Lê Duẩn, Đê LA Thành, Xã Đàn, Nguyễn Lương Bằng, Tây Sơn, Hoàng Cầu, Hào Nam,… Diện tích: 60m2 + Vị trị đoạn đẹp nhất ngõ, Ngõ thông sang hồ Văn Chương cực đẹp, kinh doanh mọi mặt hàng. + Nhà lô góc hai mặt ngõ. + Sổ đỏ đẹp như một túi tiền, phong thuỷ cực đỉnh. + Với 9 phòng cho thuê cộng với cho thuê mặt bằng tầng 1. Hiệu xuất không dưới 50tr/ 1 tháng. + Giá: 16.5 tỷ (có thương lượng) Liên hệ: Nghĩa – 0868181683 ( để được gặp chủ thương lượng trực tiếp) Miễn phí xem nhà – Nguồn hàng phong phú – Nhiệt tình tận tâm – Hỗ trợ 24/24h/7",14/08/2022,Tin thường,batdongsan_so_com_vn_1673808704.6646016,,,,
"4,2 tỷ VNĐ",Đường Kim Ngưu phường Thanh Lương, 40m2,,,"
    SIÊU HOT, bán nhà Kim Ngưu, Hai Bà Trưng 45m2x5, nhỉnh 4 tỷ, nhà mới chỉ việc dọn về ở ngay.                                                                         + Nhà tọa lạc ví trí như khu phân lô, trước mặt để xe thoải mái. Ngay gần Lò Đúc, Trần Khát Chân, giao thông thuận tiện, gần chợ, trường học, TTTM, tiện ích sống bạt ngàn.                                                                                                                                                                                + Nhà rât mới, kết cấu 5 tầng, tổng 3 ngủ, cách ô tô 50m, ngõ thông rộng có thể KINH DOANH, HIẾM TRONG TẦM TIỀN.                           Sổ đỏ chính chủ, sẵn sàng giao dịch.                                                                                                                                                                                            LH: Vạn Lộc Hưng, 0913215721, 0968576525 ( Tư vấn và Hướng dẫn xem nhà miễn phí)
",14/08/2022,Tin thường,batdongsan_so_com_vn_1673808706.0189805,, 4, 1,
"14,7 tỷ VNĐ","gốc đề , minh khai, hai bà trưng", 105m2, 4, 5,"NGÕ NHƯ PHỐ - Ô TÔ TRÁNH - KINH DOANH BẤT CHẤP. Mô tả:+ Nhà vị trí rất đẹp trước nhà ô tô tránh, dừng đỗ. Thửa đất vuông vắn phù hợp đầu tư xây dựng văn phòng, toà nhà cho thuê, kinh doanh. + Nhà gồm 3 khối: - 2 căn nhà 2 tầng (bán nước trước cửa nhà). - 1 căn 4 tầng thiết kế 3 phòng ngủ phía sau.+ Sổ đỏ vuông đẹp, sẵn sàng giao dịch.+ LH Đô Hạnh 0845 790 555 hoặc 0911 206 189 thanks AC quan tâm.",14/08/2022,Tin thường,batdongsan_so_com_vn_1673808707.2925723,, 8, 6, 5
"1,25 tỷ VNĐ","Chính chủ nhượng căn hộ tầng 1 Số 06 ngõ 52/25/19 Phú Mỹ, Mỹ Đình 2, NTL; 1,25 tỷ; 0868839930", 55m2,,,"Chính chủ nhượng căn hộ tầng 1 Số 06 ngõ 52/25/19 Phú Mỹ, Mỹ Đình 2, NTL; 1,25 tỷ; 0868839930  Tôi chính chủ cần chuyển nhượng căn hộ tầng 1, diện tích 55m2, có 2 phòng ngủ, nhà hướng Tây Bắc để lại nội thất cơ bản Ngõ oto vào được gần bến xe Mỹ Đình, ngay cổng Hoa làng Phú Mỹ, thuận tiện giao thông, văn minh, thông thoáng. Khu an ninh tốt, giao thông thuận tiện, dân trí cao Gần trường, chợ, gần các tiện ích xung quanh Địa chỉ:  Số 06 ngõ 52/25/19 Phú Mỹ, Mỹ Đình 2  Giá mong muốn 1,25 tỷ có thương lượng. Liên hệ chính chủ: 0868839930       http://www.sanbatdongsanviet.com.vn",14/08/2022,Tin thường,batdongsan_so_com_vn_1673808708.458452,,,,
"8,8 tỷ VNĐ",Đường Đa Sĩ phường Kiến Hưng, 50m2, 7, 7,"+nhà liền kề, 7 tầng, mặt tiền 5m + phân lô, vỉa hè 2 bên, ô tô đỗ ngày đêm + vô vàn tiện ích, sân bóng, bể bơi,trường học, công viên, bệnh viện,TTTM, đều thuận tiện + dân trí cao, an ninh cực tốt + khu vực ngày 1 phát triển, giá tăng hàng ngày, mệnh danh là miền đất hứa cho tương lai + sổ đỏ chính chủ chờ sang tay chủ  mời LH ĐỂ ĐC TƯ VẤN, XEM NHÀ MIỄN PHÍ , MIỄN TRUNG GIAN,          XIN CẢM ƠN",14/08/2022,Tin thường,batdongsan_so_com_vn_1673808709.7300913,, 5, 10,
