price,address,Diện tích,Hướng,Mặt tiền,Lộ giới,Details,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Số toilet
"13,8 triệu VNĐ/m2","Thôn Hòa Trúc, xã Hòa Thạch, Huyện Quốc Oai, TP Hà Nội", 150m2, Tây nam, 8, 5,"💥💥💥 HOA TRUC LAKEVIEW - SẢN PHẨM HAY - CHẬM HẾT NGAY 💥💥💥🏞 Phân khu view Hồ cực kỳ HỮU HẠN.🏗 Hạ tầng được làm CHỈN CHU, ĐẸP đến từng CHI TIẾT, nhìn đất phân lô mà Ồ Ồ Ồ tưởng dự án. 🏥 Vị trí kết nối với các tiện ích công VÔ CÙNG THUẬN TIỆN : + Khu Công nghệ cao 2.+ Tổ hợp Y tế với 5 BVTW Cơ sở 2.+ UBND, Trường, Chợ, TTTMDV….🛣 CHỈ 150m đến DH09 đang mở rộng lên 18m.🚚 Đường nội khu rộng - 2 ô tô tránh nhau.🏯 Diện tích vừa phải phù hợp để xây nhà ở cuối tuần hoặc đầu tư sinh lời 200% nhanh chóng. 💶💶💶 Đặc biệt là GIÁ CỰC MỀM 💶💶💶👉 Anh chị inbox để được tư vấn đầu tư ngay☎ Hotline : 0933449996",13/08/2022,Tin thường,batdongsan_so_com_vn_1673808944.9890306,,,
"20,5 tỷ VNĐ",Đường Nguyễn Thị Định phường Trung Hòa, 80m2,, 6, 10,"Nhà vị trí đắc địa, ô tô tránh, ngõ thông, ô bàn cờ, kinh doanh kết hợp ở.  Tầng 6, 7, 8. Ngăn phòng để ở. Nội thất xịn xò.   ",13/08/2022,Tin thường,batdongsan_so_com_vn_1673808946.63762, 8, 12, 9
"21,9 tỷ VNĐ",Đường Hoàng Cầu phường Ô Chợ Dừa, 75m2,, 6, 5,"* Nhà xây cực kiên cố móng 7 tầng, có cổng phụ đi vào sân rộng 3m. Thoáng trước thoáng sau, có ô chờ thang máy. - Tầng 1 phòng khách, bếp, vệ sinh. + Sổ đỏ vuông vắn, sẵn sàng giao dịch. 0338080356 (miễn trung gian)
",13/08/2022,Tin thường,batdongsan_so_com_vn_1673808947.979087, 4, 4, 6
3 tỷ VNĐ,Đường Đại Lộ Thăng Long phường Tây Mỗ, 51m2,, 5, 50,"NÂNG CAO CHẤT LƯỢNG SỐNG KHI  MUA CĂN HỘ U39.2.1821 - Căn hộ cao cấp  Masteri West Heights cho cuộc sống đầy năng lượng và tinh thần được tái tạo mỗi ngày!Không chủ mua nhà, mà còn là việc mua tất cả tiện ích tại đây. Tất cả các tiện ích tại Masteri West Height đều “phối hợp"" nhịp nhàng để cân bằng thể chất và tinh thần, giúp cư dân tận hưởng lối sống wellness trọn vẹn nhất. ĐÂY LÀ CƠ HỘI CHO NHÀ ĐẦU TƯ- Giao dịch nhanh chóng – dễ dàng đầu tư ngắn hạn và dài hạn- Khả năng tăng giá lên đến hơn 70%.- Hỗ trợ từ ngân hàng thủ tục nhanh chóng, hỗ trợ lãi suất 0% trong vòng 24 tháng. - Cam kết giá tốt.  Thông tin căn hộ- Lo ại hình căn hộ: 1PN + 1 - Diện tích TT: 50,93 m2 - Hướng: Tây Nam- Giá: 3 tỷ 130 triệu- View: Bể bơi 1500m2, TTTM Vincom Mall, Thác nước - Vườn thiền Yoga  QUÀ TẶNG SIÊU KHỦNG, khi mua hàng, Quý khách hàng sẽ được nhận những khuyến mãi siêu hấp dẫn. Bao gồm:- Miễn phí 36 tháng gửi xe ô tô- Miễn phí 36 tháng phí Dịch vụ- 1 lốt để xe ô tô, 2 lốt để xe máy  Chính sách bán hàng- TTTĐ CK: 7,8% GTCH- Thanh toán sớm CK: 7,8% + 5,3% GTCH- Hỗ trợ lãi suất 80% GTCH đến ngày 31/05/2024- Cọc: 50 triệu- 7 ngày TT 10% ký HĐMB- Ngân hàng giải ngân 80% GTCH- 10/09: Thanh toán 10 % GTCH- Quý III?2023 nhận bàn giao👉 Hãy đến với Masteri West Heights - Nơi tận hưởng cuộc sống không chỉ dừng lại ở kiến trúc độc đáo, nội thất hiện đại mà còn là nơi ghi dấu những kỷ niệm đẹp nhất của cuộc sống. Liên hệ với chúng tôi nhận ngay chiết khấu cao nhất trong hôm nay nhé.----- MR SƠN: 0396262333 - Tư vấn và hỗ trợ khách hàng 24/7",13/08/2022,Tin thường,batdongsan_so_com_vn_1673808949.7054784, 18, 2, 1
6 tỷ VNĐ,"Long Biên, Hà Nội", 55m2,, 4, 3,"Vị trí nhà gần chợ Gia Lâm, trường học trên địa bàn, siêu thị, cách cầu Chương Dương khoảng 300m. Nhà 5 tầng chủ tự xây tâm huyết, nhà mở cửa sổ bên hông và cuối nhà nên thoáng sáng tuyệt đối, khách chỉ việc xách vali là về ở ngay. Thiết kế công năng đầy đủ gồm: - Tầng 1: để xe,  kho, vệ sinh, cầu thang giữa. - Tầng 2: khách, bếp, vệ sinh - Tầng 3,4 mỗi tầng 2 phòng ngủ, vệ sinh. - Tầng 5; phòng thờ, sân phơi. Sổ đỏ vuông đẹp nằm két sẵn sàng sang tên chủ mới. MR Khánh hỗ trợ tư vấn xem nhà miễn phí.",13/08/2022,Tin thường,batdongsan_so_com_vn_1673808950.9381814, 5, 4, 4
19 tỷ VNĐ,"Quang Trung, Hà Đông", 50m2,, 5, 30,"Bán Nhà Phố Quang Trung – Hà Đông,Vỉa Hè Rộng,Căn Góc, 2 Mặt Phố, Kinh Doanh Đỉnh DT 50m2 x4T, Chỉ 19 tỷ. Bán Nhà Phố Quang Trung – Hà Đông,Vỉa Hè Rộng,Căn Góc, 2 Mặt Phố, Kinh Doanh Đỉnh DT 50m2 x4T, Chỉ 19 tỷ. Vị trí trung tâm nhà mặt phố khu Vip Hà Đông kinh doanh bất chấp mọi địa hình, vỉa hè 6m . Ngay ngã tư Ngô Thì Nhậm – Quang Trung – Tô Hiệu Mới. + Rất phù hợp cho gia đình vừa ở vừa kinh doanh. Dòng tiền cho thuê tầng 1 hàng tháng 20 củ đều như vắt chanh. + Nhà chuẩn 4 phòng ngủ , 1 phòng thờ bếp sân phơi riêng biệt, wc riêng từng tầng. + Tầng 1 thông sàn , tầng 2 bếp + phòng khách. + Nhà tự xây dựng rất chắc chắn tường BTCT, gỗ lim cầu thang chắc nịch. Pháp Lý: Sổ đỏ chính chủ giao dịch ngay. Giá bán: 19 Tỷ (Có thương lượng)    - Mr Luyện 0911779569 – Thổ cư Hà Đông. - Chuyên Nhà đất Thổ cư các phân khúc từ 1 tỷ đến trên 100 tỷ. “TRAO GỬI NIỀM TIN_ NHẬN LẠI YÊU THƯƠNG”",13/08/2022,Tin thường,batdongsan_so_com_vn_1673808956.7996607, 4, 3, 3
26 tỷ VNĐ,Đường Phạm Tuấn Tài phường Dịch Vọng Hậu, 100m2,, 10, 6,"
    Vị trí vô cùng đẹp, LÔ GÓC, 2mặt ngõ đều ô tô tránh, nối thông Phạm Tuấn Tài -  Đặng Thuỳ Trâm - Hoàng Quốc Việt. Kinh doanh sầm uất, nhà phù hợp rất nhiều mô hình KINH DOANH như toà nhà văn phòng, nhà nghỉ, Karaokê, trung cư mini, trung tâm ngoại ngữ...,Diện tích 10m2, mặt tiền 10m, vô cùng hiếm, nhà lại lô góc 2 mặt ngõ ô tô tránh càng giá trị. Cả khu không có căn thứ 2.Bao quanh rất nhiều các trường Đại học nổi tiếng của Hà Nội như Đại học Sư Phạm, Ngoại ngữ, Điện Lực, Thương Mại, chợ Nhà Xanh..., an sinh đỉnh.Sổ chính chủ, phân lô, sang tên ngay. Giá 25 tỷ có thương lượng.Liên hệ tôi Tuấn Anh 0937651883 xem nhà tực tiếp. Miễn trung gian, Môi giới.
",13/08/2022,Tin thường,batdongsan_so_com_vn_1673808958.0902674, 3, 4, 4
"4,5 tỷ VNĐ",Đường Phùng Khoang phường Thanh Xuân Trung, 57m2,, 3, 5,"M - AE TRIỂT ng - MT 3.5m - Giá 4.5 tỷMô tả+ Vị khoảng nhựn. nh mình sửa, nhà thoáng sáng tuyệng có ánh sáng tự ngay, vị vấTầTầng 2 PN + WC giững 4 Phòng thờ+ Sổn sàng giao dị",13/08/2022,Tin thường,batdongsan_so_com_vn_1673808959.2683141, 4, 4, 3
"10,5 tỷ VNĐ",Đường Cổ Linh phường Long Biên, 90m2,, 5,,"·        Giá bán 10.5 tỷ có thương lượng thêm. ·
",13/08/2022,Tin thường,batdongsan_so_com_vn_1673808960.4960256,,,
"3,1 tỷ VNĐ",Đường Đại Lộ Thăng Long phường Đại Mỗ, 51m2,, 5, 50,"Tôi cần bán căn 1PN + 1 Masteri West Hight Lh 0912785252 - Hướng Tây Nam , Tầng 18 tầng trung rất đẹp view bể bơi 1500m2 , nội khu tuyệt đẹp  - Diện tích : 50,93 m2  - Chiết khấu cao  - Có thể vay ngân hàng ",13/08/2022,Tin thường,batdongsan_so_com_vn_1673808961.5551934, 20, 1, 1
