price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Số phòng ngủ,Số toilet,Mặt tiền,Lộ giới
5 tỷ VNĐ,Ngô Quyền- Hà Đông, 49m2, 4,"Bán nhà lô góc Ngô quyền Hà Đông 49mx4 tầng dân xây chỉ 5 tỷ Hiếm quá nhà đẹp dân xây Ngô Quyền, Hà Đông, lô góc vô cùng hiếm thoáng sáng, nhà 4 tầng khung cột bê tông chắc chắn, vài bước ra ô tô tránh chỉ việc đến ở. Nằm trong khu cán bộ Học viện Chính trị cực yên tĩnh, ngõ thoáng rộng thông muôn nơi, xung quanh đầy đủ tiện ích, gần phố. Giao thông thuận lợi thông Vạn Phúc sang Dương Nội gần Lê Trọng Tấn giáp Văn Khê. Chủ nhà bán đi về sống cùng con cháu, cần bán nhanh chỉ trong tháng 7 âm này. Giá: 5 tỷ ( có gia lộc). Sổ đỏ vuông sẵn sàng giao dịch. Liên hệ tôi Huyền ( 0363703491- 0965472910)- Miễn trung gian, môi giới.",08/08/2022,Tin thường,batdongsan_so_com_vn_1673810094.5683064,,,,
6 tỷ VNĐ,Cầu Giấy Hà Nội, 50m2, 5,"+ Vị trí gần phố, ngõ thông tứ phía, giao thông đi lại thuận tiện, kết nối các tuyến phố Nguyễn Văn Huyên, Thành Thái, Hoa Bằng, Nguyễn Khang, Trần Thái Tông, gần Công viên Cầu Giấy...+ Nhà thiết kế xây 5 tầng đẹp, chắc chắn, hiện đaị. + tầng 1: phòng khách ,bếp, WC+ Tầng 2 + 3 + 4 : Tổng 6 phòng ngủ + WC giữa+ Tầng 5 : Phòng Thờ + sân Phơi.+ Sổ đỏ chính chủ vuông vắn nở hậu, cất két sẵn sàng giao dịch.+ Giá: chỉ 6 tỷ ( có thương lượng).+ Liên hệ: Mrs Lan Phương - 0946648526 (Miễn trung gian và quảng cáo).",08/08/2022,Tin thường,batdongsan_so_com_vn_1673810096.1720533, 6, 4,,
"6,6 tỷ VNĐ",Đình Thôn Mỹ Đình, 73m2,,"Nhà Đình Thôn, Mỹ Đình, Nam Từ Liêm, 73M, MT5M, oto vào nhà 6.5 tỷ LH 0845681666.Nhà Mỹ Đình Nam Từ Liêm mới rất đẹp gần nhiêu đường lớn như Phạm Hùng, Thiên Hiền, Mễ Tri, Lê Quang Đạo, Lê Quang Đạo, Hàm Nghi.Nhà mới xây thiết kế hiện đại, nhiều phòng ngủ, hai mặt thoáng vĩnh viễn, không có căn thứ 2 ở khu vực ô tô vào nhà. Vị trí nhà nhiều tiên ích siêu thị chợ Trường cấp 1, 2, 3 Mỹ Đình, cấp 3 Trí Đức Trần Quốc Tuấn, công viên Hồ Điều Hoà, Bể Bơi Quốc Gia.Pháp lý sổ đỏ sẵn sàng giao dịch ngay.LH Trần Hảo 0845681666 để có giá tốt tư vấn xem nhà miễn phí 24/7.Luôn mang lại Giá Tri - Uy - Tín Niềm Tin tới khách hàng.",08/08/2022,Tin thường,batdongsan_so_com_vn_1673810097.5274415,,,,
"7,8 tỷ VNĐ",láng hạ, 65m2,,"Mô tả THÔNG SỐ: 65m x 5 tầng; mặt tiền 5.3; giá bán 6.7 tỷ. + Nhà thiết kế cực đẹp và hợp lý, khung móng chắc chắn. + Chủ xây với bao tâm huyết, có khe thoáng phía sau. + Thiết kế cơ bản mỗi tầng 1, phòng vệ sinh khép kín. VỊ TRÍ: + Trung tâm quận Đống Đa,gần các khu vực Yên Lãng, Chùa Láng, Láng, TRường Chinh, Chùa Bộc, Thái Hà, Tây Sơn,… ngõ rộng thoáng sạch. Khu vực tiện ích nhiều vô số kể. +Hàng xóm VIEW ROYAL CITY. +Trường học cách nhà vài trăm mét, Đại học cách nhà trong vòng 1 km. + Sơ sơ 3 cái bệnh viện gần nhà. + Chợ khỏi cần bàn, bình dân đi chợ ngã tư sở gần đấy hay chợ thái thịnh. Cao cấp ta đi vô royal city…. + Pháp lý sạch, sổ đỏ nở hậu đẹp sẵn sàng giao dịch. + Giá bán: 7.8 tỷ ( rẻ vài trăm triệu so với thị trường). Liên hệ: Nghĩa – 0868181683 ( để được gặp chủ thương lượng trực tiếp) Miễn phí xem nhà – Nguồn hàng phong phú – Nhiệt tình tận tâm – Hỗ trợ 24/24h/7",08/08/2022,Tin thường,batdongsan_so_com_vn_1673810099.207273,,,,
"6,5 tỷ VNĐ",la khê, 50m2, 4,"Bán Nhà, Phan Đình Giót. Hà Đông. Ô Tô Kinh Doanh 50m2 x 4 tầng. Mặt Tiền 4.5m Giá 6.5Tỷ.    MẶT PHỐ - KINH DOANH, VĂN PHÒNG – NHÀ MỚI Ở LUÔN – NỞ HẬU  + Nhà mặt phố Phan Đình Giót, cách đường Lê Trọng Tấn và Quang Trung vài chục mét, giao với các đường, Quang Trung, Lê Trọng Tấn, Ngã Tư Sở, Vành Đai 3. Ngả đi các hướng nội thành và các tỉnh lân cận rất thuận tiện. + Nhà gần trường học các cấp, gần Bệnh Viện Đa Khoa Hà Đông, Nhà Thi Đấu Hà Đông. gần ga tàu điện trên cao, gần Trung Tâm Thương Mại AON, Bến Xe Yên Nghĩa, Siêu Thị Mêtro Hà Đông, Thiên Đường Bảo Sơn và rất nhiều dịch vụ xung quanh đa dạng và phong phú các loại hình dịch vụ. Giao thông thuận tiện, an ninh an toàn. + Nhà mặt Phố, kinh doanh, văn phòng các loại hình dịch vụ rất đa dạng.  + Nhà thiết kế 4 tầng:                                                                                                          - - - Tầng 1: Phòng khách, Bếp, wc  - Tầng 2,3: Mỗi tầng 2 phòng ngủ và wc - Tầng 4 : Phòng thờ, sân phơi. + Nhà khung cột bê tông chắc chắn. Nhà nở hậu rất đẹp. Chủ bán để ra nước ngoài định cư.  Sổ đỏ chính chủ, sẵn sàng giao dịch.   LH: E KHÁNH: 0984568179 ",08/08/2022,Tin thường,batdongsan_so_com_vn_1673810100.7915416, 4, 3,,
"7,5 tỷ VNĐ",láng, 60m2,,"Mô tả + Nhà thuộc khu vực vip , vị trí đắc địa ngõ rộng hiếm có khó tìm , vài bước ra chùa Láng , gần công viên Cầu Giấy ,... + Xung quanh hàng xóm là người có học thức , an ninh cực kì bảo đảm + Nhà chủ tự xây , kiên cố , nội thất mới toanh , nhà mới chỉ việc xách vali vào ở + Sổ nét , sẵn sàng giao dịch phút mốt + Giá bán: 7.5 tỷ (có thương lượng) Liên hệ: Nghĩa – 0868181683 ( để được gặp chủ thương lượng trực tiếp) Miễn phí xem nhà – Nguồn hàng phong phú – Nhiệt tình tận tâm – Hỗ trợ 24/24h/7 ",08/08/2022,Tin thường,batdongsan_so_com_vn_1673810102.786496,,,,
75 tỷ VNĐ,Đường Nguyễn Ngọc Nại phường Khương Mai, 260m2, 9,"
    
-Tòa Văn Phòng,  Mặt phố Nguyễn Ngọc Nại, khương Mai, Thanh Xuân 247/260m2 Xây 9 Tầng,  75 Tỷ
- Tòa nhà Mới tinh gồm: 

+ Xây 8 tầng nổi, thông sàn, 1 tầng Hầm, 2 thang máy + 1 thang bộ thoát hiểm...PCCC đạt tiêu chuẩn 100%.

+ Gara đỗ 8 ô tô cất trong Hầm.
+ Sổ đỏ chính chủ nở hậu đẹp.

+ Đang cho thầu 200 triệu/tháng, (Hoặc tự cho thuê lẻ lợi nhuận > 250 triệu/ tháng đạt hiệu suất 10%/1 năm gấp 2 lần gửi ngân hàng Và là kênh giữ tiền tốt nhất và gia tăng lợi nhuận do Bđs tăng giá hàng năm ) 

+ Vị trí đẹp vỉa hè rộng, gần Ngã tư Sở, Royal City Nguyễn Trãi, và rất gần bệnh viện YHCT Quân Đội và các trường Đại học, Tòa nhà thông sàn rất thoáng mát, hiện đại hợp cho tất cả VP, Nhà Hàng, Ngân Hàng...
Liên Hệ Mr Hào Để biết thêm chi tiết.
",08/08/2022,Tin thường,batdongsan_so_com_vn_1673810104.3971927, 9, 10, 6, 1
160 triệu VNĐ/m2,Quận Nam Từ Liêm, 120m2,," Đình Thôn Mảnh Đất mặt phố cực hiếm 120m2 MT 8m kinh doanh ô tô tránh 0962745289+Vị trí 5* ô tô tránh, ô tô vào nhà mặt phố Đình Thôn. Kinh doanh bất chấp, mặt tiền lớn cực hiếm nhà bán. Khu tập trung nhiều cư dân Hàn Quốc. Tiện ích miễn bàn.+ Mảnh Đất mặt phố ô tô vào nhà, xây tòa nhà 10 tầng thang máy king doanh, cho thuê văn phòng, khách sạn , xung quanh nhiều nhà hàng, café, công ty, dịch vụ chợ buôn bán tấp nập. + Đường thông ra Phạm Hùng, Thiên Hiền, Lê Đức Thọ, Nguyễn Hoàng, Tố Hữu và các tuyến phố trung tâm nội đô. khu an ninh cao, công năng đầy đủ tiện ích. Dân cư đông kinh doanh buôn bán tấp nập,+ Sổ đỏ chính chủ sẵn sàng giao dịch.+ Giá:Thỏa thuận.Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn pháp lý, thủ tục sang tên nhanh gọn.+ Tư vấn 24/7.",08/08/2022,Tin thường,batdongsan_so_com_vn_1673810106.0208478,,,,
"1,925 tỷ VNĐ",Đường Thụy Lâm phường Đông Anh, 70m2,,"Khu đất đấu giá X3 Đào Thục vừa trúng đấu giá của huyện - Giá lướt nhẹ để cửa cho các nhà đầu tư sau.  - Tất cả các lô đều 2 mặt tiền, 1 lô 3 mặt tiền. - Kích thước 5x14m siêu đẹp. - Cạnh đê thoáng mát.  - Ngay bên cạnh QH khu công viên, sau này sẽ rất đẹp. - ĐẤT ĐẤU GIÁ RẺ NHẤT TẠI ĐÔNG ANH - ĐẦU TƯ CHẮC CHẮN THẮNG.  Chi tiết liên hệ e Huy: 0979.696.848",08/08/2022,Tin thường,batdongsan_so_com_vn_1673810107.5562546,,, 5,
9 tỷ VNĐ,Khương Đình, 60m2, 5,"Ô TÔ TRÁNH VỈA HÈ - Ô TÔ VÀO NHÀ - 3 MẶT THOÁNG - NHÀ ĐẸP - Ở - KINH DOANH. + Trung tâm Phố Khương Đình - Thanh Xuân, tiện ích ngập tràn. + Vị trí nhà đẹp nhất Phố, ô tô vào nhà, ô tô tránh vỉa hè rộng. Khu vực đang rất phát triển, vừa ở hoặc kinh doanh đều được. + Nhà mới đẹp, 3 mặt thoáng sáng, nội thất cao cấp. + Sổ đỏ vuông đẹp, pháp lý chuẩn, sẵn sàng dao dịch. LH: Em Hoan, 0925088355, chuyên thổ cư Hà Nội, miễn phí xem nhà 24/7.",08/08/2022,Tin thường,batdongsan_so_com_vn_1673810109.1823506,,, 4,
