price,address,Diện tích,Hướng,Mặt tiền,Lộ giới,Số tầng,Details,Ngày đăng,Loại tin,id,Số phòng ngủ,Số toilet
"14,5 tỷ VNĐ","bán gấp căn nhà Khu TT Cục Quân Y ngõ Nguyễn Khang Trần Duy Hưng Nguyễn Chí Thanh Trung Hòa Cầu Giấy dt 58 m2 giá 14,5 tỷ", 58m2, Đông nam, 4, 6, 7,"Chính chủ cần bán gấp căn nhà Khu TT Cục Quân Y ngõ Nguyễn Khang Trần Duy Hưng Nguyễn Chí Thanh Trung Hòa Cầu Giấy dt 58 m2 giá 14,5 tỷ Gia đình em cần bán gấp căn nhà PLô Khu Tập Thể Cục Quân Y, Nguyễn Khang, Trung Yên, Trần Duy Hưng,  Nguyễn Chí Thanh, phường Trung Hòa, Quận  Cầu Giấy,  diện tích 55 m2, thực tế xây dựng 59m2, mặt tiền 4,5 m, nhà xay dựng 7,5 tầng thang máy, nhà Lô Góc Hai Mặt thoáng, trang trí nội thất thiết kế hiện đại phong cách, cầu thang máy nhập khẩu, cửa thông phòng , cửa sổ nhôm hẹ Xinfa, thiết bị wc cao cấp, nóng lạnh, …. Nhà được thiết kế thông sàn vừa để ở kinh doanh hay văn phòng công ty, vvv,vv.. nhà nằm trên mặt ngõ rộng đường ô tô , nhà cách ngã tư phố Nguyễn Khang,  Trần Duy Hưng,  Nguyễn Chí Thanh, Trung Hòa, Trung Kính, Cầu Giấy 50m, giao thông đi lại thuận tiện, sđcc, giá bán 14,5 tỷ Có thương lượng, mtg, môi giới làm phiền. LH Anh Thụy 0936359198 / 0961218968 quý khách sẽ được phục vụ tận tình được tư vấn từ A đến Z để quý khách mua được căn nhà như Ý",15/12/2022,Tin thường,batdongsan_so_com_vn_1673783343.791946,,
115 tỷ VNĐ,bán gấp căn Biệt Thự Khu Lão Thành Cách Mạng Đường Hạ Yên 20 Trần Kim Xuyến Yên Hòa Cầu Giấy dt 300 m2 giá 115 tỷ, 300m2, Tây bắc, 18, 20, 5,"Chính chủ cần bán gấp căn Biệt Thự Khu Lão Thành Cách Mạng Đường Hạ Yên 20 Trần Kim Xuyến Yên Hòa Cầu Giấy dt 300 m2 giá 115 tỷ Gia đình em cần bán gấp căn Biệt Thự Lô Gọc Hai mặt tiền  đường  Khu Lão Thành Cách Mạng,  Đường Hạ Yên,  20 Trần Kim Xuyến,  phường Yên Hòa, Quận  Cầu Giấy, diện tích 300 m2 ,  nhà lô góc hai mặt tiền đường ngõ, nhà xây dựng 5 tầng cầu thang máy, nhà có hầm để xe, sân vườn,  nhà được thiết kế hiện đại phông cách, trang trí nội thất xịn xò, thiết bị wc cao cấp, tiện nghi đầy đủ, nhà nằm trong khu phân lô biệt thực Lão Thành Cách Mạng, dân trí cao an ninh tốt, giao thông đi lại thuận tiện, sđcc, giá bán 115 tỷ  Có thương lượng, mtg, môi giới làm phiền. LH Anh Thụy 0936359198 / 0961218968 quý khách sẽ được phục vụ tận tình được tư vấn từ A đến Z để quý khách mua được căn nhà như Ý",15/12/2022,Tin thường,batdongsan_so_com_vn_1673783345.1612818,,
"5,2 tỷ VNĐ","Đường Tôn Đức Thắng, Ô Chợ Dừa, Đống Đa", 50m2,, 4, 1, 5,"
    NHÀ ĐẸP Ở NGAY - NGÕ THÔNG GẦN PHỐ - VỊ TRÍ ĐẸP - TẶNG TOÀN BỘ NỘI THẤT.- Nhà vị trí đẹp gần phố, ngõ thông ba gác chạy vèo vèo, 40m ra Tôn Đức Thắng, 100m ra mặt phố Khâm Thiên, gần ngã 5 Ô Chợ Dừa giao thông thuận lợi.- Khu vực dân trí cao, hạ tầng hoàn thiện, tiện ích xung quanh không thiếu thứ gì- Nhà đẹp ở ngay 2 thoáng, 5 tầng đều có ban công, cửa sổ.- Nhà mình bán tổng có 5 phòng ngủ, 4 WC, thích hợp cho gia đình đông người. Đặc biệt là Phòng nào cũng ngập tràn ánh sáng tự nhiên...- Tầng 1: Khách, bếp, 1 wc, sân để xe.- Tầng 2,3,4: Tổng 5 phòng ngủ, 3 wc.- Tầng 5: Phòng thờ, sân phơi.- Sổ đỏ chính chủ, sẵn sàng giao dịch ngay.- Diên tích 50m2 x 5 tầng - Giá 5.2 Tỷ (có thương lượng)- CAM KẾT ẢNH THẬT 100%-------------------------Liên hệ xem nhà MIỄN PHÍ: 0965 399 689 (Mr Châu)",15/12/2022,Tin thường,batdongsan_so_com_vn_1673783346.2992375, 5, 4
"2,7 tỷ VNĐ",30 Phạm Văn Đồng, 75m2,,, 60,," Do cần sắp xếp tài chính trước Tết nên tôi cần bán gấp căn hộ tại chung cư Bắc Hà Lucky 30 Phạm Văn Đồng.- Tầng cao- View đường Phạm Văn Đồng- Diện tích tim tường 75m2, thông thủy 68m2- Đã có sổ đỏ- Giá bán 2.7 tỷ- Xin liên hệ Tùng 0888.26.16.06 để biết thêm thông tin chi tiết",15/12/2022,Tin thường,batdongsan_so_com_vn_1673783347.3943086, 2, 2
"34,5 tỷ VNĐ","Đường Võ Chí Công, Phú Thượng, Tây Hồ", 150m2, Bắc, 7, 1, 4,"Gia đình mua nhà cho con, nhưng cháu định cư bên nước ngoài nên bán căn biệt thự Khu đô thị Nam Thăng Long, thuộc phường Phú Thượng, quận Tây Hồ, Hà Nội Biệt thự song lập, hướng Bắc.  Diện tích 150m2, xây 3 tầng, có hầm để xe rộng rãi Khu phù hợp để ở, rất yên tĩnh. Gần sông, gần hồ nên không khí thoáng mát Giá bán: thỏa thuận Liên hệ xem nhà Vân Trang: 0907023278 ",15/12/2022,Tin thường,batdongsan_so_com_vn_1673783348.5980873, 4, 6
29 tỷ VNĐ,"quan hoa, cầu giấy, hà nội", 52m2, Nam, 8, 8, 9,"KHÁCH SẠN 9 TẦNG MẶT PHỐ Q. CẦU GIẤY - VIEW THOÁNG VĨNH VIỄN - THANG MÁY NHẬP KHẨU - DÒNG TIỀN ỔN ĐỊNH Mô tả:- Vị trí nhà nằm trung tâm Cầu Giấy giáp Đống Đa, Ba Đình và Tây Hồ điểm trung chuyển của 4 quận lớn nhất của Hà Nội, view nhìn thẳng tháp Lotte.- Đi bộ vài phút là đến UBND Quận Cầu Giấy, ô tô dừng đỗ ngày đêm, vỉa hè 2 bên. Khu vực đông đúc, nhu cầu cho thuê cực cao.- Nhà thiết kế 9 tầng:  1 tầng hầm + 7 tầng nổi + tầng tum. - Mặt tiền khủng 8,5m- Nhà hiện cho thuê làm Khách Sạn với 12 phòng. Giá cho thuê mùa dịch là 1 tỷ/ năm.- Thang máy nhập khẩu, PCCC, thiết kế đầy đủ.+ sổ đỏ chính chủ, giao dịch luôn.Liên hệ: 0915885164 xem nhà 24/24",15/12/2022,Tin thường,batdongsan_so_com_vn_1673783349.8946192, 10, 10
"9,8 tỷ VNĐ","Đường Văn Yên, Văn Quán, Hà Đông", 45m2,, 4, 12, 7,"
    LK Khu dịch vụ Vạn Phúc Tố Hữu Hà Đông dt: 45m2 x 7 Tầng Mt: 4.5m Giá Chào Bán  9.8 tỷ ( CTL)Mô tả:- Nhà nằm trong khu dịch vụ Vạn Phúc, cạnh trường tiểu học Vạn Bảo, dự án khu nhà ở Him Vạn Phúc... tiện ích bạt ngàn.- Đường trước nhà rộng ô tô tránh, ô tô đỗ, vỉa hè, giao thông thuận tiện với các trục đường lớn như đường Vạn Phúc, Đại Mỗ , Thanh Bình, Tố Hữu, Lê Văn Lương kéo Dài...- Nhà được thiết kế 7 tầng thang máy hiện đại.+ Tầng 1: Thông sàn, vệ sinh.+ Tầng 2: Thông sàn, vệ sinh.+ Tầng 3 : Bếp, phòng khách.+ Tầng 4,5: Tổng 2 ngủ, 2 vệ sinh.+ Tầng 6: Phòng thờ, phòng ngủ, vệ sinh.+ Tầng 7: Sân phơi cực rộng.- Sổ đỏ phân lô vuông đẹp.Anh chị em Quan Tâm LH Mr Hóa chuyên thổ cư Hà Nội để biết thêm thông tin chi tiết
",15/12/2022,Tin thường,batdongsan_so_com_vn_1673783351.018612, 4, 7
"3,2 tỷ VNĐ",Văn Phú - Hà Đông, 40m2,,,, 4," Bán nhà Văn Phú, Hà Đông 40mx4 tầng dân xây gần ô tô gõ nông hơn 3 tỷ Nhà đẹp ở ngay trước Tết dân xây chắc chắn các tầng thoáng sáng đầy đủ công năng sử dụng 4 tầng rộng 40m ở ngay. Bán kính xung quanh nhà hưởng trọn tiện ích khu đô thị Văn Phú, gần bến xe, ga tàu điện, trường học, chợ đầu mối 365, bệnh viện, ngân hàng, siêu thị đầy đủ. Giáp với Văn La gần Lê Trọng Tấn đối diện Phan Đình Giót sang Hà Cầu chạy song song Lý Thường Kiệt sang Trần Đăng Ninh. Sổ vuông sẵn sàng giao dịch. Giá: 3.2 tỷ ( gia lộc). Liên hệ : Huyền ( 0363703491- 0965472910) – Gặp trực tiếp chính chủ.",15/12/2022,Tin thường,batdongsan_so_com_vn_1673783352.2284157,,
"7,9 tỷ VNĐ",Mậu Lương - Hà Đông, 64m2,, 4,,,"Bán nhà mặt phố Mậu Lương, Hà Đông 64m, MT 4.6m lô góc kinh doanh hơn 7 tỷ Cần bán nhanh nhà trong tháng kinh doanh sầm uất lô góc thoáng sáng đẹp nhất khu vỉa hè rộng mặt tiền lớn gần 5m diện tích to 64m vuông đét, đường trước nhà mở rộng 40m công viên cạnh nhà. Xung quanh nhà đầy đủ tiện ích nằm cạnh khu dân cư đông đúc phù hợp kinh doanh đa dạng đường rộng. Gia chủ đang kinh doanh rất đông khách bán đi rất tiếc do nhu cầu thay đổi công việc. Sổ vuông sẵn sàng giao dịch. Giá: 7.9 tỷ ( gia lộc). Liên hệ : Huyền ( 0363703491- 0965472910) – Gặp trực tiếp chính chủ.",15/12/2022,Tin thường,batdongsan_so_com_vn_1673783353.3214538,,
"4,1 tỷ VNĐ","Đường Khương Đình, Hạ Đình, Thanh Xuân", 41m2,, 5, 2, 4,"- Nhà 41 m2 x 4 tầng, khu dân trí cao gần ngã tư sở - Ngõ trước nhà 3m, ba gác tránh nhau.  - Sổ đỏ đẹp chỉnh chủ, pháp lý sạch.  - Nhà đẹp, mang quần áo đến là ở được ngay, chủ để lại nội thất đẹp hiện đại. - Cam kết hình ảnh + thông tin nhà chuẩn.  + gọi ngay 0934.438.222 để dc xem nhà và gặp trực tiếp chủ nhà",15/12/2022,Tin thường,batdongsan_so_com_vn_1673783354.402561,,
