price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Lộ giới,Số toilet,Hướng
"5,5 tỷ VNĐ",Trần Khát Chân Hai Bà Trưng Hà Nội, 50m2, 4, 5, 6,"+ Cần bán nhà đẹp ở ngay tại phố Trần Khát Chân, lô góc, gần phố, cực hiếm có căn thứ 2. + Ngõ to rộng sạch sẽ, rất gần ô tô tránh, khu vực an ninh tốt, dân trí cao, ở cực kỳ sướng. + Diện tích 50m2, 5 tầng, mặt tiền 4 mét. + Thiết kế mỗi tầng 2 phòng ngủ, cầu thang vệ sinh giữa, tổng 6 ngủ. + Lô góc 2 mặt ngõ cực đẹp. + Sổ đỏ chính chủ, sẵn sàng giao dịch ngay. + Tài chính 5.5 tỷ ( Thương lượng ) Quan tâm xin liên hệ: Minh Quang 0327085656 ( Anh chị em môi giới vui lòng không gọi điện. Xin cảm ơn )",08/08/2022,Tin thường,batdongsan_so_com_vn_1673810148.3219957,,,
18 tỷ VNĐ,Đường Trung Yên phường Yên Hòa, 70m2,, 4, 4,"+ Nhà nằm trong khu phân lô, vỉa hè, lô góc, 2 mặt xe tải tránh, thông tứ tung, đi đâu cũng tiện. + Khách ở, kinh doanh, văn phòng đều được hết, vì vị trí siêu đẹp cách đường lớn chỉ vài bước chân. + Khu vực trung tâm tiện ích gần công viên Yên Hoà, CV Trung Yên, trường St’ Mary International, THCS Archimedes Academy, gần đường Vũ Phạm Hàm, Trần Kim Xuyến, … + Nhà xây 4 tầng, tầng 1 là cửa hàng kinh doanh, trên là 4PN, phòng thờ, sân phơi.  + Sổ 54m2, 70m2/T2, do lợi thế lô góc, mặt tiền rộng. Vuông vắn trước sau.  + Giá: 18 tỷ có thương lượng.  + Alo em An 0987784248 - 0865678248 để xem nhà và gặp chủ nhà. Cảm ơn anh chị đã đọc tin!",08/08/2022,Tin thường,batdongsan_so_com_vn_1673810149.7731133, 15, 3,
"6,8 tỷ VNĐ",mỗ lao, 48m2, 4, 5, 6,"Bán Nhà, Trần Phú. Hà Đông. Ô Tô Kinh Doanh 48m2 x 5 tầng. Mặt Tiền 4m Giá 6.8Tỷ.   PHÂN LÔ - MẶT NGÕ - KINH DOANH, VĂN PHÒNG – NHÀ MỚI Ở LUÔN  + Nhà mặt ngõ Trần Phú, cách đường Trần Phú vài bước chân, giao với các đường, Quang Trung, Ngã Tư Sở, Vành Đai 3. Ngả đi các hướng nội thành và các tỉnh lân cận rất thuận tiện. + Nhà gần trường học các cấp, gần các trường Đại Học lớn như: Đại Học Kiến Trúc, Học Viện An Ninh, Bưu Chính Viễn Thông. Cách siêu thị Bigc và Coopmax vài trăm mét, gần ga tàu điện trên cao, gần Trung Tâm Thương Mại Roal Anl CiTy, Chợ Phùng Khoang, Uỷ Ban Nhân Dân Quận Hà Đông , Bệnh Viện 103 và rất nhiều dịch vụ xung quanh đa dạng và phong phú các loại hình dịch vụ. Giao thông thuận tiện, an ninh an toàn. + Nhà mặt ngõ, kinh doanh, văn phòng các loại hình dịch vụ rất đa dạng.  + Nhà thiết kế 5 tầng:                                                                                                          - - - Tầng 1: Phòng khách, Bếp, wc  - Tầng 2,3,4: Mỗi tầng 2 phòng ngủ và wc - Tầng 5 : Phòng thờ, sân phơi. + Nhà khung cột bê tông chắc chắn, chủ mới chỉ việc về ở. Nhà nở hậu rất đẹp.  Sổ đỏ chính chủ, sẵn sàng giao dịch.   LH: E KHÁNH: 0984568179 ",08/08/2022,Tin thường,batdongsan_so_com_vn_1673810151.1055508,, 4,
17 tỷ VNĐ,Đường Vũ Phạm Hàm phường Yên Hoà, 65m2,, 6, 6,"+ Nhà nằm trong khu phân lô, 10m ra phố, trước nhà ô tô tránh, ô tô vào nhà, vừa ở vừa kinh doanh văn phòng.  + Nhà xây cực chất, DT 65m2, xây 6 tầng, lô góc, nội thất đẹp, sàn gỗ ấm áp.+ Khu vực trung tâm tiện ích khu Yên  Hoà-Cầu Giấy, gần công viên, trường học, chợ, TTTM. Cái gì cũng có.+ Sổ 65m2, 70m2/T2, mt 6.3m. Vuông vắn trước sau. + Giá chỉ 17 tỷ có thương lượng. + Alo em An 0987784248 - 0865678248 nếu anh chị quan tâm.Cảm ơn anh chị đã đọc tin! ",08/08/2022,Tin thường,batdongsan_so_com_vn_1673810154.4872675, 8, 4,
"10,3 tỷ VNĐ",Đường Văn Khê phường La Khê, 82m2, 5, 4, 4,,08/08/2022,Tin thường,batdongsan_so_com_vn_1673810155.7834713, 10, 4,
"5,3 tỷ VNĐ",Đường Tạ Quang Bửu phường Bạch Mai, 42m2, 5, 5, 3,,08/08/2022,Tin thường,batdongsan_so_com_vn_1673810157.3737533, 1, 4,
"3,35 tỷ VNĐ",the pride tố hữu, 146m2,, 10, 3,"Do chuyển công tác sang nước ngoài nên gia đình cần bán căn hộ The Pride Tố Hữu, La Khê, Hà Đông. Nhà đã sửa cực kỳ tâm huyết bán đi cũng tiếc mong muốn người mua giữ gìn sạch sẽ cẩn thận. Thông tin như sau: Diện tích 146m2 gồm 3 ngủ, 3 vệ sinh, 2 ban công thoáng mát. Nội thất đầy đủ như trong hình. Nhà mới sửa lại thiết kế hiện đại trang trọng. Nội thất xịn. Tiện ích đầy đủ siêu thị Đức Thành, trường mầm non, nhà hàng, trung tâm thương mại, khuôn viên chơi, kios, bể bơi, gym, spa,... An ninh bảo mật tốt. Giá 3.xx tỷ có thương lượng. Ai quan tâm vui lòng liên hệ Mr. Luân 0962.626.796",08/08/2022,Tin thường,batdongsan_so_com_vn_1673810158.925601, 5, 3, Đông nam
"2,45 tỷ VNĐ",the pride tố hữu hà đông, 103m2,, 10, 3,"Do đi làm xa nên gia đình chuyển lên cho gần chỗ làm nên cần bán căn hộ The Pride, Tố Hữu, Hà Đông. Nhà đã sửa chữa nên có nhiều tâm huyết mong tìm được chủ mới giữ gìn cẩn thận. Vị trí á hậu căn góc. Tiện ích xung quanh: Gần trường Quốc tế Nhật Bản, đối diện bến xe bus BRT, liền kề khu đô thị Văn Khê, cách Công viên Thiên Văn Học 1km, gần chợ, có khuôn viên chơi, trung tâm thương mại, siêu thị Đức Thành. Diện tích 102,8m2 thiết kế 3 phòng ngủ, 3 vệ sinh, ban công thoáng mát. Nội thất bàn giao đầy đủ đồ: Tủ quần áo, điều hòa, tủ bếp, bếp từ, hút mùi, sàn gỗ, trần thạch cao. Nhà ở giữ gìn sạch sẽ mới tinh. Sổ đỏ chính chủ. Giá 2,4x tỷ có thương lượng. Ai quan tâm vui lòng liên hệ Anh Luân 0962.626.796",08/08/2022,Tin thường,batdongsan_so_com_vn_1673810160.7220623, 5, 3, Đông nam
2 tỷ VNĐ,the pride tố hữu, 81m2,, 10, 2,"Do đi làm xa phải chuyển lên phố cho gần cơ quan nên cần bán gấp căn hộ 2 ngủ The Pride Tố Hữu, Hà Đông. Gia đình sửa chữa nhiều tâm huyết nên bán đi cũng tiếc mong để lại chủ mới có lộc. Thông tin như sau: Diện tích 81m2, 2 phòng ngủ, 2 vệ sinh, ban công thoáng mát. Nội thất full đồ như trong hình. Sổ đỏ chính chủ ở nhà. Tiện ích: Chợ cóc, các kios nhà hàng Thành Nam, quán ăn mua sắm đầy đủ, bể bơi, siêu thị Đức Thành, trung tâm thương mại. An ninh bảo mật chặt chẽ. Giá 2, x tỷ Có thương lượng. Ai quan tâm vui lòng liên hệ Mr. Luân 0962.626.796",08/08/2022,Tin thường,batdongsan_so_com_vn_1673810161.9397988, 5, 2, Tây bắc
2 tỷ VNĐ,the pride tố hữu hà đông, 76m2,, 10, 2,"Do làm ăn có lộc chuyển xuống biệt thự nên gia đình cần bán căn hộ The Pride Tố Hữu mong muốn để lại cho chủ mới giữ gìn cẩn thận. Vị trí đối diện toà Terra An Hưng, toà Nam Cường Building, nằm trên đường Tố Hữu, La Khê. Căn góc hoa hậu. Tiện ích: Trung tâm thương mại The Pride, siêu thị, trường học, tạp hoá, bể bơi, gym, spa, phòng sinh hoạt, sân chơi, đầy đủ. Thiết kế diện tích 76m2 gồm 2 ngủ 2 vệ sinh, 2 ban công thoáng mát. An ninh bảo mật tốt. Nhà ở giữ gìn sạch sẽ. Nội thất để lại đầy đủ. Sổ đỏ chính chủ. Giá 1,x tỷ Có thương lượng. Ai quan tâm vui lòng liên hệ Mr Luân 0962.626.796",08/08/2022,Tin thường,batdongsan_so_com_vn_1673810164.154231, 5, 2, Tây bắc
