price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Số toilet,Mặt tiền,Lộ giới,Hướng
"6,35 tỷ VNĐ",Hà Nội, 50m2,"BÁN CCMN LÊ ĐỨC THỌ, MỸ ĐÌNH 6T MT 8M NHỈNH 6 TỶ+ Liền kề Đại Học, Bến xe, Giao thông thuận tiện. Nhỏ mà có Võ.+ Gần ĐH Thương Mại , ĐH Quốc gia, ĐH Sư Phạm, Bến xe Mỹ Đình.. Trung tâm phát triển, tiện ích ngập tràn.+ Sổ CC, sang tên nhanh gọn.+ Giá thương lượng.+ Thiện trí xem nhà gọi Em Đức 0988839292.",05/08/2022,Tin thường,batdongsan_so_com_vn_1673810567.9552376,,,,,,
"4,5 tỷ /tháng","Tây Nam hồ Linh Đàm, Hoàng Liệt, Hoàng Mai, Hà Nội", 100m2,"Vốn từ 600 triệu sở hữu ngay căn hộ 2 PN tại chung cư Hà Nội Melody Linh Đàm.Chính sách ưu đãi cực lớn chỉ ngay trong tháng này:- Hỗ trợ vay tới 70% với lãi suất 0% trong 24 tháng.- Đóng giãn 15 - 20 đợt, 3 - 5% mỗi đợt.- Full nội thất bàn giao nhà.Trọn vẹn những tiện ích đẳng cấp của 1 căn hộ cao cấp:- Hồ Bơi chuẩn quốc tế 4 mùa, gym, yoga, khu vui chơi ngoài trời, nhà thuốc, BBQ ngoài trời,...- 3 hầm để xe siêu rộng, 12 thang máy/tòa.- 100% căn hộ có 2 lô gia đón nắng, gió và ánh sáng tự nhiên.- Không gian linh hoạt: 68m2; 76m2; 82m2; 98m2; 121m; 147m2 (2 - 3 PN).Đặc biệt với với khả năng sinh lời cực lớn khi mua nhà từ móng do sự khan hiếm chung cư tại Hà Nội.Quá dễ dàng, chỉ cần 600 triệu đã sở hữu ngay căn hộ cao cấp tại quận Hoàng Mai, view hồ Linh Đàm.",05/08/2022,Tin thường,batdongsan_so_com_vn_1673810569.6078172, 7, 3, 2,,,
"3,29 tỷ VNĐ",Đường Liên Mạc phường Liên Mạc, 35m2,"
    Bán nhà Liên Mạc, 2.8 Tỷ, 4 tầng, nhà mới xây, đầy đủ công năng- Ngõ trước nhà Ô TÔ đỗ cửa, Vị trí trung tâm, thuận tiện giao thông đi lại, kết nối với Cầu Thăng Long, Thụy Phương...* Nhà 4 tầng mới đẹp, khung cột chắc chắn, thiết kế đầy đủ công năng:    Tầng 1: Phòng Khách + Bếp.     Tầng 2: 01 phòng Ngủ + WC   Tầng 3: 02 phòng Ngủ + WC   Tầng 4: Phòng thờ + Sân phơi* Sổ đỏ chính chủ, sẵn sàng giao dịch .* Giá chỉ 2.8 tỷ.* Hỗ trợ tư vấn pháp lý khi mua nhà.- Chi tiết vui lòng liên hệ em Thịnh để xem nhà miễn phí 24/7 và được tư vấn tốt nhấtXin cảm ơn!
",05/08/2022,Tin thường,batdongsan_so_com_vn_1673810570.8694417, 4, 3, 3, 3, 3,
36 tỷ VNĐ,Đường Đoàn Khuê phường Việt Hưng, 220m2,"Chủ nhà cần bán gấp căn biệt thự siêu vip KĐT Việt Hưng.+ Biệt thự nằm ở khu lõi của KĐT mới Việt Hưng, tập trung toàn bộ các tiện ích cao cấp nhất của KĐT: Công viên, trường học, an ninh...+ Biệt thự thiết kế 5 tầng, nội ngoại thất nhập khẩu, toàn bộ bằng gỗ tự nhiên chất lượng.Tầng 1: Sân vườn, phòng khách, phòng sinh hoạt chung, bếp, gara ô tô.Tầng 2, 3: Thiết kế 3 phòng ngủ khép kín.Tầng 4: Thiết kế 1 phòng sinh hoạt chung. 1 phòng khách và phòng thờ.Tầng 5: Sân chơi, sân phơi.+ Sổ đỏ chính chủ, pháp lý chuẩn. Chi tiết xin liên hệ: Vũ Tuấn - chuyên bđs thổ cư, biệt thự, nhà phố Long Biên...theo số..   O399..27..11..14..o",05/08/2022,Tin thường,batdongsan_so_com_vn_1673810572.0343244, 5, 5, 5, 8, 21,
"3,4 tỷ VNĐ",Đường A phường Cổ Bi, 73m2,"
    + Tiện ích xung quanh gần trường mầm non , C1,C2,C3, chợ dân sinh( Làng Vàng ) Khu vực đang phát triển giao thông hạ tầng đang dần hoàn thiện.Cam Kết Bán Đúng Giá - Không Thu Phí Người Mua - Hỗ Trợ Thủ Tục Sang Tên!
",05/08/2022,Tin thường,batdongsan_so_com_vn_1673810573.3837154,,,, 5,,
"3,5 tỷ VNĐ",phố Lạc Trung, 38m2,"+ Nhà năm tại phố Lạc Trung, gần các tuyến phố huyết mạch như Kim Ngưu, Minh Khai,Thanh Nhàn.. + Nhiều tiện ích : Time City, Bệnh Viện Thanh Nhàn… + Nhà trong khu phân lô, dân trí cao, an ninh tuyệt đối. + Ngõ thông,80m ra phố Lạc Trung. + Diện tích sổ đỏ 40  x 5 tầng. + Nhà mới xây, thiết kế hiện đại, Chủ xây cực kỳ tâm huyết. + Chủ TẶNG TOÀN BỘ NỘI THẤT. + Sổ đỏ chính chủ, đảm bảo pháp lý, sẵn sàng giao dịch. + Giá 3 Tỷ600  Liên hệ: em Dũng chính chủ  - 094 567 6597",05/08/2022,Tin thường,batdongsan_so_com_vn_1673810574.5815113,,,,,,
"35,5 tỷ VNĐ",Đường Khúc Thừa Dụ phường Dịch Vọng, 80m2,"CỰC HIẾM, MẶT PHỐ, LÔ GÓC CÓ 102 PHỐ KHÚC THỪA DỤ, 80M2, MT10, VỈA HÈ ĐUA XE PHÙ HỢP BUILDING 9 TẦNG 1 HẦM NHỈNH 35 TỶ. * VIÊN NGỌC THÔ CÒN DUY NHẤT XÓT LẠI TẠI MẶT PHỐ TRUNG TÂM QUẬN CẦU GIẤY- Diện tích: 80m2.- Mặt tiền: 10m.- Hiện trạng: đang cho thuê kinh doanh dòng tiền 60 triệu/ tháng.- Vị trí: mặt phố Khúc Thừa Dụ, mặt cắt đường 60m, ô tô dừng đỗ. Khu vực dân trí cao, giao thông thuận lợi, không gian thoáng mát, phù hợp cho thuê nhiều loại hình dịch vụ: spa, salon, phòng khám, cửa hàng, showroom.- Pháp lý: sổ vuông đẹp, nở hậu, chủ thiện chí, giao dịch trong ngày.$ Giá niêm yết: NHỈNH 35 tỷ. * ĐÁNH GIÁ SẢN PHẨM- Vị trí đẹp, diện tích rộng, mặt tiền lớn trung tâm quận Cầu Giấy, cho thuê cực dễ có ngay dòng tiền khủng.- Viên ngọc thô cực hiếm còn xót lại.- Khách mua về tạo giá trị cho bất động sản mang lại nguồn thu lớn.- Khách hưởng lợi khi nhà lô góc độc nhất con phố vừa có giá trị kinh tế vừa thể hiện đẳng cấp giới Hà Thành. Liên hệ: Mr Lam (Fb/Zalo - 24/7) - Miễn trung gian, môi giới. Chỉ tiếp khách có nhu cầu thực, khách xem cho vui hoặc không có quyền quyết xin phép không tương tác. Với kinh nghiệm 8 năm trong lĩnh vực bất động sản, Mr Lam sở hữu thông tin hơn 1000 căn nhà mặt phố, với đủ phân khúc lớn nhỏ từ chục tỷ cho đến hàng trăm tỷ, vị trí đẹp, tính thanh khoản cao, đáp ứng đầy đủ nhu cầu ở, đầu tư sinh lời của các khách hàng, tại các khu vực quận trung tâm Hà Nội như Ba Đình, Tây Hồ, Đống Đa, Cầu Giấy... giúp cho hàng trăm chủ nhà và khách hàng tìm được căn nhà ưng ý, tôi sẵn sàng hỗ trợ và tư vấn với sự nhiệt tình, kinh nghiệm, thông thạo khu vực, loại hình để đưa đến những thông tin nhanh và chính xác nhất. Các loại hình làm việc1. Nhà mặt phố kinh doanh2. Nhà mặt ngõ ô tô3. Tòa nhà dòng tiền: căn hộ, apartment, văn phòng, trụ sở công ty...4. Nhà ở yên tĩnh, biệt thự đẳng cấp5. Nhà phân lô các khu vực VIP Hà Nội Liên hệ ngay để được tư vấn và tham khảo nguồn hàng phù hợp nhất.",05/08/2022,Tin thường,batdongsan_so_com_vn_1673810575.8989875, 5, 5, 5, 10, 30,
"3,2 tỷ VNĐ",tây sơn, 60m2,"+ Bán nhàNguyễn Lương Bằng, Trung Tâm Quận Đống đa, Gần Ga Chùa Bộc, Nguyễn Thái Hà, Độc Nhất, Siêu Hiếm, Kinh doanh online, ... + Nhà ở ngay, Ô tô cách nhà vài bước chân, Tiện ích gần trường học các cấp, Chợ, Thể thao, Vài bước chân..., + LH: Vượng - 0912949598. Bất Động Sản Đống đa, Còn 20 căn tương tự. + Sổ Đỏ Chính Chủ Sẵn sàng giao dịch. + Hỗ trợ tư vấn Pháp lý, Đàm Phán, 70% ngân hang. #bannhathaiha##bannhadongda# #bannhatayson##bannhadelathanh# #bannhaxadan##bannhadangtiendong# #bannhatrungliet##bannhathaithinh# #bannhachuaboc##bannhatrungtu3 #bannhatonducthang##bannhavanchuong# #bannhathinhhao#",05/08/2022,Tin thường,batdongsan_so_com_vn_1673810577.4458988,,,,,,
32 ngàn VNĐ,Đường Tây Sơn 2 phường Nam Đồng, 60m2,"+ Bán nhàNguyễn Lương Bằng, Trung Tâm Quận Đống đa, Gần Ga Chùa Bộc, Nguyễn Thái Hà, Độc Nhất, Siêu Hiếm, Kinh doanh online, ... + Nhà ở ngay, Ô tô cách nhà vài bước chân, Tiện ích gần trường học các cấp, Chợ, Thể thao, Vài bước chân...,  + LH: Vượng - 0912949598. Bất Động Sản Đống đa, Còn 20 căn tương tự. + Sổ Đỏ Chính Chủ Sẵn sàng giao dịch. + Hỗ trợ tư vấn Pháp lý, Đàm Phán, 70% ngân hang. #bannhaxadan##bannhadangtiendong# #bannhatonducthang##bannhavanchuong# ",05/08/2022,Tin thường,batdongsan_so_com_vn_1673810581.1874785,,, 28,, 2,
"4,65 tỷ VNĐ",Ngũ Hiệp. Thanh Trì HN, 61m2,"+ Khu đát phân lô bàn cờ, vỉa hè rộng,  ô tô tránh, văn phòng hoặc ở đều tuyệt. + Khu dân trí cao, thanh bình, tiện ích trung tâm không thiếu thứ gì, ĐƯỜNG, TRƯỜNG, TRẠM + Cơ sở hạ tầng đồng bộ, giao thông thuận tiện. Tiện ích ngập tràn. + Nhà C4 mới xây,ở tốt hoặc đập đi xây mới 5 tầng thang máy, gara Ô Tô đẹp long lanh + Sổ đỏ chính chủ, sang tên nhanh gọn. ",05/08/2022,Tin thường,batdongsan_so_com_vn_1673810583.7890089,,,,,,
