price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Lộ giới,Hướng
"3,7 tỷ VNĐ","Cổ điển B, Tứ Hiệp, Thsnh Trì, HN", 34m2,"+ Vị trí cực đẹp, lô góc 3 thoáng, ô tô vào nhà, mới đẹp hiện đại. Thiết kế cực kỳ hợp lý,sùng sững cả góc trời. - Tầng 1:WC, Gara, xe máy, kinh doanh đa dạng, tạp hóa vv, đón đầu khách các ngả - Tầng 2: Phòng khách, Phòng ăn, WC. - Tầng 3,4: Mỗi tầng 2 Phòng ngủ, WC. - Tầng 5: Phòng thờ, sân phơi. + Khu vực  phát triển thần tốc, Trường, Chợ, Trung tâm Thương mai. Thanh Trì sắp lên Quận giá tăng mạnh. + Sổ đỏ chính chủ, vuông đẹp.giao dịch ngay",25/07/2022,Tin thường,batdongsan_so_com_vn_1673812492.9996748,,,,,,
"7,5 tỷ VNĐ",quang trung, 48m2,"Bán Nhà, Lý Thường Kiệt, Hà Đông. Ô Tô Kinh Doanh 48m2 x 5 tầng. Mặt Tiền 4.5m Giá 7.5 Tỷ.      MẶT PHỐ – KINH DOANH, VĂN PHÒNG – TIỆN ÍCH NGẬP TRÀN  + Nhà mặt phố rộng cách đường Quang Trung vài 30m, ngả đi các đường đường Trần Phú,Ngã Tư Sở, Vành Đai 3, quốc lộ 21B, Bến Xe Yên Nghĩa, Hoà Bình, đi nội thành và các tỉnh lân cận rất thuận tiện. + Nhà gần các trường học các cấp 1,2,3. Gần Bệnh Viện Đa Khoa Hà Đông, Nhà Thi Đấu Hà Đông, siêu thị Meetro Hà Đông, Trung Tâm Thương Mại AON.Gần Tuyến Xe Buýt Nhanh và Ga Tàu Điện Trên Cao. Giao thông thuận tiện, an ninh an toàn, đầy đủ tiện ích xung quanh. + Nhà mặt phố kinh doanh, văn phòng siêu thuận lợi, khu vực hiếm nhà bán.  + Nhà thiết kế 5 tầng:                                                                                                          - - - Tầng 1: Phòng khách, bếp, wc, - Tầng 2,3,4: Mỗi tầng 2 phòng ngủ và wc - Tầng 5 : Phòng thờ, sân phơi. + Nhà khung cột bê tông chắc chắn.  Sổ đỏ chính chủ, sẵn sàng giao dịch.   LH: E KHÁNH: 0984568179 ",25/07/2022,Tin thường,batdongsan_so_com_vn_1673812494.5505695, 4, 5, 6, 4,,
"4,38 tỷ VNĐ",Đường Xuân Đỉnh phường Xuân Đỉnh, 40m2,,25/07/2022,Tin thường,batdongsan_so_com_vn_1673812495.696057, 4, 5, 3, 4, 3,
3 tỷ VNĐ,"khu đô thị Tây Nam Linh Đàm, P. Hoàng Liệt, Q. Hoàng Mai, Hà Nội", 90m2,"1. Thông tin tổng quan:- Dự án chung cư cao cấp Linh Đàm. Tên thương mại: HaNoi Melody Residences.- Tọa lạc ngay khu đô thị Tây Nam Linh Đàm, P. Hoàng Liệt, Q. Hoàng Mai, Hà Nội.- Phát triển dự án: Tập đoàn Hưng Thịnh uy tín.- Diện tích: 3.28 ha. Mật độ xây dựng 30%.- Gồm 4 block căn hộ.- Hiện chỉ mở bán tòa thương mại N02, N03, N04.- Quy mô: 27 - 29 tầng + 3 tầng hầm thông minh.- Diện tích căn hộ: 72 - 83 - 95 - 121 - 147m2 (2 PN & 3 PN).- Với 100% Căn hộ có 2 logia đón nắng gió và ánh sáng tự nhiên.- Pháp lý: Sổ hồng sở hữu lâu dài.2. Vị trí thuận lợi.- Nằm ở vị trí đắc địa tại trung tâm tp Hà Nội từ chung cư Tây Nam Linh Đàm có thể dễ dàng di chuyển đến các điểm:+ Đường vành đai 3 thuận lợi di chuyển qua các Tỉnh lân cận như Hưng Yên, Hải Dương, Hà Nam, Nam Định, Ninh Bình, Thanh Hóa...+ Gần hệ thống các trường đại học lớn: Trường đại học Kinh Tế Quốc Dân, trường đh Bách Khoa, Đại Học Y, Đại Học Xây Dựng.3. Tiện ích nội khu:- Tiện ích: Bể bơi (rộng gần 1000m2), sân Tennis, sân bóng rổ, TTTM, sân vườn, BBQ, Gym&Spa, nhà trẻ, khu vui chơi trẻ em, đường dạo bộ...- Thanh toán vô cùng hấp dẫn: 21 đợt (mỗi đợt 2,5 - 4%).4. Thanh toán:- Ký HĐ chỉ %.- Sau đó thanh toán 21 đợt (mỗi đợt 2,5 - 4% cách nhau 45 ngày).5. Ưu đãi.- Chiết khấu 3% cho 100 căn đầu tiên.- Chiết khấu 2% từ căn 101 - 200.- Chiết khấu 1% từ căn 201 - 300.- Chiết khấu 1% khi khách hàng mua từ căn 02 trở lên.- Khách hàng không vay ngân hàng chiết khấu ngay 3%.- Khách hàng cư trú hoặc làm việc tại quận Hoàng Mai, CK thêm 1%.- Khách hàng thanh toán sớm sẽ tính lãi 15%/năm.- Hỗ trợ phí quản lý 50% trong 2 năm.- Hỗ trợ vay ngân hàng mua nhà lãi suất 0% trong 24 tháng. (ân hạn lãi và gốc trong 24 tháng).- Ngân hàng cho vay: Tp bank, Vp bank, Vietcom bank.- Booking chọn căn theo thứ tự ưu tiên 50 triệu/căn (không mua chủ đầu tư sẽ hoàn lại tiền).",25/07/2022,Tin thường,batdongsan_so_com_vn_1673812497.035474,,,,,,
"6,3 tỷ VNĐ","Chính Kinh, Thanh Xuân, Hà Nội.", 45m2," * Siêu đẹp nhà lô góc, 2 mặt thoáng, mặt ngõ phố Chính Kinh quận Thanh Xuân, nhà thiết kế tuyệt đẹp, 3 bước ra phố, tiện ích ngập tràn, full đầy đủ đồ như hình, về ở ngay, an sinh đỉnh, tổng 7 phòng ngủ, phù hợp cho gia đình nhiều thế hệ, hoặc đầu tư giữ tiền cho thuê phát sinh dòng tiền. DT 45m, 5T, giá chỉ 6.3 tỷ. + Vị trí: tuyệt đẹp, 3 bước ra phố, gần chợ, gần TTMS, thông sang phố Quan Nhân, phố Cự Lộc, 1 phút ra đường Nguyễn Trãi, gần Royal City, cầu vượt, chợ ngã Tư Sở, trung tâm phố tiện ích. Giao thông thuận lợi. + Sổ vuông đỏ đẹp chính chủ, sẵn sàng giao dịch.  # nhanh tay LH: 0906113879 Tình nhà phố ( chuyên bán, nhận ký gửi nhà đất Thổ cư, có uy tín trong giới nhà đất quận Hà Đông – Hà Nội ).",25/07/2022,Tin thường,batdongsan_so_com_vn_1673812498.241249,, 5, 7,, 3,
"3,5 tỷ VNĐ","Văn Quán, Hà Đông", 41m2,"Bán nhà riêng Văn Quán, Hà Đông, 41m, 4 tầng, ngõ thoáng, gần ô tô Chính chủ bán nhà riêng tại văn Quán, Hà Đông, dân xây cực đẹp diện tích rộng 41m với 4 tầng thoáng sáng đầy đủ công năng sử dụng, ngõ nông gần ô tô. Nhà có đầy đủ tiện ích của Khu đô thị Văn Quán, gần hồ, khu vực sầm uất đông đúc, hàng xóm văn minh, an sinh đỉnh. Gần trường chợ, bệnh viện, ngân hàng không thiếu thứ gì. Giao thông đi muôn nơi nối trục chính Quang Trung ra Mỗ Lao, hàng xóm Phúc La, xuôi xuống Vạn Phúc, sát Yết Kiêu, song song với Tô Hiệu. Chủ nhà làm ăn có lộc chuyển sang ở biệt thự rộng hơn cần bán nhà gấp. Sổ đỏ vuông, sẵn sàng giao dịch. Giá 3.5 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",25/07/2022,Tin thường,batdongsan_so_com_vn_1673812499.6135778,, 4,,,,
"3,5 tỷ VNĐ",Ngô Quyền- Hà Đông, 41m2,"Bán nhà riêng Ngô Quyền, Hà Đông, 41m, 4 tầng, ngõ thông, gần ô tô nhỉnh 3 tỷ Bán gấp nhà riêng tại Ngô Quyền, Hà Đông với diện tích lớn 41m, ngõ thoáng rộng, thiết kế 4 tầng hiện đại đầy đủ công năng sử dụng, gần phố. Xung quanh nhà hưởng trọn tiện ích Khu đô thị Văn Khê, nhiều trường học, ngân hàng, chợ Bông Đỏ, bệnh viện, siêu thị. Khu vực dân trí tốt hàng xóm cán bộ Học viện Chính trị Quân sự, an ninh tuyệt đối. Giao thông trục chính nối Quang Trung ra Ngô Thì Nhậm, thông Phan Đình Giót nối qua Lê Trọng Tấn, hàng xóm Vạn Phúc. Chủ nhà cán bộ nhà nước nay chuyển về ở với con nên cần bán gấp nhà xây tâm huyết. Sổ đỏ vuông, sẵn sàng giao dịch. Giá 3.5 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",25/07/2022,Tin thường,batdongsan_so_com_vn_1673812501.2492647,, 4,,,,
"3,5 tỷ VNĐ",Ngô Quyền- Hà Đông, 41m2,"Bán nhà riêng Ngô Quyền, Hà Đông, 41m, 4 tầng, ngõ thông, gần ô tô nhỉnh 3 tỷ Bán gấp nhà riêng tại Ngô Quyền, Hà Đông với diện tích lớn 41m, ngõ thoáng rộng, thiết kế 4 tầng hiện đại đầy đủ công năng sử dụng, gần phố. Xung quanh nhà hưởng trọn tiện ích Khu đô thị Văn Khê, nhiều trường học, ngân hàng, chợ Bông Đỏ, bệnh viện, siêu thị. Khu vực dân trí tốt hàng xóm cán bộ Học viện Chính trị Quân sự, an ninh tuyệt đối. Giao thông trục chính nối Quang Trung ra Ngô Thì Nhậm, thông Phan Đình Giót nối qua Lê Trọng Tấn, hàng xóm Vạn Phúc. Chủ nhà cán bộ nhà nước nay chuyển về ở với con nên cần bán gấp nhà xây tâm huyết. Sổ đỏ vuông, sẵn sàng giao dịch. Giá 3.5 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",25/07/2022,Tin thường,batdongsan_so_com_vn_1673812502.8720894,, 4,,,,
"3,5 tỷ VNĐ",Văn Quán- Hà Đông, 41m2," Bán nhà riêng Văn Quán, Hà Đông, 41m, 4 tầng, ngõ thoáng, gần ô tô Chính chủ bán nhà riêng tại văn Quán, Hà Đông, dân xây cực đẹp diện tích rộng 41m với 4 tầng thoáng sáng đầy đủ công năng sử dụng, ngõ nông gần ô tô. Nhà có đầy đủ tiện ích của Khu đô thị Văn Quán, gần hồ, khu vực sầm uất đông đúc, hàng xóm văn minh, an sinh đỉnh. Gần trường chợ, bệnh viện, ngân hàng không thiếu thứ gì. Giao thông đi muôn nơi nối trục chính Quang Trung ra Mỗ Lao, hàng xóm Phúc La, xuôi xuống Vạn Phúc, sát Yết Kiêu, song song với Tô Hiệu. Chủ nhà làm ăn có lộc chuyển sang ở biệt thự rộng hơn cần bán nhà gấp. Sổ đỏ vuông, sẵn sàng giao dịch. Giá 3.5 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",25/07/2022,Tin thường,batdongsan_so_com_vn_1673812504.936565,, 4,,,,
,Đường Lê Văn Lương phường Nhân Chính, 100m2,"+ Mặt đường rộng, ô tô thoải mái tránh nhau, vỉa hè để cả dãy xe máy  + Biệt danh: ""Thợ săn nhà triệu đô giá đầu tư số 1 Hà Nội""  ",25/07/2022,Tin thường,batdongsan_so_com_vn_1673812506.92803, 4, 1,,, 8,
