price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Lộ giới,Số toilet
"6,25 tỷ VNĐ/m2","Đường Láng, quận Đống Đa", 42m2, 3, 5, 8,"Vị trí trước nhà đường rộng thoáng 3m, cách đường ô tô 50m. Thích hợp cho gia đình vừa ở vừa kinh doanh hoặc cho thuê cửa hàng và căn hộ dòng tiền. Nhà lô góc nên diện tích cực rộng thoáng 5 tầng 8 phòng. Ngõ thông tứ phía, ngay sát khu khuôn viên vui chơi, khu sv Ngoại Thương, Ngoại giao dân trí cao vùng lõi thành phố. Sổ đỏ vuông đẹp, sẵn sàng giao dịch. LH em LongHalo để biết thêm chi tiết (zalo)",24/07/2022,Tin thường,batdongsan_so_com_vn_1673812657.1576333,,
32 ngàn VNĐ,Đường Việt Hưng phường Việt Hưng, 200m2, 10, 5, 6,"+ KĐT Việt Hưng và Vinhome riverside là nơi sinh sống bậc nhất của Quận  Long Bên + Vị trí Tuyệt Đẹp - VIEW VƯỜN HOA , gần Công Viên và Hồ Lớn, đường trước nhà 10m, vỉa hè rộng, view đẹp thoáng mát. + Nhà Thiết Kế Hiện Đại đẳng cấp, bề thế, chuẩn phong cách Đại Gia. + Chủ tặng lại nội thất sang trọng tiền tỷ. + Khu vực sầm uất, xung quanh toàn Đại gia, tiện ích ngập tràn, cạnh ngay khu Vinhome riverside, vài bước đến Quận Ủy Long Biên. + Sổ cất két, sẵn sàng giao dịch, chủ thiện chí bán, giá vào việc tốt.",24/07/2022,Tin thường,batdongsan_so_com_vn_1673812658.7623386, 10, 6
4 tỷ VNĐ,Nguyễn Trãi, 34m2, 3, 5,,"+ Trung tâm Nguyễn Trãi - Thanh Xuân, nhà cách mặt Phố Nguyễn Trãi chỉ vài bước chân, giao thông thuận tiện. + Gần Royal City, trường học, chợ, bệnh viện, công viên, bãi xe ô tô cách 30m. + Nhà mới đẹp, nội thất cao cấp, đầy đủ công năng sử dụng, khách mua xách vali về ở ngay. + Giá: Nhỉnh 4 Tỷ ( Có thương lượng). + Sổ đỏ vuông đẹp, pháp lý chuẩn, sẵn sàng dao dịch. LH: Mr Hoan, 0925088355, chuyên thổ cư Thanh Xuân, Đống Đa, Cầu Giấy. Miễn phí xem nhà 24/7.",24/07/2022,Tin thường,batdongsan_so_com_vn_1673812660.096908,,
"7,6 tỷ VNĐ",Phố Bạch Mai, 40m2,,,,"+ Nhà năm tại phố Bạch Mai , gần các tuyến phố kinh doanh lõi quận HBT như :Thanh Nhàn, Đại Cồ Việt, Phố Huế, Minh Khai.. + Nhiều tiện ích : Bệnh Viện Bạch Mai, Đại Học Bách Khoa, Khu Bách Kinh Xây nổi tiếng.. + Nhà trong khu phân lô, dân trí cao, an ninh tuyệt đối. + Ngõ to, ô tô đỗ cửa ngày đêm. + Diện tích sổ đỏ 40  x 5 tầng. + Nhà mới xây, thiết kế hiện đại, Chủ xây cực kỳ tâm huyết. + Sổ đỏ chính chủ, đảm bảo pháp lý, sẵn sàng giao dịch. + Giá 7,6 Tỷ  Liên hệ: em Dũng  - 094 567 6597",24/07/2022,Tin thường,batdongsan_so_com_vn_1673812662.018497,,
24 tỷ VNĐ,"KĐT Văn Quán, Hà Đông, Hà Nội.", 110m2, 6, 5, 4,"  * CC cần bán nhà KĐT Văn Quán quận Hà Đông. Khu phân lô, vỉa hè 2 bên, ô tô dừng đỗ, xe chạy vòng quanh, nhà xây chắc, thiết kế đẹp, an ninh tốt, dân trí cao, ở thích, an sinh đỉnh, ở cho thuê văn phòng, Shop, Vinmart, Spa... đều đẹp. DT 110/121m, 5 T, mt 6.5m, giá 24 tỷ thương lượng trực tiếp, Chủ đang rất cần bán nhanh trong tháng này. + Sổ vuông đỏ đẹp, pháp lý chuẩn, sẵn sàng giao dịch. * nhanh tay LH: 0983858722 Tình nhà phố ( chuyên bán, nhận ký gửi nhà đất Thổ cư, có uy tín trong giới nhà đất quận Hà Đông – Hà Nội ).",24/07/2022,Tin thường,batdongsan_so_com_vn_1673812667.9089541, 12,
"1,25 tỷ VNĐ",Đường Cổ Loa phường Uy Nỗ, 40m2, 6,,,"Vị trí đất cực đẹp, tiếp Cổ Loa cách 50m, đối diện nhà máy bia Bắc Sông Hồng, khu dân cư đông đúc, dân trí cao ở cực sướng, phù hợp cho các bạn trẻ mua để ở - Thông tin lô đất: - Diện tích: 40m2 - Mặt tiền: 6,05m - Nở Hậu: 6,08m - Ngõ nông cách trục Cổ Loa 50m, khu dân trí cao, toàn cán bộ nhà máy ở cực tốt, xung quanh full tiện ích vv... - Sổ đẹp, sạch sẽ, pháp lý rõ ràng, sang tên trong ngày - Lh: em Quảng 0966 26 26 96 xem đất và tư vấn MIỄN PHÍ",24/07/2022,Tin thường,batdongsan_so_com_vn_1673812669.8237789,,
4 tỷ VNĐ,"Phố Lò Sũ Phường Lý Thái Tổ, Hoàn Kiếm , Hà Nội", 36m2,, 5, 3,"CẦN TIỀN KD, BÁN NHÀ PHỐ CỔ, LÒ SŨ – HOÀN KIẾM 36m2, 5T chỉ 4 tỷ  Tầng 1: Phòng bếp, Tầng 2: Phòng khách, wc. Tầng 3: 1 phòng ngủ, wc. Tầng 4: 2 phòng ngủ, 1 phòng làm việc, wc .. Tầng 5: Phòng thờ, sân phơi. Nhà thiết kế xây dựng chắc chắn, bố trí công năng hợp lý. Bán kính không xa là Bờ Hồ, Nhà Hát Lớn ...kết nối các tuyến phố Tràng Tiền, Đinh Tiên Hoàng, Trần Quang Khải, Nguyễn Hữu Huân .. thuận tiện.",24/07/2022,Tin thường,batdongsan_so_com_vn_1673812671.8507695,,
"9,35 tỷ VNĐ",Võ Chí Công, 70m2,,,,"BÁN CCMN VÕ CHÍ CÔNG , CẦU GIẤY, 70M 7T NHỈNH 9 TỶ + Đường rộng thông các ngả Lạc Long Quân, Hoàng Hoa Thám, Hoàng Quốc Việt, Hồ Tây.. + Nhà mới xây, nội thất đầy đủ , thang máy,luôn kín phòng.. + Sổ đẹp, sang tên nhanh gọn. + Xem nhà gọi em Đức 0898839292.",24/07/2022,Tin thường,batdongsan_so_com_vn_1673812673.5422392,,
21 tỷ VNĐ,Đường Kim Quan Thượng phường Việt Hưng, 350m2, 20,,,"- Lô đất cũng nằm cạnh Đường Đoàn Khuê, Vạn Hạnh, Việt Hưng , Khu Dự Án C14 Phúc Đồng,... nên rất thuận tiện cho việc đi Các hướng Cầu rất thuận tiện  - Lô đất nằm cạnh Vinhome Harmony, KĐT Việt Hưng và Vnhome Riverside nên được thừa hưởng toàn bộ tiện tích khu vực quanh đó.  -Lô Đất hiện tại đang là Lô Đấu giá rẻ nhất khu Việt Hưng nên cơ hội đầu tư rất lớn.  - Lô Đất sử dụng nhiều mục đích như, showroom oto, VP, Nhà Hàng, Đâu tư tài chính.,Đâu tư Chung Hạn....  - sổ đỏ cất két sẵn sàng giao dịch  - Liên hệ : E Phúc Thổ Địa Long Biên để không bỏ lỡ cơ hôi sở hữu Lô đất này.",24/07/2022,Tin thường,batdongsan_so_com_vn_1673812675.5073748,,
"7,4 tỷ VNĐ","lý thường kiệt , phú la , hà đông", 45m2,, 5, 4,"* MỘT CĂN MẶT PHỐ - VỈA HÈ RỘNG - 3 Ô TÔ TRÁNH - KINH DOANH MỌI LOẠI HÌNH ĐỈNH- Vị trí: Nhà bán thuộc mặt phố Lý Thường Kiệt kéo dài, đường trước nhà rộng 3 ô tô tránh, vỉa hè thênh thang.- Cách chợ Văn La chỉ 100m, xung quang là trường C1, C2, tiện ích KĐT Văn Phú rất thuận tiện cho gia đình vừa ở vừa kinh doanh.- Nhà xây diện tích sổ 40m nhưng thực tế xây từ tầng 1 là 45m, xây kiên cố phong cách hiện đại.+ Tầng 1: Thông sàn + Gara ô tô + WC+ Tầng 2: Khách + bếp+ 1 ngủ + WC.+ Tầng 3,4: 4 ngủ rộng + WC.+ Tầng 5: phòng thờ, sân vườn rộng.** 7.4 TỶ thương lượng** ALO em Đỗ Hạnh ; 0845 - 790 - 555 thanks AC quan tâm",24/07/2022,Tin thường,batdongsan_so_com_vn_1673812676.888932,, 5
