price,address,Diện tích,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Mặt tiền,Hướng
"5,3 tỷ VNĐ","Đường Thái Thịnh, Thịnh Quang, Đống Đa", 37m2, 5, 5, 4, 4,"- Nhà đẹp đón têt 5 tầng nội thất cơ bản-khu vực ở sướng tiện ích đầy đủ, an sinh đỉnh-Ngõ to rộng rãi ô tô đỗ cửa -Không lỗi phong thủy sổ vuông đét như bánh trưng Thiết Kế : - Tầng 1: Khách bếp.- Tầng 2, 3: Mỗi tầng 2 ngủ, vệ sinh giữa.- Tầng 4: Phòng thờ, sân phơi. ( Tổng 5 Phòng rộng đẹp).- Tầng 5: Lợp tôn làm chỗ trồng rau, hoa....LH ngay em Hùng: 094 665 8282 (Miễn trung gian-xem nhà 24/7)",11/01/2023,Tin thường,batdongsan_so_com_vn_1673780143.082336,,
"6,3 tỷ VNĐ",Hoàng Văn Thái- Thanh Xuân, 34m2,, 5,,,"Diện tích 34m2 x 5 tầng, mặt tiền 4.3m Giá: 6.3 tỷ( có giảm) + Vị trí ngõ thông ô tô, ô tô tránh, Hoàng Văn Thái, Vương Thừa Vũ, Nguyễn Ngọc Nại. + An sinh đỉnh cao dân trí tốt, giao thông thuận tiện,  khu vực hiếm nhà bán 6 tỷ gara ô tô lại càng hiếm. + Tầng 1 gara ô tô, bếp, vệ sinh. + Tầng 2, 3, 4 mỗi tầng một phòng khép kín. + Tầng 5 phòng thờ sân phơi. + Sổ đỏ vuông đẹp chính chủ sẵn sàng giao dịch. Chi tiết liên hệ 0964274610 em Phương",11/01/2023,Tin thường,batdongsan_so_com_vn_1673780145.1227784, 4,
"1,1 tỷ VNĐ","Phố Sài Đồng, Phường Sài Đồng, Quận Long Biên, Hà Nội", 18m2,, 4,,,"Tôi Bán Nhà Sài Đồng, Long Biên 4 tầng; chỉ 1,1 tỷ (nhà dân, xây dựng chắc chắn)  + tầng 1 : Phòng khách, bếp, wc + tầng 2 và 3 : Mỗi tầng 1 phòng, wc + tầng 4 : phòng thờ, sân phơi  Nhà dân xây dựng chắc chắn, móng trước đây xây dựng ép cọc bê tông cốt thép, nhà có 2 phòng ngủ nhưng có thể bố trí thành 3 phòng ngủ được. Ô tô vào đỗ cách nhà chỉ 10m, xung quanh chợ, các tổ hợp dịch vụ sầm uất ngày đêm, trường tiểu học Vũ Xuân Thiều… Từ nhà có thể kết nối thuận tiện đi các hướng như ra Phố Sài Đồng, Cty may 10, Phố Cầu Bây, đường Nguyễn Văn Linh, bán kính không xa là TTTM Aoen Mall Long Biên, Cầu Vĩnh Tuy… Sổ đẹp vuông vắn, pháp lý rõ ràng, sẵn sàn giao dịch, Lh Mr Tùng : 0965 722 358",11/01/2023,Tin thường,batdongsan_so_com_vn_1673780147.4566588,,
"9,8 tỷ VNĐ",Phú Đô Nam Từ Liêm Hà Nội, 80m2,,,,,"- Diện tích 82m2 C4 Mặt tiền 6.6mGiá 9.8 tỷ ( có thương lượng )- Vị trí siêu đẹp, nhà mặt phố kinh doanh mọi loại hình!- Hiện trạng nhà Cấp 4 đang cho thuê kinh doanh.- Khách mua về xây tòa nhà 8 tầng vừa ở vừa cho thuê!- Giao thông thuận tiện đi : Vành đai 3, Đại Lộ Thăng Long, Lê Đức Thọ, Mỹ Đình! tiện ích xung quanh đầy đủ! - Sổ đỏ chính chủ, sẵn sàng giao dịch!ACE có nhu cầu liên hệ em Quân để được tư vấn và xem nhà!0385 94 1802!Miễn ( TG Quảng Cáo )",11/01/2023,Tin thường,batdongsan_so_com_vn_1673780149.513989,,
4 tỷ VNĐ,"Đường Pháo Đài Láng, Nam Đồng, Đống Đa", 32m2, 3, 5,,,"CẦN BÁN NHÀ QUẬN ĐỐNG ĐA PHỐ PHÁO ĐÀI LÁNG 32m2 x 5T NHỈNH 4 TỶ + Vị trí cực đẹp cách ô tô chỉ vài bước chân, Trung tâm các trường đại học, nhà diện tích 32m2 x 5 tầng giá nhỉnh 4 tỷ.  + Nhà nằm trên ngõ rộng thông kinh doanh, đẹp nhất phố Pháo Đài Láng. Ngõ thông thương các ngả, ngay đường Huỳnh Thúc Kháng kéo dài đang mở rộng. Tương lai gần giá trị nhà tăng lên nhanh chóng.   - Nhà xây 5 tầng khung cột chắc chắn, ô giếng trời rất rộng nhà có thể cải tạo lắp thang máy tốt.   + Nhà thiết kế: - Tầng 1: Văn phòng cho thuê, khách, bếp, wc.   + Tầng 2,3,4,5: Mỗi tầng 1 phòng + wc + tum nội thất thương hiệu sang xịn  Thích hợp để ở, kinh doanh, Spa…    + Sổ đỏ chính chủ giao dịch ngay. + LH,Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất,thổ địa hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7 ",11/01/2023,Tin thường,batdongsan_so_com_vn_1673780151.4198158, 4,
"4,5 tỷ VNĐ","Đường Trần Quốc Vượng, Dịch Vọng Hậu, Cầu Giấy", 55m2, 3, 5, 4, 3,"
    Bán Nhà Dưới 5 tỷ, Cực Hiếm Nhà Xuân Thủy, Cầu giấy 55m 4 tầng
- Vị trí đẹp, xung quanh trường học các cấp 1,2,3. Đại học Thương mại, Đại học Quốc gia, Đại học Ngoại ngữ, Học viện Báo chí Tuyên truyền..
- Giao thuận lợi, Đường Cầugiấy, Phạm Hùng, Lê Đức Thọ, Trần Bình, Nguyễn Hoàng, Hồ Tùng Mậu, Nguyễn Cơ Thạch.. Bễn Xe Mỹ Đình..
- Khu vực Hot Cầu Giấy. Tiện ích Ngập tràn, phát triển sầm uất.
- Sổ CC Đẹp như hoa hậu. sang tên nhanh gọn
Xem Nhà Đất, tư vấn gọi Mr Đức Nhà Đẹp. Rất nhiều Nhà Đất đẹp phù hợp mọi nhu cầu Anh Chị Em nhé.
",11/01/2023,Tin thường,batdongsan_so_com_vn_1673780153.5410278, 4,
"2,5 tỷ VNĐ","Vinhomes Smart City, Tây Mỗ, Nam Từ Liêm, Hà Nội", 64m2,,, 2, 2,"Bán nhanh căn hộ tại Vinhomes Smart City Tây Mỗ giá cực tốt.Căn hộ loại hình 2PN 2VS.* Giá bán 2tỷ500 bao toàn bộ phí thuế có ra lộc thêm.- Diện tích: 64m² Nội thất: Đầy đủ - Ban công Đông Bắc, tầng trung đẹp, view thoáng mát.- Được trải nghiệm tất cả tiện ích của thành phố thông minh thu nhỏ tại Vinhomes Smart City như Biển Hồ, Công viên trung tâm, vườn nhật, công viên BBQ, Vincom Mega Mall rộng nhất phía Bắc, cùng vô vàn tiện ích thú vị khác.- Cư dân văn minh, lịch sự.- Có hỗ trợ vay dài hạn.- Tư vấn pháp lí, khoản vay 24/24.- Hỗ trợ xem nhà miễn phí.Liên hệ: 0877.28.6688Ngoài ra bên em còn một số quỹ căn giá tốt tại Vinhomes Smart City:- Căn 2pn1vs - nguyên bản - 1950 triệu bao phí.- Căn 2pn2vs + 1 - nguyên bản - 2,4 tỷ bp.- Căn 3pn2vs - nguyên bản - 3 tỷ bp.- Căn 1pn1vs + 1 - nguyên bản - 1,75 tỷ bp",11/01/2023,Tin thường,batdongsan_so_com_vn_1673780155.558389,,
18 tỷ VNĐ,Nguyễn Khang Cầu Giấy Hà Nội, 54m2,, 7, 5, 5,"- Diện tích 54m2 x7 tầng. Mặt tiền 6.5m Giá bán 18 tỷ ( có thương lượng ) - Vị trí nhà vô cùng đẹp, ngay sau nhà mặt phố. Nằm ngay đoạn đẹp nhất phố kinh doanh sầm uất nhiều văn phòng, quán ăn, karaoke.- Nhà thiết kế 7 tầng 1 hầm 6 nổi thông sàn kinh doanh.- Giao thông kết nối : Láng, Yên Hoà, Cầu Giấy, Kim Mã Bưởi! - Sổ đỏ vuông đẹp, sẵn sàng giao dịch! ACE có nhu cầu liên hệ với em Quân để được tư vấn.0385 94 1802 Miễn ( TG Quảng Cáo )",11/01/2023,Tin thường,batdongsan_so_com_vn_1673780157.9144452, 6,
"8,5 tỷ VNĐ",Nguyễn Trãi- Thanh Xuân, 56m2,, 4, 4,,"Diện tích: 56m2 x 4 tầng, mặt tiền 8m Giá: 8.5 tỷ + Nhà 3 tầng 1 tum ngay mặt ngõ với thiết kế cơ bản: - T1: Kinh doanh, wc. - T2: 3 phòng ngủ, wc chung. - T3: 1 phòng thờ, 1 ngủ, wc. - Tầng tum: Máy giặt, sân phơi đá bóng. + Chủ xác định bán đất tặng nhà. + Sổ đỏ sẵn sàng giao dịch. Liên hệ em Phương 0964.274.610",11/01/2023,Tin thường,batdongsan_so_com_vn_1673780160.1093695, 8,
"6,9 tỷ VNĐ","Đường Hồng Tiến, Bồ Đề, Long Biên", 4m2, 7, 5, 4, 4,"+ Tầng 1: Gara, bếp, phòng ăn, Wc. + Tầng lửng : Phòng khách. + Tầng 2,3,4: Mỗi tầng một ngủ lớn khép kín. + Tầng 5: Phòng thờ, sân phơi. + Sổ đỏ chính chủ liên hệ A Luyện 0988450096, tư vấn miễn phí",11/01/2023,Tin thường,batdongsan_so_com_vn_1673780163.254788, 44,
