price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Số toilet
"7,6 tỷ VNĐ",Khương Hạ, 50m2, 4, 5, 4, 4," * Tài chính trên 7 tỷ không mua nhà này mua nhà nào ạ. Nhà Khương Hạ quận Thanh Xuân, 2 thoáng trước sau, thiết kế đẹp, ở thích, an sinh đỉnh. DT 50m, 4T, mt 4m, giá chỉ nhỉnh 7 tỷ. + Trước nhà có sân rộng lên nhà rất thoáng và thoải mãi để vài chục cái ô tô. + Nhà thiết kế, giếng giời, cầu thang giữa, mỗi tầng 2 phòng rộng, đầy đủ công năng. + Tặng full đồ nội thất cao cấp, chủ mới chỉ việc về ở ngay. + Có cột chờ lên thêm tầng, có thể thiết kế thêm thang máy, phù hợp ở, cho thuê hay làm văn phòng đều đỉnh. + Rất gần đường lớn, 20m ra mặt phố giao thông thuận tiện, tiện ích đủ đầy. + Sổ đỏ chính chủ, sẵn sàng giao dịch.  # nhanh tay LH: 0906113879 Tình nhà phố ( chuyên bán, nhận ký gửi nhà đất Thổ cư, có uy tín trong giới nhà đất quận Hà Đông – Hà Nội ).",21/07/2022,Tin thường,batdongsan_so_com_vn_1673813423.737511,
"4,35 tỷ VNĐ",Đường Cổ Linh phường Thạch Bàn, 40m2, 3, 4, 5, 4,"VỊ TRÍ CỰC KÌ HIẾM ! -RẺ HƠN THỊ TRƯỜNG-NHÀ ĐẸP-Ô TÔ VÀO NHÀ-KINH DOANH SẦM UẤT-KHÔNG LỖI PHONG THỦY Cần bán nhà Phố Cổ Linh,quận Long Biên Khu vực gần như không có căn thứ 2. +Giao thông thuận tiện ô tô tránh nhau đi các phố Thạch Bàn, Bát Khối,Tư Đình, Ngọc Trì vv +Tiện ích xung quanh tràn ngập không thiếu thứ gì. TTTM AEON, Bệnh viện TÂM ANH,Trường cấp 1,2 Thạch Bàn, Chợ Thạch Bàn +TIỀM NĂNG ĐẦU TƯ CỰC ĐỈNH- Ngay gần CẦU VĨNH TUY ,TRẦN HƯNG ĐẠO. +Giá RẺ HƠN THỊ TRƯỜNG. 4,35 tỷ Liên Hệ:  Mr Lâm. 0976262952",21/07/2022,Tin thường,batdongsan_so_com_vn_1673813425.053989, 5
"4,5 tỷ VNĐ","Long Biên, Hà Nội", 48m2, 3,, 5, 6,"Nhà nằm gần phố, gần chợ Ngọc Thụy, gần trường học trên địa bàn, 10m ô tô tránh - Tiện tích xung quanh không thiếu gì, đường mới trải nhựa, sạch sẽ. - Nhà chủ tự xây vẫn nguyên như mới, thiết kế hợp lý . Phù hợp khách mua vừa ở vừa cho thuê. Tầng 1: Phòng khách + Bếp+ WC. Tầng 2,3,4: Mỗi tầng 2 PN + WC giữa. Tầng 5: Phòng thờ+ Sân phơi. - Sổ đỏ phân lô , vuông như tờ A4, sẵn sàng giao dịch MR Khánh hỗ trợ xem nhà miễn phi và tư vấn tận tâm các thủ tục liên quan về nhà đât",21/07/2022,Tin thường,batdongsan_so_com_vn_1673813426.5071044, 4
5 tỷ VNĐ,Đường Ngọc Thụy phường Ngọc Thụy, 38m2, 3, 4, 5, 4,+ Vị trí cực đẹp lô góc 2 mặt thoáng ngõ Ôtô thông đường Hồng Tiến đang thi công. + Diện tích 38M2 trên sổ từ tầng 2 đến tầng 5 diện tích sàn 42m nhà dân tự xây tâm huyết.  ,21/07/2022,Tin thường,batdongsan_so_com_vn_1673813427.822012,
"6,95 tỷ VNĐ",Đường Xuân Thủy phường Dịch Vọng, 50m2, 6, 3, 5, 7,""",serif;="""" mso-ansi-language:="""" vi'bán="""" nhà="""" xuân="""" thủy,="""" 50m2,="""" 5t,="""" 6m,="""" 6.95="""" tỷ,="""" ô="""" tô,="""" kd,="""" cầu="""" giấy.="""" span="""" p="""" class=""MsoNormalSPAN"" vi'+="""" chủ="""" xác="""" định="""" bán="""" đất="""" tặng="""" nhà,="""" với="""" 5="""" tầng,="""" 7="""" phòng="""" ngủ="""" khép="""" kín.="""" vi'="""">+ Cả khu vực chỉ có một mình nhà mình có mặt tiền 6m. "",serif;="""" mso-ansi-language:="""" vi'+="""" trước="""" nhà="""" ô="""" tô="""" 4="""" chỗ="""" đỗ="""" cửa,="""" chạy="""" vòng="""" quanh="""" ngõ="""" phân="""" lô.="""" span="""" p="""" class=""MsoNormalSPAN"" với="""" mô="""" hình="""" kinh="""" doanh="""" đa="""" dạng="""" sầm="""" uất="""" ngày="""" đêm:="""" có="""" thể="""" cho="""" thuê,="""" văn="""" phòng,="""" sinh="""" viên="""" thuê="""" trọ...="""" vi'="""">+ Sổ đỏ vuông như tờ tiền, chủ làm ăn rất có lộc, chờ khách đến giao dịch.",21/07/2022,Tin thường,batdongsan_so_com_vn_1673813429.32499, 7
"6,6 tỷ VNĐ",Phố Nguyễn Trãi, 52m2, 4,, 4, 4,"NHÀ ĐẸP LUNG LINH - 2 THOÁNG - XEM TRONG LÀ THÍCH - NGÕ ĐẸP THOÁNG SÁNG, 30M Ô TÔ DỪNG ĐỖ - AN SINH ĐỈNH + Nguyễn Trãi – Thanh Xuân Trung – Thanh Xuân. + Diện tích 52m, nhà 4 tầng, mặt tiền 4m + Giá bán: 6.6 tỷ + Nhà vị trí đẹp ngõ thẳng thoáng sáng rất gần mặt phố Nguyễn Trãi, cách ô tô khoảng 30m gần chỗ gửi ô tô. + Khu vực an sinh đỉnh, an ninh rất tốt ngay đầu ngõ là chợ, công phường, trường mầm non. Xung quanh gần các trường Đại học, royal city, bệnh viện, TTTM, giao thông thuận tiện gần ngã tư sở, bến xe bus, gar tàu điện trên cao... + Nhà mới đẹp lung linh khách mua chỉ việc về ở, chủ rất tâm huyết tỉ mỉ từng góc cạnh, lên thêm tầng thoải mái. Thiết kế hợp lý mỗi tầng 2 phòng. + Sổ đỏ chính chủ, vuông vắn. + Liên hệ xem nhà: 0902083139  ",21/07/2022,Tin thường,batdongsan_so_com_vn_1673813431.0244458, 4
"1,8 tỷ VNĐ","Thôn Phú Hữu, Xã Phú Nghĩa, Chương Mỹ, HN", 80m2,,,,,"Bán Lô Đất Thôn Phú Hữu,Phú Nghĩa,Chương Mỹ,2 Mặt Ngõ Ô Tô  DT 80 m2. Chỉ 1,8 TỷVị Trí: Lô đất nằm tại Thôn Phú Hữu 2, khu dân cư đông đúc, hàng xóm thân thiện, gần trường mầm non, tiểu học Phú Nghĩa, gần chợ, cách QL 6 khoảng 300m, gần với khu công nghiệp Phú Nghĩa, có thể đầu tư xây nhà vừa ở, vừa cho công nhân thuê tạo thêm dòng tiền cũng rất tốt,Đường thông các ngả,tương lai mở rộng đường quốc lộ 6 giá trị lô đất sẽ tăng cao. Mặt tiền lô đất rộng ngõ Ô Tô tải tránh.Pháp lý; Sổ đỏ chính chủ sẵn sàng giao dịch.Liên hệ: Mr Luyện 0911779569 thổ cư để được xem đất miễn phí 24/7.“TRAO GỬI NIỀM TIN_ NHẬN LẠI YÊU THƯƠNG",21/07/2022,Tin thường,batdongsan_so_com_vn_1673813432.7044265,
10 tỷ VNĐ,"Phố Lê Trọng Tấn, Phường , Quận Thanh Xuân, Thành phố Hà Nội.", 44m2, 6,,,,"+ Vị trí sát mặt phố Lê Trọng Tấn, giao thông thuận lợi đi các ngả, tiếp giáp với hàng loạt các con phố Trường Chinh, Nguyễn Lân, Trịnh Đình Cửu ( Trần Hòa ) rất gần Hoàng Văn Thái, Trần Điền....+ Nhà chủ tâm huyết tự xây, khung cột bê tông chắc chắn, diện tích 44m2, mặt tiền hơn 6m.+ Sổ đỏ nở hậu, kinh doanh tốt ( con nhà chủ đang kinh doanh rất có lộc ).+ Chủ nhà hiền lành, tốt tính, học thức cao ( nguyên là giảng viên trường Đại học kinh tế quốc dân nay đã về hưu).+ Liên hệ : Phương Nam : 0386.702.912.",20/07/2022,Tin thường,batdongsan_so_com_vn_1673813434.1685255,
"5,85 tỷ VNĐ",Đường Chiến Thắng phường Văn Quán, 50m2, 3, 3, 4, 4,"Bán nhà Gấp Bộ công an Phố Chiến Thắng - KĐT Văn Quán - Hà Đông* Gần Học viện An Ninh, Bưu chính, Kiến trúc, Mật mã... +Diện tích 50m2 x 4 tầng +Mặt tiền gần 3.5m+Đường rộng 3m , ô tô đỗ cửa +Cách Ô tô tránh 10m - Cách phố 90m+Sổ đỏ chính chủ 45m2+Giá bán 5.85 tỷ  (Giá đất 105tr/m2. Cả nhà 133tr/m2)  *Đặc điểm: Nhà mới đẹp ở ngay, Dân xây bền chắc; Khu Cán bộ Chiến Thắng Dân trí cao không tưởng, Các ban ngành trọng yếu của Quốc Gia. Cô bác liên hệ: 09654.02.653 - Đức Anh để được tư vấn nhiệt tình đầy đủ, sớm chọn được ngôi nhà ưng ý nhất(Nhà thông tin thực. Một số ảnh chỉ để cho đẹp và mang tính minh họa)",20/07/2022,Tin thường,batdongsan_so_com_vn_1673813435.5827022, 4
"5,4 tỷ VNĐ",Đường Lạc Long Quân phường Nghĩa Đô, 38m2, 3, 6, 5, 4,"
    
Bán nhà đẹp 38m2 5tầng 5.4 tỷ ôtô đỗ cửa phố Lạc Long Quân Cầu Giấy 

5TỶ GARA Ô TÔ ,KHÔNG CÓ CĂN THỨ 2- NGÕ OTO - SỔ HOA HẬU - NHIỀU TIỆN ÍCH

Nhà nằm trong khu vực dân trí cao, gần chợ ngõ thông tứ tung, oto 4 chỗ cất trong nhà.
Nhà KCBT chắc chắn thiết kê hiện đại, thông sàn khép kín, vài thùng sơn là đẹp như mới.

Tầng 1 để xe phòng khách, bếp
Tầng 2, 3, 4 mỗi tầng 1 phòng ngủ + wc
Tầng 5 phòng thờ sân phơi.

Sổ đỏ 34m2 vuông vắn nở hậu sẵn sàng giao dịch, giá đầu tư siêu rẻ...
Chú ý: 
1. LH: A. Hoàng Anh 0934266313 (xem nhà miễn phí)
2. Link kho nhà đẹp: https://www.facebook.com/356939308270722
3. Hỗ trợ tài chính cho vay mua nhà đến 70% giá trị căn nhà, lãi suất thấp nhất thị trường.
4. ACE Môi giới kết hợp làm việc tại: https://www.facebook.com/108917115160629",20/07/2022,Tin thường,batdongsan_so_com_vn_1673813437.073748, 5
