price,address,Diện tích,Lộ giới,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Hướng
10 ngàn VNĐ,Đường  phường Trâu Quỳ, 100m2, 4,"CHÍNH CHỦ CẦN BÁN LÔ ĐẤT NGÕ Ô TÔ TẠI GIA LÂM HÀ NỘI  - Địa chỉ  :  Trâu Quỳ-Gia L âm-Hà Nội- Diện tích : 100m2- Giao thông thuận lợi , Ngõ ô tô , cách trục đường chính 10m - Cạnh trường học viện nông nghiệp, Cách vinocenpar 1km- Nhà cấp 4 đang có 7 phòng cho thuê trọ- Vị trí trung tâm mật độ dân cư cao, thuận lợi cho nhu cầu xây dựng định cư lâu dài.- Pháp lý đầy đủ, thủ tục sang tên nhanh chóng, sổ đỏ chính chủ, không tranh chấp, không vướng quy hoạch giải toả!- Phù hợp với nhu cầu đầu tư, tích trữ.- Tiềm năng lớn: đất luôn tăng giá theo tình hình hiện tại chung của BĐS của khu vực, bảo đảm sinh lời.- MỌI NHU CẦU VUI LÒNG XIN LIÊN HỆ:  0902212288-0854344444",16/07/2022,Tin thường,batdongsan_so_com_vn_1673814242.1938505,,,,,
"3,95 triệu VNĐ",Bát Khối, 30m2,,"+ Vị trí nhà ngay cạnh công viên điều hoà, Trường cấp 1-2 Long Biên¸gần nhà Thờ cổ đi lễ rất gần, cùng rất nhiều tiện ích. Ô tô đỗ cổng. + Ngõ 129 Bát Khối ô tô phóng vèo vèo, thông sang Khu Công viên di chuyển tiện lợi. + Thiết kế:  + Tầng 1 phòng khách, bếp, wc. + Tầng 2: phòng khách. + Tầng 3,4: 1 ngủ rộng + wc. + Tầng 5: phòng thờ + sân cảnh. +Sổ đỏ chính chủ, giao dịch ngay",16/07/2022,Tin thường,batdongsan_so_com_vn_1673814243.669902,,,,,
"3,65 tỷ VNĐ",Tư Đình, 40m2,,"- Vị trí nằm trong khu phân lô Quân đội, an ninh, dân trí, hàng xóm thân thiện, ô tô 10m , ngõ phân lô vòng quanh tứ ngã.-  Nhà 3 tầng tự xây rất cẩn thận, sàn gỗ, cầu thang toàn lim, tường móng kiên cố, chắc chắn, mua về lên thêm tầng nếu muốn. Thiết kế:+ Tầng 1: phòng khách,  VS, bếp.+ Tầng 2: 2PN, 1 VS.+ Tầng 3: 1PN, phòng thờ, sân phơi. - Sổ đỏ vuông vắn, nở hậu nhẹ, giao dịch ngay.",16/07/2022,Tin thường,batdongsan_so_com_vn_1673814244.9396021,,,,,
"3,85 tỷ VNĐ","Long Biên, Hà Nội", 36m2,,"- Vị trí rất đẹp, hàng xóm Khai Sơn, gần trường quốc tế Việt Pháp, chợ, UBND phường, trường học các cấp, ngõ trước nhà ô tô vào, vài bước ngõ ô tô thông, ô tô tránh, an sinh đỉnh. - Nhà xây mới, CĐT có tâm xây dựng, cực kỳ chắc chắn, thiết kế hiện đại, trang bị sẵn nội thất gồm: Sàn gỗ, rèm cửa, thiết bị vệ sinh, phòng bếp, chỉ việc kê giường tủ vào là ở ngay. - Thiết kế: Tầng 1: PK, Bếp và WC Tầng 2,3,4: Mỗi tầng 1 PN khép kín Tầng 5: Phòng thờ và sân phơi. - Sổ đỏ cất két, chờ sang tên chủ mới.",16/07/2022,Tin thường,batdongsan_so_com_vn_1673814246.34584, 3, 5, 3, 3,
10 tỷ VNĐ,Đường 1 phường Ngọc Lâm, 55m2, 9,"HẠ SỐC từ 11.8 Tỷ Xuống CÒN 10 TỶ. Tại Phố Ngọc Lâm, Long Biên.  + Ngọc Lâm Con phố tạo nên thương hiệu phố ẩm thực. ",16/07/2022,Tin thường,batdongsan_so_com_vn_1673814247.7071986, 6, 4, 5, 4,
,ĐA TỐN, 81m2, 5,"💎 ĐỘC QUYỀN CHUNG CƯ HẠNG SANG MASTERI WATERFRONT – PHÂN KHU ĐẲNG CẤP NHẤT VINHOMES OCEAN PARK 💎👉 Vị trí kim cương, thiết kế thời thượng, thương hiệu đẳng cấp quốc tế, tiện ích 5 sao đặc quyền. – Masteri WaterFront nằm giữa trung tâm VinHomes Ocean Park – Bàng hàng giá chuẩn Chủ đầu tư👉Tháng 7/2022 : Cực nhiều ưu đãi: Miễn phí dịch vụ 3 năm, miễn phí đỗ xe 3 năm, chiết khấu lên tới 13% Miễn trả gốc 2 năm miễn phí trả trước hạn, Techcombank hỗ trợ vay vốn 80%.THÔNG TIN DỰ ÁN :✨Đơn vị phát triển dự án: Masterise Homes✨Vị trí dự án: Trục đại lộ 52m giao cắt với đại lộ 30m trong Vinhomes Ocean Park (Tiếp giáp đảo Ngọc Trai và biển hồ nhân tạo).✨Tổng diện tích: 37.525 m2, mật độ xây dựng: 27%.✨Tổng diện tích giao thông & cảnh quan: 27.157m2 (73% diện tích đất toàn dự án).✨Tổng diện tích hầm: 37.389m2.✨Quy mô: 6 tòa căn hộ cao cấp từ 26 - 37 tầng với 2 phân khu Hawaii và Miami, gồm 3837 Căn hộ.👉 Diện tích căn hộ & loại hình căn hộ:Studio: 25.77 - 32.03m2 – Vốn tự có chỉ cần 348 triệu1 phòng ngủ 41.46 - 47.59m2 – Vốn tự có chỉ cần 454 triệu2 phòng ngủ 54.69 - 62.68m2 – Vốn tự có chỉ cần 497 triệu3 phòng ngủ: 75m2 – Vốn tự có cần 825 triệu⭐ Căn hộ Duplex: Updating.⭐ Hệ kính Triple Low E từ sàn đến trần.⭐ Tiêu chuẩn bàn giao: Bàn giao nội thất đầy đủ (Có thể linh hoạt theo nhu cầu khách hàng).⭐Thương hiệu vật liệu bàn giao: Kohler (Mỹ), Hafele (Đức), Daikin (Nhật Bản).📞 Quý khách hàng quan tâm liên hệ hotline: 0828.266.888",16/07/2022,Tin thường,batdongsan_so_com_vn_1673814249.116431, 5, 10, 2, 2, Tây
"8,5 tỷ VNĐ",Đường Phúc Đồng phường Phúc Đồng, 88m2, 6,"+ Vị trí rất đẹp khu phân lô quân đội, Phúc Đồng, Long Biên đường rộng ô tô tránh, khu vực phát triển đồng bộ, dân trí cao , an sinh đỉnh. + Diện tích 88M MT5 thiết kế 3 tầng , 4 ngủ, vẫn ở tốt, chủ xác định bán đất tặng nhà. + Sổ đỏ chính chủ sẵn giao dịch ngay. Liên hệ : Xuân Thủy 0971879199 chuyên bđs long biên.",16/07/2022,Tin thường,batdongsan_so_com_vn_1673814250.6576738, 5, 3, 4, 3,
"3,9 tỷ VNĐ",Đường Hoàng Hoa Thám phường Vĩnh Phúc, 33m2, 3,"Với 3,9 tỷ - Sở hữu ngay - Nhà tại Hoàng Hoa Thám 33m2x6T – Đủ Nội Thất – Ngõ 3m ko ngập  - Diện tích: 33m2x6T. Mặt tiền 3,6m - Mô tả:  + Hoàng Hoa Thám – Lạc Long Quân, gần Hồ Tây mát mẻ.  + Gần phố, Gần trường, Gần chợ, tiện đi lại.  + Ngõ rộng xấp xỉ 3m, đều tăm tắp, ko ngập bao giờ. + Hàng xóm xởi lởi, dễ chịu.  - Thiết kế: 5 tầng + 1 tum, đủ công năng sử dụng.  - Chủ nhà tặng lại toàn bộ nội thất giá trị.   - Sổ đỏ chính chủ.  - Giá: 3,9 tỷ (gia lộc cho khách thiện chí)  Liên hệ xem nhà miễn phí.  Em Quang – Nhà Đất HN Lh: 087.997.6889 (MTG)",16/07/2022,Tin thường,batdongsan_so_com_vn_1673814251.9444911, 3, 6, 5, 4,
"4,5 tỷ VNĐ",Số 52 ngõ 14 Mễ Trì Hạ, 53m2,,"Bán gấp nhà ngõ 14 Mễ Trì Hạ Diện tích 53m2 cấp 4, mặt tiền 6,2m Ngõ kinh doanh sầm uất cả đêm, thông Đỗ Đức Dục, hàng xóm Vinhomes Westpoint, xung quanh đầy đủ tiện ích, trường quốc tế, chợ, trung tâm thương mại đủ cả
Sổ đỏ vuông vắn cực đẹp
Mặt tiền rộng, phù hợp xây chung cư mini cho thuê Giá bán nhanh 4,5 tỷ",16/07/2022,Tin thường,batdongsan_so_com_vn_1673814253.0445492, 6,,,,
10 tỷ VNĐ,Đường Hào Nam phường Ô Chợ Dừa, 42m2, 1,"
    
CHỈ VỚI 10 TỶ - HÀO NAM - ĐỐNG ĐA- 42M x 5 TẦNG- NGÕ Ô TÔ - KINH DOANH
 
Ô TÔ TRÁNH- KINH DOANH- KHU VỰC HIẾM NHÀ BÁN- SỔ ĐẸP- ĐI XEM NGAY- KẺO BAY MẤT THÌ PHÍ.
 
GỌI NGAY E QUYÊN 0587998899 ĐỂ ĐƯỢC TƯ VẤN VÀ XEM NHÀ MIỄN PHÍ.
 

Ngõ 32A là ngõ to đẹp gần như nhất, nhì trên Phố Hào Nam thuộc bên dãy chẵn.
 
- Đối diện Trung Tâm Nhạc Viện Hà Nội, kế bên nhiều Nhà hàng, quán Cafe, các Ngân Hàng gần như tập trung bên SỐ CHẴN.
 
-Khu vực tiện ích, nằm giữa phố dễ dàng di chuyển nhanh ra Hoàng Cầu, Giảng Võ, Cát Linh, Đê La Thành, Ngã Tư Ô Chợ Dừa…

-Nhà xây khung cột chắc chắn, cầu thang giữa. Thiết kế hợp lý, chỉ việc vài thùng sơn là ở.
 
+ Thiết kế: 
- Tầng 1: P. khách, Bếp, WC
- Tầng 2, 3, 4: 6 phòng, WC
- Tầng 5: 1 Phòng, Sân phơi, WC

-Sổ đỏ vuông, đẹp.
- LH e Quyên 0587998899 tư vấn để gặp giao dịch chủ trực tiếp .
",16/07/2022,Tin thường,batdongsan_so_com_vn_1673814254.2343662, 3, 5, 6, 6,
