price,address,Diện tích,Mặt tiền,Lộ giới,Details,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Số toilet
"12,7 tỷ VNĐ",nguyễn chánh, 51m2, 7, 7,"""Bán nhà Nguyễn Chánh 51m 7 tg mt4.1m giá 12.7 tỷ.🏆🏆🏆Mô tả: Siêu phẩm.🎀🎀🎀🎀🎀+ Nhà mình bán xây 7 tầng, hiện chưa có thang máy, có chỗ để chủ mới lắp thêm thang máy. + Vị trí nhà ở đoạn đẹp nhất của ngõ 20 Nguyễn Chánh giao với ngõ 204 Trần Duy Hưng,- Mặt ngõ rộng, ô tô vào nhà, giao thông tiện lợi, kinh doanh ngày đêm và kinh doanh được các loại hình khách nhau. + Khu vực trung tâm ngay ở gần nút giao Vành đai 3 – Trần Duy Hưng – Khuất Duy Tiến – Đại lộ Thăng Long, gần BigC Thăng Long, trường học, chợ, Bệnh viện Giao thông Vận tải, Thu Cúc, gần trường Cao đẳng lao động Thương binh Xã hội. Khu vực đông dân, sinh viên, nhiều văn phòng, tiện ích, an sinh tốt.+ Thiết kế: tổng 11 phòng ngủ khép kín có wc riêng biệt cho từng phòng.* Tầng 1: Sàn kinh doanh + bếp + wc.* Tầng 2 - 6: Mỗi tầng 2 ngủ + WC khép kín riêng biệt. * Tầng 7: 1 ngủ + sân đa năng.✌ Cầu thang bố trí giữa nhà có ô giếng thang lớn đủ để chủ mới có thể cải tạo thêm thang máy. + Pháp lý: Sổ cất tủ, sẵn sàng giao dịch. """,12/07/2022,Tin thường,batdongsan_so_com_vn_1673814900.3931274,,,
5 tỷ VNĐ,Đường Trường Chinh phường Phương Liệt, 42m2, 5, 1,"- Nhà còn mới, về ở ngay , không phải sửa sang gì - Diện tích 42m2, 4 tầng với 4 phòng ngủ, phòng bếp, phòng khách đầy đủ - Nhà cách mặt phố 50m, cách bệnh viện Bạch Mai 500m, Đại Học Y 800m, rất gần các trường đại học, thuận tiện cho con em đi lại - Sổ đỏ chính chủ, sang tên được ngay Liên hệ: 0968026306",12/07/2022,Tin thường,batdongsan_so_com_vn_1673814901.8492322, 4, 4, 3
"4,5 tỷ VNĐ",Đường Lê Quang Đạo, 40m2,,,"Bán Nhà Lê Quang Đạo, Ôtô vào nhà, DT 40m2, 6 Tầng, Giá 4.5 tỷ.+ Nhà mới xây, kiến trúc hiện đại, kiên cố, trước nhà rộng thoáng, xách vali về ở luôn.+ Ba bước chân ra Bệnh viện Hồng Ngọc, Sân Vận Động Mỹ Đình, Đại lộ Thăng Long...+ Ngõ rộng bất chấp kinh doanh.+ Bán kính 1.5km trung tâm thương mại, những trường điểm Quốc Gia, bể bơi, siêu thị ngập tràn. + Hàng xóm thân thiện, dân cư đông đúc dân trí cao, an ninh tốt.+ Sổ vuông đẹp nét căng, pháp lý rõ ràng sẵn sàng sang tên ngay.+ Liên hệ: E Thuật Thổ Cư 0877883366 tư vấn, hỗ trợ miễn phí tất cả các dịch vụ liên quan BĐS.",12/07/2022,Tin thường,batdongsan_so_com_vn_1673814903.3502162,,,
"3,9 tỷ VNĐ","Long Biên, Hà Nội", 35m2, 3,,"+ Vị trí cực hiếm, trung tâm Ngọc Thuỵ, ngõ rộng điểm cua trước nhà rộng, tô đỗ cửa, ô tô vào nhà,  ngõ ô tô tránh thông, gần trường + Nhà còn mới đẹp long lanh, khách chỉ việc sách vali về ở luôn, thiết kế thoáng đãng, ngõ rộng sạch sẽ ,khu dân trí, yên tĩnh, an sinh tuyệt vời. + Thiết kế: Tầng 1: Phòng khách, phòng ăn, khu bếp ,Vs Tầng 2+ 3+4:  Tổng 3 phòng ngủ Vs khép kín. Tầng 5.Phòng thờ, sân phơi, trồng cây. + Sổ đỏ chính chủ cất két",12/07/2022,Tin thường,batdongsan_so_com_vn_1673814904.6049533, 5, 3, 4
"11,23 tỷ VNĐ",Đình Thôn, 75m2,,,"HIẾM ! BÁN NHÀ CCMN ĐÌNH THÔN 75M 6T M6,5 THANG MÁY NHỈNH 11 TỶ Vị trí đẹp: tiện ích đầu đủ, Đông sinh viên người đi làm. Gần Trường các Đại Học, Gần Bến Xe Mỹ Đình, TTTM,.. Đường chính lớn, Mỹ Đình, Lê Đức Thọ, Hồ Tùng Mậu, Phạm Hùng... Gia thương lượng. Thiện trí xem nhà liên hệ Anh Đức  0898839292.",12/07/2022,Tin thường,batdongsan_so_com_vn_1673814906.0853362,,,
"6,2 tỷ VNĐ",phố Kim Mã, 50m2, 4, 3,"Diện tích 50m2 x 4 Tầng x Mặt tiền 4.5m Nhà đẹp chính chủ tự thiết kế, nội thất nhập khẩu, tặng khách mua nhà. Ngõ 429 Kim Mã, ra Nguyễn Chí Thanh, gần Lotte,khu vực các trường Đại học Luật, Học viện Hành chính Quốc gia,… Thiết kế: - Tầng 1: Sân để xe rộng rãi, Phòng khách và Bếp. - Tầng 2: 2 Phòng ngủ, WC giữa và thiết kế hành lang thoáng rộng chạy vòng quanh, phòng nào cũng tràn ngập ánh sáng và gió. - Tầng 3: Phòng ngủ Master rộng, WC vách kính rèm gỗ xịn. - Tầng 4: Phòng thờ và sân phơi. Pháp lý: Sổ đỏ sạch, đẹp Liên hệ: Ms Thịnh 0364029861",12/07/2022,Tin thường,batdongsan_so_com_vn_1673814907.8426366, 4, 3, 3
"3,75 tỷ VNĐ",Văn Quán- Hà Đông, 39m2,,,"Chỉ hơn 3 tỷ nhà Văn Quán, Hà Đông, 39m, 5 tầng, ngõ rộng gần phố, ở ngay Bán gấp nhà Văn Quán, Hà Đông, vị trí đẹp hiếm với diện tích 39m, khung cột chắc chắn xây 5 tầng hiện đại, ngõ rộng thông thoáng, rất gần ô tô, nội thất Châu Âu rất xịn, chỉ việc xách vali đến ở. Xung quanh nhà ngập tràn tiện ích Khu đô thị Văn Quán, dân cư đông đúc, văn minh, gần trường chợ, ngân hàng, siêu thị,… Giao thông thuận tiện di chuyển các hướng Phúc La, hàng xóm Mỗ Lao, gần Nhuệ Giang, cạnh Nguyễn Trãi, vài bước ra bưu điện Hà Đông. Sổ đỏ vuông, sẵn sàng giao dịch. Giá 3.75 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",12/07/2022,Tin thường,batdongsan_so_com_vn_1673814909.2608647, 5,,
"3,6 tỷ VNĐ",Mỗ Lao- Hà Đông, 37m2,,,"Bán nhà Mỗ Lao, Hà Đông, 37m, 5 T, ngõ thông, gần ô tô, nội thất xịn nhỉnh 3 tỷ Chú tôi chính chủ bán nhà Mỗ Lao, Hà Đông, diện tích lớn 37m có 5 tầng hiện đại thoáng sáng, nội thất xịn, ngõ thông rộng đi muôn nơi, vài bước chân ra phố. Nhà rất gần chợ Mỗ Lao, gần hồ khu vực an sinh đỉnh cực hiếm nhà bán, gần siêu thị Big C, các trường Đại học, cơ quan hành chính của Quận. Giao thông đi muôn nơi lên Thanh Xuân hay sang Nam Từ Liêm rất gần, hàng xóm Văn Quán, cạnh Nguyễn Khuyễn, sách vách làng Việt kiều Châu Âu. Sổ đỏ vuông, sẵn sàng giao dịch. Giá 3.6 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",12/07/2022,Tin thường,batdongsan_so_com_vn_1673814910.5095813, 5,,
"3,6 tỷ VNĐ",Mỗ Lao- Hà Đông, 37m2,,,"Bán nhà Mỗ Lao, Hà Đông, 37m, 5 T, ngõ thông, gần ô tô, nội thất xịn nhỉnh 3 tỷ Chú tôi chính chủ bán nhà Mỗ Lao, Hà Đông, diện tích lớn 37m có 5 tầng hiện đại thoáng sáng, nội thất xịn, ngõ thông rộng đi muôn nơi, vài bước chân ra phố. Nhà rất gần chợ Mỗ Lao, gần hồ khu vực an sinh đỉnh cực hiếm nhà bán, gần siêu thị Big C, các trường Đại học, cơ quan hành chính của Quận. Giao thông đi muôn nơi lên Thanh Xuân hay sang Nam Từ Liêm rất gần, hàng xóm Văn Quán, cạnh Nguyễn Khuyễn, sách vách làng Việt kiều Châu Âu. Sổ đỏ vuông, sẵn sàng giao dịch. Giá 3.6 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",12/07/2022,Tin thường,batdongsan_so_com_vn_1673814911.8330414, 5,,
"3,75 tỷ VNĐ",Văn Quán- Hà Đông, 39m2,,,"Chỉ hơn 3 tỷ nhà Văn Quán, Hà Đông, 39m, 5 tầng, ngõ rộng gần phố, ở ngay Bán gấp nhà Văn Quán, Hà Đông, vị trí đẹp hiếm với diện tích 39m, khung cột chắc chắn xây 5 tầng hiện đại, ngõ rộng thông thoáng, rất gần ô tô, nội thất Châu Âu rất xịn, chỉ việc xách vali đến ở. Xung quanh nhà ngập tràn tiện ích Khu đô thị Văn Quán, dân cư đông đúc, văn minh, gần trường chợ, ngân hàng, siêu thị,… Giao thông thuận tiện di chuyển các hướng Phúc La, hàng xóm Mỗ Lao, gần Nhuệ Giang, cạnh Nguyễn Trãi, vài bước ra bưu điện Hà Đông. Sổ đỏ vuông, sẵn sàng giao dịch. Giá 3.75 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",12/07/2022,Tin thường,batdongsan_so_com_vn_1673814913.191407, 5,,
