price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Số phòng ngủ,Hướng,Mặt tiền,Số toilet,Lộ giới
"10,4 tỷ VNĐ",Nguyễn Văn Trỗi- Hà Đông, 60m2, 5,"Siêu hiếm mặt phố Nguyễn văn Trỗi, Hà Đông, lô góc KD, vỉa hè, 60m, 5T, hơn 10 tỷ Bán nhà mặt phố Vip giáp Làng Việt Kiều Châu Âu, khu vực cực hiếm nhà bán, dân cư đông đúc, văn minh, nơi ở các lãnh đạo, trí thức tụ họp. Xung quanh nhiều trường Đại học nổi tiếng, nhiều sinh viên và dân văn phòng, nhu cầu mua sắm tiêu dùng rất lớn. Nhà có vị trí đắc địa thiết kế phong cách hiện đại vừa kinh doanh vừa ở rất sướng, phù hợp làm: quán cơm, spa, siêu thị, hiệu thuốc, café,…cho dòng tiền khủng gia tăng hàng năm. Giao thông thuận lợi di chuyển các phố hàng xóm Văn Quán, giáp An Hoà thông sang Nguyễn Văn Lộc, song song Thanh Bình, cắt ngang Chiến Thắng, lên Phùng Khoang rất gần. Giá: 10.4 tỷ ( có gia lộc mạnh). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",05/07/2022,Tin thường,batdongsan_so_com_vn_1673816211.9247794,,,,,
"10,4 tỷ VNĐ",Nguyễn Văn Trỗi- Hà Đông, 60m2, 5,"Siêu hiếm mặt phố Nguyễn văn Trỗi, Hà Đông, lô góc KD, vỉa hè, 60m, 5T, hơn 10 tỷ Bán nhà mặt phố Vip giáp Làng Việt Kiều Châu Âu, khu vực cực hiếm nhà bán, dân cư đông đúc, văn minh, nơi ở các lãnh đạo, trí thức tụ họp. Xung quanh nhiều trường Đại học nổi tiếng, nhiều sinh viên và dân văn phòng, nhu cầu mua sắm tiêu dùng rất lớn. Nhà có vị trí đắc địa thiết kế phong cách hiện đại vừa kinh doanh vừa ở rất sướng, phù hợp làm: quán cơm, spa, siêu thị, hiệu thuốc, café,…cho dòng tiền khủng gia tăng hàng năm. Giao thông thuận lợi di chuyển các phố hàng xóm Văn Quán, giáp An Hoà thông sang Nguyễn Văn Lộc, song song Thanh Bình, cắt ngang Chiến Thắng, lên Phùng Khoang rất gần. Giá: 10.4 tỷ ( có gia lộc mạnh). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",05/07/2022,Tin thường,batdongsan_so_com_vn_1673816213.3671918,,,,,
"10,4 tỷ VNĐ",Lê Hồng Phong- Hà Đông, 60m2, 5,"Hoa hậu mặt phố Lê Hồng Phong, Hà Đông ,lô góc, vỉa hè KD 60mx5T, nhỉnh 10 tỷ Bán em hoa hậu xinh đẹp lung linh mặt phố vip được ví như trung tâm mua sắm Quận Hà Đông. Có diện tích rộng 60m rất hiếm, 5 tầng thoáng sáng thiết kế vừa ở vừa kinh doanh lại thêm lô góc một mặt phố 1 mặt ngõ, kinh doanh bất chấp các loại hình. Dân cư xung quanh đông đúc, khu vực lõi trung tâm, nhà cạnh trường học các cấp, sân bóng, trạm y tế gần nhà. Giao thông đi các phố cổ Tô Hiệu, ra siêu thị Metro giáp Cầu Đơ, cắt ngang Lê Lợi, hàng xóm Hoàng Diệu, chạy dọc xuống Bà Triệu,… Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 10.4 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",05/07/2022,Tin thường,batdongsan_so_com_vn_1673816214.7494946,,,,,
"12,5 tỷ VNĐ","Đường Thượng Thanh, Phường Thượng Thanh, Quận Long Biên, Hà Nội", 70m2, 4,"Bán Nhà Mặt Phố Thượng Thanh- Long Biên Kinh Doanh Sầm Uất 4T, 70m2 giá 12,5 tỷ  Ô TÔ TRÁNH - GARA Ô TÔ - KINH DOANH TẤP NẬP - ĐƯỜNG TRƯỚC NHÀ ĐANG MỞ RỘNG - VỊ TRÍ TƯƠNG LAI.  - Tầng 1: Phòng Khách, bếp, Kinh Doanh.. - Tầng 2: 2 ngủ + wc - Tầng 3: 3 ngủ + wc - Tầng 4: phòng thờ + sân phơi + vườn lan. * Nhà Kinh Doanh sầm uất, trước nhà ô tô tránh, xung quanh chợ, trường học cấp 1,2 Thượng Thanh, từ nhà thuận tiện và kết nối các hướng như ra đường Lý Sơn, Ngô Gia Tự, Đức Giang.. *  Sổ đẹp, pháp lý rõ ràng sẵn sàng giao dịch. ",05/07/2022,Tin thường,batdongsan_so_com_vn_1673816216.5168147, 5,,,,
"12,5 tỷ VNĐ","hoàng cầu, ô chợ dừa, đống đa", 64m2, 5,"🔥🔥🔥PHÂN LÔ VIP HOÀNG CẦU - Ô TÔ TRÁNH, VÀO NHÀ - NHÀ ĐẸP, KINH DOANH - 3 THOÁNG VĨNH VIỄN - NỞ HẬU🔥🔥🔥Vị trí: - Nhà nằm mặt ngõ 16 Hoàng Cầu, vị trí cực đẹp, đường ô tô tránh, khách mua ở hoặc kinh doanh đều vô cùng phù hợp. Xung quanh hàng xóm toàn biệt thự quan chức, an sinh đỉnh cao, vô vàn tiện ích, ngay cạnh khu chung cư cao cấp của Tân Hoàng Minh. - Nhà là căn duy nhất có 3 mặt thoáng vĩnh viễn tại khu phố, ngập tràn ánh sáng tự nhiên, vượng khí. 🏦 Thiết kế:- Nhà thiết kế 5 tầng, nội thất sang trọng, hiện đại, gia chủ sử dụng rất giữ gìn, sạch đẹp. Các phòng đều có cửa sổ, thoáng mát. - Tầng 1: Gara, bếp, wc. - Tầng 2: Phòng khách, 1 ngủ, wc. - Tầng 3 + 4: mỗi tầng 2 phòng rộng, wc. - Tầng 5: phòng thờ, khu giặt đồ, sân phơi.- Sổ đỏ nở hậu, giao dịch ngay.** GIÁ ;12.5 tỷ có thương lượng** alo  0845.790.555 Đỗ Hạnh",05/07/2022,Tin thường,batdongsan_so_com_vn_1673816217.905058, 5, Bắc, 4, 5,
"4,89 tỷ VNĐ",Đường Quang Trung phường Quang Trung, 42m2, 5,"Bán nhà đẹp Quang Trung, Hà Đông, 2 mặt thoáng, nội thất hiện đại. Nhà thiết kế xây mới đầy đủ công năng, nội thất đẹp hiện đại. Vị trí ngay Trung tâm quận Hà Đông. - Diện tích: 42,6m2, 5 tầng, mặt tiền rộng 5,5m- Đường rộng, ngõ thông, có chỗ để Ô tô- Tầng 1: Phòng Khách + bếp- Tầng 2,3: Mỗi tầng 1 phòng.- Tầng 4: 2PN- Tầng 5 : Phòng thờ + sân phơi-  Pháp lý: Sổ đỏ chính chủ, sẵn sàng giao dịch ngay-  Giá bán: 4,88 tỷ có thương lượng cho khách thiện chí.- Vị trí đẹp: Gần Trường học cấp 1, cấp 2, cấp 3,  gần Bệnh viện Đa khoa Hà Đông, gần Khu Hành chính Quận Hà Đông, Trung tâm TM Metro, gần Ga tàu điện Hà Đông, xung quanh có rất nhiều tiện ích… Vị trí nhà lưu thông tiện lợi đường Quang Trung, Nguyễn Viết Xuân, Ngô Thị Nhậm, Tô Hiệu, Lê Lợi, Bà Triệu, Nguyễn Trãi…- Liên hệ Mrs Hạnh: 098 932 1718/ 090 465 7989",05/07/2022,Tin thường,batdongsan_so_com_vn_1673816219.489863, 5,, 5, 4, 20
"4,5 tỷ VNĐ","Cổ Linh, Long Biên, Hà Nội", 42m2, 5,"- Diện tích: 42m2 - 5 tầng + 4 phòng ngủ- Nội thất đầy đủ ( điều hòa, máy lạnh, bàn ghế phòng khách, bàn ăn, giường ngủ, tủ đựng đồ,...) tất cả đều là hàng chất lượng cao hàng đầu.-Vị trí: gần TTTM Aeon Mall, gần cầu Vĩnh Tuy, gần chợ và các cửa hàng tiện lợi đáp ứng tối đa nhu cầu mua sắm- Không gian: rộng rãi với 42m2, yên tĩnh, thoáng đãng - Không khí: xung quanh nhà nhiều cây cối tạo cảm giác mát mẻ, trong lành- Đường xá: to rộng, giao thông thuận tiện- An sinh cực đỉnh☎️☎️☎️Liên hệ ngay Hotline: 0978600***. Em Thành Long Biên để được tư vấn, xem nhà miễn phí, hỗ trợ vay vốn ngân hàng, pháp lý, phong thủy, sang tên làm sổ,...",05/07/2022,Tin thường,batdongsan_so_com_vn_1673816220.777627, 4,, 4,, 4
31 triệu VNĐ/m2,"xuân đỉnh, bắc từ liêm, hà nội", 67m2,,"
    Bán gấp căn hộ 67m, 2PN+2VS tại C1,C2 Xuân Đỉnh chỉ 31tr/m
- Ban công nam mát mẻ, nội thất đầy đủ.
- Vị trí gần Ngoại giao đoàn, sunshine city
- Đã có sổ đỏ.
LH: Mr Kiên 0932.326.626
",05/07/2022,Tin thường,batdongsan_so_com_vn_1673816221.9704328, 2, Bắc,, 2,
999 triệu VNĐ,"Khương Đình, Hạ Đình", 50m2,,"TIỆN ÍCH NGẬP TRÀN – GẦN NGÃ TƯ SỞ - NHÀ ĐẸP NHƯ HOMESTAY.+ Căn hộ đang bán có an sinh hàng đầu của khu vực. Với an ninh tốt, gần với chợ, gần các khu cơ quan hành chính của Quận Thanh Xuân, trường học cấp 123 …+ Nhà được thiết kế với công năng sử dụng 2PN, 1PK, 1 WC, 1 Bếp. + Chủ nhà tặng toàn bộ nội thất trong nhà bao gồm: bàn ghế, bếp, điều hòa... + Căn hộ phù hợp với: Cặp vợ chồng trẻ, sinh viên đi học, cá nhân tổ chức muốn đầu tư cho thuê…+  Pháp lý sạch, sang tên trong 1 nốt nhạc.+ Giá chỉ 999 triệu (Có thương lượng). + Liên hệ ngay: 0354526316 Em Thế Anh (Hỗ trợ hoàn toàn MIỄN PHÍ từ xem nhà, tư vấn pháp lý, kiểm tra Quy hoạch, vay vốn ngân hàng, sang tên sổ đỏ…)",05/07/2022,Tin thường,batdongsan_so_com_vn_1673816223.3232408, 2,,,,
4 tỷ VNĐ,"Phố Kim Giang, Quận Hoàng Mai, Thành phố Hà Nội", 40m2, 5,"+ Hàng xóm Kim Văn Kim Lũ, KDC Đại Kim thừa hưởng được những tiện ích nơi đây đem lại.+ Gần chợ, trường học, nhà văn hóa.+ Nhà lô góc, thoáng đẹp, công năng đầy đủ, ở luôn, khách chỉ việc sách vali về ở.+ Nội thất sang trọng hơn 500 triệu , chủ tặng lại cho khách mua thiện chí.+ Liên hệ : Phương Nam : 0386.702.912.",05/07/2022,Tin thường,batdongsan_so_com_vn_1673816224.6048124,,,,,
