price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Lộ giới
16 tỷ VNĐ,"nghi tàn, yên phụ , tây hồ", 100m2, 5, 5, 5, 5,"BIỆT THỰ TÂY HỒ - Ô TÔ TRÁNH - KINH DOANH SẦM UỐT - GIẾNG TRỜI - SÂN VƯỜN RỘNG RÃI - VUÔNG VẮN - GẦN HỒ TÂY - GIÁ TỐT NHẤT KHU VỰC - TƯƠNG LAI RẠNG NGỜI💥💥💥💥💥💥💥💥💥💥💥💥💥💥💥💥                      CHỦ TỰ XÂYMô tả:+ Mặt ngõ Nghi Tàm ô tô dừng đỗ ngày đêm, tránh, kinh doanh cực kỳ sầm uốt, khu dân cư người nước ngoài tập trung, xung quanh công năng tiện ích ngập tràn không thiếu thứ gì, giao thông thuận tiện….+ Chủ nhà xây dựng theo mô hình biệt thự nhà phố, mới xây được 2 năm nên vẫn còn mới toanh, xây cực kỳ tỷ mỉ, chi tiết ….nhà có giếng trời khách có thể lắp thang máy thoải mái.💥💥💥💥💥💥💥💥💥💥💥💥💥💥💥💥+ Thiết kế:- T1: Gara ô tô + Phòng khách + Bếp.- T2,3: Mỗi tầng 2 phòng ngủ + Wc.- T4: 1 Phòng ngủ + Phòng thờ.- T5: Tum + Sân phơi.+ Căn biệt thự phù hợp hầu hết các loại hình dịch vụ kinh doanh: Khách sạn, nhà hàng, spa, văn phòng công ty, cùng nhiều loại hình kinh doanh khác.** GIÁ ; 16 TỶ ĐẼ ĐỦ RẺ CHƯA Ạ, hãy đi xem rồi thương lượng thêm nhé AC** nhiều người cứ nói là ảo , nhưng không đây là thật 100% ** alo em; 0845.790.555 đỗ hạnh không đúng đập cái dép vào mặt e cũng được",03/07/2022,Tin thường,batdongsan_so_com_vn_1673816628.277602,
"6,8 tỷ VNĐ","Quan Nhân, Thanh Xuân, Hà Nội.", 54m2, 6, 5, 4,," * CC cần bán nhà trong ngõ phố Quan Nhân quận Thanh Xuân, nhà xây chắc, mt rộng, thiết kế đẹp, ở thoáng, tổng 4 ngủ, chuẩn công năng. DT 54m, 5T, MT 6.4m, giá chỉ 6.8 tỷ. + Vị trí: yên tĩnh, rộng thoáng, an ninh, an sinh tốt, 150m ra mặt phố, giao thông thuận lợi, tiện ích ngập tràn. + Sổ đỏ đẹp chính chủ, pháp lý chuẩn, sẵn sàng giao dịch. * nhanh tay LH: Tình nhà phố 0906113879 ( chuyên mua, bán, nhận ký gửi có uy tín trong giới nhà đất quận Hà Đông - Hà Nội ).",03/07/2022,Tin thường,batdongsan_so_com_vn_1673816630.2388422, 2
6 tỷ VNĐ,Đường Bưởi phường Vĩnh Phúc, 51m2, 3, 5, 5, 5," ""segoe="""" ui="""" historic"";="""" mso-fareast-font-family:="""" ""times="""" new="""" roman"";="""" mso-no-proof:="""" yes'phố="""" vip="""" ba="""" Đình,="""" nhà="""" đẹp="""" ở="""" luôn,="""" siêu="""" thoáng,="""" đủ="""" nội="""" thất,="""" chỉ="""" cần="""" xách="""" vali="""" vào="""" luôn.="""" span="""" p="""" class=""MsoNormalSPAN"" roman""'-="""" nằm="""" trên="""" đường="""" bưởi="""" trung="""" tâm="""" quận="""" ngõ="""" thông="""" ra="""" công="""" viên="""" thủ="""" lệ,="""" cách="""" phố="""" 100m,="""" đầy="""" tiện="""" ích,="""" giao="""" thuận="""" lợi.="""" roman""'="""">- Nhà đẹp long lanh, có thừa lại 10m làm sân để xe, tiểu cảnh.  ""segoe="""" ui="""" historic"";="""" mso-fareast-font-family:="""" ""times="""" new="""" roman""'-="""" thiết="""" kế="""" hiện="""" đại,="""" siêu="""" thoáng,="""" có="""" ban="""" công="""" thoáng="""" mát.="""" span="""" p="""" class=""MsoNormalSPAN"" tầng="""" 1:="""" pk="""" +="""" bếp,="""" wc.="""" roman""'="""">- Tầng 2,3: 4 phòng ngủ.  ""segoe="""" ui="""" historic"";="""" mso-fareast-font-family:="""" ""times="""" new="""" roman""'-="""" tầng="""" 4:="""" phòng="""" thờ,="""" sân="""" phơi.="""" span="""" p="""" class=""MsoNormalSPAN"" khu="""" vực="""" an="""" ninh,="""" hàng="""" xóm="""" thân="""" thiện="""" roman""'="""">- Sổ đỏ cất két, sẵn sàng giao dich ",03/07/2022,Tin thường,batdongsan_so_com_vn_1673816632.061019, 3
"1,9 triệu VNĐ",Đường Quốc lộ 5 phường Dương Xá, 70m2, 7, 12, 2, 3,"MUA CĂN HỘ ĐẸP GIÁ TỐT VINHOMES OCEAN PARK - GIA LÂM  CĂN HỘ 70m2 (2PN2WC) VIEW đẹp GIÁ CHỈ 1.9TỶ  🍀🍀🍀 NGOÀI RA E CÒN QUỸ CĂN HỘ CHUYỂN NHƯỢNG VINHOMES OCEAN PARK🍀🍀🍀  👉STUIDO =950tr Dạ 👉Bán 1N+1 =1,2 tỷ  👉Bán2N1WC+1 =1,5 tỷ  👉Bán 2N2WC+1=1,8tỷ  👉Bán 2N2WC góc =1,9 tỷ  👉Bán 3N =2.4 tỷ   💥 Sổ Đỏ Sẵn Sàng Giao Dịch .  🥰Quý AC quan tâm liên hệ e để được tư vấn và xem nhà miễn phí. ",03/07/2022,Tin thường,batdongsan_so_com_vn_1673816633.8056633, 1
"4,75 tỷ VNĐ","Gốc Đề ,Minh Khai", 50m2, 5, 5, 3,,"Mô tả: + Nhà mới, ngõ rộng, thông thoáng, sát phố lớn Minh Khai . + Nhà xây 5 tầng quá đẹp, kiên cố, chắc chắn, + vài bước chân ra chợ gốc đề, chợ Hoàng Mai. + 2 phút ra bệnh viện Thanh Nhàn, bệnh viện Bạch Mai.,  Gần các trường học như cấp 1,2,3 và các trường đại học Bách Khoa, KT Quốc Dân, Xây Dựng… + Giá chào 4.75 tỷ,  Có thương lượng. + Diện tích 50m2. + Sổ đỏ sắn giao dịch. + Liên hệ : Nguyễn Dương  0825920555",03/07/2022,Tin thường,batdongsan_so_com_vn_1673816635.605531, 2
"4,75 tỷ VNĐ","Gốc Đề, Minh Khai", 50m2, 5, 5, 3,,"Mô tả: + Nhà mới, ngõ rộng, thông thoáng, sát phố lớn Minh Khai . + Nhà xây 5 tầng quá đẹp, kiên cố, chắc chắn, + vài bước chân ra chợ gốc đề, chợ Hoàng Mai. + 2 phút ra bệnh viện Thanh Nhàn, bệnh viện Bạch Mai.,  Gần các trường học như cấp 1,2,3 và các trường đại học Bách Khoa, KT Quốc Dân, Xây Dựng… + Giá chào 4.75 tỷ,  Có thương lượng. + Diện tích 50m2. + Sổ đỏ sắn giao dịch. + Liên hệ : Nguyễn Dương  0825920555",03/07/2022,Tin thường,batdongsan_so_com_vn_1673816636.9017954, 2
"10,5 tỷ VNĐ","Nguyễn Quý Đức, Thanh Xuân, Hà Nội.", 60m2, 5, 6, 4,," * nhà đẹp, khu Víp, ngõ ô tô Nguyễn Quý Đức quận Thanh Xuân, chủ xây chắc, ở thích, mt rộng, ô tô đỗ cổng, tổng 4 ngủ, chuẩn công năng. DT 60m, 6T, MT 5.2m, giá chỉ 10.5 tỷ. + Vị trí: yên tĩnh, thông thoáng, an ninh, an sinh tốt, 15m ra mặt phố, giao thông thuận lợi, tiện ích ngập tràn. + Sổ đỏ đẹp chính chủ, pháp lý chuẩn, sẵn sàng giao dịch. * nhanh tay LH: Tình nhà phố 0906113879 ( chuyên mua, bán, nhận ký gửi có uy tín trong giới nhà đất quận Hà Đông - Hà Nội ).",03/07/2022,Tin thường,batdongsan_so_com_vn_1673816638.396795, 3
"4,4 tỷ VNĐ",Phố Quan Nhân, 36m2, 4, 5, 4,," Bán nhà LÔ GÓC phố Quan Nhân - Thanh Xuân, 36m2, 5 Tầng, MT 4m, Giá 4.4 Tỷ.+ Vị trí nhà đẹp, thông sang Vũ Trọng Phụng Chính Kinh, Nhân Hòa, gần chợ, trường học các cấp.+ Ngõ nông rộng thông thoáng, ba gác phi ầm ầm, cách đường lớn 50m, bãi gửi Ô TÔ 15m.+ Nhà đẹp như tranh, nội thất sang trọng, tổng 4 PN rộng thoáng tràn ngập ánh sáng.+ Sổ vuông đẹp, pháp lý sạch, sang tên nhanh.LH: Em Hoan, 0925088355, miễn phí xem nhà 24/7.",03/07/2022,Tin thường,batdongsan_so_com_vn_1673816640.2141924,
"11,2 tỷ VNĐ",Mỹ Đình, 75m2,,,,,"HIẾM ! BÁN NHÀ CCMN MỸ ĐÌNH 75M 6T M6,5 THANG MÁY NHỈNH 11 TỶ Vị trí đẹp: Khu phát triển manh, tiện ích đầu đủ, Sầm uất, Đông sinh viên người đi làm. Gần Trường Đại Học Thương Mại, C.Đ Y Hà Nội, Gần Bến Xe Mỹ Đình, TTTM,..Đường Mỹ Đình, Lê Đức Thọ, Hồ Tùng Mậu, Phạm Hùng... Gia thương lượng Thiện trí xem nhà liên hệ Anh Đức  0898839292",03/07/2022,Tin thường,batdongsan_so_com_vn_1673816641.5127208,
"2,15 tỷ VNĐ",Cổ Nhuế, 65m2, 5, 1, 2,,"TOÀ NHÀ HIỆN ĐẠI, MÔI TRƯỜNG SỐNG TRONG LÀNHS = 65m2, giá 2.15 tỷ + Chung cư OCT5 Resco Cổ Nhuế gần siêu thị Metro, là trung tâm mua sắm lớn nhất khu vực phí Bắc Hà Nội. + Gần trụ sở Bộ công an và tuyến đường giao thông huyết mạch Phạm Văn Đồng, Bệnh viện E, Công viên Hòa Bình,… + Đi sân bay Nội Bài chỉ 18 km. + Căn hộ 2 ngủ, 2 vệ sinh, đầy đủ nội thất hiện đại, sang trọng. + Sổ đỏ chính chủ, sang tên ngay. * Liên hệ em Bình để được tư vấn và xem nhà miễn phí, không tiếp môi giới.",03/07/2022,Tin thường,batdongsan_so_com_vn_1673816643.6021307,
