price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số phòng ngủ,Số toilet,Lộ giới
"3,3 tỷ VNĐ",Văn Phú- Hà Đông, 37m2, 5,"Chỉ hơn 3 tỷ, 37m, 5 tầng, lô góc, ngõ thông gần ô tô, Văn Phú, Hà Đông Bác tôi gửi bán nhà đẹp được xây dựng trên mảnh đất vượng khí tài lộc trung tâm Văn Phú Hà Đông. Nhà xây hiện đại 5 tầng thoáng sáng, nội thất gỗ xịn, lô góc mát mẻ chỉ việc xách vali đến ở. Bán kính quanh nhà hưởng lợi ích Khu đô thị Văn Phú.: Chợ, trường học tư nhân đến quốc tế, ngân hàng, siêu thị, công viên,… Giao thông thuận tiện qua các con phố chính đối diện Lê Trọng Tấn, hàng xóm Phan Đình Giót, song song Hoàng Đôn Hoà, cắt sang Lý Thường Kiệt, cạnh Trần Đăng Ninh,… Chủ nhà là doanh nhân thành đạt, nay chuyển nhà biệt thự rộng hơn nên cần bán ngay, có gia lộc mạnh. Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 3.3 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",02/07/2022,Tin thường,batdongsan_so_com_vn_1673816906.38784,,,,
"3,2 tỷ VNĐ",La Khê- Hà Đông, 35m2, 5,"Nhỉnh 3 tỷ nhà La Khê, Hà Đông, ngõ thông, ô tô đỗ cửa, 35m, 5 tầng, nội thất Vip + Siêu hiếm chỉ hơn 3 tỷ là có nhà đẹp trung tâm phường La Khê gần chợ Bông đỏ thiết kế phong cách Chấu Âu hiện đại, 5 tầng ngập tràn ánh sáng, ngõ rộng thông thoáng, vài bước chân ra phố, nhà đẹp chỉ việc đến ở. + Xung quanh nhà hưởng trọn lợi ích Khu đô thị Ngô Thì Nhậm, có chợ, ngân hàng, công viên, siêu thị,..dân cư đông đúc, hàng xóm thân thiện, toàn trí thức. + Giao thông thuận tiện gần tàu điện trên cao, vài bước ra Quang Trung, đối diện văn Phú, thông sang Lê Trọng Tấn, giáp ranh Ngô Quyền,… Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 3.2 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",02/07/2022,Tin thường,batdongsan_so_com_vn_1673816907.9506595,,,,
"3,3 tỷ VNĐ",Văn Phú- Hà Đông, 3m2, 5,"Chỉ hơn 3 tỷ, 37m, 5 tầng, lô góc, ngõ thông gần ô tô, Văn Phú, Hà Đông Bác tôi gửi bán nhà đẹp được xây dựng trên mảnh đất vượng khí tài lộc trung tâm Văn Phú Hà Đông. Nhà xây hiện đại 5 tầng thoáng sáng, nội thất gỗ xịn, lô góc mát mẻ chỉ việc xách vali đến ở. Bán kính quanh nhà hưởng lợi ích Khu đô thị Văn Phú.: Chợ, trường học tư nhân đến quốc tế, ngân hàng, siêu thị, công viên,… Giao thông thuận tiện qua các con phố chính đối diện Lê Trọng Tấn, hàng xóm Phan Đình Giót, song song Hoàng Đôn Hoà, cắt sang Lý Thường Kiệt, cạnh Trần Đăng Ninh,… Chủ nhà là doanh nhân thành đạt, nay chuyển nhà biệt thự rộng hơn nên cần bán ngay, có gia lộc mạnh. Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 3.3 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",02/07/2022,Tin thường,batdongsan_so_com_vn_1673816909.1365747,,,,
"5,6 tỷ VNĐ",phố Nguyễn Văn Lộc, 40m2, 5,"+ Bán Nhà – Chính Chủ – Mỗ Lao – Hà Đông. + Diện tích 40m – 5 Tầng – MT3.5m. + Giá bán: 5.6 tỷ + Liên hệ xem nhà: 0902.083139 + Chủ nhà cần giải quyết tài chính nên hạ sok 1 tỷ bán căn nhà tâm huyết chỉ 5.6 tỷ. + Vị trí cực đẹp và hiếm, nhà nằm vùng lõi trung tâm KĐT Mỗ Lao, bao quanh là Làng Việt Kiều Châu Âu, Văn Quán, gần Big C Hồ Gươm, ngay ngã tư Nguyễn Văn Lộc, Vũ Trọng Khánh, tiện ích gần chợ Mỗ Lao, trường học các cấp, bệnh viện. + Giao thông thuận tiện, thông thương các tuyến phố Tố Hữu, Trần Phú, Nguyễn Trãi, Nguyễn Văn Lộc, Thanh Bình, Vũ trọng Khánh, Nguyễn Khuyến. + Pháp lý: Sổ đỏ chính chủ, sẵn sàng giao dịch.",02/07/2022,Tin thường,batdongsan_so_com_vn_1673816910.543808, 3, 4, 4,
"12,5 tỷ VNĐ",Đường Tố Hữu phường La Khê, 60m2, 4,,02/07/2022,Tin thường,batdongsan_so_com_vn_1673816911.7136796, 4, 4, 4, 20
,Đường Giải Phóng phường Thịnh Liệt,, 4,"
    
Mô tả: Không có căn thứ 2 ở Khu vực Giải Phóng ở mức giá 2.4 tỷ ô tô vào tận cửa.

+Vị trí: Nhà ngay cạnh Khu đô thị Đồng Tàu, chợ Giáp Nhị, trường cấp 1+2 Thịnh Liệt, cấp 3 Trần Quang Khải, ủy ban phường Thịnh Liệt, khu hành chính quận Hoàng Mai. Khu vực trung tâm, an ninh tốt, hàng xóm là cán bộ bảo vệ Lăng Hồ Chủ Tịch, tiện ích và không gian sống cực kỳ tuyệt vời.
+Nhà xây 4 tầng, thiết kế gồm phòng khách+ bếp, 2 phòng ngủ rộng( có thể làm 3 phòng ngủ luôn), các tầng có ban công, phòng thờ, hành lang phơi quần áo, View trước nhà thoáng, hút gió.
+Đường trước nhà rộng, ô tô đỗ tận cửa, có bãi ô tô cạnh nhà.
+Sổ đỏ vuông đẹp, sang tên ngay.
",02/07/2022,Tin thường,batdongsan_so_com_vn_1673816913.0919921,, 3, 1, 1
"3,3 tỷ VNĐ","Lê Trọng Tấn, Hà Đông, HÀ NỘI", 34m2, 5,"Chính Chủ Bán Gấp, Căn Góc 34m2 x 5T, Chỉ 3.3 Tỷ, Ô Tô, Khu Lê Trọng Tấn, Hà Đông. Vị trí: Nhà lô góc thoáng đãng 2 măt khu trung tâm, gần bể bơi La Khê, gần chợ, gần trường mầm non, tiểu học Văn Khê, gần trường THPH Quang Trung, tiện ích xung quanh cái gì cũng có. Tuyến đường kết nối khu đô thị Ngô Thì Nhậm, KĐT Văn Khê. Thiết kế: Nhà mới xây 2019, 5 tầng mặt tiền rộng 4.7m, bê tông cốt thép chắc chắn,kinh doanh nhỏ lẻ tiệm NAI, Tóc, Hiệu Thuốc… + Nhà đầy đủ công năng, tổng 3 PN, Phòng Khách, Bếp, Phòng thờ, sân phơi... + Nhà thuộc khu an ninh tốt, hàng xóm thân thiện  + Pháp Lý: Sổ đỏ chính chủ, sẵn sàng giao dịch. + Giá bán: 3.3 tỷ ( Có thương lượng ). Liên hệ trực tiếp 24/7 để đi xem nhà miễn phí.                                                                                                                                                                                 - Mr Luyện thổ cư: 0911779569 - Chuyên Nhà đất Thổ cư các phân khúc từ 1 tỷ đến trên 100 tỷ.  “TRAO GỬI NIỀM TIN_ NHẬN LẠI YÊU THƯƠNG”",01/07/2022,Tin thường,batdongsan_so_com_vn_1673816914.3087454, 4, 3, 4, 3
"11,5 tỷ VNĐ",Cầu Bươu, 120m2, 4,"+ Chính chủ cần tiền bán gấp Biệt thự KĐT Cầu Bươu, Thanh Trì + Diện tích 120m – 4 Tầng – MT7.5m + Giá bán: 11.5 tỷ + Vị trí tuyệt đẹp, nhà thiết kế công năng hợp lý, ngay sát KĐT The manor Central Park Nguyễn Xiển, sát KĐT Xa La, Cầu Bươu, Văn Phú, Kiến Hưng, công viên Chu Văn An, KĐT Văn Quán. + Không gian sống tuyệt vời, đẳng cấp, dân trí cao, hạ tầng đồng bộ, giao thông đi lại cực kỳ thuận tiện, thông thương nhiều tuyến đường trục chính: Đường nối Xa La – Nguyễn Xiển, Nguyễn Xiển, Khuất Duy Tiến, Phùng Hưng, Phố Văn Khê – Phúc La, Nguyễn Khuyến, Quang Trung, Trần Phú, Khu Đô thị Linh Đàm. + Sổ đỏ chính chủ, pháp lý chuẩn chỉ. Giao dịch ngay. + Liên hệ xem nhà: 0902.083.139 ",01/07/2022,Tin thường,batdongsan_so_com_vn_1673816919.244215, 7, 6, 5,
"4,6 tỷ VNĐ","Trần Phú, Văn Quán, Hà Đông", 35m2, 4," # CC bán nhà riêng đường Trần Phú quận Hà Đông, nhà đẹp, tự xây chắc, thiết kế hợp lý, nở hậu mạnh, DT 35/38m, 4T, mt 4.5m, giá 4.6 tỷ. + Vị trí: vài chục mét ra đường Trần Phú, gần Big C Hà Đông, cạnh KĐT Văn Quán, 3 mét ra ô tô đỗ, giao thông thuận lợi, trung tâm phố tiện ích. + Sổ đỏ chính chủ nở hậu mạnh, sẵn sàng giao dịch. # nhanh tay LH: 0983858722 Tình nhà phố ( chuyên mua, bán, nhận ký gửi, có uy tín trong giới nhà đất quận Hà Đông – Hà Nội ).",01/07/2022,Tin thường,batdongsan_so_com_vn_1673816920.99783, 4, 4,, 2
"7,7 tỷ VNĐ",phố Bà Triệu, 55m2, 4,"PHÂN LÔ Ô TÔ CHẠY VÒNG QUANH, 2 THOÁNG TRƯỚC SAU, TIỆN ÍCH BẠT NGÀNS = 55m2, 4 tầng, giá 7.7 tỷ + Khu phố cổ đắt giá nhất Hà Đông, giá trị không khi nào hạ nhiệt. + Giao thông thuận tiện: Nguyễn Trãi, Lê Lợi, Lê Lai, Tô Hiệu, Trần Hưng Đạo, Trưng Trắc, Trưng Nhị,… + Thiết kế: - Tầng 1: Để xe, phòng khách, bếp, wc.- Tầng 2 : 2 phòng ngủ rộng, wc.- Tầng 3: Phòng thờ, 2 phòng ngủ, wc.- Tầng 4: Sân trước, sau. + Sổ đỏ vuông đẹp, chủ thiện chí. * Gọi ngay em Bình để được tư vấn và xem nhà miễn phí, không tiếp môi giới.",01/07/2022,Tin thường,batdongsan_so_com_vn_1673816922.4577844, 4, 4,,
