price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Số toilet,Hướng
"13,8 tỷ VNĐ","Văn Phú, Văn La, Hà Đông, Hà Nội.", 90m2, 4, 10, 5, 4," # CC bán nhà LK KĐT Văn Phú quận Hà Đông. nhà thiết kế đẹp, 2 thoáng trước sau, có thang máy kính, gara ô tô vào nhà, vỉa hè rộng, mặt tiền kinh doanh. DT 90m, 5T, MT 4.5m. + Vị Trí: đắc địa trung tâm, đẹp nhất nhì KĐT Văn Phú, giao thông thuận tiện, tiện ích bạt ngàn, kinh doanh sầm uất. + Sổ đỏ chính chủ, pháp lý chuẩn, giao dịch ngay. + Ảnh thật nhà thật, xem thực tế đẹp hơn rất nhiều. * HotLine: 0983858722 Tình nhà phố ( chuyên mua, bán, nhận ký gửi, có uy tín trong giới nhà đất quận Hà Đông – Hà Nội ).",20/06/2022,Tin thường,batdongsan_so_com_vn_1673818836.3329906,,
"11,1 tỷ VNĐ","Âu Cơ, Tứ Liên, Tây Hồ, Hà Nội", 60m2, 4,, 4, 4,"- MẶT PHỐ KINH DOANH - PHÂN LÔ VỈA HÈ - OTO TRÁNH - MẶT SAU VIEW SÔNG HỒNG. - Vị trí đắc địa, gần các tuyến phố như Âu Cơ, Xuân Diệu, Long Quân, cầu Nhật Tân, công viên nước Hồ Tây, thung lũng Hoa, chung tâm thương mại Lotte võ chí Công, và nhiều tiện ích khác. - dân cư ổn định, dân trí cao, an ninh tốt. - Nhà thiết kế hiện đại, nội thất cao cấp, chỉ cần xách vali vào ở ngay. - Thiết kế:      +Tầng 1: Khách + Bếp, WC      +Tầng 2-3: Phòng ngủ, WC      +Tầng tum: phòng thờ + sân phơi. - Sổ đỏ đẹp, sẵn sàng giao dịch. - Liên hệ Mr.Hoàng chuyên thổ cư Tây Hồ: 0585147777",20/06/2022,Tin thường,batdongsan_so_com_vn_1673818837.9491928, 3,
"4,7 tỷ VNĐ",Đường Nguyễn Sơn phường Gia Thụy, 50m2, 5, 3, 5, 4,"- Ngõ trước nhà thông khắp nơi, vài bước chân ô tô đỗ cửa, làm gì cũng tiện  + Sổ đỏ chính chủ, pháp lý rõ ràng  ",20/06/2022,Tin thường,batdongsan_so_com_vn_1673818839.1340227, 4,
50 ngàn VNĐ,Đường Phạm Hùng phường Mỹ Đình 2, 151m2,, 1, 14, 4,"- Quy mô: 36 tầng nổi, 4 tầng hầm.- Số phòng ngủ: 4.- Hướng ban công: Tây Bắc - Đông Bắc.* Căn hộ A - 1602.- Số phòng vệ sinh: 3.- Tầng: 15.- Diện tích 108m2 thông thủy: 107.1m2.- Số phòng ngủ: 4.- Hướng ban công: Tây Bắc. * Chính sách bán hàng ưu việt.- Miễn phí dịch vụ quản lý trong vòng 2 năm.
",20/06/2022,Tin thường,batdongsan_so_com_vn_1673818840.363733, 2,
"1,6 tỷ VNĐ",Dương Văn Bé - Hà Nội, 30m2,,,,,"+Căn nhà phải gọi  là 1 siêu phẩm đón tết có một không hai chỉ mất 1,6 tỷ có ngay hộ khẩu Hà Nội phá giá mọi loại chung cư chứ đừng nói nhà thổ cư +Nhà lô góc nở hậu nhẹ thoáng đãng 2 mặt thoáng + Vị trí đắc địa không  thể đẹp hơn  Dương Văn Bé là khu đã quy hoạch ổn định  hàng xóm Time City sử dụng mọi tiện ích ở đây . giao thông thuận tiện đi mọi ngả ra Bờ Hồ , Hoàng Mai, Hai Bà Trưng, Kim NGưu, Thanh Nhàn,…. Chi tiết LH: em Nhật 0977194820 (Chuyên Nhà đất Thổ cư).Lưu ý:- Không kênh giá chủ nhà- Miễn phí toàn bộ dịch vụ: Dẫn khách xem nhà, tư vấn pháp lý ",20/06/2022,Tin thường,batdongsan_so_com_vn_1673818841.6153843,,
"2,35 tỷ VNĐ","Đường ngọc Thụy, Long Biên, Hà Nội", 38m2,,, 4, 4,"Hàng Hiếm Ngọc Thụy - Long Biên, nhà 38m2, 4T chỉ 2,35 tỷ Tầng 1 : Phòng khách, bếp, wc Tầng 2,3 : Phòng ngủ, wc Tầng 4 : Phòng thờ, sân phơi Nhà xây dựng chắc chắn, xung quanh hàng xóm thân thiện chan hòa, chợ, trường cấp 1,2 Ngọc Thụy, Khu Đô Thị Khai Sơn… từ nhà kết nối các hướng như Mipec Long Biên, Cầu Long Biên, Ngọc Lâm thuận lợi.. ",20/06/2022,Tin thường,batdongsan_so_com_vn_1673818842.695496,,
"2,864 tỷ VNĐ",Đường Tứ Hiệp phường Tứ Hiệp, 105m2, 15, 15, 1, 3,"Căn hộ A2511 là căn ban công Đông Nam còn lại duy nhất của cả dự án, Quý khách có nhu cầu mua xin vui lòng liên hệ hotline CĐT 0966.790.444/0943.831.415 để đăng ký xem căn hộ và thương lượng giá cả.",20/06/2022,Tin thường,batdongsan_so_com_vn_1673818843.814543, 2,
"4,05 tỷ VNĐ","Cổ điển A, Thanh Trì, Hà Nội", 42m2,,,,,"+ Tự xây tâm huyết,mới đẹp,Bán đi rất tiếc. + Nội thất gỗ Lim Nam Phi đẹp, tặng lại toàn bộ nội thất máy móc, bàn ghế. + Thiết kế tầng rất hợp lý. + Khu vực đang phát triển cực mạnh, sắp lên Quận, gần Trường, Chợ, Trung tâm Thanh Trì nhiều tiện ích, tiềm năng tăng giá cao. + Sổ đỏ chính chủ, vuông đẹp.giao dịch ngay",20/06/2022,Tin thường,batdongsan_so_com_vn_1673818844.960477,,
"10,9 tỷ VNĐ",Mỗ Lao - Hà Đông - Hà Nội, 55m2, 4, 12, 5, 6,"Liền Kề Mỗ Lao-Hà Đông, 55M2x5T. Mt 4M, Phân lô vỉa hè, đg ô tô tránh, tiện mở VP, Cty, Hot bán nhanh. Gía: 10,9 Tỷ.  MÔ TẢ: - Tầng hầm: GARA ôtô. - Tầng 1 : phòng khách + Bếp - Tầng 2,3,4: mỗi tầng 2 phòng ngủ vệ sinh khép kín. - Tầng 5 : phòng thờ, sân phơi + Khu dân cư đông đúc, sinh viên ở nhiều, vị trí kinh doanh mọi mặt hàng: Quán tóc, hiệu thuốc, Đường trước nhà rộng, ô tô tránh, thông các ngả, rất thuận tiện đi lại. - Xung quanh đầy đủ các tiện ích; trường học, siêu thị, khu vui chơi giải trí, gần hồ Mỗ lao, -- Sổ đỏ chính chủ giao dịch ngay - Giá 10.8 tỷ ( có thương lương, bao sang tên sổ đỏ) + Liên hệ ngay: Mr Hưng chuyên nhà đất thổ cư hà nôi",20/06/2022,Tin thường,batdongsan_so_com_vn_1673818846.3657298, 4, Tây bắc
"4,4 tỷ VNĐ","Hồ Tùng Mậu,Nam Từ Liêm", 38m2, 4,, 6, 5,"+ Vị trí đẹp cách đường ô tô tránh vỉa hè chỉ đúng 1Km gần ĐH Thương Mại, Bến xe Mỹ Đình, Ngoại Ngữ, Báo Chí, Quốc Gia…- GẦN rất nhiều trường học từ mầm non, cấp 1, cấp 2: Lê Qúy Đôn, Đoàn Thị Điểm, Lômônôxốp và câc trường đại học lớn: Thương mại, Quốc Gia...+ Cách không xa sân vận động quốc gia Mỹ Đình, THÔNG THƯƠNG VỚI NGUYỄN VĂN GIÁP, NGUYỄN ĐỔNG CHI, HÀM NGHI, NGUYỄN CƠ THẠCH, LƯU HƯU PHƯỚC, LÊ ĐỨC THỌ, TRẦN VỸ,…+ Nhà THOÁNG THÔNG, mặt NHÀ ĐƯỜNG RỘNG THÔNG THOÁNG, NHÀ THÍCH HỢP VỪA Ở VỪA CHO THUÊ VĂN PHÒNG, KINH DOANH CÁC LOẠI HÌNH DỊCH VỤ.- Nhà nằm vị trí NẰM MẶT NGÕ Hồ Tùng Mậu, thiết kế hiện đại, 6 tầng, mới đẹp đầy đủ nội thất.Liên hệ: Thành Tâm - BĐS Vip Thổ địa Hà Thành Call & Zalo 0586434444,0983717822 (24/24) Để được Tư vấn và dẫn đi xem nhà hoàn toàn miễn phí! Cam kết và đảm bảo chắc chắn sẽ giúp Anh chị em tìm, lựa chọn được Nhà Hoặc Đất theo như tiêu chí, nhu cầu mong muốn của Quý Anh chị trong thời gian ngắn nhất có thể!",20/06/2022,Tin thường,batdongsan_so_com_vn_1673818847.507711,,
