price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Hướng
"3,6 tỷ VNĐ",Phú Diễn Bắc Từ Liêm Hà Nội., 48m2, 5, 2, 4, 4, 4,"+ Gia đình nhiều nhà không ở đến nên bán bớt. Nhà cách oto tránh vài bước chân , gia đình tự xây chắc chắn còn rất  mới, khu vực an sinh tốt , dân trí đỉnh, gần hồ , gần chợ dân sinh, gần trường ĐH Tài Nguyên và Môi Trường.+ Thiết kế: Mặt tiền khủng 5.3m . + Tầng 1: Sân để xe + P.Khách + Bếp + WC.+ Tầng 2: 3 P.ngủ + 2 WC .+ Tầng 3: P.Ngủ + WC.+ Tầng 4: P.thờ + sân phơi.* Sổ đỏ đẹp giao dịch ngay * Liên hệ xem nhà chính chủ 0946648526",16/06/2022,Tin thường,batdongsan_so_com_vn_1673819580.3120215,
"4,65 tỷ VNĐ",Phố Khương Trung, 43m2, 4,,,,,"+ Chủ đã mua được nhà mới nên bán gấp nhà Phố Khương Trung - Thanh Xuân, 43m2, Mặt Tiền 4.5m, Ô TÔ cách 10m, 4.65 Tỷ. +Trung tâm Quận Thanh Xuân, vài phút ra Ngã Tư Sở, gần TTTM, Royal City, bệnh viện và trường học các cấp.+ Vị trí nhà cách phố 40m, ngõ rộng thông thoáng.+ Thiết kế nhà hiện đại, nội thất cao cấp, chủ tặng lại hết cho khách thiện chí mua. LH: Em Hoan, 0925088355, chuyên thổ cư Hà Nội, miễn phí xem nhà 24/7.",16/06/2022,Tin thường,batdongsan_so_com_vn_1673819583.6139235,
"4,5 tỷ VNĐ",Đường Thanh Nhàn phường Thanh Nhàn, 42m2, 3, 2, 4, 4, 3,"
    Chủ chuyển nhà, cần bán nhà Thanh Nhàn, Hai Bà Trưng, 42m2, 4 tầng, trước nhà thoáng vĩnh viễn.- Đường trước nhà 2.5m, trước nhà là sân rộng, thoáng vĩnh viễn.- Nhà gần nhiều phố lớn như Lò Đúc, Kim Ngưu, Trần Khát Chân, Nguyễn Khoái, Thanh Nhàn, Lạc Trung, Võ Thị Sáu... giao thông đi lại thuận tiện, di chuyển dễ dàng.Bãi gửi xe ô tô ngay gần nhà.- Nhà gần chợ mơ mới, chợ 8.3, gần Times City, Sun Plaza Lương Yên.- Gần trường tiểu học Thanh Lương, cấp 2 Minh Khai, cấp 3 Nguyễn Đình Chiểu, gần Đại Học Kinh doanh và Công nghệ.- Nhà gần Bệnh viện Thanh Nhàn, công viên Tuổi Trẻ.====================Giá: Chỉ hơn 4.5 tỷLiên hệ: Vỹ - 1987 (Miễn trung gian)
",16/06/2022,Tin thường,batdongsan_so_com_vn_1673819585.436256,
"5,85 tỷ VNĐ",Đường Lĩnh Nam phường Lĩnh Nam, 58m2, 3, 4, 4, 4, 4,"Nhà năm trong khu vự dân cư đông đúc  , khu vực đang phát triển từng ngày  - Gần chợ , trương học cấp 1,2,3...  ,các trung tâm thương mại -   Ngõ rộng ô tô đổ trươc cửa, kinh doanh -Diện tích ;58m ,  4 tầng,  mt3,7m ,  già chào 5,85 tỷ Tầng 1 ; phòng khách, bếp ,vệ sinh. Tầng 2,3; phòng ngủ,vế sinh khép kín. - Sổ đỏ chính chủ, vuông vắng, giao dịch ngay Liên hệ ngay để được tư vấn và xem khách miễn phí: 0879551236 ",16/06/2022,Tin thường,batdongsan_so_com_vn_1673819586.8893876,
"7,85 tỷ VNĐ",Mỗ Lao - Hà Đông, 39m2, 4,, 4, 4, 4,"MỖ LAO – HÀ ĐÔNG, MẶT PHỐ KINH DOANH, 39.5M2 – 7.85 TỶ Bán nhà mặt phố khu vực Mỗ Lao – Hà Đông. Ô tô tránh, kinh doanh tấp nập ngày đêm. Khu vực trung tâm quận Hà Đông. Một bước ra mặt phố Trần Phú. Làng Việt Kiều kề bên. Xung quanh là các trường An ninh, Kiến Trúc, Bưu chính viễn thông ... Sổ đỏ chính chủ, thương lượng trực tiếp chủ nhà. Chủ thiện chí bán. Liên hệ: KS. Phương – 0918120568 để được tư vấn và xem nhà miễn phí",16/06/2022,Tin thường,batdongsan_so_com_vn_1673819588.3215575,
3 tỷ VNĐ,phố hồ đắc di, 32m2,,,,,,"Bán nhà Hồ đắc Di 32m X 5T nhà đẹp về ở luôn . giá 3 tỷ + Nhà mới , nội thất sịn , ngõ nông rộng , ba bước ra hồ ( tầng 5 view Hồ thóang mát vô cùng)+ Tiện ích ngập tràn , đi đâu cũng tiện, khu dân trí cao, an sinh tốt đáng sống+ Pháp lý sạch , sổ sẵn sàng lên đườngXem nhà và tư vấn hỗ trợ miễn phí .Trung 0896695659",16/06/2022,Tin thường,batdongsan_so_com_vn_1673819589.7278025,
16 tỷ VNĐ,Đường Liên Trì phường Trần Hưng Đạo, 50m2, 5, 10, 6, 5, 5,"LIÊN TRÌ – TRẦN HƯNG ĐẠO – HOÀN KIẾM – 6 TẦNG – THANG MÁY – ĐƯỜNG Ô TÔ – Ở ĐẲNG CẤP. - HOÀNG HƯNG - 0916.113.179 – BÁN NHÀ BẰNG SỰ TỬ TẾ. + Vị trí sát phố, Khu VIP, Hiếm nhà bán, Đẹp từng CENTIMET… 500m ra Hồ Hoàn Kiếm, vài phút đi xe ra Lăng Bác, Hồ Tây… + Nhà 6 TẦNG, Khu cán bộ cao cấp, THANG MÁY, thiết kế phong cách Châu Âu, Ở ĐẲNG CẤP,  + Đầy đủ công năng: Phòng Khách, Phòng sinh hoạt chung, 5 Phòng ngủ, 05 vs, Bếp hiện đại… + Sổ đỏ chính chủ, sẵn sàng giao dịch. + Giá bán: 16 tỷ ( Có thương lượng ). Liên hệ trực tiếp 24/7 để được đi xem nhà miễn phí:  - Hoàng Hưng - 0916.113.179. - Chuyên Nhà đất Thổ cư các phân khúc từ 1 tỷ đến trên 100 tỷ. - Miễn trung gian, quảng cáo.",16/06/2022,Tin thường,batdongsan_so_com_vn_1673819591.0153491,
"2,785 tỷ VNĐ",Đường Kính Nỗ phường Uy Nỗ, 60m2, 5,,,,,"Bán 60.5m tại Kính Nỗ - Uy Nỗ Đông Anh - đường ô tô chạy vào tận đất ngõ thông bàn cờ. - GÍA ĐẦU TƯ TỐT CHO ANH CHỊ-Thông tin: S: 60.5m. Mt và hậu =5m-Đường 5m thông thoáng ra trục chính chỉ 10m, gần bìa làng.-Cách nhà văn hóa, sân bóng thôn chỉ 50m.  -Bệnh viện Than chỉ 100m. Chợ cửa hàng mới 200m.-Trường THPT Đông Anh chỉ 1km. Ga Đông Anh 1.5km.  -Bệnh viện đa khoa và TT huyện Đông Anh chỉ 3km.-Sang Nội thành chỉ 20p lái xe. Thông thương thuận tiện, dân cư phát triển.-Ace mua đầu tư nhanh tay chốt cọc rước em nó về.",16/06/2022,Tin thường,batdongsan_so_com_vn_1673819592.1812305,
"10,3 tỷ VNĐ","Bà Triệu, Hà Cầu", 75m2,,, 7, 5,,"+ Bán nhà Phố Bà Triệu- Hà Trì-Hà Đông 75m2*7tầng Thang máy, chung cư mini, chỉ 10,3tỷ+ Nhà còn mới đẹp, nội thất cho thuê đầy đủ, cách mặt đường 3 oto tránh 20m, ô tô 4 chỗ tránh,thông các ngả, + gần trường THPT Lê Lợi, cách BigC Hà Đông, bệnh viện Bỏng,bệnh viện 103 có 1km, + tiện ích đầy đủ. Hiện là 17 phòng khép kín cho thuê, + đang cho bên thứ 3 thuê vận hành là 42tr/ tháng, tự kinh doanh có thể lên tới 55tr. Ưu tiên khách nối tiếp hợp đồng. Thiết kế:- Tầng 1: Để xe, 1 phòng.- Tầng 2 -> 6 : Mỗi tầng 3 phòng, wc.- Tầng 7: Sân phơi, 1 phòng ngủ.+ Sổ đỏ chính chủ, vuông vắn.+ giá tham khảo 10,3tỷ(có thương lượng)+ Gọi ngay Mrs Hương Chuyên bán, cho thuê và nhận ký gửi nhà đất thổ cư Hà Đông. ",16/06/2022,Tin thường,batdongsan_so_com_vn_1673819593.3956692,
"7,5 tỷ VNĐ","Xã Đàn, Đống Đa, Hà Nội", 50m2,,,,,,"Siêu Phẩm Xã Đàn Lô góc, Mặt tiền 13m,Ngõ Thông, 10m ra Phố,Kinh Doanh Sầm Uất,50m2,7,5 tỷ Mô tả: Chính chủ cần bán gấp nhà lô góc 2 mặt thoáng tại Xã Đàn, Đống Đa, diện tích 50m2. + Nhà lô góc mặt tiền dài 13m. + Khu trung tâm Đống Đa kết nối vào trung tâm chỉ mất 15p + Xung quanh nhiều trường điểm của Thành phố. + 10m ra phố lớn + Dân cư đông đúc kinh doanh ngày đêm. + Sổ đỏ chính chủ giao dịch ngay. + Giá: 7.5 tỷ Liên hệ: Em Nghĩa - 0868181683",16/06/2022,Tin thường,batdongsan_so_com_vn_1673819594.5864804,
"5,7 tỷ VNĐ",mỗ lao, 46m2, 4,, 5, 6, 4,"Bán Nhà, Vạn Phúc, Hà Đông. Ô Tô Kinh Doanh 46m2 x 5 tầng. Mặt Tiền 4.3m Giá 5.7 Tỷ.  NHÀ MỚI Ở LUÔN – NỘI THẤT ĐẦY ĐỦ - GẦN PHỐ  + Nhà cách vài chục mét ra đường Trần Phú ngả đi các hướng Ngã Tư Sở, Hoà Bình. Giao thông rất thuận tiện. + Nhà trong ngõ rộng thoáng gần hồ, Làng Việt Kiều Châu Âu, TT thương mại, Trần Anh, BigC, bến tàu, các Trường đại học Kiến Trúc, Học viện An Ninh, Học viện Viễn thông, Sở giao thông, Sở lao động TBXH, trường Đảng… + Nhà 5 tầng mới hoàn thiện 2022 còn thơm mùi sơn mới, nhà thiết kế hiện đại mang phong cách Châu Âu. Khung móng bê tông chắc chắn, toàn bộ cửa, cầu thang, tay vịn bằng gỗ Lim nguyên khối Nam Phi, tủ bếp gỗ Sồi Nga, sàn gỗ Malaixia nội thất nhập ngoại sang trọng, khách mua chỉ việc sách Valy về ở luôn. - Thiết kế nhà 5 tầng : - Tầng 1: Phòng khách, bếp, wc - Tầng 2, 3, 4: Mỗi tầng 2 phòng ngủ + wc - Tầng 5: Phòng thờ +sân phơi.  - Sổ đỏ chính chủ, sẵn sàng giao dịch.   LH: E KHÁNH: 0984568179  ",16/06/2022,Tin thường,batdongsan_so_com_vn_1673819595.7772944,
"3,5 tỷ VNĐ",Đường Hoàng Hoa Thám, 40m2, 4, 2, 4, 4, 3,"Nhà cực hiếm ngõ 189 Hoàng Hoa Thám, Ba Đình Diện tích 40m2 4 tầng mặt tiền 4.6m giá nhỉnh 3 tỷ. HÀNG HIẾM TRUNG TÂM BA ĐÌNH - LÔ GÓC - 10M Ô TÔ TRÁNH - TIỆN ÍCH BẠT NGÀN. Mô tả: + Nhà4 tầng + Tầng 1 để xe, P khách, bếp. + Tầng 2,3, gồm mỗi tầng 2 phòng ngủ, vệ sinh. + Tầng 4, phòng thờ, sân phơi. + Sổ đỏ vuông vắn, diện tích trên sổ là 38.4m2 thực tế xây 40m2, sẵn sàng giao dịch. + Chi Tiết Xin Liên Hệ Bùi Anh Thái. 1979 - 0987. 862962.",16/06/2022,Tin thường,batdongsan_so_com_vn_1673819597.0379224,
"5,2 tỷ VNĐ",Phố Khương Đình, 46m2, 4,,,,,"+ Chủ đã mua được nhà mới nên bán gấp nhà Phố Khương Đình - Thanh Xuân, 46m2, Mặt Tiền 4.5m, Ô TÔ cách 10m, 5.2 Tỷ. +Trung tâm Quận Thanh Xuân, vài phút ra Ngã Tư Sở, gần TTTM, Royal City, bệnh viện và trường học các cấp.+ Vị trí nhà cách phố 40m, ngõ rộng thông thoáng.+ Thiết kế nhà hiện đại, nội thất cao cấp, chủ tặng lại hết cho khách thiện chí mua. LH: Em Hoan, 0925088355, chuyên thổ cư Hà Nội, miễn phí xem nhà 24/7.",16/06/2022,Tin thường,batdongsan_so_com_vn_1673819598.320491,
"3,8 tỷ VNĐ","Ngô Quyền, phường La Khê", 40m2,,, 3, 3,,"MÔ TẢ:  + Rất cần bán gấp nhà Ngô Quyền,phường La Khê 40m2*3tầng chỉ 3,8tỷ + Ngõ Ngô Quyền ô tô tránh, kinh doanh sầm uất, nhà mình sau 1 nhà mặt ngõ, ô tô đỗ dừng thoải mái. + Nhà chủ tự xây chắc chắn, khung cột lên tầng vô tư nếu muốn. + Thiết kế cầu thang giữa, tổng 3 ngủ, đủ công năng. + Vị trí này chỉ có mua vào, ít nhà bán ra, chủ làm ăn phát đạt,Nhà vượng khí tài,rất lộc. + Sổ đẹp, nở hậu nhẹ. Cam kết không quy hoạch. + giá 3,8tỷ (có thương lượng)+ Gọi ngay Mrs Hương Chuyên bán, cho thuê và nhận ký gửi nhà đất thổ cư Hà Đông. ",16/06/2022,Tin thường,batdongsan_so_com_vn_1673819603.4380705,
