price,address,Diện tích,Mặt tiền,Details,Ngày đăng,Loại tin,id,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Hướng
"6,5 tỷ VNĐ",Phùng Hưng - Hà Đông, 90m2, 4,"Bán nhà kinh doanh Phùng Hưng, Hà Đông 90m, MT 4m ô tô tránh hơn 6 tỷ Bán nhà riêng kinh doanhh đỉnh tại Phùng Hưng, Hà Đông thông số hiếm 90m, mặt tiền rộng 4m đường ô tô tránh vài bước chân ra phố. Bán kính xung quanh nhà nhiều bệnh viện lớn, trường học các cấp, bến xe, dân cư đông đúc phù hợp các loại hình kinh doanh kết hợp ở quá tuyệt vời. Gia chủ thành đạt chuyển về quê sống cần bán nhà trước Tết. Sổ vuông sẵn sàng giao dịch. Giá: 6.5 tỷ ( gia lộc). Liên hệ : Huyền ( 0363703491- 0965472910) – Gặp trực tiếp chính chủ.",08/12/2022,Tin thường,batdongsan_so_com_vn_1673784242.3208725,,,,,
"3,7 tỷ VNĐ","Đường Lê Quang Đạo, Phú Đô, Nam Từ Liêm", 35m2, 4,"NHÀ ĐẸP - FULL  NỘI THẤT - NGÕ BA GÁC - Ở SƯỚNG                 Lê Quang Đạo 35m2 x 5tầng MT 4m giá 3.7 Tỷ + Vị trí: Ngõ trước nhà ba gác tránh xe máy, gần nhiều trường đại học, bến xe Mỹ Đình, Đường đua F1, tiện ích đầy đủ. + Nhà thiết kế siêu đẹp, nội thất đẳng cấp chủ đầu tư uy tín:  Tầng 1: khách, bếp wc    Tầng 2,3,4: 1 p ngủ + wc    Tầng 5: phòng thờ , sân phơi.- Nhà thoáng trước, thoáng sau, các phòng đều có cửa sổ.LH: 0974392934",08/12/2022,Tin thường,batdongsan_so_com_vn_1673784243.3182049, 1,,,,
"9,9 tỷ VNĐ",Nguyễn Sơn, 60m2, 5,"LÔ GÓC 2 MẶT TIỀN RỘNG THÊNH THANG, VỈA HÈ ĐÁ BÓNG, ĐƯỜNG 2 Ô TÔ TRÁNH.Mô tả :+ Nhà lô góc 2 mặt tiền rộng thênh thang, 3 mặt thoáng vĩnh viễn, đường 2 ô tô tránh, kinh doanh đa dạng các loại mặt hàng.+ Nhà xây 3 tầng cũ, tổng 3 phòng ngủ, chủ xác định bán đất nên không có gì mô tả nhiều.+ Sổ đỏ chính chủ , giao dịch ngay.+ Anh/Chị có nhu cầu mua nhà vui lòng liên hệ : TRẦN QUYẾT BĐS LONG BIÊN, điện thoại/ Zalo: 0374148382.",08/12/2022,Tin thường,batdongsan_so_com_vn_1673784244.3933678,, 3, 3, 3,
40 tỷ VNĐ,"279 Đội Cấn, Ba Đình, Hà Nội, Hà Nội", 103m2, 6,"Bán nhà 9 tầng gồm cả hầm, đường 2 ô tô, sát mặt đường Đội Cấn.  Mặt bằng 103m2, mặt tiền 6,8m. Ngõ rộng 2 ô tô tránh nhau. Cách đường Đội Cấn chỉ 50m.  Hiện đang cho thuê rất tốt Từ tầng 1,2,3,4 làm văn phòng cho thuê Tầng 5,6,7,8 có 10 căn hộ cho thuê, giá 8-10tr/ căn/ tháng. Dòng tiền ổn định, khu này rất dễ cho thuê. Sổ đỏ chính chủ, giao dịch nhanh chóng, giao nhà ngay Mức giá: 40 tỷ có thương lượng ",08/12/2022,Tin thường,batdongsan_so_com_vn_1673784245.462529,, 9, 10,,
"5,4 tỷ VNĐ","Đường Nguyễn Sơn, Bồ Đề, Long Biên", 43m2, 5,"* Nhà mới ở ngay đón Tết, nội thất sang trọng.  * Lô góc 2 mặt thoáng, khu dân cư Vip Hàng Không.  * 3 bề 4 bên hàng xóm công chức Hàng Không, ngân hàng, báo chí.  * 10m ô tô đỗ, ngõ nhà thông 2 mặt phố Hoàng Minh Đạo + Nguyễn Văn Cừ.  * Gần các tòa chung cư cao cấp, các bệnh viện, trường học các cấp.  * 5 bước ra cửa chợ họp vòng quanh, hàng ăn quán sá bao la.  * 5 phút di chuyển các trung tâm TM Aeon - Big C Long Biên.  * Quy hoạch ổn định, đường sá giao thông thuận tiện.  * Tiện ích vô đối ko đối thủ.  * Sổ đỏ chính chủ, cất két giao dịch 24/7",08/12/2022,Tin thường,batdongsan_so_com_vn_1673784246.5931785, 5, 5, 4,,
"4,8 tỷ VNĐ","Đường Trường Chinh, Khương Mai, Thanh Xuân", 35m2, 4,"Nha đẹp như mới cách phố Trường Chinh chỉ 80m, khu quân đội ngõ sáng thoáng, văn minh dân trí cao thân thiện với thông số : Diện tích 35m2, 5 tầng, mặt tiền 4m, giá bán 4.85 tỷ (có thương lượng).  Vị trí: Ngõ cực rộng, gần phố, khu vực dân trí cao, hàng xóm thân thiện, cho thuê cực dễ, hàng xóm ARTERMIS, tiện ích ngập tràn. Giá trị tương lai sáng láng. + Thiết kế hiện đại, sang trọng, full nội thất tiền tỷ. Ở cực sướng hoặc cho thuê gia trị cao. Chủ tặng lại nội thất xịn xò cực đẹp còn nguyên bảo hành.Tầng 1: Phòng khách, bếp, wc. Tầng 2, 3, 4: 3 phòng ngủ, wc khép kínTầng 5: 1 phòng thờ, sân phơi, ban công chill hoặc thiết kế thêm được 1 phòng ngủ + vệ sinh. + Sổ đỏ vuông đẹp, không lỗi, không tranh chấp, giao dịch ngay.Liên hệ xem nhà gọi ngay Em Phụng tổ địa 0968593755Chúc quý vị ngày mới 8386 vạn sự may mắn.",08/12/2022,Tin thường,batdongsan_so_com_vn_1673784249.4079711, 3, 5, 3, 4,
2 tỷ VNĐ,"Đường Cầu Cốc, Tây Mỗ, Nam Từ Liêm", 32m2, 4,"+ Chính chủ cần bán nhà Phố Cầu Cốc Quận Nam Từ Liêm diện tích 32m2 x 5 tầng giá nhỉnh 2 tỷ. + Vị trí tuyệt đẹp, cách ô tô tránh, hồ điều hoà khoảng 30m. +CẠNH VINSMART CITY đại lộ Thăng Long nghìn tỷ, giao thông thuận tiện vô cùng. + Khu vực phát triển kinh điển, giao thông thuận tiện, dân trí cao, ăn ninh tốt.  + gần trường học, và các tiện ích. + Nhà đẹp, thiết kế hiện đại: - T1: Khách, bếp - T2, T3, T4: 3 ngủ + Wc - T5: Phòng thờ, sân phơi. + Sổ đỏ chính chủ, sẵn sàng giao dịch. + LH,Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất,thổ địa hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7 ",08/12/2022,Tin thường,batdongsan_so_com_vn_1673784250.4854248, 3, 5,,,
"44,5 tỷ VNĐ","Đường Võ Chí Công, Phú Thượng, Tây Hồ", 150m2, 7,"Mở bán giai đoạn 1 biệt thự Giai đoạn 3 trong Khu đô thị rộng 401ha thuộc quận Tây Hồ. Đây là giai đoạn có vị trí đẹp nhất, gần hồ Tây và sông Hồng nhất.  Giá bán 44.5 tỷ Thanh toán sớm chiết khấu 7% Nhận nhà ngay chiết khấu 3% Nhận nhà luôn. Tất cả các căn trong dự án đều đã có sổ hồng từng lô Biệt thự xây 3 tầng, 1 tum, có hầm rộng Đi vài bước chân ra đến Lotte và công viên 20ha  Chuyên viên tư vấn Vân Trang: 0907023278",08/12/2022,Tin thường,batdongsan_so_com_vn_1673784251.5854838, 1,,,, Nam
"2,7 tỷ VNĐ","Đường Hồ Tùng Mậu, Mai Dịch, Cầu Giấy", 32m2, 4,"+ Chính chủ cần bán nhà trước tết để thu hồi vốn giảm chào 300 triệu còn 2,7 tỷ, nhà Phố Hồ Tùng Mậu, Quận Nam Từ Liêm, diện tích 32m2 x 4 tầng giá 2,75 tỷ. + Nhà Hồ Tùng Mậu ngay sát Cầu Diễn, 300m ra khu độ thị Vinhome Gardenia, cách Đại học Thương Mại 500m. + Nhà nằm trong khu dân cư yên tĩnh, ô tô đỗ cổng. Chủ tự xây tâm huyết, rất chắc chắn. - T1: Khách, bếp, vs. - T2,3: Mỗi tầng 1 PN rộng, vệ sinh ngoài. - T4: Phòng thờ, sân phơi. + Sổ đỏ đầy đủ, pháp lý minh bạc, sẵn sàng dao dịch. + LH,Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất thổ địa hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7",08/12/2022,Tin thường,batdongsan_so_com_vn_1673784252.6606069, 3, 5,,,
"9,8 tỷ VNĐ","Đường Nguyễn Sơn, Bồ Đề, Long Biên", 66m2, 6,"Chủ cần tiền bán gấp nhà mặt ngõ phố Nguyễn Sơn, quận Long Biên, ngõ phân lô, ô tô tránh, kinh doanh đa dạng các loại hình dịch vụ, dân trí cao, ở sướng. + Diện tích 66m, mặt tiền 6m, giá chào nhỉnh 9 tỷ. + Nhà vị trí lô góc hai mặt ngõ ô tô tránh, ngõ thông tứ tung, khách mua xây tòa nhà 7,8 tầng thang máy, kinh doanh, cho thuê kinh doanh, xây văn phòng hay ở đều tuyệt vời. + Sổ đỏ chính chủ, siêu đẹp, không lỗi phong thủy, chủ thiện chí bán. Liên hệ Mrs Thúy 0904665468 để xem miễn phí.",08/12/2022,Tin thường,batdongsan_so_com_vn_1673784253.6615045, 5, 3, 2, 2,
"2,9 tỷ VNĐ","Đường Nguyễn Cơ Thạch, Mỹ Đình 1, Nam Từ Liêm", 122m2, 10,"ẢNH THẬT - THÔNG TIN THẬT - GIÁ QUÁ TỐT CHƯA ĐẾN 24 TR/M - CHUNG CƯ MỸ ĐÌNH NAM TỪ LIÊM - TẶNG NỘI THẤTLiên hệ MR Vương 0936 35 45 64 Sắp Tết rồi! Ai cần tìm căn hộ ổn định trước Tết, đọc được tin này CHỐT NHANH CÒN KỊP! Mình đảm bảo thời gian sang tên sổ mới đỏ hồng trên tay đón Tết. Tìm đâu căn nhà 122m2 rộng rãi 3 phòng ngủ - CHƯA ĐẾN 24 TR/M - ở Mỹ Đình, Nam Từ Liêm. Nhà đã sửa lại rất đẹp cẩn thận tỉ mỉ từng chi tiết, gia chủ ở sạch sẽ giữ gìn. Chủ nhà để lại toàn bộ nội thất như ảnh. Phòng khách rộng rãi bày biện, nhà đón nắng gió phòng nào cũng tràn ngập ánh sáng. Tòa nhà 17 tầng nhà mình tầng giữa. 1 sàn 8 căn hộ, 3 thang máy thoải mái đi lại không bao giờ phải chờ thang. Dưới chân tòa nhà đầy đủ tiện ích: 3 trường mầm non cách 200m, khu vui chơi cho trẻ nhỏ, chợ, siêu thị, tạp hóa, cafe, nhà hàng ăn uống, spa cho chị em... không thiếu gì. Bãi đỗ xe rộng cách vài bước chân. Xung quanh tiện ích vui chơi giải trí, TTTM, mua sắm nhộn nhịp sầm uất. Hàng xóm Vinhome Gardenia, Iris Garden, MD Complex, liền kề biệt thự... Trong bán kính 2km gần các vị trí: Sân vận động Mỹ Đình, khu liên hợp thể thao Quốc Gia Mỹ Đình, trường Tiểu học Kim Đồng, các trường liên cấp Đoàn Thị Điểm, Lomonoxop, trường Quốc Tế Việt Úc, trường Tiểu Học Lê Quý Đôn, Tiểu Học Vinschool Gardenia, ĐH Việt Nhật, ĐH Hòa Bình... Gần bệnh viện Đa Khoa Hồng Ngọc... Gần ga đường sắt trên cao thuận tiện giao thông. Đi từ ngõ 44 Nguyễn Cơ Thạch hoặc ngõ 43 Lưu Hữu Phước (43.21.22 Lưu Hữu Phước) vào đều được. Đi Lưu Hữu Phước vào qua trường tiểu học Lê Quý Đôn, qua trường Đại học, trường mầm non. Thiện chí 2 tỷ 9 thương lượng, sổ đỏ cất két, giao dịch nhanh. Liên hệ MR Vương 0936 35 45 64 Gọi trực tiếp/ZALO nếu tin nhắn mình chưa trả lời kịp. Xin cám ơn!",08/12/2022,Tin thường,batdongsan_so_com_vn_1673784254.7645535, 1,,,,
"4,6 tỷ VNĐ","Đường Hàm Nghi, Mỹ Đình 2, Nam Từ Liêm", 38m2,,"BÁN NHÀ MỸ ĐÌNH HÀM NGHI ĐẸP LUNG LINH 1 NHÀ RA MẶT PHỐ, GARA GẦN KỀ 38M2X5T 4,6 TỶ- Ngõ siêu nông, ba gác đỗ cửa; cách 1 nhà ra mặt phố ô tô tránh; gara ô tô cách 20m; chợ, siêu thị ngay trước mặt- Kết nối Hàm Nghi, Nguyễn Cơ Thạch, Mỹ Đình; hưởng trọn tiện ích Vinhome Gardenia, Goldmark City...- Thiết kế hiện đại, nội thất trẻ trung, 5T 3 PN master siêu đẹp.- Sổ đỏ chính chủ sẵn sàng trao tay.- Liên hệ 0963479269 gặp chủ xem nhà 24/7, miễn trung gian môi giới.",08/12/2022,Tin thường,batdongsan_so_com_vn_1673784255.6561682, 3, 5, 3, 4,
