price,address,Diện tích,Mặt tiền,Details,Ngày đăng,Loại tin,id,Lộ giới,Số tầng,Số phòng ngủ,Số toilet
8 tỷ VNĐ,hoài đức, 150m2, 12,"BÁN NHÀ HOÀI ĐỨC 150m MẶT 12M NHỈNH 8 TỶ Gia đình Cần tiền đầu tư bán nhà 150m 2 mặt đường 12m Rất gần trung tâm, đang phát triển nhanh như giá xăng Gần các Trường Đại Học Công Nghiệp Hà Nội, Đại Học Thành Đô. Trường Trung học, Gần Chợ, Bệnh Viện Huyện.. Đường Quốc Lộ 32, Đại Lộ Thăng Long, Đường Xuân Phương.. Có nhu cầu thực sự, thiện trí xem nhà gọi cho tôi Anh Đức  0898839292",11/06/2022,Tin thường,batdongsan_so_com_vn_1673820584.9980338,,,,
3 tỷ VNĐ,Đường Xa La phường Phúc La, 34m2, 3,"- Vị trí cực đẹp, cách 200m là bãi gửi ô tô, trước nhà ba gác tránh thoải mái, tương lai mở cửa sau của HV Quân Y thì kinh doanh buôn bán thoải mái - Mô tả: Nhà duy nhất xây 5 tầng bê tông trong cả khu, thiết kế cực đẹp, chủ để lại toàn bộ nội thất - Tầng 1: Phòng khách + bếp + wc. - Tầng 2,3,4: Mỗi tầng 01 PN + WC - Tầng 5: Phòng thờ + sân phơi. + Vị trí ngay cổng làng Xala rẽ phải, trước nhà Ba gác tránh, 50m ô tô vù vù, sau nhà là Học viện Quân y, an ninh tuyệt đối. + Chủ nhà công chức nhà nước rất hợp tác, ở có lộc, mới mua nhà to hơn nên cần thanh khoản. Anh chị em tự tin dẫn khách. + Sổ đỏ chính chủ sẵn sàng giao dịch. Liên hệ 0936206176
Xala - Hà Đông
",10/06/2022,Tin thường,batdongsan_so_com_vn_1673820586.4002779, 5, 5, 3, 3
4 tỷ VNĐ,"Đình Thôn, Mỹ Đình", 104m2,,"+ Chủ cũ đã thiết kế căn hộ hoàn toàn, nội thất cao cấp nhập khẩu, trang thiết bị nhà đã sắm đầy đủ chỉ cần chủ mới dọn đến và ở luôn. + Căn hộ thiết kế 3PN 2VS phòng nào cũng có ánh sáng. + Ban công tầng đẹp thoáng mát, view đẹp. + Sổ đỏ đẹp sẵn sàng mua bán sang tên. + Giá chỉ hơn 4 tỷ (có thương lượng). + Liên hệ ngay: 0354526316 Em Thế Anh (Hỗ trợ hoàn toàn MIỄN PHÍ từ xem nhà, tư vấn pháp lý, kiểm tra Quy hoạch, vay vốn ngân hàng, sang tên sổ đỏ…)",10/06/2022,Tin thường,batdongsan_so_com_vn_1673820587.5212748,,, 3, 2
"8,5 triệu VNĐ",Đường Khuất Duy Tiến phường Nhân Chính, 105m2, 7,"
    
Bán Tòa nhà văn phòng 102m2 MT 7,5m 9tầng 52,5tỷ mặt phố Thanh Xuân(2)

Công ty CP ĐTXD SODOLAND xin giới thiệu sản phẩm: 
MẶT PHỐ VIP LƯỢNG GIAO THÔNG CỰC KỲ ĐÔNG ĐÚC QUA HẰNG NGÀY- TÒA NHÀ VĂN PHÒNG NỔI NHẤT KHUẤT DUY TIẾN - XÂY MỚI 8 TẦNG + 1 TẦNG HẦM - VỈA HÈ RỘNG, GIÁ VÔ CÙNG HỢP LÝ .

+ Trong khi chờ bán tìm khách cho thuê cả tòa nhà: 160triệu/tháng.
+ Nội thất đẹp, hệ thống đèn led, điều hoà ầm trần
+ Thang máy 450kg đi êm du, mặt tiền full cửa kính cường lực, chống nắng, chống ồn
+ Hệ thống phòng cháy chữa cháy hiện đại...
+ Vị Trí: Gần ngay ngã tư lê văn lương, khuất duy tiến... 
Vị trí đắc địa, giao thông tấp nập, kinh doanh sầm uất. Phía sau thoáng vĩnh viễn, view sân trường phòng cháy chữa cháy, rất thoáng, đẹp.
Thiết kế :
Tầng hầm : ĐỂ XE
Tầng 1-8 : Thông sàn. vệ sinh + thang máy
Tầng 9 : Tum có thể làm quầy Bar view cực đẹp
- Sổ đỏ chính chủ vuông vắn nở hậu sẵn sàng sang tên.
Chú ý:
- Quý khách có thể ham khảo thêm trên fanpage: Bất Động Sản Hà Nội.
1. LH: A. Hoàng Anh (xem nhà miễn phí)
2. Giá niêm yết có thương lượng cho khách hàng thiện chí.
3. Chào các Bạn Môi Giới! Mời Bạn tham quan trao đổi, hợp tác công việc tại Cty CP ĐTXD Bất Động Sản SODOLAND (14 Đặng Thùy Trâm Cầu Giấy Hà Nội hotline 0934266313) nhé:1. Địa điểm làm việc hiện đại 5💫 cao cấp đầy đủ tiện nghi...2. Hỗ trợ giúp đăng tin tối thiểu ngày 400-800 tin quảng cáo nhà/ngày...3. Đào tạo, hỗ trợ 1 kèm 1 ở tất cả các vấn đề về việc làm Bất Động Sản.4. Cơ chế phát triển lên Trưởng Phòng, Đầu chủ, Giám Đốc kinh doanh, Chủ Đầu tư siêu thoáng.5. Lương +% HH + thưởng cao nhất Hà Nội.4. Nguồn hàng phong phú và đặc biệt là sản phẩm đầu tư xây dựng trực tiếp của Cty CP ĐTXD SODOLAND....Ngoài ra Cty CPĐTXD SODOLAND Mời các văn phòng BĐS nhỏ lẻ sáp nhập về Công Ty.   Tuyển dụng, bổ nhiệm trực tiếp Trưởng Phòng, Đầu Chủ đã có kinh nghiệm; có kinh tế có thể tham gia các hệ sinh thái đầu tư kinh doanh của Công ty (mua đất xây nhà bán, sửa chữa, xây dựng chìa khóa trao tay, chạy giấy tờ đất kẹt sổ đỏ, kinh doanh tân dược)...Liên hệ:  Đt - zalo CVTD. Hoàng Anh 0934266313 - 0393265766Gmail: anh201085@gmail.com
",10/06/2022,Tin thường,batdongsan_so_com_vn_1673820588.7759178, 30, 9, 9, 9
"2,5 tỷ VNĐ",Đường Hoa Lâm phường Việt Hưng, 39m2, 3,"
    Bán mảnh đất cực hiếm, vi trí đẹp tại Việt Hưng , Long Biên- HN.DT: 39.2m. nở hậu.Rộng: 3.5m. Dài: 11m.Đường thông thoángMảnh đất rất đẹp vị trí trung tâm VIỆT HƯNG, Gần phố HOA LÂMGIÁ hợp lý vừa khuân tiền, có thể thương lượng mạnh. Khuôn mảnh đất ĐẸP thiết kế nhà 2 PHÒNG 1 TẦNG thoáng đẹp. Cách BigC 500m, cách đường NGÔ GIA TỰ 700M, cách cầu Chương Dương 2km Tiện ích xung quanh đầy đủ. Ra đường 5, Đường Ngô Gia Tự đều tiện.Giá chào bán: 2.5 tỷ. Có thương lượngLiên hệ : 0373968926
",10/06/2022,Tin thường,batdongsan_so_com_vn_1673820589.8550313,,,,
"10,8 tỷ VNĐ",Đường Thái Thịnh phường Trung Liệt, 65m2, 5,"
    Chủ đang cần tài chính nên cần bán nhà Thái Thinh Đống Đa - Nhà 4 tầng, chủ tự xây, đầu đủ công năng - Vị trí đẹp cách 50m ra phố, ngõ ô tô tránh, quá rẻ so với khu vực.-Vị trí nằm trong khu vực kinh doanh sầm uất khu Thái Thịnh. Mặt ngõ ôtô có thể kinh doanh, ngõ thông thoáng rất gần phố, tiện đi lại gần ngã 4 Thái Thịnh giao cắt với Hoàng Cầu Yên Lãng.- Sổ đỏ chính chủ, pháp lý sạch.- Giá 10.8 tỷ thương lượng trực tiếp chủ.Liên hệ ngay Mr Việt 0928958274 chuyên thổ cư Hà Nội để được đi xem nhà và được tư vấn miễn phí.",10/06/2022,Tin thường,batdongsan_so_com_vn_1673820591.1445825, 5, 4, 3, 3
"16,8 tỷ VNĐ",Đường Trần Quốc Hoàn phường Nghĩa Tân, 75m2, 5,"
    
+ Nhà vị trí đẹp hiếm ngõ rộng 10m kinh doanh văn phòng, 3 bước ra mặt phố Nguyễn Phong Sắc khi đi ngõ 89.
+ Sau nhà sân 2,5m trồng cây thoáng sáng, có thể sửa lắp thang máy.

+ Nhà thuộc khu phân khu vực hiếm nhà bán, nhà chủ tự xây, đẹp cạn lời.
+ An sinh khu vực miễn bàn, khu dân cư văn hoá.

+ Thiết kế tầng một ga ra ô tô, vệ sinh, ( hoặc làm văn phòng công ty).
+ Tầng 2, phòng khách rộng, một phòng ngủ khép kín.
+ Tầng 3, 4 mỗi tầng hai phòng ngủ khép kín.
+ Tầng 5 phòng thờ sân phơi.
Giá 16.9 tỷ- Thương lượng tốt 
+ Sổ đỏ vuông đẹp nở hậu cất két sẵn sàng giao dịch.
Liên hệ, Kim Cương 0939.28.6833 ( Làm việc trực tiếp với chủ nhà)
",10/06/2022,Tin thường,batdongsan_so_com_vn_1673820592.5521984, 6, 6, 5, 6
12 tỷ VNĐ,"Phùng Hưng, Hà Đông, Hà Nội.", 60m2, 5," # Bán nhà CCMN đường Phùng Hưng, Hà Đông. 7T thang máy, 12 phòng rộng khép kín, Full nội thất, đường 3 ô tô tránh. 60m, 7T, MT 5m, giá chỉ có 12 tỷ. + Vị Trí: thoáng đẹp, thuận tiên, khu phân lô, ô bàn cờ, xe chạy vòng quanh. + Gần ngay Viện 103, gần sát đường Phùng Hưng, cạnh KĐT Văn Quán. + Nhà 7T thang máy, khung cột chắc, 12 phòng khép kín, rất phù hợp làm Văn Phòng, Phòng Khám hay cho thuê đều đỉnh. + Giá 12 tỷ ( Thương Lượng ) rất cần bán nhanh. + Sổ đỏ chính chủ, sẵn sàng giao dịch. # HotLine: 0983858722 Tình nhà phố ( chuyên mua, bán, nhận ký gửi, có uy tín trong giới nhà đất quận Hà Đông – Hà Nội ).",10/06/2022,Tin thường,batdongsan_so_com_vn_1673820593.9699392, 8, 7,,
50 triệu VNĐ,Đường Uy Nỗ phường Uy Nỗ, 90m2, 5,"Chính chủ gửi bán lô đất 90m cực đẹp tại trục chính - Kính Nỗ -  Uy Nỗ- Đông Anh - Hà Nội .       Lô đất cực đẹp kinh doanh bất chấp  +  Cách viện bắc thăng long + chợ cửa hàng mới 900m +  Mặt tiền và hậu 5m +  Cách trục uy nỗ 200 +  Cách trục đản dị 400m +  Cách trung tâm huyện 1,4km + Tiện ích xung quanh ngập tràn Giá đầu tư F0 . Liên hệ Mrs Diễm 0377236666 bao giá rẻ nhất thị trường",10/06/2022,Tin thường,batdongsan_so_com_vn_1673820595.0919042,,,,
5 tỷ VNĐ,Tô Vĩnh Diện, 54m2, 5,"+Trung tâm Quận Thanh Xuân, 3 phút ra Ngã Tư Sở, gần trường học các cấp, TTTM và chợ.+Vị trí nhà cách đường lớn 80m, bãi xe ô tô cách 40m, khu dân trí cao, an ninh tốt.+Nhà chủ xây để ở, nội thất cao cấp, chủ tặng toàn bộ nội thất cho khách.+Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sằng dao dịch. LH: Em Hoan, 0925088355, chuyên thổ cư Hà Nội, nhiệt tình, vui vẻ dẫn khách, miễn phí xem nhà 24/7",10/06/2022,Tin thường,batdongsan_so_com_vn_1673820596.1710162,, 5, 6,
