price,address,Diện tích,Lộ giới,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số toilet
"7,2 tỷ VNĐ","Lê Trọng Tấn, Hà Đông, Hà Nội.", 67m2, 8, 3, 4," # Chủ cần bán nhà đường Lê Trọng Tấn, La Khê, Hà Đông, Hà Nội. 10m ra phố, đường trước nhà xe tải tránh, phù hợp ở, làm Văn Phòng... Cực Hiếm duy nhất 1 căn. DT 67/75m, MT rộng giá bán trong tháng chỉ 7 tỷ. + Vị Trí: Quá Đẹp, Thuận Tiện, tọa lạc tại đường Lê Trọng Tấn phường La Khê quận Hà Đông. + Gần KĐT Park CiTy, KĐT Văn Khê, KĐT Văn Phú,  TTTM, Ngân hàng, khu vui chơi...trung tâm phố tiện ích. + Giao thông: 3 bước chân ra mặt đường chính Lê Trọng Tấn di chuyển Ngô Đình Mẫn, Bia Bà, Tố Hữu, Lê Văn Lương, Quang Trung, Trần Phú, Nguyễn Trãi quận Thanh Xuân vô cùng thuận lợi. + Nhà trong sổ 67m nhưng thực tế từ T1 là 75m. Chủ mới mua về đầu tư xây lại tòa 6-7 tầng vừa ở vùa kinh doanh hay tòa Văn phòng hoặc tòa CCMN thì hái ra tiền. + Hiện chủ sốt ruột rất cần bán nhanh, bán gấp giá chỉ 7 tỷ. + Sổ vuông đỏ đẹp chính chủ, sang tên nhanh. # HotLine: 0906113879 Tình nhà phố ( chuyên mua, bán, nhận ký gửi có uy tín trong giới nhà đất quận Hà Đông – Hà Nội ).",08/06/2022,Tin thường,batdongsan_so_com_vn_1673821002.581869,,
25 tỷ VNĐ,Đường Cầu Bươu phường Tân Triều, 224m2, 1, 1, 1,"
    - Hiện trạng là nhà cấp 4, đang sử dụng 258m đã có chỉ giới quy hoạch rồi còn lại là: 224.1m2. Chủ xác định bán đất.- Gần bệnh viện K Tân Triều. Mặt Phố, Lô góc, Kinh doanh mọi loại hình. Tương lai giá sẽ tăng mạnh...- Sổ đỏ chính chủ. Sẵn sàng giao dịch- Diện tích 224m2 - Giá 25 tỷ- Liên hệ Em Trường 0971.999.203 (Vui lòng gọi trực tiếp. Miễn trung gian)
",08/06/2022,Tin thường,batdongsan_so_com_vn_1673821003.7676961, 6, 1
23 tỷ VNĐ,"TRÂN VỸ, MAI DỊCH, CẦU GIẤY, HÀ NỘI", 80m2,, 8, 5,"Bán Toà nhà VP Mai Dịch - Cầu Giấy, Lô góc, dòng tiền ổn định, 80m2, 8 tầng, MT 5,2m.Giá: nhỉnh 20 tỷ.+ Thiết kế thông sàn, chuẩn công năng văn phòng, cầu thang cuối. Có 1 tầng bán hầm, tầng 8 là khu thờ, bếp và sân sinh hoạt chung. + Toà nhà đang vận hành của một công ty làm về dược. Đang cho thuê 35tr/tháng.+ Lô góc, thoáng sáng tự nhiên. Trước nhà ô tô đỗ dừng thoải mái ngày đêm. Liên hệ: Quyên - 0984863623 (miễn môi giới, trung gian). Hỗ trợ vay vốn ngân hàng, thủ tục đơn giản, giải ngân nhanh.",08/06/2022,Tin thường,batdongsan_so_com_vn_1673821004.9295883,,
"6,2 tỷ VNĐ",Đường Láng phường Láng Thượng, 70m2, 3, 5, 9,"Bán toà CCMN 1194 Láng 70m- nhỉnh 6 tỷ- Lô Góc 2 thoáng SIÊU PHẨM CHUNG CƯ MINI - LÔ GÓC 2 MẶT THOÁNG HOÀNH TRÁNG - 2 MẶT NGÕ - XUNG QUANH LÀ CÁC TRƯỜNG ĐH LỚN ✨✨✨- Nhà lô góc nên dôi diện tích cực rộng thoáng  👍 5 tầng 9 phòng , tầng 1 có thể kinh doanh đông đúc.- Thích hợp cho gia đình vừa ở vừa kinh doanh hoặc cho thuê cửa hàng và căn hộ dòng tiền.- DOANH THU CHO THUÊ 60 tr/ tháng  💐 nhà để ở thì ai cũng phải khen nức lòng vì trắng đẹp lô góc thoáng mát quanh năm 😍- Ngõ thông tứ phía , ngay sát khu khuôn viên vui chơi , khu sv ngoại thương ngoại giao dân trí cao vùng lõi thành phố 👍Lh 0366699510",08/06/2022,Tin thường,batdongsan_so_com_vn_1673821006.1114278, 4, 9
15 tỷ VNĐ,Hà Nội, 76m2,,,,"Diện tích 76 m2, mặt tiền 6.5 m, 7 tầng thang máy.Đường rộng, 3 ô tô tránh nhau, kinh doanh tốt.Khu phân lô sát phố, dân trí cao, hàng xóm văn minh.Giá chào chỉ 15 tỷ thuơng lượng nhiều.Chi tiết liên hệ 24/24 - 0366 555 258.",08/06/2022,Tin thường,batdongsan_so_com_vn_1673821007.1127498,,
"6,6 tỷ VNĐ","Ngô Thì Nhậm, Hà Đông, Hà Nội.", 51m2, 3, 4, 4," # Chủ rất tiếc nhưng cần Bán gấp Nhà phố Ngô Thì Nhậm, Hà Đông, Hà Nội. Ô tô vào nhà, Khu dân trí, Nhà Đẹp thiết kế theo phong cách Châu Âu, tặng toàn bộ nội thất VIP, về ở ngay, an sinh tuyệt đỉnh. DT 51m, 4T, MT 6.4m giá cần bán trong tháng 6.6 tỷ. + Vị Trí: không thể đẹp hơn khu víp đường Ngô Thì Nhậm phường Hà Cầu quận Hà Đông. + Gần Nhà thi đấu quận Hà Đông, Chung cư CT1, CT2 Ngô Thì Nhậm, Công An quận Hà Đông, Chợ Bông Đỏ, Bệnh viện Đa khoa Hà Đông, Melinh Plaza Hà Đông.. trung tâm phố thật tiện ích. + Giao thông: di chuyển Ngô Thì Nhậm, Nguyễn Viết Xuân, Ngô Quyền, Vạn Phúc,Tố Hữu, Quang Trung, Trần Phú, Nguyễn Trãi quận Thanh Xuân vô cùng thuận lợi. + Nhà 4T thiết kế vô cùng đẹp, phong cách Châu Âu, Hiện Đại lắp đặt đầy đủ trang thiết bị, nội thất cực Vip. Chủ tặng lại toàn bộ cho khách mua thiện trí. + Giá chỉ 6.6 tỷ. ( Rất cần bán nhanh bán gấp trong 2 tuần này  ) + Sổ vuông đỏ đẹp chính chủ, pháp lý chuẩn, sang tên nhanh. # HotLine: 0906113879 Tình nhà phố ( chuyên mua bán, nhận ký gửi có uy tín trong giới Nhà Đất quận Hà Đông – Hà Nội ).",08/06/2022,Tin thường,batdongsan_so_com_vn_1673821008.2965813, 6,
"5,5 tỷ VNĐ",Đường Nguyễn Đức Cảnh phường Tương Mai, 54m2, 2, 5, 7,"- nhà xây 5 tầng , khung cột chắc chắn , 07 phòng ngủ, phù hợp với gd có đông thành viên
Nhà khu vực đẹp nhất , thông tứ phía , ra ngõ Gốc Đề rất gần, ra Phố Trương Định , ra Phố Nguyễn Đức Cảnh , ....
Rất gần các trường cấp 1,2,3 , đi đến ĐH Bách Khoa , Xây Dựng , Kinh Tế ...chỉ khoảng 10p.
 
Chợ búa , siêu thị , khu vui chơi , hồ điều hòa ....sát cạnh .

Nhà xây 5T , tổng 07P , 05VS , P khách rộng .
Nhà phù hợp với nhu cầu ở nhiều thế hệ hoặc vừa ở vừa cho thuê , hàng tháng thu nhập đều 15 triệu.
- sổ đỏ chính chủ sẵn sàng giao dịch.
liên hệ : 092 234 4567
 
",08/06/2022,Tin thường,batdongsan_so_com_vn_1673821009.2699769, 4, 5
13 tỷ VNĐ,"Kim Giang, Đại Kim, Hoàng Mai", 70m2,,,,"BÁN GẤP NHÀ MẶT PHỐ KIM GIANG – HOÀNG MAI – 13 TỶ +Cần tiền gấp nên bán nhà mặt phố Kim Giang, 2 mặt tiền, vỉa hè rộng, đầu tư, kinh doanh vô đối, ô tô dàn hàng đua + Nhà 2 tầng, xác định bán đất. + Sổ đỏ đẹp, sẵn sàng giao dịch. + Giá 13 tỷ có thương lượng + Liên hệ: 0362368485",08/06/2022,Tin thường,batdongsan_so_com_vn_1673821010.3037307,,
12 tỷ VNĐ,Hà Nội, 70m2,,,,"Diện tích 70 m2, xây 5 tầng phù hợp thang máy, mặt tiền 5.9 m.Vỉa hè rất to, đường rất rộng, 3 ô tô tránh nhau thoải mái.Khu phân lô dân trí cao, hàng xóm toàn quan chức, cán bộ, hoà đồng, thân thiện.Đường thông, ngõ thoáng, bãi gửi xe, chợ, trường… ở gần cực tiện.Giá chào chỉ 12 tỷ thương lượng mạnh tay.Chi tiết liên hệ 24/7 Nguyễn Thanh - 0366 555 258.",08/06/2022,Tin thường,batdongsan_so_com_vn_1673821011.253189,,
15 tỷ VNĐ,Đường Nguyễn Phúc Lai phường Ô Chợ Dừa, 45m2, 1, 6, 5,"+Diện tích 45m2 x 6 tầng, mặt tiền 4m. +Sổ đỏ chính chủ, pháp lý chuẩn. +Giá 15 tỷ ( Có thương lượng ). +Liên hệ Trang: 0968588737. -Khu vực dân trí cao, an ninh tốt, phân lô, trước nhà ngõ ô tô 7 chỗ, ngõ thông tứ tung. -Hoàn thiện full nội thất cao cấp, khách mua chỉ việc xách vali về ở ngay. -Nhà mới tự xây, thiết kế hiện đại và sang trọng, tối ưu công năng sử dụng. -Vị trí đắc địa, thiết kế 6 tầng thông sàn đẹp lung linh thang máy cuối, kết hợp kinh doanh văn phòng cực kì tốt. -Xung quanh nhà là trường học các cấp, TTTM, siêu thị, công viên, các văn phòng đại diện, ngân hàng cạnh nhà, trung tâm chăm sóc sức khỏe dành cho gia mọi gia đình,… -Khu vực trung tâm Đống Đa giao thông thuận tiện thông thương: Hoàng Cầu, Yên Lãng, Võ Văn, Dũng, Thái Hà,…giao thông thuận tiện. -Khu vực quy hoạch ổn định, cơ sở hạ tầng đầy đủ và đồng bộ, tiện ích ngập tràn. Liên hệ Trang để được tư vấn và xem nhà miễn phí: 0968588737.",08/06/2022,Tin thường,batdongsan_so_com_vn_1673821012.5427766,, 1
