price,address,Diện tích,Mặt tiền,Số tầng,Details,Ngày đăng,Loại tin,id,Số phòng ngủ,Số toilet,Lộ giới
2 tỷ VNĐ,"Lai Xá, Kim Chung, Hoài Đức", 45m2, 5, 4,"Nhà 4 tầng tại Lai Xá, Kim Chung, Hoài Đức giá VIP chỉ 2 tỷ. + Diện tích: 45m2, mặt tiền 5m, giá: 2 tỷ. + Nhà đẹp, thiết kế đầy đủ tiện nghi, ô tô đỗ ngay cửa, đường ngõ thông thoáng + Đáp ứng đủ nhu cầu sống, tiện ích không thiếu thứ gì. + Sổ đẹp, pháp lí rõ ràng, sẵn sàng giao dịch. Quý khách có nhu cầu mua nhà đất liên hệ Bích Phượng (chuyên nhà đất thổ cư) tại huyện Hoài Đức để được tư vấn và xem nhà đất hoàn toàn miễn phí. Vui lòng liên hệ: Mrs. Bích Phượng: 0915568218 / 0834081167",07/12/2022,Tin thường,batdongsan_so_com_vn_1673784417.2456372,,,
"6,15 tỷ VNĐ","Thanh Xuân, Hà Nội", 46m2,,,"+ Diện tích: 46 m.+ Mặt tiền: 4 m.+ Sổ đỏ phân lô, chính chủ.+ Giá bán: 6,15 tỷ.  - Vị trí: + Nhà phân lô, trước nhà ngõ ô tô dừng đỗ vài chục chiếc.+ Gần phố Trường Chinh, gần nút giao thông Ngã Tư Vọng.+ Bán kính 1 km Đại học Kinh tế Quốc dân, Đại học y, Đại học Bách khoa, Bệnh viện Bạch Mai, Bệnh viện Việt Pháp... - Khu vực:  + Trục vành đai 2, Quốc lộ 1 cũ giao thông thuận tiện nhiều hướng.+ Cơ sở hạ tầng đang quy hoạch phát triển mạnh.+ Tiềm năng giá trị nhà đất tăng cao. - Thiết kế:+ Nhà hai thoáng Phong Thủy tốt.+ Phong cách hiện đại tối ưu hóa công năng sử dụng có ô chờ thang máy.+ Tổng 6 ngủ, bếp, phòng khách,  khu tiểu cảnh. - Nhà phù hợp nhiều đối tượng khách hàng:+ Mua để ở.+ Vừa ở vừa kinh doanh.+ Đầu tư lướt sóng.   - Liên hệ:Mr Hải, 0946 921 974, Chuyên gia tư vấn, mua bán Bất động sản khu vực: Cù Chính Lan, Hà Kế Tấn, Hồ Rùa, Hoàng Văn Thái, Lê Trọng Tấn, Nguyễn Lân, Nguyễn Ngọc Nại, Nguyễn Trãi, Nguyễn Văn Trỗi, Nguyễn Viết Xuân, Phương Liệt, Tô Vĩnh Diện, Trần Điền,  Trịnh Đình Cửu, Trường Chinh,Đường Vành Đai 2, Đường Vành Đai 3, Vũ Tông Phan, Vương Thừa Vũ,...(Anh, chị, em Môi giới, QC xin không làm phiền).",07/12/2022,Tin thường,batdongsan_so_com_vn_1673784418.3756132,,,
"5,95 tỷ VNĐ",Trích Sài, 45m2, 4, 4,"+ Lô góc 3 thoáng, KCBT nhà đẹp 4 tầng sáng thoáng, thiết kế hiện đại với tổng 4 ngủ khép kín đầy đủ công năng, full nội thất bếp, giường tủ, sofa, tranh và đồ decor, cây cảnh trang trí....chủ mới chỉ việc xách vali đến ở. Hàng xóm hòa đồng, thân thiện. Thiết kế chi tiết: - Tầng 1: phòng khách, cửa ngách cầu thang cuối lệch trái thuận tiện để xe, khu bếp & vệ sinh. - Tầng 2,3: 2 phòng ngủ Master, ban công sáng thoáng, tổng 4 phòng ngủ khép kín. - Tầng 4: phòng thờ riêng biệt, khu vực giặt, ban công tiểu cảnh trồng hoa cực rộng. Sổ đỏ chính chủ, sẵn sàng giao dịch. Liên hệ A Tuyên 0969945393 ( miễn trung gian )",07/12/2022,Tin thường,batdongsan_so_com_vn_1673784419.5404973, 4, 5,
"1,14 tỷ VNĐ","xã Cổ Đông, Thị Xã Sơn Tây, tp Hà Nội", 60m2,,,"💥💥💥 ĐẤT NỀN NGOẠI Ô - LÃI ĐƯỢC Ôtô. Chỉ với từ 1 tỉ/ lô tiềm năng tăng trưởng tới 2 lần trong thời gian tới."" GIỚI ĐẦU TƯ ĐÃ DỪNG CHÂN KHÔNG THỂ ĐI QUA ""🕌 Cùng với sự hình thành Khu Công nghệ cao Hoà Lạc, tổ hợp trường đại học và tổ hợp y tế hàng đầu tại Việt Nam, Hoà Lạc đang có sự phát triển về mọi mặt 🎯  Đúng thời điểm, ĐẤT NỀN phân lô cạnh đường QL21 đem lại giá trị đầu tư 3 trong 1✅ Đầu tư và đầu cơ: Bán khi tăng giá+ Quy Hoạch QL21 mở rộng 80m+ Quy Hoạch hệ thống trường học liên cấp từ mầm non đến THPT Sơn Tây nằm kế bên.+ Quy Hoạch trục Hồ Tây - Ba Vì + Quy hoạch Thị Xã Sơn Tây ✅ Đầu tư nghỉ dưỡng: Môi trường sống, khí hậu, cảnh quan TUYỆT VỜI🌿 Hệ sinh thái tuyệt vời bao gồm hồ Đồng Mô, sân golf, khu câu, khí hậu, cảnh quan,…✅ Để ở: Với diện tích phân lô lí tưởng, NĐT có thể đầu tư 1 - 2 lô liền kề 70-100m2 hoặc xây nhà vườn với hệ sinh thái mong muốn. - Giá đất rẻ nhất thị trường Hoà Lạc - Pháp lý : Sổ đỏ sẵn tay trao ngay.- Chỉ cách QL21A 150m, vị trí vàng, tiềm năng tăng trưởng x2.- Liền kề các tiện ích lớn : Hồ Tây của Hoà Lạc, các trường học liên cấp từ mầm non tới THCS,…. ⚡ Cơ hội KHÔNG CÓ nhiều chỉ DUY NHẤT còn lại 10 xuất đầu tư cho những khách hàng THÔNG MINH và NHANH TAY nhất. LH :  E NGỌC 0913186968 ngay để nhận thông tin và được đưa đi xem miễn phí các anh chị nhé!",07/12/2022,Tin thường,batdongsan_so_com_vn_1673784420.7751942,,,
"2,45 tỷ VNĐ","Đường Quốc lộ 3, Tiên Dương, Đông Anh", 61m2, 7,,"Siêu hiếm lô 61,5m² cực đẹp, mặt tiền siêu lớn, đường cực rộng, dự án vây quanh làng, cách TT Đông Anh chỉ 1km, giá siêu rẻ. Thông tin lô đất. - Diện tích: 61,5m². - Mặt tiền = hậu: 7m. - Đường trước đất hơn 4m thông ô tô đua, giáp bìa làng. - Pháp lý cực rõ nét, đầu tư cực tốt, lãi ngay sau khi mua. - Cách TT Quận Đông Anh chỉ 1km, dự án quanh làng, các siêu thị điện máy, đồ dùng, nội thất, khu vui chơi ngay đầu làng. - Sổ nét căng, cất két, chủ thiện chí, sang tên trong ngày. - Lh: Em Quảng xem đất, tư vấn miễn phí.",07/12/2022,Tin thường,batdongsan_so_com_vn_1673784421.7356255,,,
"4,9 tỷ VNĐ","Đường Thái Thịnh, Thịnh Quang, Đống Đa", 66m2, 3, 4,"Gia đình cần tiền có việc gấp nên muốn bán Nhà Thái Thịnh, Q. Đống Đa. Diện tích đất trên sổ 66m², diện tích xây nhà 40m².- Thiết kế 4 tầng - 1 phòng khách, 1 phòng bếp riêng, 4 ngủ, 1 phòng thờ rộng, 1 sân thượng làm vườn tiểu cảnh.- Nhà có 2 mặt thoáng sáng rất mát, giếng trời ở giữa.- Cách chỗ đỗ oto chỉ 50m. Ngõ thẳng, thông thoáng. Có sân để xe máy, rất tiện. Khu dân trí cao, an ninh tốt.- Rất nhiều tiện ích xung quanh, tiện cho đi lại, con  học hành.- Gần các trường đại học lớn như học viện ngán hàng, đại học y...- Gia đình cần bán nhanh giá có thương lượng, mong tiếp người thiện chí, sổ đỏ chính chủ.* Giá 4.8 tỷ. Liên Hệ: 0979983880",07/12/2022,Tin thường,batdongsan_so_com_vn_1673784422.8107486, 4, 4, 2
"4,65 tỷ VNĐ","Đường Nguyễn Khang, Quan Hoa, Cầu Giấy", 45m2, 9, 3,"Bán nhà nguyễn khang - cầu giấy Dt : 45m x 3 tầng x MT 6m Giá 4,65 tỷ  VỊ TRÍ ĐẸP, Ô TÔ GẦN, NGÕ TRƯỚC NHÀ 2.8M, THÔNG CÁC NGẢ, ĐẦU TƯ XÂY CCMN CỰC ĐẸP  Thiết kế:  +Tầng 1: Phòng khách, bếp, vs.  +Tầng 2: 2 phòng ngủ, vệ sinh.  +Tầng 3: 1 ngủ, 1 thờ, ban công. Sổ đẹp vuông đét, giao dịch ngay",07/12/2022,Tin thường,batdongsan_so_com_vn_1673784423.761206, 3, 4, 2
"8,5 tỷ VNĐ","Đường Minh Khai, Minh Khai, Hai Bà Trưng", 66m2, 6, 4,"-Nhà giáp phố Minh Khai, Kim Ngưu quận Hai Bà Trưng, ngõ ô tô tránh có vỉa hè, xây dạng biệt thự, gara ô tô vào nhà. -Diện tích 66 m2, nhà xây 4 tầng dạng biệt thự rất đẹp, chắc chắn, thoáng sáng lung linh, mặt tiền 6m rộng đẹp. -Khu vực dân trí cao, an sinh đỉnh, xung quanh hàng xóm toàn quan chức, phù hợp ở hoặc làm văn phòng. -Giá: 8.5 tỷ, sổ đỏ chính chủ, vuông vắn, sang tên thuận tiện, có thương lượng. -Liên hệ: Oanh: 0989558524 Nhà riêng Phường Minh Khai, Nhà riêng Đường Minh Khai, Nhà riêng Hà Nội 4 PN, Nhà riêng bách khoa Hai Bà Trưng, Nhà riêng Trương Định Hai Bà Trưng, Nhà riêng Hoàng Mai Hai Bà Trưng ",07/12/2022,Tin thường,batdongsan_so_com_vn_1673784425.0588124, 4, 4, 6
"23,5 triệu VNĐ",phường bưởi quận tây hồ, 79m2,,,"ĐẲNG CẤP VÕNG THỊ PHÂN LÔ, NGÕ  Ô TÔ TRÁNH Ô TÔ VÀO NHÀ 3 BƯỚC RA  HỒ TÂY 0962745289+ DT. 79M2*7 TẦNG THANG MÁY  MẶT TIỀN 6.5M.+ GIÁ. 23.5 TỶ TÂY HỒ. 15M ra mặt phố Võng Thị. Tiện ích miễn bàn.+ Vị trí nhà mặt ngõ thông ô tô tránh, ô tô vào nhà, mặt tiền rộng. 7 tầng thang máy xịn, Gara để 2 ô tô và nhiều xe máy. Nội thất sang xịn.+ Sổ đỏ vuông A4 chính chủ sẵn sàng giao dịch.+ Giá:Thỏa thuận.+ Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn  pháp lý, thủ tục sang tên nhanh gọn. + Tư vấn 24/7. ",07/12/2022,Tin thường,batdongsan_so_com_vn_1673784426.3106158,,,
"3,6 tỷ VNĐ","Đường Tố Hữu, La Khê, Hà Đông", 155m2,, 1,"* Bán gấp căn 4 ngủ, 3 vệ sinh - phù hợp cho gia đình 3, 4 thế hệ, căn hộ tầng 15 tầm view triệu đô nhìn thẳng sang công viên Thiên Văn Học, thoáng mát, an sinh tuyệt vời. * Nằm ngay trung tâm quận Hà Đông, vài bước ra công viên Thiên Văn Học, trung tâm siêu thị Aeon Mail Hà Đông. Khu vực đáng sống, xung quanh tiện ích không thiếu gì. * Chủ tự thiết kế nội thất cực kì tâm huyết, cẩn thận vô cùng, đã ở vài năm nhưng còn như mới. * Sổ đỏ chính chủ, vuông đét, giao dịch ngay. * Liên hệ (zalo) Trần Thảo 0962 087 237 để được hỗ trợ và tư vấn miễn phí 24/24. Trân trọng...",07/12/2022,Tin thường,batdongsan_so_com_vn_1673784427.43463, 4, 3, 13
