price,address,Diện tích,Mặt tiền,Số tầng,Details,Ngày đăng,Loại tin,id,Số phòng ngủ,Lộ giới,Số toilet
"2,6 tỷ VNĐ","Thanh Am, Long Biên", 30m2, 4, 5,"- Thiết kế: Tầng 1 : Khách ,bếp vs Tầng 2 : 1 ngủ - 1 vs khép kín Tầng 3 : 1 ngủ - 1 vs Tầng 4 : 1 ngủ - vs Tầng 5: tum phòng thờ ,sân phơi. - Nhà xây 5 tầng xây mới kog, từ tầng 2 đua ra sử dụng 32m, xây chắn chắn. - Nội thất cầu thang, cửa gỗ đều gỗ nạc nguyên khối, đá ốp đá hoa cương ánh kim loại đẹp, nội thất vệ hàng chuẩn. - Khu vực còn tiếp tục lên giá ,Đường Thanh Am nối Nam Đuống với Đức Giang KĐT Gaden City điểm nhấn về vị trí an sinh tiện tích cho khu vực. - Cách chợ vài chục mét, BV Đức Giang, trường C1,2,3 1km. An sinh tuyệt vời. - Sổ đỏ vuông vắn, giao dịch ngay Lh em Trác: 0965492571(xem nhà và tư vấn miễn phí)  ",28/05/2022,Tin thường,batdongsan_so_com_vn_1673822822.9937963,,,
35 tỷ VNĐ,Đường Hòa Thạch phường Hòa Thạch, 3500m2, 60,,""",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" width:="""" 22px;="""" background:="""" url(assets="""" emoji.1e7786c93c8a0c1773f165e2de2fd129.png?v=""20180604)"" 46%="""" 65%;="""" white-space:="""" normal;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" transparent;="""" font-style:="""" text-align:="""" left;="""" orphans:="""" 2;="""" widows:="""" margin:="""" 0px="""" -3px;="""" display:="""" inline-block;="""" letter-spacing:="""" 50px;="""" text-indent:="""" text-shadow:="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" -webkit-user-drag:="""" element'🔥="""" spanspan="""" pre-wrap;="""" rgb(0,26,51);="""" background-color:="""" rgb(229,239,255);="""" user-select:="""" text'="""" element'="""">🔥"",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" text-align:="""" left;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(229,239,255);="""" text-indent:="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" user-select:="""" text'="""" spanspan="""" segoe="""" width:="""" 22px;="""" background:="""" url(assets="""" emoji.1e7786c93c8a0c1773f165e2de2fd129.png?v=""20180604)"" 46%="""" 65%;="""" transparent;="""" margin:="""" 0px="""" -3px;="""" display:="""" inline-block;="""" 50px;="""" text-shadow:="""" -webkit-user-drag:="""" element'🔥=""""> BÁN GẤP 3500M2 ĐẤT ĐẸP HÒA THẠCH QUỐC OAI, HÀ NỘI "",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" text-align:="""" left;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(229,239,255);="""" text-indent:="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" user-select:="""" text'="""" spanspan="""" segoe="""" width:="""" 22px;="""" background:="""" url(assets="""" emoji.1e7786c93c8a0c1773f165e2de2fd129.png?v=""20180604)"" 6%="""" 100%;="""" transparent;="""" margin:="""" 0px="""" -3px;="""" display:="""" inline-block;="""" 50px;="""" text-shadow:="""" -webkit-user-drag:="""" element'✳=""""> THỔ CƯ 420M2 "",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" text-align:="""" left;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(229,239,255);="""" text-indent:="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" user-select:="""" text'="""" spanspan="""" segoe="""" width:="""" 22px;="""" background:="""" url(assets="""" emoji.1e7786c93c8a0c1773f165e2de2fd129.png?v=""20180604)"" 6%="""" 100%;="""" transparent;="""" margin:="""" 0px="""" -3px;="""" display:="""" inline-block;="""" 50px;="""" text-shadow:="""" -webkit-user-drag:="""" element'✳=""""> Sẵn sổ đỏ sang tên luôn, đất bằng phẳng sẵn sàng về xây dựng luôn "",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" text-align:="""" left;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(229,239,255);="""" text-indent:="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" user-select:="""" text'="""" spanspan="""" segoe="""" width:="""" 22px;="""" background:="""" url(assets="""" emoji.1e7786c93c8a0c1773f165e2de2fd129.png?v=""20180604)"" 6%="""" 100%;="""" transparent;="""" margin:="""" 0px="""" -3px;="""" display:="""" inline-block;="""" 50px;="""" text-shadow:="""" -webkit-user-drag:="""" element'✳=""""> Lô đất vị trí đắc địa bám đường bê tông 60m, bám hồ Hòa Thạch (thôn Hòa Trúc) 60m "",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" text-align:="""" left;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(229,239,255);="""" text-indent:="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" user-select:="""" text'="""" spanspan="""" segoe="""" width:="""" 22px;="""" background:="""" url(assets="""" emoji.1e7786c93c8a0c1773f165e2de2fd129.png?v=""20180604)"" 6%="""" 100%;="""" transparent;="""" margin:="""" 0px="""" -3px;="""" display:="""" inline-block;="""" 50px;="""" text-shadow:="""" -webkit-user-drag:="""" element'✳=""""> Cách HN 30km, Nằm trong khu đô thị nghỉ dưỡng Hòa Lạc, không dính quy hoạch "",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" text-align:="""" left;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(229,239,255);="""" text-indent:="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" user-select:="""" text'="""" spanspan="""" segoe="""" width:="""" 22px;="""" background:="""" url(assets="""" emoji.1e7786c93c8a0c1773f165e2de2fd129.png?v=""20180604)"" 6%="""" 100%;="""" transparent;="""" margin:="""" 0px="""" -3px;="""" display:="""" inline-block;="""" 50px;="""" text-shadow:="""" -webkit-user-drag:="""" element'✳=""""> Di chuyển vào tổ hợp y tế chỉ 1km, gần khu công nghệ cao 2, vào công nghệ cao Hòa Lạc và Làng đại học chỉ 5-10 phút di chuyển "",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" width:="""" 22px;="""" background:="""" url(assets="""" emoji.1e7786c93c8a0c1773f165e2de2fd129.png?v=""20180604)"" 28%="""" 65%;="""" white-space:="""" normal;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" transparent;="""" font-style:="""" text-align:="""" left;="""" orphans:="""" 2;="""" widows:="""" margin:="""" 0px="""" -3px;="""" display:="""" inline-block;="""" letter-spacing:="""" 50px;="""" text-indent:="""" text-shadow:="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" -webkit-user-drag:="""" element'👉="""" spanspan="""" pre-wrap;="""" rgb(0,26,51);="""" background-color:="""" rgb(229,239,255);="""" user-select:="""" text'="""" tư="""" vấn="""" đầu="""" nghỉ="""" dưỡng="""" miễn="""" phí="""" span="""" p="""" pspan="""">",28/05/2022,Tin thường,batdongsan_so_com_vn_1673822824.4110088,,,
4 tỷ VNĐ,Hoàng Văn Thái, 50m2, 5, 5,"+Bán nhà Phố Hoàng Văn Thái - Thanh Xuân, 50m2, 5 Tầng, Mặt tiền 5m, LÔ GÓC, Nhỉnh 4 tỷ. +Trung tâm Quận Thanh Xuân, tiện ích miễn bàn.+Vị trí nhà cách đường lớn 80m, đường trước nhà rất rộng thông các ngõ.+Thiết kế nhà hiện đại, nhà Lô Góc thoáng mát, khách mua về ở ngay.+Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng dao dịch. LH: SĐT/ZALO: Em Hoan, 0925088355, chuyên thổ cư Hà Nội, miễn phí xem nhà 24/7.",28/05/2022,Tin thường,batdongsan_so_com_vn_1673822825.7265208, 5,,
"17,2 tỷ VNĐ",Đường Trần Quốc Hoàn phường Nghĩa Tân, 80m2, 5, 5,"
    
PHÂN LÔ - 2 Ô TÔ TRÁNH, GARA Ô TÔ - THOÁNG TRƯỚC SAU 
Mô tả:

+ Thiết kế: Nhà xây được gần chục năm, thiết kế hiện đại, nội thất xịn, thoáng trước sau.

* Tầng 1: Gara ô tô, khách.

* Tầng 2: 1 phòng ngủ rộng, phòng khách, phòng thay đồ, Wc.

* Tầng 3: 3 phòng ngủ, Wc.

* Tầng 4: Phòng thờ, sân phơi.

+ Vị trí: Nhà nằm trục ngõ thông, ACE dẫn khách đi từ ngõ 89 Nguyễn Phong Sắc vào rất ăn điểm. Ngõ trước nhà 2 ô tô tránh, có thể kinh doanh văn phòng, phòng khám, khu dân trí cao, an ninh cực tốt, tiện ích bạt ngàn ...

+ Sổ đỏ chính chủ
Giá 18.2 tỷ ( Thương lượng mạnh)
Liên hệ 0939.28.6833 ( KIM CƯƠNG - Luôn hỗ trợ Anh chị tốt nhất) 
",28/05/2022,Tin thường,batdongsan_so_com_vn_1673822827.041005, 5, 6, 6
"12,4 tỷ VNĐ",Đường vạn phúc phường Vạn Phúc, 430m2, 18,,Gia Đất tổ hĐường 2 ô tô tránh nhau Bán gộp nên giá rẻ nhất khu vực   Liên h,28/05/2022,Tin thường,batdongsan_so_com_vn_1673822828.1390703,,,
"4,4 tỷ VNĐ",Cầu Giấy - Hà Nội, 52m2,,,"+ Vị trí trung tâm Cầu Giấy, ngõ nông cực gần ô tô, hồ điều hòa, bán kính xung quanh tiện ích vô vàn. + Nhà thiết kế 5 tầng đẹp, chắc chắn, hiện đại, tổng 4 phòng ngủ, công năng sử dụng đầy đủ. + Giao thông kết nối Trần Duy Hưng, Vũ Phạm Hàm, Trung Hòa, Mạc Thái Tổ, Trung Yên... di chuyển đi lại thuận lợi. + Sổ đẹp chính chủ vuông đẹp, sẵn sàng giao dịch ngay. + Giá: 4.4 tỷ (thương lượng). + Liên hệ: Mr. Tiến Hoàng - 0976817296 - Tư vấn nhiệt tình, tận tâm, miễn phí 24/7.",28/05/2022,Tin thường,batdongsan_so_com_vn_1673822833.6847005,,,
"14,5 tỷ VNĐ",Hà Nội, 60m2,,," - Diện tích 60m2, 7 tầng, mặt tiền 5.8m, giá 14.5 tỷ thương lượng sâu. - Đường to có vỉa hè ô tô tránh, đẹp bậc nhất thủ đô Hà Nội. - Vị trí trung tâm gần nhiều trường đại học lớn, kinh doanh siêu đỉnh. - Nhà 6 tầng thang máy còn rất mới, chủ để lại hết nội thất, khách chỉ việc về ở. - Chủ thiện chí bán gấp, khách thích giá chốt cực sốc.Sổ đỏ đẹp sẵn sàng giao dịch.Liên hệ gấp - 0366 555 258.",28/05/2022,Tin thường,batdongsan_so_com_vn_1673822834.6730947,,,
"3,4 tỷ VNĐ",279 Hoàng Mai - Hà Nội, 77m2,,,"🏠 𝐙𝐄𝐍 𝐓𝐎𝐖𝐄𝐑 - 𝐂Ă𝐍 𝐇Ộ 𝐍𝐇𝐈Ệ𝐓 ĐỚ𝐈 – 𝐂𝐇Ấ𝐓 𝐒Ố𝐍𝐆 𝐑𝐄𝐒𝐎𝐑𝐓 𝐓Ò𝐀 𝐓𝐇Á𝐏 𝐕Ị 𝐓𝐑Í ĐẸ𝐏 𝐍𝐇Ấ𝐓 𝐃Ự Á𝐍 𝐅𝐄𝐋𝐈𝐙 𝐇𝐎𝐌𝐄𝐒 𝐇𝐎À𝐍𝐆 𝐌𝐀𝐈 LH 090.22.69.222/ 0944.570.096 -------------- ------------— 🏡 𝕹𝖍𝖎ề𝖚 𝖘ự 𝖑ự𝖆 𝖈𝖍ọ𝖓 𝖑𝖔ạ𝖎 𝖈ă𝖓 𝖍ộ 🔑 Căn Hộ 1PN: 44,6 m2 💸 GIÁ TỪ 1,9 TỶ 🔑 Căn Hộ 2PN: 63,6m2-73,1m2-77,8m2 💸 GIÁ TỪ 2,7 TỶ 🔑 Căn Hộ 3PN: 90-114,2m2 💸 GIÁ TỪ 3,8 TỶ -------------- ------------— 🎁 Ư𝖚 đã𝖎 đợ𝖙 đầ𝖚 𝖒ở 𝖇á𝖓 👉 Chiết khấu ngay 2% KPBT + 1 năm phí dịch vụ 👉 Chỉ cần thanh toán trước 10%. 👉 Hỗ trợ vay tới 75% GTCH, lãi suất 0% trong 18 tháng, ân hạn nợ gốc 👉 Bốc thăm trúng thưởng Mẹc C200 và nhiều quà tặng giá trị -------------- ------------— 💡 𝕿𝖎ệ𝖓 í𝖈𝖍 đẳ𝖓𝖌 𝖈ấ𝖕 5⭐ 🔹 Thiết kế căn hộ hợp lý 🔹 Sảnh lễ tân phong cách nhiệt đới 🔹 Không gian xanh tạo nên Quần đảo trên cạn 🔹 Lối dạo bộ, vườn cây, phòng tập Gym 🔹 Nhà đỗ xe cơ khí 6 tầng 🔹Chuỗi tiện ích dành cho trẻ nhỏ phát triển thể lực và trí tuệ 🔹Đại siêu thị đầu tiên trong khu vực rộng 5000m2 -------------- ------------— 📌 𝖁ị 𝖙𝖗í đắ𝖈 đị𝖆 𝖙𝖗𝖚𝖓𝖌 𝖙â𝖒 𝖖𝖚ậ𝖓 𝕳𝖔à𝖓𝖌 𝕸𝖆𝖎 📍 Bao quanh bởi 6 con đường, tạo một vòng xuyến khơi thông dòng chảy giao - thương 📍 Kế cận vành đai 2.5 kết nối Định Công, Kim Đồng, Tân Mai, Lĩnh Nam -------------- ------------— 🌏 CHÚNG TÔI KHÔNG CHỈ BÁN NHÀ - CHÚNG TÔI BÁN GIẤC MƠ XANH, SỨC KHỎE VÀNG VÀ TƯƠNG LAI SÁNG 🌏 🌿 FELIZ HOMES TỔ HỢP CĂN HỘ NHIỆT ĐỚI GIỮA THỊ TỨ XANH 🌿 Hotline CĐT: 090.22.69.222/ 0944.570.096 Địa chỉ: VPBH Feliz Homes, Ngõ 92 Mai Động, Quận Hoàng Mai, Hà Nội",28/05/2022,Tin thường,batdongsan_so_com_vn_1673822835.6484914,,,
43 triệu VNĐ/m2,92 Mai Động, 77m2,,,"💥💥💥CĐT mới mở lại được mấy căn đẹp tòa Zen dự án Feliz Homes Hoàng Mai, Hoa Hậu của 3 khối 💥💥💥🔑Bàn Giao nhà quý 2 - 2023💎5 Sao cho 1 căn chung cư 80% tiện ích xanh💰Lãi Suất  0% đến 18 Tháng vay ngân hàng💰Giá nhẹ nhàng chỉ từ 2,9 tỷ đa dạng diện tích❌Căn 1PN : 44m2❌Căn 2PN : 63m2 -77m2❌Căn 3PN : 89m2 -113m2🚙Trung tâm các tuyến đường vành đai 2,5 , VĐ 3, Đường Minh Khai trên cao☎️LH: 0983223911 nhận báo giá chi tiết🏠VPDA : ngõ 92 Mai Động, Q. Hoàng Mai Hà Nội",28/05/2022,Tin thường,batdongsan_so_com_vn_1673822836.7525368,,,
31 triệu VNĐ,Đường Lâm Tiên phường Đông Anh, 48m2, 4,,"Bán đất tổ 17 thị trấn Đông Anh giá rẻ , diện tích nhỏ xinh Diện tích : 48m2 Mặt tiền : 4.85 Chiều sâu 10m Đường rộng 2,5m Hướng Đông Vị trí Bán đất thị trấn Đông Anh thuộc tổ 17 TT Đông Anh, gần trường học cấp 1-2-3 Đông Anh. gần Ga Đông Anh Bán kính 1km có đầy đủ các tiện ích như bến xe Buýt, trường học Đông Anh, Chợ Ga Đông Anh, Bệnh viện Than Ba…. Rất phù hợp cho gia đình mua về sinh sống và làm việc, hoặc nhà đầu tư muốn mua lô đất nhỏ xinh vừa tiền tại Đông Anh Giá bán : 32tr/m2 Liên hệ em Linh 0919841234 để xem đất thực tế và làm việc trực tiếp với chủ đất  Sàn bất động sản Đông Anh - Donganhland Môi giới nhà đất Đông Anh - Donganhland Bất động sản Đông Anh - Donganhland bán nhà đông anh - Donganhland",28/05/2022,Tin thường,batdongsan_so_com_vn_1673822837.632235,,,
