price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Số toilet,Lộ giới
4 tỷ VNĐ,Chính Kinh, 52m2, 4, 5, 6,"+Bán nhà Phố Chính Kinh - Thanh Xuân, 52m2, 5 Tầng, Mặt tiền 4.5 m, LÔ GÓC, Nhỉnh 4 tỷ. +Trung tâm Quận Thanh Xuân, tiện ích miễn bàn.+Vị trí nhà cách phố 50m, đi bộ 3 phút ra Royal City, đường trước nhà rất rộng thông các ngõ.+Thiết kế nhà hiện đại, nhà Lô Góc thoáng mát, khách mua về ở ngay.+Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng dao dịch. LH: SĐT/ZALO: Em Hoan, 0925088355, chuyên thổ cư Hà Nội, miễn phí xem nhà 24/7.",28/05/2022,Tin thường,batdongsan_so_com_vn_1673822870.2281075,,
"5,41 tỷ VNĐ","Nguyễn Lân, Phương Liệt, Thanh Xuân", 44m2, 4, 5, 5,"BÁN NHÀ PHỐ NGUYỄN LÂN – THANH XUÂN, PHÂN LÔ Ô TÔ 15M, 44.5M2 – 5.41 TỶ Tôi cần bán nhà xây mới, 5 tầng 44.5m2 mặt tiền 4.1m ở khu vực phố Nguyễn Lân, quận Thanh Xuân. Nhà nằm trong khu phân lô cán bộ , cách mặt phố ô tô 15m, thuận tiện di chuyển  đường Trường Chinh, Tôn Thất Tùng, Lê Trọng Tấn, Ngã Tư Sở, Giải Phóng… Gần các trường Đại học Y, Bách Khoa, Kinh Tế, Xây Dựng khu vực tiện ích đầy đủ Sổ đỏ chính chủ giao dịch ngay, có thương lượng Liên hệ: KS Phương - 0918120568",28/05/2022,Tin thường,batdongsan_so_com_vn_1673822871.3800259, 5,
4 tỷ VNĐ,Phố Cự Lộc, 52m2, 4, 5, 6,"+Bán nhà Phố Cự Lộc - Thanh Xuân, 52m2, 5 Tầng, Mặt tiền 4m, LÔ GÓC, Nhỉnh 4 tỷ. +Trung tâm Quận Thanh Xuân, tiện ích miễn bàn.+Vị trí nhà cách phố 30m, ngõ rộng thoáng, đường trước nhà rất rộng thông các ngõ.+Thiết kế nhà hiện đại, nhà Lô Góc thoáng mát, khách mua về ở ngay.+Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng dao dịch. LH: SĐT/ZALO: Em Hoan, 0925088355, chuyên thổ cư Hà Nội, miễn phí xem nhà 24/7.",28/05/2022,Tin thường,batdongsan_so_com_vn_1673822872.3903718,,
"14,3 tỷ VNĐ",Phường Dịch Vọng Hậu, 60m2,,,,"Bán nhà Duy Tân, Lô góc  ô tô tránh. Kinh doanh. 60m2, Mt 16m. Giá nhỉnh 14 tỷ. + Vị trí đẹp*. Trung tâm Quận Cầu Giấy, buôn bán kinh doanh sầm uất, tập trung nhiều văn phòng công ty, tiện ích miễn bàn. + Nhà Lô góc 2 mặt tiền, ô tô dừng đỗ ngày đêm, nhà thiết kế mặt tiền đẹp đầy đủ công năng, tầng 1 thông sàn 2 cửa 2 mặt tiền đang cho thuê văn phòng, kinh doanh đỉnh cao. + Khu phố nhộn nhịp sầm uất nhất nhì TP, đân trí cao, an ninh tốt, tiện ích ngập tràn. + Sổ đỏ chính chủ sẵn sàng giao dịch. Giá:Thỏa thuận. Liên hệ: Anh Đoàn:0962745289. + Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn pháp lý, sang tên thủ tục nhanh gọn. + Tư vấn 24/7.",28/05/2022,Tin thường,batdongsan_so_com_vn_1673822873.4325376,,
6 tỷ VNĐ,Đường Mỹ Đình phường Mỹ Đình 1, 38m2, 3, 5, 4,"Gia đình tôi cần bán nhà gấp để chuyển công tác nên cần bán gấp. Khu dân trí cao, phân lô Quân Đội, nên an ninh rất đảm bảo, ở hay kinh doanh đều tuyệt vời, dân trí thân thiên. Trước nhà ô tô tránh kinh doanh sầm uất, vì cần chuyển sang nhà mới nên cần bán gấp ai có nhu cầu liên hệ trực tiếp để xem nhà. Nhà thiết kế 4 tầng 1 tum mỗi tâng thiết kế 1 phòng rộng tầng 1 để để kinh doanh. Nhà xây để ở nên rất tâm huyết, khung cột bê tồng chắc chắn, mua về chỉ việc ở. Ai có nhu cầu liên hệ trực tiếp chủ nhà Phương: 0379591234 Miễn trung gian môi giới.",28/05/2022,Tin thường,batdongsan_so_com_vn_1673822874.4737504, 4, 5
,Lê Đức Thọ Nam Từ Liêm, 65m2,,,,"Nhà Lê Đức Thọ, Nam Từ Liêm, 65m kinh doanh, ngõ rông, giá hơn 6ty :0845681666.Vị trí ngõ rộng kinh doanh tiện ích xung quanh rất nhiều.Nhà đẹp ngõ thông lung tung ,nhà lằm vị trí đáng sống nhất khu vực. Sổ đỏ pháp lý chuẩn giao dịch ngay. LH : Xem nhà 0845681666.",28/05/2022,Tin thường,batdongsan_so_com_vn_1673822875.619684,,
,Lê Đức Thọ Nam Từ Liêm, 65m2,,,,"Nhà Lê Đức Thọ, Nam Từ Liêm, 65m kinh doanh, ngõ rông, giá hơn 6ty :0845681666.Vị trí ngõ rộng kinh doanh tiện ích xung quanh rất nhiều.Nhà đẹp ngõ thông lung tung ,nhà lằm vị trí đáng sống nhất khu vực. Sổ đỏ pháp lý chuẩn giao dịch ngay. LH : Xem nhà 0845681666.",28/05/2022,Tin thường,batdongsan_so_com_vn_1673822876.7726004,,
,Lê Đức Thọ Nam Từ Liêm, 65m2,,,,"Nhà Lê Đức Thọ, Nam Từ Liêm, 65m kinh doanh, ngõ rông, giá hơn 6ty :0845681666.Vị trí ngõ rộng kinh doanh tiện ích xung quanh rất nhiều.Nhà đẹp ngõ thông lung tung ,nhà lằm vị trí đáng sống nhất khu vực. Sổ đỏ pháp lý chuẩn giao dịch ngay. LH : Xem nhà 0845681666.",28/05/2022,Tin thường,batdongsan_so_com_vn_1673822877.945462,,
39 tỷ VNĐ,"Phố Lê Thanh Nghị, Hai Bà Trưng.", 108m2,,,,"Mô tả: + Nhà 2 mặt thoáng, 1 mặt phố, 1 mặt ngõ. + Vị trí đẹp nhất phố Lê Thanh Nghị, vỉa hẹ rộng, thoáng, sát trường Đại Học Bách Khoa, chợ Bách Khoa, gần trường Đại Học KTQD, Xây Dựng, gần Bệnh viện Bạch Mai….. + Vô vàn tiện ích, kinh doanh sầm uốt, sinh lợi nhuận cao. + Giá chào 39tỷ,  Có thương lượng. + Diện tích 108m2. + Sổ đỏ sắn giao dịch. + Liên hệ : Nguyễn Dương  0825920555.",28/05/2022,Tin thường,batdongsan_so_com_vn_1673822879.1602123,,
"5,35 tỷ VNĐ",Đường Lạc Long Quân phường Xuân La, 47m2, 3, 3, 3,"
    
Ngõ 445.50 ô tô tránh nhau chạy vòng quanh, thông các ngả, trước nhà mình bán ô tô lùi cửa. Nhà 3 tầng BTCT cực đẹp và chắc chắn, khách mua về chỉ việc ở ngay. Chủ nhà khéo léo thiết kế có sân riêng để xe máy( khoảng 10 chiếc) không phải cho xe vào trong nhà.

Mô tả:
+ Tầng 1: Phòng khách, bếp, WC rộng thoáng.
+ Tầng 2: 2 phòng ngủ, WC rộng thoáng trước sau.
+ Tầng 3: Phòng ngủ, phòng thờ, sân phơi.

Sổ đỏ cực đẹp phân lô sẵn sàng giao dịch ngay.
",28/05/2022,Tin thường,batdongsan_so_com_vn_1673822880.2712421, 2, 3
