price,address,Diện tích,Hướng,Mặt tiền,Số tầng,Details,Ngày đăng,Loại tin,id,Số phòng ngủ,Số toilet,Lộ giới
"1,65 tỷ VNĐ","Thôn Mộc, Minh Quang, Ba Vì, Hà Nội", 380m2, Đông nam, 27, 3,"- Lô đất mặt tiền rộng 15.4 mét, diện tích: 380m2 có tận 200m2 đất ở.- Địa chỉ: Chợ Mộc, Minh Quang, Ba Vì, Hà Nội.- Vị trí đẹp, hiếm, khu vực kinh doanh sầm uất, đường ô tô tránh nhau.- Cách chợ Mộc, trường THCS Minh Quang, bệnh viện Minh Quang, trường mầm non Minh Quang, nhà văn hóa thôn Mộc: Bán kính 30 - 50m. Cách cây xăng và Tỉnh Lộ 414: 300m.- Xung quanh đất các bác Hà Nội đã về xây nhà nghỉ dưỡng cuối tuần cho gia đình.- View đẹp. Khu đông dân cư. Kinh doanh buôn bán được luôn.- Lh chính chủ: 0975349726, để đàm phán trực tiếp.- Giá ban đầu: 1.65 tỷ.",27/05/2022,Tin thường,batdongsan_so_com_vn_1673822992.8335328,,,
"6,25 tỷ VNĐ",đống đa hà nội, 50m2,, 4, 5,"- Nhà được thiết kế xây dựng hiện đại, chắc chắn nội thất nhập khẩu , chỉ việc sách vali về ở ngay, có 5 tầng, , đầy đủ công năng .- Khu vực dân trí cao, an sinh tốt, dân sinh đỉnh .Vị trí giao thông thuận tiện chỉ vài bước chân ra phố Phạm Ngọc Thạch, Giao các phố Xã Đàn, Ô chợ Dừa, Giải phóng, Lê Duẩn, Tôn Thất Tùng. Xung quanh bạt ngàn các trung tâm mua sắm siêu thị VinCom Phạm Ngọc Thạch, chợ dân sinh Kim Liên, gần các trường cấp 1,2,3 và các trường ĐH bách Khoa, ĐH Kinh Tế Quốc dân, ĐH Y Hà Nội, ĐH Công Đoàn...Bệnh viện ĐH Y Hà Nội.Bệnh viện bưu Điện.* Sổ dỏ chính chủ vuông đẹp sẵn sàng giao dịch* Liên hệ xem nhà miễn phí Mrs lan chuyên nhà đất thổ cư Hà Nội.",27/05/2022,Tin thường,batdongsan_so_com_vn_1673822993.896689, 4, 4,
,"TĐC VAi Réo, Phú Cát, Quốc Oai, Hà Nội", 127m2,, 5,,"Khu Tái Định Cư Công Nghệ Cao nằm trong trung tâm khu đô thị vệ tinh Hoà Lạc👉Vị trí đắc địa👉Hạ tầng chuẩn quốc gia: Đường rộng 10m, vỉa hè 3m👉Giá rẻ nhất thị trường👉Đặc biệt các ĐHQG 1km, Gần nhà máy In tiền lớn nhất QG, gần tổ hợp 8 nhầ máy tập đoàn Phelika❗❗Liên hệ Mr Hoàng 0978862329để biết thông tin chi tiết🌹",27/05/2022,Tin thường,batdongsan_so_com_vn_1673822995.28398,,, 10
5 tỷ VNĐ,"NGUYỄN TRÃI, THANH XUÂN", 40m2,,,,"SIÊU PHẨM: NHÀ PHỐ NGUYỄN TRÃI, THANH XUÂN, DT40M2, MT 5M, NGÕ THÔNG PHỐ, Ô TÔ ĐỖ CỬA, CẠNH SÂN CHƠI Ô TÔ ĐỖ NGÀY ĐÊM. + Vị trí mặt ngõ rộng, cách mấy nhà ra mặt phố Nguyễn Trãi, ngõ thông tứ tung. + Nhà xây mới 5 tầng hiện đại, sàn gỗ các tầng. + Sổ đỏ nở hậu, sẵn sàng giao dịch. + Liên hệ em Thái để được đi xem nhà ngay và luôn.",27/05/2022,Tin thường,batdongsan_so_com_vn_1673822996.3481314,,,
"6,9 tỷ VNĐ",Phố Chính Kinh, 76m2,,, 4,"BÁN NHÀ MẶT PHỐ CHÍNH KINH, 76M2, 4 TẦNG, GIÁ CỰC TỐT 6,9 TỶ Diện tích đất 76m2, 4 tầng, mặt tiền lớn 5,5m, có sân cổng riêng Tầng 1: Sân + Phòng khách + PN + WC Tầng 2,3: mỗi tầng đều có 2PN + WC Tầng 4: Bếp + Phòng ăn + PN + Ban công Giá chỉ 6,9 tỷ cho 1 căn nhà diện tích rộng, mặt phố, 6 phòng ngủ. Sổ đổ sẵn sàng giao dịch. Nhà xây mới thiết kế đẹp, có ngõ để xe. Nội thất gỗ cao cấp. Quý khách vui lòng liên hệ: Mr Tiến Lucky – chuyên BĐS Thổ cư -  ĐT: 0979.160085",27/05/2022,Tin thường,batdongsan_so_com_vn_1673822997.4611547, 4, 3,
"1,2 tỷ VNĐ","Linh Quang, Văn Chương", 15m2,,, 4,"TRUNG TÂM ĐỐNG ĐA - NHỈNH 1 TỶ NHÀ 4 TẦNG Ở LUÔN - SỔ ĐỎ RIÊNG - NGÕ THÔNG 2 XE MÁY TRÁNH - CÁCH Ô TÔ 30M + Nhà nằm ở vị trí rất thuận tiện thông đi các ngõ Thông Phong, Lương Sử, Trần Quý Cáp, Văn Chương, Văn Hương, phố Quốc Tử Giám, Tôn Đức Thắng, Khâm Thiên... + Xung quanh đầy đủ mọi tiện ích phục vụ sinh hoạt. + Mô tả: nhà Khung bê tông 4T chắc chắn được thiết kế hợp lý. + T1: phòng khách, để xe + bếp. + T2+3 mỗi tầng thiết kế 1 phòng, wc. + T4: 1 phòng thờ + sân phơi. + Sổ đỏ chính chủ sẵn sàng giao dịch. + Giá chỉ nhỉnh 1 tỷ (có thương lượng). + Liên hệ ngay: 0354526316 Em Thế Anh (Hỗ trợ hoàn toàn MIỄN PHÍ từ xem nhà, tư vấn pháp lý, kiểm tra Quy hoạch, vay vốn ngân hàng, sang tên sổ đỏ…)",27/05/2022,Tin thường,batdongsan_so_com_vn_1673822998.5721812, 2,,
"4,4 tỷ VNĐ",Đường Thụy Khuê phường Thụy Khuê, 40m2,, 4, 5,""",serif;="""" mso-ansi-language:="""" vi'bán="""" nhà="""" thụy="""" khuê,="""" 40m2,="""" 5t,="""" mt="""" 4m,="""" 4.4="""" tỷ,="""" 2="""" thoáng.="""" span="""" p="""" class=""MsoNormalSPAN"" vi'+="""" dân="""" xây,="""" thiết="""" kế="""" họp="""" lý,="""" mặt="""" thoáng,="""" giếng="""" trời="""" trổ="""" cửa="""" sổ="""" vĩnh="""" viễn.="""" vi'="""">+ Ngõ 3 gác, gần phố, đi bộ ra Hồ Tây. "",serif;="""" mso-ansi-language:="""" vi'+="""" với="""" 4="""" tầng="""" 1="""" tum,="""" lửng="""" phòng="""" ngủ,="""" rất="""" tiện="""" lợi="""" cho="""" gia="""" đình="""" nhỏ.="""" span="""" p="""" class=""MsoNormalSPAN"" sổ="""" đỏ="""" vuông="""" đẹp,="""" pháp="""" lý="""" chuẩn,="""" chờ="""" sang="""" tên.="""" pspan="""" line-height:="""" 120%;="""" vi;="""" mso-fareast-font-family:="""" ""times="""" roman"";="""" mso-fareast-theme-font:="""" minor-fareast;="""" mso-fareast-language:="""" en-us;="""" mso-bidi-language:="""" ar-sa'="""">+ Liên hệ E Hồng xem nhà 0976395647",27/05/2022,Tin thường,batdongsan_so_com_vn_1673822999.8178482, 5, 3, 1
"2,2 tỷ VNĐ","Phúc Lợi, Long Biên", 62m2,,, 1,"+ Vị trí đẹp, ngay trường C1, C2 Phúc Lợi, chợ, siêu thị, tiện ích đủ đầy tổ hợp Đại đô thị: Vinhomes, Việt Hưng, Ruby.... + Ngõ ô tô qua nhà, nhà cách phố Phúc Lợi tầm 120m, + Nhà cấp 4 có gác xép, đầy đủ công năng cho gia đình sử dụng. + Chủ nhà: anh Thảo rất đẹp trai, có thiện chí bán. - Sổ đỏ cất két, giao dịch ngay - Lh em Trác: 0965492571(xem nhà và tư vấn miễn phí) ",27/05/2022,Tin thường,batdongsan_so_com_vn_1673823000.9607909, 2,,
"2,45 tỷ VNĐ",Thanh Lãm - Hà Đông, 38m2,, 4, 3,"Bán NhàThanh Lãm -Hà Đông, Gía Rẻ,Ở Luôn, Sinh Lời Tốt,DT 38m2x 3T. Chỉ 2.45 Tỷ. Vị trí: Nhà gần trường Cao Đằng Thương Mại Hà Đông, gần trường THPT Trần Hưng Đạo, Đại Học Đại Nam, xung quanh nhiều tiện ích như chợ, trường mầm non cấp 1,2,3…giao thông đi lại thuận tiện. Thiết kế: Nhà xây 3 tầng, khung cột bê tông chắc chắn, có thể lên 5 tầng, có 3 phòng ngủ, phòng khách, bếp đầy đủ công năng xử dụng. + Giao thông đi lại thuận tiện + Nhà thuộc khu an ninh tốt. Hàng xóm thân thiện.  Pháp Lý: Sổ đỏ chính chủ, sẵn sàng giao dịch. + Giá bán: 2.45 tỷ ( Có thương lượng ). Liên hệ trực tiếp 24/7 để đi xem nhà miễn phí.                                                                                                                                                                                 - Mr Luyện thổ cư: 0911779569 - Chuyên Nhà đất Thổ cư các phân khúc từ 1 tỷ đến trên 100 tỷ.  “TRAO GỬI NIỀM TIN_ NHẬN LẠI YÊU THƯƠNG”",27/05/2022,Tin thường,batdongsan_so_com_vn_1673823002.107722, 3, 2, 2
15 tỷ VNĐ,Hà Nội, 78m2,,,," - Vị trí đắc địa, mặt ngõ phân lô ô tô tải tránh kinh doanh đỉnh. - Giao thông kết nối Xã Đàn, Chùa Bộc, Tôn Thất Tùng, Đông Các, Mai Anh Tuấn, Thái Hà, Hoàng Cầu, Giảng Võ, Phạm Ngọc Thạch, Cát Linh, Tôn Đức Thắng... - Xung quanh nhiều tiện ích, chợ, trường, TTTM, công viên, vườn hoa, hồ... - Diện tích 78m2, 7 tầng thang máy, nội thất nhập khẩu châu Âu. - Thiết kế đẹp, chủ tự xây rất tâm huyết cả tuổi thanh xuân. - Chủ nhà là quan chức về hưu bán nhanh để mua chung cư cho tiện dù hơi tiếc.* Sổ đỏ hoa hậu, vuông vắn.* Giá bán chỉ 15 tỷ gia lộc mạnh tay.* Liên hệ gấp Nguyễn Thanh - 0366 555 258.",27/05/2022,Tin thường,batdongsan_so_com_vn_1673823003.8122602,,,
