price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số phòng ngủ,Lộ giới,Số toilet,Hướng
23 tỷ VNĐ,"Nguyễn Văn Cừ, Long Biên", 120m2, 4,"- Nhà 4 tầng, xây đã lâu lăm, chủ yếu bán giá trị đất, vỉa hè đá bóng - Thuộc con đường xương sống của Q.Long Biên giao cắt phố Nguyễn Sơn, vỉa hè rộng, kinh doanh khỏi phải bàn - Lên cầu chương dương chỉ mất 4 phút - Tiện ích xung quanh đầy đủ không thiếu thứ gì Alo hoặc zalo: 0965492571, Trác Long Biên để xem nhà ",15/05/2022,Tin thường,batdongsan_so_com_vn_1673824754.2767353,,,,,
"2,9 tỷ VNĐ","Nguyên Xá,Từ Liêm", 33m2, 4,"+ Chủ cần bán gấp nhà Nguyên Xá S: 33m2, 4 tầng, MT: 3.5m, giao thông thuận tiện.+ Chỉ hơn 2 tỷ có nhà đẹp ở ngay, thiết kế hiện đại, chủ xây tâm huyết, chắc chắn.+ Khu vực đang cực kỳ phát triển, giao thông kết nối Văn Tiến Dũng, Cầu Diễn, Hoài Đức, Phương Canh, Hồ Tùng Mậu...+ Ngõ nông, rộng, thoáng, gần đường lớn, trường học, Đại học, chợ, hưởng trọn tiện ích khu vực.+ Sổ đỏ chính chủ sẵn sàng giao dịch. Liên hệ: Đức Anh – 0975517689",15/05/2022,Tin thường,batdongsan_so_com_vn_1673824755.6849978, 3, 3,,,
160 triệu VNĐ,Đường Ngõ Giếng phường ô chợ dừa, 63m2, 7,"
     - Vị trí đẹp, trung tâm Ô Chợ Dừa, ngõ thông sang Nguyễn Lương Bằng, Hoàng Cầu, Nguyễn Hy Quang,... Kinh doanh sầm uất, giao thông thuận tiện gần trường học: Đại học Văn hóa, Học viện Ngân hàng,... gần bệnh viện Đống Đa, bệnh viện Nội tiết TW Thái Hà,... gần chợ, TTTM,...- Nhà xây mới đẹp long lanh, thiết kế cực tinh tế và hiện đại. 7 tầng thang máy Đức nhập khẩu, nội thất xịn, đắt tiền. Sắp xếp rất thoáng, giếng trời thông từ mái: 4 phòng ngủ, phòng thờ, phòng khách, nhà bếp,...- Ngôi nhà thể hiện sự đẳng cấp từ vị trí đến chất lượng. Khu vực dân trí cao, yên tĩnh.- Sổ đỏ chính chủ đẹp, pháp lý chuẩn sẵn sàng giao dịch.- Liên hệ xem nhà miễn phí SĐT: 0868999505. (zalo/sms ) để được tư vấn và hỗ trợ 24/7.
",15/05/2022,Tin thường,batdongsan_so_com_vn_1673824756.7142065, 4, 4, 10, 5,
4 tỷ VNĐ,Phố Vĩnh Hồ - Ngã Tư Sở, 56m2, 5,"+Trung tâm quận Đống Đa, thông sang nhiều đường lớn: Đường Láng, Tây Sơn, Chùa Bộc.+Vị trí đắc địa, gần Ngã Tư Sở, ô tô đỗ 30m, gần bệnh viện và trường học+Nhà mới đẹp, nội thất cao cấp, khách mua về ở ngay.+Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sằng dao dịch.LH: Em Hoan, 0925088355, chuyên thổ cư Hà Nội, nhiệt tình, vui vẻ dẫn khách, miễn phí xem nhà 24/7.",15/05/2022,Tin thường,batdongsan_so_com_vn_1673824757.9499002, 5,,,,
2 tỷ VNĐ,"Phường Thổ Quan, Đống Đa", 30m2, 2,"CC cần bán nhà Phố Khâm Thiên, 30m2, MT 4m, nhỉnh 2 tỷ + Chính chủ cần bán nhà khâm Thiên, Đống Đa, nhà lô góc cực thoáng, vài bước ra Phố Khâm Thiên, diện tích 30m2, mặt tiền 3m, nhà 2 tầng.( bán đất tặng nhà) + Nhà Trung tâm quận Đống Đa,  thông phố Xã Đàn, tiện lợi ra phố Khâm Thiên, ra ngã 5 Ô Chợ Dừa, đi đâu cũng tiện. + Gần chợ, siêu thị tiện ích, bệnh viện, hồ sinh thái, khu vui chơi, giải trí, thuận lợi kinh doanh, cách trường học các cấp chỉ vài phút đi bộ. + Sổ đỏ đẹp, sẵn sàng giao dịch + Giá thoả thuận + Liên hệ Anh Minh, chuyên nhà đất thổ cư, Đống Đa, Thanh Xuân, sẵn sàng tư vấn miễn phí 24/7. ĐT: 0913 220 691.",15/05/2022,Tin thường,batdongsan_so_com_vn_1673824758.9970982, 3, 2, 2, 2,
"2,7 tỷ VNĐ","Ô Cách, Long Biên", 31m2, 4,"- Nhà 4 tầng, dân xây chắc chắn năm 2014, rất đẹp Tầng 1: Khách, bếp và wc Tầng 2,3: Mỗi tầng 1 ngủ và 1wc. Tầng 4: Phơi, thờ. + Chủ để lại nội thất trừ bể cá + Vị trí: 15m ra phố Ô Cách, Ở rất thích, gần nhiều tiện ích, Đến xem là ưng ngay. - Sổ đỏ đẹp, vuông, giao dịch luôn. Alo hoặc zalo: 0965492571 , Trác ocach để xem nhà/ đất",15/05/2022,Tin thường,batdongsan_so_com_vn_1673824760.2726865, 2,,,,
"3,3 tỷ VNĐ","Khu Đô Thị Ciputra, đường Võ Chí Công, quận Tây Hồ, Hà Nội", 86m2,,"Chỉ 3,3 tỷ Sở Hữu Ngay Căn Hộ 2 Phòng Ngủ Diện Tích 86m2 tại Tây Hồ. Chiết khấu ngay 4% khi mua tại thời điểm này, tặng ngay 30 triệu quà tân gia, hỗ trợ vay ngân hàng tối đa 70%.☎ Hotline VPBH: 0977 568 223📌Vị trí: Khu đô thị Ciputra, mặt đường Võ Chí Công, Tây Hồ, Hà Nội 📮 Chính Sách Bán Hàng- Miễn 2 năm phí dịch vụ- Vay tối đa 50% lãi suất 0% 24 tháng- Tặng ngay 30 triệu tiền nội thất 🌱 Thiết kế căn hộ- Diện tích thông thủy: 85,67m2- Gồm 2 ngủ 2 vệ sinh, 1 ban công- Phòng khách + bếp: 47m2- View nội khu yên tĩnh",15/05/2022,Tin thường,batdongsan_so_com_vn_1673824761.3228776,, 2,, 2, Đông bắc
"4,7 tỷ VNĐ","Vương Thừa Vũ, Thanh Xuân", 44m2,,"NHÀ ĐẸP Ở NGAY NGÕ 164 VƯƠNG THỪA VŨ, THANH XUÂN, DT 44M2, MT 4,2M, NGÕ THÔNG THOÁNG, KHU DÂN TRÍ CAO. + Thiết kế: Nhà 4 tầng Châu Âu, khung cột bê tông kiên cố, khu vực đầy đủ tiện ích, an ninh tốt và lối sống văn minh hiện đại. - Tầng 1: Phòng khách-bếp-vê sinh. - Tầng 2,3: Phòng ngủ-vệ sinh. - Tầng 4: Phòng thờ-sân phơi. + Nội thất đẹp, khách mua về ở ngay. + Sổ đỏ chính chủ, vuông đẹp, sang tên ngay. + Liên hệ em Thái tư vấn tận tâm-nâng tầm giá trị. + CAM KẾT ẢNH THẬT 100%.",15/05/2022,Tin thường,batdongsan_so_com_vn_1673824762.4588387,,,,,
"9,35 tỷ VNĐ",Nguyễn Văn Cừ, 76m2, 4,"- Thiết kế: Tầng 1: Gara ô tô + Khách + Bếp Tầng 2: 2 Phòng + VS Khép kín Tầng 3: 2 Phòng + VS Giữa Tầng 4: 2 sân phơi + Khu vực cực Vip của Long Biên, bao nhiêu khách muốn về đây ở. + Con cái chủ nhà còn có suất học tại Cấp 1 và Cấp 2 Gia Thuỵ (Trường điểm của Long Biên) Alo hoặc zalo: 0965492571, Trác Long Biên để được tư vấn miễn phí ",15/05/2022,Tin thường,batdongsan_so_com_vn_1673824763.7143612, 4,,,,
"6,9 tỷ VNĐ",Đường Đường Láng phường Láng hạ, 45m2, 5,"



-nhà nằm trong ngõ thông ra nhiều hướng chỉ ba bước chân ra phố lớn sầm uất đông đúc Đường láng - xung quanh ngôi nhà nhiều tiện ích tiếp giáp với Quận Thanh Xuân và cầu giấy gần trường học mẫu giáo cấp 1 cấp 2 và nhiều trường đại học cao đẳng . - Nhà chủ xây 5 tầng sạch sẽ thoáng mát tầng nào cũng có cửa sổ. Full nội thất. + Tầng 1 khách bếp để xe và vệ sinh. +Tầng 2+3+4 mỗi tầng 2 ngủ và vệ sinh riêng. + Tầng 5 phòng thờ và sân phơi. - sổ đỏ chính chủ pháp lý rõ ràng công chứng liền tay. -Giá gần 4 tỷ có thương lượng nếu khách thiện chí . - Liên hệ Mr Thụ ZALO 0963967883 xem nhà miễn phí 24/7

    ",15/05/2022,Tin thường,batdongsan_so_com_vn_1673824764.7775245, 5, 4, 2, 4,
