price,address,Diện tích,Mặt tiền,Số tầng,Details,Ngày đăng,Loại tin,id,Số phòng ngủ,Số toilet,Lộ giới,Hướng
4 tỷ VNĐ,Nguyễn Trãi-Ngã Tư Sở-Đống Đa, 49m2, 5, 5,"+Vị trí đắc địa, thông sang nhiều đường lớn: Nguyễn Trãi, Đường Láng và Trường Chinh. +Đi bộ 5 phút ra Royal City, gần trường học các cấp, bệnh viện và chợ Khương Trung. +Nhà mới đẹp, khách mua về ở ngay. +Sổ đỏ chính chủ, pháp lý chuẩn. LH: Em Hoan, 0925088355, chuyên thổ cư Hà Nội, miễn phí xem nhà 24/7.",14/05/2022,Tin thường,batdongsan_so_com_vn_1673824835.2685149,,,,
"5,4 tỷ VNĐ",La Khê, 45m2, 5, 4,"+ Bán Nhà, Lê Trọng Tấn, Hà Đông Ô Tô Kinh Doanh 45m2 x 4 tầng. Giá 5.4 tỷ. PHÂN LÔ Ô TÔ TRÁNH, NHÀ ĐẸP Ở NGAY.  + Đường trước nhà rộng ô tô tránh, ô tô vào nhà thoải máí. + Nhà cách mặt phố Lê Trọng Tấn 20m. Nhà gần tuyến xe buýt, ga tàu điện tren cao. Nhà gần chợ, trường học, siêu thị và các trung tâm thương mại lớn. Nhà gần Uỷ Ban Nhân Dân và Công An Phường La Khê. Khu vực dân trí cao, an ninh an toàn. Thiết kế 4 tầng: Tầng 1: Phòng khách, bếp, vệ sinh. Tầng 2,3: mỗi tầng 1 phòng rộng, vệ sinh. Tầng 4: tum. . + Sổ đỏ chính chủ, sẵn sàng giao dịch.  LH: E KHÁNH: 0984568179",14/05/2022,Tin thường,batdongsan_so_com_vn_1673824836.5490901, 3, 3,,
"3,6 tỷ VNĐ",Đường Ngọc Thụy phường Ngọc Thụy, 36m2, 4, 5,"-BÁN NHÀ NGọc Thụy Nhà đẹp vị trí đẹp ngõ ô tô thông tứ tung,ngõ nông thẳng tắp 1 bước là ra phố Long Biên, sang cổ Hồ Gươm 5 phút.Hàng xóm Mipec Long Biên Hiện tại khu vực tầm tiền và vị trí đẹp như này còn 1 căn duy nhất không nhanh tay là hết ngay trong 1 nốt nhạc.  - Nhà thiết kế đẹp, sàn gỗ, cửa thông phòng, tay vịn cầu thang gỗ Lim, vệ sinh ToTo xịn sò, các phòng sáng thoáng vô cùng. Được xây dựng bởi chủ đầu tư có tâm có tầm nhất trong khu vực Long Biên, thiết kế hiện đại đầy đủ công năng sử dụng   Tầng 1: Phòng khách, bếp, wc.   Tầng 2,3,4: Mỗi tầng 1 phòng ngủ, 1wc. phòng nào cũng thoáng đầy ánh sáng tự nhiên    Tầng 5: Phòng thờ, sân phơi cực thoáng  -Sổ đỏ vuông vắn sẵn sàng giao dịch ngay   +Liên hệ ngay: Ms Thoa chuyên BĐS thổ cư, nhà đẹp mặt phố, biệt thự Hà Nội. Hỗ trợ vay vốn đến 80% giá trị tài sản. ",14/05/2022,Tin thường,batdongsan_so_com_vn_1673824837.8576248, 3, 4, 4,
"3,95 tỷ VNĐ",Vũ Trọng Phụng, 30m2,,,"+ Vị trí: - Nằm ngay tại trung tâm của con phố, ngõ nông , rộng thông thoáng , dân cư đông đúc nhộn nhịp. - Gần trung tâm thương mại, tòa nhà văn phòng, trường học các cấp, chợ, công an quận, phường. + Thiết kế: -Tầng 1: Bếp, để xe, wc. - Tầng 2: Phòng khách + wc. - Tầng 3,4: Mỗi tầng 1 phòng + wc. - Tầng 5: Phòng thờ + sân phơi. + Sổ đỏ sẵn sàng, giao dịch ngay. - Giá: 3.95tỷ ( Còn thương lượng) miễn trung gian. + LH: 0912918139 – Trần Anh ( Để được tư vấn và xem nhà miễn phí).",14/05/2022,Tin thường,batdongsan_so_com_vn_1673824840.6395445,,,,
"4,25 tỷ VNĐ",Khương Trung, 35m2,,,"+ Vị trí: - Nằm ở vị trí đắc địa trong khu dân cư Cán Bộ, an ninh tốt, ngõ ôtô tránh, gần hồ sinh thái mát mẻ không khí trong lành. - Nhà xây mới, thiết kế hiện đại đầy đủ công năng, gần trường cấp 1, cấp 2, chợ và nhiều tiện ích khác. + Thiết kế: - Tầng 1: Phòng khách + bếp + wc. - Tầng 2,3,4: Mỗi tầng 1 phòng ngủ + wc. - Tầng 5: Phòng thờ + sân phơi. - Sổ đỏ chính chủ, sẵn sàn giao dịch ngay. - Giá: 4.25tỷ ( Còn thương lượng) miễn trung gian. + LH: 0912918139 – Trần Anh ( Để được tư vấn và xem nhà miễn phí).",14/05/2022,Tin thường,batdongsan_so_com_vn_1673824841.670726,,,,
"4,6 tỷ VNĐ","Hồng Mai, Hai Bà Trưng", 40m2,,,"NHÀ ĐẸP Ở NGAY HỒNG MAI, HAI BÀ TRƯNG, DT 40M2, 5 TẦNG, 2 THOÁNG, Ở LUÔN. + Nhà nằm trên một ngõ rộng thông nhau, cách phố Hồng Mai 50m, dân trí cao, nhộn nhịp. + Nhà 5 tầng chắc chắn móng lên tầng, thiết kế nội thất cực đẹp đẳng cấp. + Sổ đỏ vuông vắn chủ để trong két sắt sẵn sàng giao dịch ngay. + Liên hệ em Thái để biết thông tin chi tiết về ngôi nhà.",14/05/2022,Tin thường,batdongsan_so_com_vn_1673824842.7189226,,,,
"5,45 tỷ VNĐ",Phúc La- Hà Đông, 46m2,, 5,"Bán nhà lô góc, ô tô vào nhà, 46m, 5 tầng mới , dân xây, Phúc La, Hà Đông Cần tiền bán gấp nhà đẹp trung tâm phường Văn Quán, Hà Đông, với 5 tầng hiện đại,lô góc thoáng sáng lung linh. Nằm vị trí đắc địa ô tô vào nhà, đường trước nhà ô tô tránh hưởng trọn lợi ích khu đô thị Văn Quán, nội thất Châu Âu chỉ việc đến ở. Từ nhà ra trục chính Quang Trung rất gần, xung quanh đầy đủ tiện ích: bệnh viện, trường học các cấp, siêu thị, ngân hàng, chợ, công viên,…khu dân trí cao văn minh, nơi ở rất tĩnh. Giao thông vô cùng thuận lợi ra Xa La, cạnh Yên Xá, hàng xóm với Mỗ Lao, chạy dọc xống bưu điện Vạn Phúc, phái trên là Thanh Xuân và giáp Nam Từ Liêm. Giá: 5.45 ( có thương lượng). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",14/05/2022,Tin thường,batdongsan_so_com_vn_1673824843.7851148,,,,
"7,99 tỷ VNĐ",Đại An- Hà Đông, 52m2,, 5,"Mặt phố Vip Hà Đông, 52m, 5 tầng, kinh doanh, ô tô tránh, nhỉnh 7 tỷ Bán nhà mặt phố sầm uất bậc nhất Quận Hà Đông, xung quanh các trường Đại học lớn tập chung: Học viện An Ninh, Kiến Trúc, Công nghệ Bưu chính Viễn thông, Nhạc hoạ Trung ương, khu vực dân trí cao, kinh doanh đa dạng các loại hình. Nhà có vị trí đắc địa đoạn đẹp nhất Phố đường rộng thênh thoang, mặt tiền rộng hiếm mà giá tốt nhất khu vực, đường trước nhà ô tô tránh. Xung quanh đầy đủ tiện nghi, nhu cầu ở, thuê kinh doanh rất lớn. Nhà đang cho thuê doanh thu rất khủng. Giao thông di chuyển quá thuận lợi giáp Khu đô thị Mỗ Lao, hàng xóm Trần Phú, phía bắc là Văn Quán, di chuyển lên Thanh Xuân hay qua Bắc Từ Liêm rất thuận lợi. Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 7.99 tỷ ( có thương lượng). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",14/05/2022,Tin thường,batdongsan_so_com_vn_1673824844.870788,,,,
"7,99 tỷ VNĐ",Đại An- Hà Đông, 52m2,, 5,"Mặt phố Vip Hà Đông, 52m, 5 tầng, kinh doanh, ô tô tránh, nhỉnh 7 tỷ Bán nhà mặt phố sầm uất bậc nhất Quận Hà Đông, xung quanh các trường Đại học lớn tập chung: Học viện An Ninh, Kiến Trúc, Công nghệ Bưu chính Viễn thông, Nhạc hoạ Trung ương, khu vực dân trí cao, kinh doanh đa dạng các loại hình. Nhà có vị trí đắc địa đoạn đẹp nhất Phố đường rộng thênh thoang, mặt tiền rộng hiếm mà giá tốt nhất khu vực, đường trước nhà ô tô tránh. Xung quanh đầy đủ tiện nghi, nhu cầu ở, thuê kinh doanh rất lớn. Nhà đang cho thuê doanh thu rất khủng. Giao thông di chuyển quá thuận lợi giáp Khu đô thị Mỗ Lao, hàng xóm Trần Phú, phía bắc là Văn Quán, di chuyển lên Thanh Xuân hay qua Bắc Từ Liêm rất thuận lợi. Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 7.99 tỷ ( có thương lượng). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",14/05/2022,Tin thường,batdongsan_so_com_vn_1673824845.9050212,,,,
"5,45 triệu VNĐ",Phúc La- Hà Đông, 46m2,, 5,"Bán nhà lô góc, ô tô vào nhà, 46m, 5 tầng mới , dân xây, Phúc La, Hà Đông Cần tiền bán gấp nhà đẹp trung tâm phường Văn Quán, Hà Đông, với 5 tầng hiện đại,lô góc thoáng sáng lung linh. Nằm vị trí đắc địa ô tô vào nhà, đường trước nhà ô tô tránh hưởng trọn lợi ích khu đô thị Văn Quán, nội thất Châu Âu chỉ việc đến ở. Từ nhà ra trục chính Quang Trung rất gần, xung quanh đầy đủ tiện ích: bệnh viện, trường học các cấp, siêu thị, ngân hàng, chợ, công viên,…khu dân trí cao văn minh, nơi ở rất tĩnh. Giao thông vô cùng thuận lợi ra Xa La, cạnh Yên Xá, hàng xóm với Mỗ Lao, chạy dọc xống bưu điện Vạn Phúc, phái trên là Thanh Xuân và giáp Nam Từ Liêm. Giá: 5.45 ( có thương lượng). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",14/05/2022,Tin thường,batdongsan_so_com_vn_1673824846.8006685,,,,
