price,address,Diện tích,Mặt tiền,Số tầng,Details,Ngày đăng,Loại tin,id,Lộ giới,Số phòng ngủ,Số toilet,Hướng
"19,5 tỷ VNĐ",Lê Trọng Tấn, 80m2, 7, 8,"+Khu vực phân lô quân đội dân trí cao, an ninh an toàn. +Phố Lê Trọng Tấn sầm uất đầy tiện ích. +Tầng 1: Để xe, bảo vệ +Tầng 2-6: Mỗi tầng 3 phòng +Tầng 7: 4 phòng +Tầng 8: Phòng thờ, sân phơi. + Sổ đỏ vuông đét sẵn sàng giao dịch-gọi ngay em Đại-0963883403.",09/05/2022,Tin thường,batdongsan_so_com_vn_1673825553.1537867,,,,
"4,7 tỷ VNĐ",Đường Phạm NGọc Thạch phường Kim Liên, 52m2,, 1,"CẦN BÁN CĂN HỘ CHUNG CƯ SỐ 2 PHẠM NGỌC THẠCH, 2PN, DT 52M2.  Địa chỉ: Số 2, Đường Phạm Ngọc Thạch, Đống Đa, Hà Nội Giá bán: 4.7 tỷ Diện tích: 52m2 - Bán nhanh căn hộ chung cư 2PN, dt 52m2, tọa lạc trên một vị trí kim cương đắc địa “Trung tâm của Trung Tâm”. - Thiết kế căn hộ : 1PN,2PN,3PN diện tích từ 52m2-75m2-82m2-93m2-105m2 - Dễ dàng di chuyển, đi lại đến tất cả các khu vực trong nội thành Hà Nội, các khu vực trung tâm văn hóa, hành chính, vui chơi của toàn bộ thủ đô, nhất là các khu công viên, trường đại học hàng đầu. – Đi đến Hồ Gươm chỉ mất 15 phút. – Đi đến công viên Thống Nhất chỉ mất 8 phút. – Đi đế Đại Học Bách Khoa Hà Nội chỉ mất 7 phút. – Đi đến đại học Y Hà Nội chỉ mất 3 phút. – Đi đến Đại Học Công Đoàn chỉ mất 4 phút. – Đi đến Vincom Phạm Ngọc Thạch mất chưa đến 1 phút. – Đi đến Văn Miếu chỉ mất 12 phút. Liên hệ Mr. Huy Lâm: 0908266464",09/05/2022,Tin thường,batdongsan_so_com_vn_1673825554.629837, 20, 1, 1,
"7,5 tỷ VNĐ",Văn Cao Ba Đình Hà Nội, 52m2,, 5,"Cần bán nhà Văn cao ngõ to, oto tránh 20m, sổ nở hậu 50cm. Vị  trí đủ tiện ích xung quanh. GIao thông thuận tiện sang các con phố lớn như Hồ Tây,Đền Quán Thánh, Phố Cổ, Phố đi bộ,.... T1 để xe tiếp khách tạm T2 khách bếp T3, chia 2 phòng T4 đọc sách thể thao( cải tạo 2 ngủ được ) T5 phòng thờ sân phơi Ngõ rộng 3m ô tô đỗ cửa được nhà đẹp vào ở ngay Từ tầng 2 đến tầng 4 ốp sàn gỗ pơ mu cửa cầu thang gỗ Lim Cách Hồ Tây 60m nhà lên thêm 1 tầng là view Hồ Tây Nhà đẹp vào ở ngay LH:0962370591-Nguyễn Phúc Lộc",09/05/2022,Tin thường,batdongsan_so_com_vn_1673825555.9592807,, 2, 2,
"1,2 ngàn VNĐ","Cổ Đông, Sơn Tây", 60m2, 6, 1,"-    DT :61,4m2, MT:6m-    Vị trí: Cổ Đông, Sơn Tây-    Tiềm năng:+ Đường nội khu 8-12m 2 oto 7 chỗ tránh nhau thoải mãu, đường tỉnh lộ vào rộng 5-7m tùy từng vị trí+ Cách đường vành đài công nghệ cao 2.5 km ( 3p di chuyển)+ Từ QL21 đi vào 1,5km + Bán kinh 2km di chuyển vào tới các trường ĐH FPT,Việt Hàn,Việt Nhật,Việt Pháp ,ĐH khoa học và Công Nghệ và các nhà máy xí nghiệp như: Vinsmart, hanwa, nidec, nissan, sumito, viettel,…+ Đi ra tổ hợp làng đhqg chỉ 3km+ Đầy đủ tiện ích sống: Bán kính 1km có chợ, trường mần non, cấp 1,2,3… Bệnh viện, ủy ban xã,..liên hệ mr.Hùng: 0387507522",09/05/2022,Tin thường,batdongsan_so_com_vn_1673825557.1381278, 8, 1, 1, Đông nam
38 triệu VNĐ,Đường Quốc lộ 32 phường Đắc Sở, 369m2, 15,,"Giá đầu tư CỰC TỐT so với các khu vực lân cận, gần trung tâm, chuẩn bị trở thành quận cây xanh của Hà Nội. Chính chủ 0935791958 / 0357992929 ",09/05/2022,Tin thường,batdongsan_so_com_vn_1673825558.2582514,,,,
"4,2 tỷ VNĐ",ngõ 203 Kim Ngưu, 38m2, 3, 4,"Bán nhà ngõ 203 Kim Ngưu HBT Hà Nội DT 38m2x4T ngõ thông, gần chợ-Thiết kế bao gồm:-T1: phòng khách bếp, vệ sinh.-T2,3 mỗi tầng 2 phòng ngủ, vệ sinh giữa.-T4 phòng thờ sân phơi  -Vị trí: Ngõ 2 xe máy tránh nhau thoải mái, cách đường ô tô 30m đi mấy bước chân là ra đến chợ rất thuận tiện  cạnh phố Lạc Trung, Thanh Nhàn, Lò Đúc và các trường đại học lớn Bách Khoa, Xây dựng, Kinh tế đúng 1km cực thuận lợi việc học tập... ngay gần chợ, trường tiểu học đạt chuẩn quốc gia, các bệnh viện lớn như bệnh viện Thanh Nhàn, Bạch Mai...Sổ đỏ chính chủ, pháp lý rõ ràng-Giá: 4.2 tỷ ( có thương lượng) liên hệ chị Yến ĐT:0702138238",09/05/2022,Tin thường,batdongsan_so_com_vn_1673825559.6116307, 3, 4, 3, Tây
,Đường Yên Lạc phường Vĩnh Tuy, 90m2, 4, 3,"-Nhà nằm vị trí đẹp nhất phố Yên Lạc, khu trung tâm lõi quận Hai Bà Trưng, , tiện ích ngập tràn:Chợ, cửa hàng tạp hóa, quán ăn rất nhiều,Trường Tiểu học Tô Hiến Thành,Tòa nhà Đài truyền hình Kỹ thuật số VTC,...giao thông thuận tiện:Lạc Trung, Kim Ngưu, Minh Khai,..... -Nhà 3 mặt thoáng vĩnh viễn. Sân để xe phía trước nhà thoáng rộng, sân vườn phía sau nhà xanh mát, vượng khí,dân trí cao.Thiết kế 3 tầng bê tông chắc chắn: +Tầng 1: Văn phòng, để xe,vệ sinh +Tầng 2: 2 Phòng ngủ,vệ sinh +Tầng 3:1 Phòng ngủ, phòng thờ, sân phơi. -Sổ đỏ chính chủ giao dịch ngay -Liên hệ: Mr Linh, 0976961952 ( miễn trung gian) để được tư vấn 24/24.",09/05/2022,Tin thường,batdongsan_so_com_vn_1673825560.6957312, 5, 3, 2,
"4,3 tỷ VNĐ",Kim Giang - Thanh Xuân - Hà Nội, 37m2, 4, 5,"CHÍNH CHỦ BÁN NHÀ THANH XUÂN - KHƯƠNG ĐÌNH - KIM GIANG, 5 TẦNG LÔ GÓC Ô TÔ 37M2, 4.3 TỶ- Chính chủ bán nhà 5 tầng 37m2 lô góc, ngõ thông, ô tô, cách mặt phố ô tô tránh 50m, bãi để ô tô ngày đêm 100m- Khu phân lô văn minh, sát khu đô thị Đại Kim mới và khu đô thị Linh Đàm, 3 bước ra đường Nguyễn Xiển, - Nhà đẹp về ở luôn. Chủ thiện chí - Sổ đỏ chính chủ, giao dịch ngay- Liên hệ: 0918120568",09/05/2022,Tin thường,batdongsan_so_com_vn_1673825561.8386738,, 3, 4,
"4,25 tỷ VNĐ",Khương Trung - Thanh Xuân, 30m2,,,"+ Mô tả: - Vị trí đẹp, gần hồ, đường ô tô dừng đỗ cách nhà 10m. - Giao thông thuận tiện, lưu thông ra phố Vũ Tông Phan, phố Khương Trung. - Tiện ích xung quanh, gần chợ, gần Trường cấp 1, cấp 2. + Thiết kế: - Nhà 5 tầng xây mới, thiết kế hiện đại, kiên cố chắc chắn. - Tầng 1: Phòng khách +Bếp. - Tầng 2,3,4: Mỗi tầng được thiết kế 1 phòng, 1 phụ khép kín. - Sổ đỏ đẹp, sẵn sàng giao dịch. + LH: Trần Anh: 0912918139 ( Miễn Môi giới, trung gian). - Xem nhà miễn phí, tư vấn, hỗ trợ các vấn đề về pháp lý.",09/05/2022,Tin thường,batdongsan_so_com_vn_1673825563.169978,,,,
4 tỷ VNĐ,Phố Vũ Tông Phan-Phường Khương Đình, 63m2, 6, 4,"+ Gia chủ chuyển định cư nước ngoài để ở với con, nên cần bán gấp căn nhà với giá cực hiếm, Nhỉnh 4 Tỷ, 63M2x4T, Mặt Tiền 6.3M tại phố Vũ Tông Phan – Thanh Xuân. + Vị tí đắc địa, thông thương sang nhiều tuyến đường lớn: Chường Trinh, Nguyễn Trãi, Khương Đình. Tọa lạc bởi nhiều trường Đại học nổi: Trường Đại học Khoa học Xã hội và Nhân văn, Đại Học Đông Đô, Đại học Hà Nội, gần Trường học 3 Cấp và trường mầm non. + Vị trí đỉnh, 5 phút ra Royal City, cách bệnh viện Thanh Xuân hơn 400m, bãi xe ô tô cách gần 100m, gần khu tập Gym, siêu thị và chợ Khương Trung. + Khu dân cư dân trí cao, hàng xóm hiền lành thân thiện, ở đây an ninh được đánh giá cực tốt nên không xảy ra tệ nạn, nhà thoáng mát, không ngập nước, không ô nhiễm vì vậy được hắt sáng rất đều, thích hợp cho hộ gia đình ở và định cư lâu dài. + Gia chủ làm ăn ra, con cái làm quan chức, thành đạt nên được hưởng rất nhiều lộc.. + Căn nhà với thiết kế hiện đại, nội thất cao cấp, được chủ xây dựng rất tâm huyết, kiên cố , chắc chắn, đầy đủ công năng sử dụng, chỉ việc mang vali về ở ngay. + Pháp lý chuẩn, sổ đỏ vuông đẹp, sang tên nhanh, sẵn sàng dao dịch. + Giá thỏa thuận. + Liên hệ: Mr. Hoan – Chuyên thổ cư Hà Nội, 0925088355, tư vấn hỗ trợ pháp lý, phong thủy, vay vốn ngân hàng, miễn phí xem nhà 24/7.",09/05/2022,Tin thường,batdongsan_so_com_vn_1673825564.3398483,,,,
"8,2 tỷ VNĐ",Trần Phú- Hà Đông, 55m2,, 5,"Bán mặt phố gần trường Học Viện An Ninh, Hà Đông, 55m, 5 tầng, kinh doanh, ô tô tránh Cần bán nhà mặt phố trung tâm Quận Hà Đông vị trí đoạn dân đông đúc, kinh doanh sầm uất nhất phố lại gần các trường đại học lớn. Nhà thiết kế hiện đại các tầng thoáng sáng đầy đủ công năng sử dụng ở kết hợp cho thuê kinh doanh quá tuyệt vời. Giao thông di chuyển rất thuận lợi thông sang Khu đô thị Văn Quán, hàng xóm với Tân Triều, chạy dọc lên Thanh Xuân, ngay cạnh Mỗ Lao, thông thường Triều Khúc. Khu vực lúc nào cũng đông đúc gần trường chợ, siêu thị, bệnh viện, khu mua sắm, khu hiếm nhà bán ra căn nào hết căn đó, nhà mặt phố mà giá như trong ngõ với 5 tầng nhiều phòng thoáng đẹp. chủ nhà cần bán để đầu tư nhà xưởng máy móc, gia lộc cho khách thiện chí mua. Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 8.2 tỷ ( có thương lượng). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn. ",09/05/2022,Tin thường,batdongsan_so_com_vn_1673825565.4778035,,,,
"8,25 tỷ VNĐ",Đại An- Hà Đông, 54m2,, 5,"Mặt phố Vip  Đại An, Hà Đông, 54m, 5 tầng, kinh doanh, ô tô tránh, nhỉnh 8 tỷ Bán nhà mặt phố Vip Quận Hà Đông, xung quanh các trường Đại học lớn tập chung: Học viện An Ninh, Kiến Trúc, Công nghệ Bưu chính Viễn thông, Nhạc hoạ Trung ương, khu vực dân trí cao, kinh doanh sầm uất ngày đêm. Nhà có vị trí đắc địa đoạn đẹp nhất Phố Đại An, đường rộng thênh thoang, mặt phố hiếm vip mà giá tốt nhất khu vực. Xung quanh đầy đủ tiện nghi, nhu cầu ở, thuê kinh doanh rất lớn. Nhà đang cho thuê doanh thu rất khủng. Giao thông di chuyển quá thuận lợi giáp Khu đô thị Văn Quán, hàng xóm Trần Phú, di chuyển lên Thanh Xuân hay qua Bắc Từ Liêm rất thuận lợi. Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 8.25 tỷ ( có thương lượng). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",09/05/2022,Tin thường,batdongsan_so_com_vn_1673825566.630719,,,,
"3,65 tỷ VNĐ",Khương Đình - Thanh Xuân, 30m2,,,"+ Vị trí đẹp, gần hồ, gần ngã tư sở, ngõ xe Ba gác, nông toẹt, thông thoáng, giao thông thuận tiện, dân trí an ninh tốt. + Thiết kế: Nhà đẹp, xây chắc chắn, tầng 1 thông thủy, cầu thang cuối. - Tầng 1: Phòng khách + bếp. - Tầng 2,3,4: Mỗi tầng 1 phòng ngủ + 1wc. - Tầng 5: Sân phơi, tum. - Sổ đỏ chính chủ, pháp lý sạch, sẵn sàng sang tên. + LH: Trần Anh: 0912918139. - Để được xem nhà miễn phí.",09/05/2022,Tin thường,batdongsan_so_com_vn_1673825567.6888893,,,,
"8,25 tỷ VNĐ",Đại An- Hà Đông, 54m2,, 5,"Mặt phố Vip  Đại An, Hà Đông, 54m, 5 tầng, kinh doanh, ô tô tránh, nhỉnh 8 tỷ Bán nhà mặt phố Vip Quận Hà Đông, xung quanh các trường Đại học lớn tập chung: Học viện An Ninh, Kiến Trúc, Công nghệ Bưu chính Viễn thông, Nhạc hoạ Trung ương, khu vực dân trí cao, kinh doanh sầm uất ngày đêm. Nhà có vị trí đắc địa đoạn đẹp nhất Phố Đại An, đường rộng thênh thoang, mặt phố hiếm vip mà giá tốt nhất khu vực. Xung quanh đầy đủ tiện nghi, nhu cầu ở, thuê kinh doanh rất lớn. Nhà đang cho thuê doanh thu rất khủng. Giao thông di chuyển quá thuận lợi giáp Khu đô thị Văn Quán, hàng xóm Trần Phú, di chuyển lên Thanh Xuân hay qua Bắc Từ Liêm rất thuận lợi. Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 8.25 tỷ ( có thương lượng). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",09/05/2022,Tin thường,batdongsan_so_com_vn_1673825568.7171445,,,,
"7,3 tỷ VNĐ",Vĩnh Phúc Ba Đình Hà Nội, 50m2,, 6,"Cần bán nhà Vĩnh Phúc có thang máy, 40m ra oto tránh, ngõ trước nhà rộng, thoáng, mát + Lõi Ba Đình, cách ô tô tránh 38m, ngõ trước nhà ba gác, có thang máy + Thiết Kế: + T1 : phòng khách + bếp+ wc T2 : 2PN + wc T3: 2PN + wc T4 :2PN + wc T5 : 1NP + wc T6 : sân phơi,khoảng trống trồng rau sạch. + 6 tầng thang máy xịn xò, Chủ là cán bộ cấp cao xây nhà thiết kế chắc chắn, hợp lý nội thất đẹp. LH:0962370591-Nguyễn Phúc Lộc ",09/05/2022,Tin thường,batdongsan_so_com_vn_1673825570.0805132,, 6, 5,
"8,2 tỷ VNĐ",Trần Phú- Hà Đông, 55m2,, 5,"Bán mặt phố gần trường Học Viện An Ninh, Hà Đông, 55m, 5 tầng, kinh doanh, ô tô tránh Cần bán nhà mặt phố trung tâm Quận Hà Đông vị trí đoạn dân đông đúc, kinh doanh sầm uất nhất phố lại gần các trường đại học lớn. Nhà thiết kế hiện đại các tầng thoáng sáng đầy đủ công năng sử dụng ở kết hợp cho thuê kinh doanh quá tuyệt vời. Giao thông di chuyển rất thuận lợi thông sang Khu đô thị Văn Quán, hàng xóm với Tân Triều, chạy dọc lên Thanh Xuân, ngay cạnh Mỗ Lao, thông thường Triều Khúc. Khu vực lúc nào cũng đông đúc gần trường chợ, siêu thị, bệnh viện, khu mua sắm, khu hiếm nhà bán ra căn nào hết căn đó, nhà mặt phố mà giá như trong ngõ với 5 tầng nhiều phòng thoáng đẹp. chủ nhà cần bán để đầu tư nhà xưởng máy móc, gia lộc cho khách thiện chí mua. Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 8.2 tỷ ( có thương lượng). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",09/05/2022,Tin thường,batdongsan_so_com_vn_1673825571.1386595,,,,
"1,9 tỷ VNĐ",thủy xuân tiên chương mỹ hà nội, 138m2, 5,,"+ Chính chủ cần bán lô đất 138m2 Thôn xuân linh xã thủy xuân tiên chương mỹ Hà Nội diện tích sổ đỏ Full thổ cư Chương Mỹ . + Mặt tiền = 5.5 + Chiều sâu 26m.  -Trục đường chính kết nối KCN nhuận trạch_ Đường xuân linh bê tông thị trấn Xuân Mai. + Kết nối giao thông thuận tiện chỉ 5 p ra  đường HCM và đến trung tâm TP hà nội chỉ 1h xe ô tô. + Dân cư khu vực dân trí cao, an ninh đảm bảo, gần nhiều tiện ích đô thị đông, nay mai là trục đường chính vào cụm công nghiệp Nhuận trạch lương sơn. + Vị trí Lô đất cực đẹp thích hợp khách mua đầu tư giữ tiền hoặc mua xây ở, kinh doanh buôn bán hoặc cho thuê tương lai cực kỳ phát triển. + Giấy tờ pháp lý đầy đủ đất sạch sổ nét Full thổ cư, không tranh chấp xứng đáng để các nhà đầu tư quan tâm đón đầu.  Sẵn sàng sang tên công chứng cho bên mua thiện chí ! Giá bán 1.95 tỷ liên hệ Nam nguyễn để xem cụ thể trực tiếp miễn trung gian.",09/05/2022,Tin thường,batdongsan_so_com_vn_1673825572.296562, 10,,, Đông bắc
10 tỷ VNĐ,"Thụy Khuê, Tây Hồ, Hà Nội", 130m2, 12, 3,"Bán biệt thự sân vườn Thụy Khuê Tây Hồ - 130m2 – 3 tầng – MT 12m – Nhỉnh 10 tỷ. - Căn nhà thuộc dạng siêu hiếm ở Tây Hồ, diện tích sổ 130,m chia 3 lô vô cùng đẹp. - Hiện trạng đang là căn Biệt thự cổ 3 tầng , có thể để ở hoặc phá bỏ đi xây thành 3 căn nhà đều tuyệt vời. - Sân nhà rộng đủ để nhiều xe máy, trồng thêm cây thêm hoa thì quá đẹp. - Ngõ Thụy Khuê thông nhiều ngả, ba gác tránh xe máy. - Đất Vượng khí, chủ ở có lộc, con cái thành đạt định cư nước ngoài. Thiết kế: + Tầng 1: Sân vườn, bếp, phòng khách, 1 phòng ngủ, wc. + Tầng 2, 3: 5 phòng ngủ, wc, khu thờ tự. - Sổ đỏ chính chủ, giao dịch nhanh, khu an ninh, dân trí cao.  Khách quan tâm liên hệ Mr Đức: 0857619534.",09/05/2022,Tin thường,batdongsan_so_com_vn_1673825573.3587213,, 6,,
"2,7 tỷ VNĐ",Phường Kiến Hưng, 25m2,,,"Mô tả: Nhà Thuộc Phường Kiến Hưng Quận Hà Đông khu vực đang phát triển mạnh từng ngày xung quanh tiện ích ngập tràn gần chợ, trường mần non, cấp 1, 2, gần nhiều Bệnh Viện lớn như Viện Quân Y 103, Viện Bỏng Quốc Gia, gần khu Đô Thị Xa La, giao thông thuận tiện, an sinh tuyệt vời. - Nhà 5 Tầng chủ nhà xây chắc chắn, nhà đẹp long lanh. Thiết kế hiện đại thông sàn tổng 3 ngủ, 4 vệ sinh, phòng khách, phòng bếp, phòng thờ sân phơi đầy đủ công năng. Sổ đỏ vuông đẹp, nét, sẵn sàng giao dịch. Giá 2.7 tỷ có thương lượng. Liên hệ: Tôi Quang 0936590234 để được tư vấn và được xem nhà miễn phí. ",09/05/2022,Tin thường,batdongsan_so_com_vn_1673825574.466757,,,,
"3,95 tỷ VNĐ",Cầu Giấy - Hà Nội, 40m2,, 5,"- NHÀ ĐẸP TRUNG TÂM CẦU GIẤY - Ở SƯỚNG - GẦN PHỐ - Ô TÔ ĐỖ CÁCH VÀI CHỤC MÉT- SỔ VUÔNG NHƯ TỜ A4.+ Vị trí nhà tuyệt vời , sát phố , đường thông tứ tung các tuyến đường Cầu Giấy, Nguyễn Văn Huyên, Nguyễn Khánh Toàn..+ Khu vực tiện ích đầy đủ , dân trí cao , đáng sống .+ Thiết kế 5 tầng với 3 phòng ngủ  đầy đủ công năng .- Giá 3,95 ( có thương lượng )- Liên hệ Tiến Hoàng 0976817296 - Tư vấn nhiệt tình miễn phí !",09/05/2022,Tin thường,batdongsan_so_com_vn_1673825576.8952599,, 3,,
