price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Số tầng,Mặt tiền,Lộ giới,Số phòng ngủ,Số toilet
"3,1 tỷ VNĐ",Thiên Hiền Mỹ Đình, 53m2,35,06/05/2022,Tin thường,batdongsan_so_com_vn_1673825866.572171,,,,,
"5,3 tỷ VNĐ","Chính Kinh, Nhân Chính", 42m2,"+ Chính chủ bán nhà Chính Kinh, Thanh Xuân, diện tích 42m2, mặt tiền 3,5m, 4 phòng ngủ, phòng khách, phòng thờ, sân phơi.+ Vị trí đẹp, khu vực trung tâm quận, giao thông thuận tiện, vài bước chân ra đường ô tô tránh, gần trường, chợ, bệnh viện, tiện ích xung quanh bạt ngàn.+ Sổ đỏ đẹp, sẵn sang giao dịch.* Liên hệ: Phùng Trang 0975124 520.",06/05/2022,Tin thường,batdongsan_so_com_vn_1673825867.9215598,,,,,
"4,5 tỷ VNĐ",Khương Đình Thanh Xuân, 35m2,"BÁN NHÀ NGÕ 320 KHƯƠNG ĐÌNH, THANH XUÂN, DT 35M2, 5 TẦNG, NGÕ THÔNG PHỐ, KHU VIP. + Vị trí đẹp, ngõ đẹp, sổ đẹp, khu vip Khương Đình, an ninh dân trí cao, ô tô gần nhà, nhà vuông nét, ở luôn. Tầm tiền siêu nhiều khách ô tô và siêu hiếm nhà bán. + Nhà 5 tầng, chắc chắn, kiên cố, ở luôn, vuông vắn trước sau thủy chung như một. Cầu thang giữa tầng 2 phòng, ban công, giếng trời, thoáng sáng trước sau, mặt sau cũng có cửa sổ mát rượi. + Pháp lý sạch, sổ đỏ đầy đủ, nói không với lỗi phong thủy. + Liên hệ em Thái để được tư vấn và hỗ trợ miễn phí.",06/05/2022,Tin thường,batdongsan_so_com_vn_1673825868.9956856,,,,,
"5,5 tỷ VNĐ","Hồ Tùng Mậu, Cầu Giấy", 36m2,"+ Cần tiền kinh doanh chủ bán gấp nhà khu Hồ Tùng Mậu, Cầu Giấy – Lô góc – 4 tầng X 36m2 – MT: 4m – đường ô tô tải né nhau – kinh doanh đỉnh.+ Vị trí cực đẹp, nằm khu trung tâm, dân trí đông chủ đang cho thuê kinh doanh quán ăn.+ Giao thông thuận tiên, thông đi các ngả đường: Lê Đức Thọ, Xuân Thủy, Phạm Văn Đòng, Phạm Hùng, Hàm Nghi…+ Gần trường học, Đại học, chợ, 300m bến xe Mỹ Đình, vài bước chân ra hồ, siêu thị.+ Liên hệ em Đức Anh để xem nhà: 0975517689",06/05/2022,Tin thường,batdongsan_so_com_vn_1673825870.2323885, 4,,,,
3 tỷ VNĐ,Đường Cảm Hội phường Đống Mác, 34m2,"+ Nhà đẹp ở ngay thoáng sáng cực kỳ vượng khí hút lộc.Rất phù hợp cho vợ chồng trẻ mới cưới hoặc có 2 con nhỏ. +Vị trí đắc địa trung tâm Quận Hai Bà Trưng,giao thông thuận lợi,tiện ích đầy đủ xung quanh. +Tổng diện tích sử dụng: 34m2+ Mặt tiền 3m. Giá chỉ nhỉnh 3 tỷ đồng. +Sổ đỏ chính chủ, pháp lý chuẩn ,sẵn sàng giao dịch. +Liên hệ xem nhà miễn phí Em Hùng: 0913648922. + Miễn quảng cáo,trung gian.Cảm ơn. ",06/05/2022,Tin thường,batdongsan_so_com_vn_1673825871.4032564, 4, 3, 3, 3, 4
4 tỷ VNĐ,Đường Nguyễn Chính phường Tân Mai, 48m2,"+Nhà chủ tự xây cực tâm huyết,đẹp long lanh.Chủ bán đi tiếc lắm nhưng vì có công chuyện nên cần bán cho ai có thiện chí mua.+Tổng diện tích sử dụng: 48m2 - 5 tầng.Giá YÊU THƯƠNG nhỉnh 4 tỷ có thương lượng.+Thiết kế chắc chắn,hiện đại đầy đủ công năng để ở hoặc cho thuê...+Gần trường,chợ,giao thông thuận tiện,khu dân trí cao,hàng xóm thân thiện.+Quan tâm gọi ngay: 0913648922 Em.Hùng+Miễn trung gian,quảng cáo.Cảm ơn.",06/05/2022,Tin thường,batdongsan_so_com_vn_1673825877.1133876, 5, 5, 4, 4, 4
"3,75 tỷ VNĐ",Thanh Xuân - Hà Nội, 50m2,"Bán GẤP nhà KHƯƠNG ĐÌNH - THANH XUÂN, HIỆN ĐẠI - ẤM CÚNG, 50m2 MT 4.7m - CHỈ 3.75 TỶ - Lh: 0961.916.951 - Mr.Nam+ Đầy đủ tiện ích sinh hoạt xung quanh+ Gần trung tâm Y tế quận Thanh Xuân, Trường Mầm non+ Trung tâm Quận Thanh Xuân chưa đến 80tr/m quá rẻ so với mặt bằng chung.+ Cổng chung có sân rộng thoáng mát, an ninh cực tốt.+ Thiết kế hiện đại: sân để xe, phòng khách lớn, 4 ngủ.+ Sổ nở hậu cất két sẵn sàng giao dịch.Chủ nhà làm ăn phát đạt đổi nhà mặt phố tiện kinh doanh.- Giá chỉ 3.75 tỷ (có đàm phán)- Liên hệ: 0961916951 – Mr. Nam – MIỄN TRUNG GIAN.• Hỗ trợ tư vấn, xem nhà miễn phí 24/7Được làm việc trực tiếp với chủ.",06/05/2022,Tin thường,batdongsan_so_com_vn_1673825878.3145483, 4, 4,, 4,
"5,2 tỷ VNĐ","Phố Cự lộc, Thượng Đình, Thanh Xuân, Hà Nội", 40m2,"Bán Nhà đẹp Phố Cự Lộc, Ở LUÔN , 2 THOÁNG, hàng xóm Royal City + Nhà vị trí đẹp trước nhà view rộng cơ quan rất thoáng, cách mặt phố vài bước chân ô tô đõ sát nhà, 2 phút ra đường Nguyễn Trãi. + Khu vực trung tâm tiện ích, hưởng trọn tiện ích hàng xóm Royalcity, gần trường Đại Học Quốc Gia, đi bộ 3 phút ra chợ Thượng Đình, Chợ Ngã Tư Sở.+ Nhà 2 mặt thoáng trước sau phòng nào cũng có cửa sổ, Nhà 4 tầng chủ mới sơn lại nhà khách về ở luôn.+ Sổ đỏ chính chủ vuông vắn cất tủ. + Nhỉnh 5 tỷ  Liên hệ: Mr: Hồng Hải – 0961771396 ( Miễn phí xem nhà và  hỗ trợ tư vấn: pháp lý, phong thủy, ngân hàng)  ",06/05/2022,Tin thường,batdongsan_so_com_vn_1673825879.3229084, 4,,,,
"3,6 tỷ VNĐ","Ngõ Khương Đình, Hà Nội", 40m2,"CĂN NHÀ MƠ ƯỚC TẠI PHỐ KHƯƠNG ĐÌNH, 4 TẦNG, MT 4M, CỰC THOÁNG MÁT , TẶNG NỘI THẤT XỊN Nhà mới, thiết kế theo phong cách hiện đại, nội thất xịn sẵn có. Diện tích 40m2 với thiết kế 4 tầng, mặt tiền 4m thông thoáng, có tới 4PN đáp ứng mọi nhu cầu, giá cực tốt chỉ 3,6 tỷ còn có thể thương lượng. Tầng 1: Phòng khách, bếp, nơi để xe. Tầng 2 + 3: Mỗi tầng đều có 2 phòng ngủ và nhà vệ sinh. Tầng 4: Phòng thờ, sân phơi. Nhà trong ngõ 2xx phố Khương Đình. Khu vực quanh Royal city này hiện nay đã là trung tâm của quận Thanh Xuân với rất nhiều tiện ích. Nhà rất gần chợ và các trung tâm thương mại, Bách Hóa Xanh, có các trường học liên cấp Quốc gia, bệnh viện, giao thông thuận tiện thông ra Linh Đàm, Nguyễn Xiển, Nguyễn Trãi, Trường Chinh. An ninh rất tốt, hàng xóm chủ yếu là cán bộ. Nhà đã có Sổ đỏ, chính chủ trực tiếp giao dịch. Giá: 3,6 tỷ (có thương lượng). Liên hệ: Mr Tiến - Chuyên gia Bất động sản Thổ cư – ĐT: 0979.160085 ",06/05/2022,Tin thường,batdongsan_so_com_vn_1673825880.935659, 4,,, 4, 3
6 tỷ VNĐ,Bắc Từ Liêm, 56m2,"Bán Nhà Mới Đẹp Đức Diễn,Bắc Từ Liêm, Ô Tô vào nhà Gara, 56m2, 4 tầng. + Nhà trong khu dân cư đông đúc, gần trường học các cấp, chợ. + Kinh doanh buôn bán các mặt hàng rất tốt. + Nhà xây kết cấu 4 tầng. 4 phòng ngủ, 1 phòng thờ và sân thượng. + Thiết kế không gian hợp lý, hiện đại. ——————————– + Vị trí trung tâm hành chính văn hoá mới của quận Bắc Từ Liêm trung tâm kinh tế mới của Hà Nội trong tương lai, phía nam giáp quận Cầu Giấy. + Khu vực có tốc độ đô thị hoá với tốc độ cao. + Các công trình nổi bật ở khu như: Thành Phố giao lưu, bệnh viện đa khoa Phương Đông, Gold Mark City. + Các công trình đang làm và dự kiến hoàn thành trong tương lai như: đường trục Tây Thăng Long, đường trục Hồ Tây- Ba Vì sẽ làm thay đổi bộ mặt đô thị, bệnh viện mắt TW cơ sở 2 đang hoàn thiện, quy hoạch xung quanh khu hành chính quận có rất nhiều công viên cây xanh và công viên phần mềm. ——————————— + Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng giao dịch. + Hỗ trợ khách hàng có nhu cầu vay vốn ngân hàng. + Chủ bán cần bán gấp giá cả thương lượng, đàm phán. + Hãy gọi Anh Hiệp để xem nhà ngay: 0963 005 936.",06/05/2022,Tin thường,batdongsan_so_com_vn_1673825881.8914523,,,,,
