price,address,Diện tích,Hướng,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Mặt tiền
"9,5 tỷ VNĐ",ngõ 2 phố Bạch Mai, 80m2, Nam, 5, 5, 10, 6,"Chuyển đổi cần bán căn nhà ngõ 2 Bạch mai HBT, Hà Nội DT 80mx5T có thang máy. giá 9.5 tỷNhà xây khung cột bê tông chắc chắc, kinh doanh ,ô tô chạy qua nhà . Thiết kế hiện đại bao gồm: T1:Sân , phòng khách, bếp, phòng ăn, vệ sinh.T2,3,4 mỗi tầng 3 phòng ngủ vệ sinh .các phòng đều mở cửa sổ.T5 1 phòng thờ, 1 phòng ngủ,1 vệ sinh, sân phơi.Nhà hoàn thiện nội thất cao cấp sàn gỗ , tủ bếp, tay vịn cầu thang, cửa thông phòng làm toàn bằng gỗ tự nhiên , thiết bị vệ sinh nhập khẩu. gia chủ để lại toàn bộ nội thất cho người mua Gồm 10 Điều Hòa, Giường Tủ, Bình nóng lạnh.Vị Trí đẹp ngõ thông kinh doanh, ô tô chạy qua nhà sát Bạch Mai, phố Huế , phía sau là ủy ban nhân dân quậ HBT sát trường tiểu học Tô Hoàng, gần trường cấp 3 Thăng Long , gần công viên thống nhất, nhiều trường ĐH, Bệnh viện mua đầu tư cho thuê hiệu suất cao sổ đỏ chính chủ giá 9.5 tỷ có thương lượng.liên hệ chị Yến ĐT:0702138238",05/05/2022,Tin thường,batdongsan_so_com_vn_1673825998.0523007,
"14,5 tỷ VNĐ",ngõ 306 Lê Trọng Tấn, 107m2, Đông bắc, 5, 3, 6, 6,"Chuyển đổi cần bán nhà đường Lê Trọng Tấn, phường Khương Mai, Thanh Xuân, Hà Nội.-DTSĐ: 107m2- Mặt tiền 5,08m; Mặt hậu: 5,28mHiện trang đang có nhà 3 tầng kiên cố chắc chắn trên đất, cho thuê kinh doanh hoặc xây tòa nhà văn phòng, chung cư mini hoặc phòng khám.Vị trí cực đẹp đường trước nhà ô tô 7 chỗ vào nhà, Cách mặt phố Lê Trọng Tấn đúng 15m , gần nhiều trường đại học lớn và bệnh viện , gần chợ nên rất thuận tiện cho sinh hoạt…SĐCC. Giá 14.5 tỷ ( Có thương lượng) liên hệ chị Yến ĐT:0702138238 ",05/05/2022,Tin thường,batdongsan_so_com_vn_1673825999.2301505, 5
"10,2 tỷ VNĐ",Lạc Long Quân, 54m2,,,,,,"Cần bán nhà Lạc Long Quân ngõ oto tránh, gần phố, vị trí nhiều tiện ích. Nhà lô góc, khu vực an sinh dân trí cao, an ninh tốt . Thiết kế: - Tầng 1: bếp và khách , đỗ xe ( thông sàn) - Tầng 2 : thông sàn , Wc - T3,4: 2 phòng ngủ, vệ sinh to ở giữa( sửa khép kín ok) - Tầng 5 : phòng thờ sân phơi LH:0962370591-Nguyễn Phúc Lộc ",05/05/2022,Tin thường,batdongsan_so_com_vn_1673826000.2374551,
5 tỷ VNĐ,phố Khương Trung - Thanh Xuân, 50m2,,, 5, 6,,"+ Chính chủ cần bán gấp nhà tại phố Khương Trung – Thanh Xuân, 50m2, MẶT TIỀN 4m, 5 Tầng, Nhỉnh 5 Tỷ, nội thất đầy đủ, tiện nghi đặc biệt chủ tặng toàn bộ nội thất cho khách.+ Căn nhà với vị trí đắc địa, thông ra nhiều tuyến đường lớn như: Nguyễn Trãi, Khương Đình, Trường Chinh. Đặc biệt gần với trường Tiểu học Nguyễn Trãi, trường THCS và THPT Khương Đình, bệnh viện Thanh Xuân, khu tập gym, chợ Kim Giang .+ Căn nhà với thiết kế hiện đại, nội thất cao cấp, xây dựng kiên cố, chắc chắn, đầy đủ công năng sử dụng.+ khu dân cư hiện hữu: An ninh tốt, dân trí cao, hàng xóm hiền lành, thân thiện, không ngập nước, không ô nhiễm, không khí thoáng mát trong lành. Thích hợp cho hộ gia đình ở và cho thuê phòng kinh doanh mỗi tháng mang lại thu nhập cao.+ Giá thỏa thuận.+ Pháp lý chuẩn, sổ đỏ vuông đẹp, sang tên nhanh, sẵn sàng dao dịch.+ Liên hệ: Mr. Hoan – chuyên thổ cư Hà Nội, 0925088355, tư vấn hỗ trợ pháp lý, vay vốn, miễn phí xem nhà 24/7.",05/05/2022,Tin thường,batdongsan_so_com_vn_1673826001.3295352, 4
"4,6 tỷ VNĐ","Khương Đình, Thanh Xuân", 30m2,,,,,,"BÁN NHÀ NGÕ 460 KHƯƠNG ĐÌNH, THANH XUÂN, DIỆN TÍCH 30M2, 5 TẦNG, NGÕ RỘNG THÔNG PHỐ, Ô TÔ CHẠY QUA NHÀ, ĐỐI DIỆN CHUNG CƯ FIVE STAR. + Vị trí trung tâm Thanh Xuân dân trí cao, gần chợ, trường học, bệnh viện, ngân hàng và giao thông thuận tiện. + Nhà 5 tầng cực đẹp mặt ngõ nông rộng thông phố, nhà của hot girl TIK TOK. + Sổ đỏ chính chủ, pháp lý sạch. + Liên hệ em Thái để được tư vấn và hỗ trợ miễn phí.",05/05/2022,Tin thường,batdongsan_so_com_vn_1673826002.6380327,
"5,5 tỷ VNĐ","Đường Võ Chí Công, KĐT Ciputra, Tây Hồ, Hà Nội", 168.1m2, Đông bắc,,, 3, 2,"⚠️ Chỉ 5,5 tỷ sở hữu ngay căn hộ 3 phòng ngủ diện tích 168m2 tại Tây Hồ. Chiết khấu ngay 4% khi mua tại thời điểm này, tặng ngay 30 triệu quà tân gia, hỗ trợ vay ngân hàng tối đa 70%.☎ Hotline VPBH: 0977 568 223📌Vị trí: Khu đô thị Ciputra, mặt đường Võ Chí Công, Tây Hồ, Hà Nội 📮 Chính Sách Bán Hàng- Miễn 2 năm phí dịch vụ- Vay tối đa 50% lãi suất 0% 24 tháng- Tặng ngay 30 triệu tiền nội thất",05/05/2022,Tin thường,batdongsan_so_com_vn_1673826004.327513,
67 tỷ VNĐ,Đường Lê Duẩn phường Nguyễn Du, 150m2,, 8, 11, 5, 12,0965915886,05/05/2022,Tin thường,batdongsan_so_com_vn_1673826005.4994295, 7
57 tỷ VNĐ,Đường Phố Huế phường Hàng Bài, 100m2,, 10, 6, 5, 12,0965915886,05/05/2022,Tin thường,batdongsan_so_com_vn_1673826006.635776, 5
8 tỷ VNĐ,Cầu Giấy, 40m2,,,,,,"+ Kinh doanh buôn bán các mặt hàng rất tốt. ——————————– + Các công trình nổi bật ở khu như: công viên Cầu Giấy, công viên Nghĩa Tân, bệnh viện 198, bệnh viện y học cổ truyền. + Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng giao dịch. + Hãy gọi Anh Hiệp để xem nhà ngay: 0963 005 936. ",05/05/2022,Tin thường,batdongsan_so_com_vn_1673826007.9722424,
125 tỷ VNĐ,"đường Lê Văn Lương, phường Nhân Chính", 313m2,,, 1, 1, 1,"Cần bán mảnh đất ở đường Lê Văn Lương, phường Nhân Chính, quận Thanh Xuân. LÔ ĐẤT VÀNG DUY NHẤT CÒN SÓT - ĐẸP NHẤT THANH XUÂN - ĐẮC ĐỊA - 3 MẶT NGÕ ĐỀU Ô TÔ TRÁNH VỈA HÈ - VIEW VƯỜN HOA. Vị trí đắc địa, lô đất đẹp duy nhất còn sót lại tại khu này - khu đẹp nhất quận Thanh Xuân – Cầu Giấy. Ba mặt ngõ ô tô tránh, ngõ chạy quanh nhà. Rất phù hợp cho xây tòa nhà văn phòng hay chung cư. Giao thông cực thuận tiện, khỏi phải bàn khi Lê Văn Lương là 1 trong những tuyến phố chính của TP Hà Nội. Diện tích 313m2 (30mx10,4m); giá: 125 tỷ VNĐ. Sổ chính chủ, hoa hậu. Liên hệ: Mr. Ngọc – 0344.978.570 (miễn phí xem nhà, miễn môi giới, trung gian). Hỗ trợ vay vốn ngân hàng, thủ tục đơn giản, giải ngân nhanh.",05/05/2022,Tin thường,batdongsan_so_com_vn_1673826009.0892985,
