price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số phòng ngủ,Hướng,Số toilet
"8,5 tỷ VNĐ",Phố Vương Thừa Vũ, 70m2, 4,"+Nhà vị trí đẹp khu quân đội, an ninh tốt,ô tô đỗ cổng. +Thiết kế 4 tầng khung BTCT vững chắc, sang trọng. +Gần ngay Ngã Tư Sở, giao thông thuận lợi, nhiều tiện ích. +Sổ đỏ vuông đẹp, sẵn sàng giao dịch.",25/04/2022,Tin thường,batdongsan_so_com_vn_1673826760.4984415,,,,,
"7,1 tỷ VNĐ",Nguyễn Thái Học- Hà Đông, 61m2, 6,"Bán nhà mặt phố Nguyễn Thái Học, Hà Đông, 61m, 6 tầng, lô góc, vỉa hè, kinh doanh Tôi cần bán nhà đẹp cạnh chợ Vồ, Hà Đông, khu phố cực kì sầm uất giao thông đi đâu cũng thuận tiện ra Quang Trung, thông ra Phan Chu Trinh, cách bưu điện Hà Đông rất gần, xung quanh là các trường học, vài bước ra phố Bế Văn Đàn, cách hồ Đầm Khê chỉ 100m. Nhà mặt phố cổ đường thông hè thoáng phù hợp các loại hình kinh doanh: Spa, nail, tóc, quán ăn, cafe, hiệu thuốc, phòng khám...., dân cư xung quanh văn minh, sầm uất ngày đêm. Chủ nhà là bác sĩ thành đạt, cần bán để đầu tư máy móc, nhà rất có lộc, mặt phố đẹp hiếm nhà bán. Sổ đỏ chính chủ, sẵn sàng giao dịch. Giá: 7.1 tỷ ( có thương lượng). Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM GẦN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",25/04/2022,Tin thường,batdongsan_so_com_vn_1673826761.7331405,,,,,
"8,2 tỷ VNĐ",Tô Hiệu- Hà Đông, 52m2,,"Mặt phố Tô Hiệu, Hà Đông, 52m, 5 tầng, vỉa hè kinh doanh. Liên hệ: 0965472910 Bán nhà mặt phố cổ Tô Hiệu Hà Đông, nhà đẹp xây kiên cố, vị trí trung tâm sầm uất, không có căn thứ 2 để so sánh, vỉa hè rộng thênh thang. Phù hợp với các loại hình kinh doanh ngay cạnh chợ lớn Hà Đông. Di chuyển các con phố cổ thuận tiện giáp Bà Triệu, cắt ngang phố Lê Lợi, thông ra Tản Đà và Hoàng Diệu, 1 phút ra siêu thị Metro,... Sổ đỏ chính chủ, sẵn sàng giao dịch. Giá: 8.2 tỷ ( có thương lượng). Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM GẦN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",25/04/2022,Tin thường,batdongsan_so_com_vn_1673826762.790312,,,,,
"8,2 tỷ VNĐ",Tô Hiệu- Hà Đông, 52m2,,"Mặt phố Tô Hiệu, Hà Đông, 52m, 5 tầng, vỉa hè kinh doanh. Liên hệ: 0965472910 Bán nhà mặt phố cổ Tô Hiệu Hà Đông, nhà đẹp xây kiên cố, vị trí trung tâm sầm uất, không có căn thứ 2 để so sánh, vỉa hè rộng thênh thang. Phù hợp với các loại hình kinh doanh ngay cạnh chợ lớn Hà Đông. Di chuyển các con phố cổ thuận tiện giáp Bà Triệu, cắt ngang phố Lê Lợi, thông ra Tản Đà và Hoàng Diệu, 1 phút ra siêu thị Metro,... Sổ đỏ chính chủ, sẵn sàng giao dịch. Giá: 8.2 tỷ ( có thương lượng). Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM GẦN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",25/04/2022,Tin thường,batdongsan_so_com_vn_1673826763.8863778,,,,,
"8,2 tỷ VNĐ",Tô Hiệu- Hà Đông, 52m2, 5,"Mặt phố Tô Hiệu, Hà Đông, 52m, 5 tầng, vỉa hè kinh doanh. Liên hệ: 0965472910 Bán nhà mặt phố cổ Tô Hiệu Hà Đông, nhà đẹp xây kiên cố, vị trí trung tâm sầm uất, không có căn thứ 2 để so sánh, vỉa hè rộng thênh thang. Phù hợp với các loại hình kinh doanh ngay cạnh chợ lớn Hà Đông. Di chuyển các con phố cổ thuận tiện giáp Bà Triệu, cắt ngang phố Lê Lợi, thông ra Tản Đà và Hoàng Diệu, 1 phút ra siêu thị Metro,... Sổ đỏ chính chủ, sẵn sàng giao dịch. Giá: 8.2 tỷ ( có thương lượng). Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM GẦN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",25/04/2022,Tin thường,batdongsan_so_com_vn_1673826764.8996668,,,,,
"7,1 tỷ VNĐ",Nguyễn Thái Học- Hà Đông, 61m2, 6,"Bán nhà mặt phố Nguyễn Thái Học, Hà Đông, 61m, 6 tầng, lô góc, vỉa hè, kinh doanh Tôi cần bán nhà đẹp cạnh chợ Vồ, Hà Đông, khu phố cực kì sầm uất giao thông đi đâu cũng thuận tiện ra Quang Trung, thông ra Phan Chu Trinh, cách bưu điện Hà Đông rất gần, xung quanh là các trường học, vài bước ra phố Bế Văn Đàn, cách hồ Đầm Khê chỉ 100m. Nhà mặt phố cổ đường thông hè thoáng phù hợp các loại hình kinh doanh: Spa, nail, tóc, quán ăn, cafe, hiệu thuốc, phòng khám...., dân cư xung quanh văn minh, sầm uất ngày đêm. Chủ nhà là bác sĩ thành đạt, cần bán để đầu tư máy móc, nhà rất có lộc, mặt phố đẹp hiếm nhà bán. Sổ đỏ chính chủ, sẵn sàng giao dịch. Giá: 7.1 tỷ ( có thương lượng). Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM GẦN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",25/04/2022,Tin thường,batdongsan_so_com_vn_1673826765.9947398,,,,,
"3,2 tỷ VNĐ","Gốc đề, Minh Khai", 33m2, 3,"Mô tả: + Nhà mặt ngõ, lô góc, 2 mặt thoáng, TT Quận Hai Bà Trưng, vô vàn tiện ích. + Nhà xây 3 tầng kiên cố, chắc chắn. + Nhà ở cực sướng, hang xóm thân thiện, an ninh tốt. + Giao thông rất thuận tiện, 1 bước ra chợ, 2 phút ra bệnh viện Thanh nhàn, bạch mai, Gần các trường học như cấp 1,2,3 và các trường đại học Bách Khoa, KT Quốc Dân, Xây Dựng… + Giá chào 3.2 tỷ,  Có thương lượng. + Diện tích 33m2. + Sổ đỏ sắn giao dịch. +Miễn phí tư vấn, xem nhà 100%. + Liên hệ : Nguyễn Dương  0825920555 Để được tư vấn, xem nhà và hỗ trợ tốt nhất.",25/04/2022,Tin thường,batdongsan_so_com_vn_1673826767.0299704, 3, 2, 3,,
4 tỷ VNĐ,Đường chương lộc phường Chương Dương, 240m2,,🔥🔥🔥 Gia đình cần tiền xây nhà bán lô đất nhỏ xinh cực đẹp tại chương Lộc chương dương 💥 DT: 240m - MT: 8m💥 Vị trí: • Cách chợ200m• Đường ô tô 7 chỗ vào tận đất• Gần KCN quất động • Cách trường học/UBND/Chợ trong bán kính 300 đầy đủ tiện ích💥 Phù hợp mua ở/đầu tư sinh lời cao💸💸💸 Giá bay nhanh: 17tr/m2 (có ra lộc cho khách thiện chí),25/04/2022,Tin thường,batdongsan_so_com_vn_1673826767.9644694, 8,,,,
"7,35 tỷ VNĐ","Đào Nguyên A, Trâu Quỳ, Gia Lâm, Hà Nội", 96m2, 3,"- Chính chủ cần tiền đầu tư bán nhanh căn nhà nằm trên phố Đào Nguyên A –thị trấn Trâu Quỳ - Gia Lâm.- Khu vực trung tâm trường học viện Nông Nghiệp I Việt Nam, dân cư đông đúc, tuyến đường sinh viên qua lại tấp nập ngày đêm.- Giao thông vô cùng thuận tiền đường nhựa thông các ngả đi vành đai Trâu Quỳ, đường Y, Cửu Việt, Thành Trung, Ngô Xuân Quảng,……- Nhà xây 3 tầng kiên cố, mới tinh bao gồm: Phòng khách, bếp, 3 phòng ngủ, 4 công trình phụ với trang thiết bị đẹp hiện đại mới 100%,…..- Diện tích đất trên sổ 96m2 thực tế 100m2, phòng khách có thể mở rộng để làm văn phòng, siêu thị mini, cửa hàng tự chọn, cắt tóc gội đầu,……- Nhà thiết kế đẹp, hiện đại, hướng đông vô cùng mát như bật điều hòa, lưu thông khí tốt phòng nào ánh sáng cũng chan hòa, vừa ở vừa kinh doanh thì tuyệt vời,…Sổ đỏ chính chủ, pháp lý chuẩn, thiện trí bán giá đầu tư chỉ 7.350tr.Liên hệ xem nhà đất và biết thêm thông tin chi tiết E.Nhật: 0982852808, 0948584888",25/04/2022,Tin thường,batdongsan_so_com_vn_1673826769.1702785, 4, 4, 3, Đông, 4
"3,2 tỷ VNĐ","Gốc đề, Minh Khai", 33m2, 3,"Mô tả: + Nhà mặt ngõ, lô góc, 2 mặt thoáng, TT Quận Hai Bà Trưng, vô vàn tiện ích. + Nhà xây 3 tầng kiên cố, chắc chắn. + Nhà ở cực sướng, hang xóm thân thiện, an ninh tốt. + Giao thông rất thuận tiện, 1 bước ra chợ, 2 phút ra bệnh viện Thanh nhàn, bạch mai, Gần các trường học như cấp 1,2,3 và các trường đại học Bách Khoa, KT Quốc Dân, Xây Dựng… + Giá chào 3.2 tỷ,  Có thương lượng. + Diện tích 33m2. + Sổ đỏ sắn giao dịch. +Miễn phí tư vấn, xem nhà 100%. + Liên hệ : Nguyễn Dương  0825920555 Để được tư vấn, xem nhà và hỗ trợ tốt nhất.",25/04/2022,Tin thường,batdongsan_so_com_vn_1673826770.4049842, 3, 2, 3,,
