price,address,Diện tích,Mặt tiền,Số tầng,Details,Ngày đăng,Loại tin,id,Số phòng ngủ,Số toilet,Hướng,Lộ giới
"5,9 tỷ VNĐ","Hồ Tùng Mậu, Cầu Giấy", 40m2, 4, 7,"+ Tôi cần bán nhà khu Hồ Tùng Mậu, Cầu Giấy lô góc, thiết kế hiện đại, S:40m2 X 7 tầng, 4.8m mặt tiền, ô tô đỗ cửa, kinh doanh đỉnh.+ Gần nhiều trường học, Đại học, giao thông thuận tiện.+ Xung quanh tiện ích ngập tràn, khách chỉ cần dọn vào ở luôn.+ Liên hệ em Đức Anh để xem nhà : 097 551 7689 – Zalo 0975517689",22/04/2022,Tin thường,batdongsan_so_com_vn_1673826975.2513206,,,,
"4,7 tỷ VNĐ",Ngọc Hà, 41m2,, 3,"Cần bán nhà Ngọc Hà lô góc 2 mặt thoáng, cách oto tránh 10m, gần phố,nhà mới ở ngay   +Vị trí gần các con phố lớn như phố cổ, phố đi bộ, Lăng Bác, Hồ Tây,..... +Nhà xây khung cột chắc chắn Giá:4.7 tỷ(còn thương lượng) LH:0962370591-Nguyễn Phúc Lộc",22/04/2022,Tin thường,batdongsan_so_com_vn_1673826976.7921968, 3,,,
"16,5 tỷ VNĐ","Tứ liê, tứ liên, tây hồ", 130m2, 8,,"BÁN MẢNH ĐẤT VÀNG CẠNH HỒ TÂY,ĐẦU TƯ TỐT, HOẶC XÂY BIỆT THỰ VƯỜN, MT 8.3M, GIÁ 16.5 TỶ Cc cần bán mảnh đất tặng nhà cấp 4, diện tích 130m2, ô tô tải vào nhà được nhà, vị trí siêu siêu đẹp + Do có việc chuyển hướng đầu tư nên gia đình bán lại mảnh đất đẹp, mặt tiền siêu to, vị trí siêu Vip tại đầu phố Tứ Liên, quận Tây Hồ, cạnh ngã 3 Xuân Diệu, ngõ to, ô tô tải vào nhà thoải mái lại thông các ngả, thông sang Xuân Diệu. + Hiện trạng mảnh đất đang có 1 gian nhà cấp 4 còn mới, đủ không gian phòng sinh hoạt cho 1 gia đình, có sân rất rộng, gia đình định xây 1 tòa Apartment để tặng con trai nên đã xin GPXD đầy đủ, khách mua về tặng lại GPXD mới xin nên vô cùng thuận tiện xây dựng. + Mảnh đất tọa lạc tại con phố đã và đang trên đà phát triển mảnh, cực kì tiềm năng, thích hợp cho các nhà đầu tư hoặc khách Vip có nhu cầu xây Biệt thự sân vườn để ở. Vị trí rất rất là đẹp chỉ đi bộ 1 tí là ra đến Hồ Tây, khu vực mà người nước ngoài tập trung sinh sống rất nhiều nên xây tòa Apartment cho thuê rất tốt. + Là tuyến phố giao với Nghi Tàm, nối với Xuân Diệu, Yên Phụ, Vũ Miên, Từ Hoa, cạnh chợ hoa Quảng An, giao thông thuận tiện đi đâu cũng gần, đặc biệt là đi lên Hồ Hoàn Kiếm, chợ Long Biên và các tuyến phố cổ cực kì gần. + Sổ đỏ vuông vắn nở hậu, đẹp, đất không tranh chấp, quy hoạch ổn định, sổ đỏ sẵn sàng giao dịch với giá bán 16.5 tỷ có thương lượng cho khách thiện chí mua. + Liên hệ: 0886083333, gia đình chỉ gặp trực tiếp người mua, miễn MG trung gian",22/04/2022,Tin thường,batdongsan_so_com_vn_1673826977.8762975,,,,
"3,95 tỷ VNĐ",Điện Biên Phủ - Điện Biên - Ba Đình - Hà Nội, 26m2, 3, 4,"Bán nhà Điện Biên Phủ 26m2 5 tầng mt 3m, giá 3,95 tỷ Nhà có 3 phòng ngủ nội thất đẹp, nằm trên tuyến phố trung tâm Ba Đình, nhà đẹp an ninh đảm bảo Ngõ to xe 3 gác tránh xe máy vào tận nhà, thông sang nhiều tuyến phố lớn, cạnh khu dân trí cao, khu vực hiếm nhà bán Gần biện viện, ngân hàng, 5p đi bộ ra Hoàng Thành Thăng Long, vườn hoa Lenin, 10p ra Lăng Bác và rất nhiều địa danh nổi tiếng khác Sổ đỏ chính chủ, sẵn sàng giao dich Lh: E Quân: 0964875503",22/04/2022,Tin thường,batdongsan_so_com_vn_1673826978.9923131, 3, 2,,
"5,9 tỷ VNĐ","Chùa Láng, Đống Đa", 45m2,,,"Chung cư mini Phố Chùa Láng, 9 phòng, DT 45m2, 6 tầng, kinh doanh dòng tiền cực tốt. + Trung tâm tiện ích nhiều, gần chợ, gần trường ĐH Ngoại Thương, ĐH Ngoại Giao. + Nhà đi vào được bằng nhiều hướng, đẹp nhất là đi từ ngõ 898 Đường Láng. + Ngõ trước nhà  ba gác tránh, thoáng sáng trước, sau. + Sổ đỏ nở hậu chính chủ giao dịch ngay. + Liên hệ em Thái để được xem luôn và ngay.",22/04/2022,Tin thường,batdongsan_so_com_vn_1673826980.12831,,,,
"4,8 tỷ VNĐ","Trường Cinh, Đống Đa, Hà Nội", 40m2,,,"Nhà đẹp trung tâm  Đống Đa , 40m, 5 tầng , giá chỉ 4.8 tỷ. Ngay lõi trung tâm quận Đống đa, nhà đẹp mới xây 5 tầng tiện ở , kinh doanh Mô tả : + Diện tích 40m, 5 tầng khung BT chắc chắn , mới xây xong + Ngõ xe hơi đậu cửa, xung quanh tấp nập kinh doanh quá đỉnh. + Khu vực dân trí cực cao, hàng xóm công chức nhà nước thân thiện, an ninh đảm bảo, đường ngõ sạch sẽ, + Sổ đỏ chính chủ, đẹp long lanh vuông đét. + Giá bán  : 4.8 tỷ  ( thương lượng trực tiếp chủ nhà) Liên hệ : 0865456977- Giang .",22/04/2022,Tin thường,batdongsan_so_com_vn_1673826981.109647,,,,
"11,5 tỷ VNĐ","Phùng Chí Kiên,Nghĩa Tân,Cầu Giấy,Hà Nội", 50m2,,,"Bán nhà riêng Phùng Chí Kiên,DT 50m x 6 tầng,ô tô vào nhàBán nhà ngõ 7 Phùng Chí Kiên,Cầu GiấyDiện tích 50m x 6 tầng,mặt tiền 6.70mThang máy xịn chạy êm ru.Tầng 1 ga ra 7 chỗ + bếp.Tầng 2 phòng khách rộng.Tầng 3 phòng ngủ khép kín rộng.Tầng 4+ Tầng 5 mỗi tầng 2 phòng ngủ.Tầng 6 có sân phơi và máy giặtSổ đỏ chính chủ,giao dịch trong ngàyGiá 11.5 tỷ có thương lượngLiện hệ : Tùng BĐS 0981 669 144 - Chuyên nhà đất thổ cư Hà Nội",22/04/2022,Tin thường,batdongsan_so_com_vn_1673826982.2636435,,,,
"8,3 tỷ VNĐ","Sơn Đồng, Hoài Đức, Hà Nội", 80m2, 6, 4,"""Shophouse Sơn Đồng Center tinh hoa nghìn năm - khơi nguồn thịnh vượng - 150 lô liền kề diện tích từ 65m2 - 103m2- Mặt tiền từ 5,1m - 6,3m - mặt đường 10m- Tầng cao :4,5 tầngVị trí:- Nằm tại đường Tỉnh Lộ 422 Sơn Đồng - Song Phương -Hoài Đức- Cách ngã tư Trạm Trôi - Quốc lộ 32 chưa đến 3km - hạ tầng đã hoàn thành đồng bộ.- Nằm sát làng nghề đúc tượng - sơn - tạc tượng - đồ mỹ nghệ, đồ thờ nổi tiếng.- Pháp lý hoàn chỉnh:- Sổ đỏ chính chủ từng lô.""",22/04/2022,Tin thường,batdongsan_so_com_vn_1673826983.3108423, 3,, Đông bắc,
"8,6 tỷ VNĐ","Giáp Bát,Hoàng Mai,Hà Nội", 51m2,,,"Bán nhà mặt phố Giáp Bát,DT 51m x 2 tầng,kinh doanh tốtCần bán nhà mặt phố Giáp Bát,Hoàng MaiDiện tích 51m x 2 tầng cũ,mặt tiền 3.60mNhà nằm trên mặt phố Giáp Bát, kinh doanh sầm uất thông ra Kim Đồng,Tân Mai. Cách 20m ra đường đôi Giải Phóng, 1km ra bệnh viện Bạch MaiChủ xác định bán đất,sổ đỏ đứng tên 1 chủKhách thiện chí có thương lượngGiá 8.6 tỷ có thương lượngLiện hệ : Tùng BĐS 0981 669 144 - Chuyên nhà đất thổ cư Hà Nội",22/04/2022,Tin thường,batdongsan_so_com_vn_1673826984.2782876,,,,
"5,35 tỷ VNĐ",Phố Nguyễn Hoàng, 30m2, 4, 5,"Chủ nhà gửi bán căn nhà mới xây, khách mua chỉ về ở ngay. Nhà xây mới 5 tầng vị trí vô cùng tiện ích tuyệt vời,.+ Ngõ trước nhà rộng trên 3m. + Thiết kế hiện đại: 3 phòng ngủ + 3 phòng wc, 1 phòng khách, 1 phòng bếp, 1 phòng thờ + 1 sân phơi đồ. + Diện tích 30m2, mặt tiền 4m, giá 5.35 tỷ + Nhà cách 300m ra phố Nguyễn Hoàng, Dương Khuê. Tuyến phố lớn, kinh doanh sầm uất, nhiều sinh viên, khu vực tập chung nhiều trường Đại học lớn: Ngoại Ngữ, Quốc Gia, Thương Mại, đi khoảng 300m ra đường Phạm văn Đồng, bến xe Mỹ Đình, bệnh viện 198, giao thông thuận tiện. + Sổ đẹp, Nhà phù hợp an sinh, kết hợp kinh doanh, giữ tiền. + Khách hàng quan tâm liên hệ: em Chính 0792122918 ",22/04/2022,Tin thường,batdongsan_so_com_vn_1673826985.320508, 5, 5,,
