price,address,Diện tích,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số toilet,Lộ giới,Hướng
"3,9 tỷ VNĐ",khương đình, 35m2, 5, 5,"- Vị trí: Mặt ngõ rộng thông sang Hạ Đình,ba gác phi ầm ầm, gần hồ, các trường học, khu vui chơi giải trí. - Nhà lô góc , thoáng sáng, phòng ngủ nào cũng có cửa sổ, đã full nội thất. - Nhà 5 tầng thiết kế hiện đại, chắc chắn. - Sổ đỏ chính chủ, vuông vắn, nở hậu. - Liên hệ ngay em Thảo 0348156621 chuyên thổ cư Hà Nội.",22/04/2022,Tin thường,batdongsan_so_com_vn_1673827014.133918,,,,
"5,9 tỷ VNĐ","Đường Láng, Phường Láng Thượng, Quận Đống Đa", 45m2, 5, 9,"+ Bán nhà Đường Láng, DT 45m, 5 tầng, MT 4m, ngõ thông sang Chùa Láng. + Vị trí gần oto đi lại, nhà đẹp 9 phòng full nội thất, phù hợp cho thuê để ở, dòng tiền hơn 50tr/tháng. + Xung quanh nhà gần các trườn đại học, bệnh viện… + Sổ đỏ chính chủ, pháp lý chuẩn sẵn sàng giao dịch. + Liên hệ xem nhà: Dũng chuyên BDS thổ cư 0948677782/0867502627.",22/04/2022,Tin thường,batdongsan_so_com_vn_1673827015.5780547, 4, 5,,
"2,35 tỷ VNĐ","Chính chủ bán nhà phố Vọng Hà, Hoàn Kiếm, 2,35tỷ, 0865880809", 22m2,,,"Chính chủ bán nhà phố Vọng Hà, Hoàn Kiếm, 2,35tỷ, 0865880809  - Địa chỉ : Phố Vong Hà ,Phường Chương Dương - Quận Hoàn Kiếm - TP Hà Nội.- Diện tích sử dụng : 22m2- Giá 2,350 tỷ ( có thương lượng)- Thiết kế Nhà xây kiên cố 4 tầng 1 tum, 3 phòng ngủ, 3 nhà vệ sinh, 2 mặt thoáng- Vị trí thuộc khu trung tâm, dân cư đông đúc, dân trí cao, an ninh tốt, không gian sạch sẽ thoáng mát- Giao thông đi lại thuận tiện- Gần Trường Mầm non, cấp 1, cấp 2, ủy ban Phường, gần chợ.- Cách Hồ Hoàn Kiếm 500 m, điện nước ổn định.- Sổ đỏ chính chủ, sẵn sàng giao dịch- Giá 2,350 tỷ ( có thương lượng) - Khách có nhu cầu Liên hệ: 0865.880.809 (gọi điện trực tiếp)       http://www.sanbatdongsanviet.com.vn",22/04/2022,Tin thường,batdongsan_so_com_vn_1673827016.6232593,,,,
"15,1 tỷ VNĐ",Hà Nội, 75m2,,,"Bán nhà sổ đỏ đường Hoàng Văn Thái, kinh doanh - SĐT: 0366 555 258.Diện tích 75 m2, 6 tầng thang máy, mặt tiền 5 m.Mô tả vị trí: + Vị trí đắc địa, kinh doanh tốt, đường 2 ô tô tránh nhau thoải mái, ô tô chạy vòng quanh nhà, thông tứ lung tung.Nội thất nhập khẩu châu Âu, thang máy Nhật Bản, sàn, cầu thang gỗ Lim xịn… + Tuyến phố văn minh dân trí cao, khu vực an ninh cực tốt, dân trí cao, giao thông thuận lợi.Kết nối Nguyễn Viết Xuân, Lê Trọng Tấn, Vương Thừa Vũ, vành đai 2.5, bệnh viện, chợ, trường học... an sinh cực đỉnh, hàng xóm toàn tướng tá quân đội.Thiết kế: - Thiết kế khoa học, đẹp, tối ưu hóa công năng sử dụng. - Nhà mới đẹp, chủ giữ gìn cẩn thẩn, xách va ly về ở ngay. - Chủ tự xây để ở, kiên cố, chắc chắn.Thông tin liên hệ, pháp lý: - Sổ đỏ chính chủ, sẵn sàng giao dịch, giá chào chỉ 15.1 tỷ thương lượng mạnh.* Tôi có hàng ngàn căn nhà trên địa bàn Hà Nội, đủ các phân khúc.* Hỗ trợ các thủ tục sang tên, công chứng, quy hoạch, GPXD.* Hỗ trợ vay vốn ngân hàng, giải ngân lên đến 90 %.Liên hệ Ms Thanh ngay (24/24h) để được tư vấn, xem nhà miễn phí - 0366 555 258.",22/04/2022,Tin thường,batdongsan_so_com_vn_1673827017.6056306,,,,
"3,35 tỷ VNĐ","Bạch mai, Hai Bà Trưng", 25m2, 4, 3,"Mô tả: + Nhà sát mặt phố, đường ô tô đỗ cửa. + Nhà xây 4 tầng kiên cố, chắc chắn. + khu dân trí cao, văn minh, an ninh cực tốt. + 2 phút lên bờ hồ, Phố cổ + Giao thông rất thuận tiện, 1 phút ra chợ 8-3, bách khoa, 500m bệnh viện Thanh nhàn, bạch mai, Gần các trường học như cấp 1,2,3 và các trường đại học Bách Khoa, KT Quốc Dân, Xây Dựng… + Giá chào 3.35tỷ,  Có thương lượng. + Diện tích 25m2. + Sổ đỏ sắn giao dịch. +Miễn phí tư vấn, xem nhà 100%. + Liên hệ : Nguyễn Dương  0825920555 Để được tư vấn, xem nhà và hỗ trợ tốt nhất.",22/04/2022,Tin thường,batdongsan_so_com_vn_1673827018.7036936, 4,, 4,
"1,2 tỷ VNĐ/m2","Linh Sơn,Bình Yên,Thạch Thất", 60m2, 1, 1,"-Vị trí:Đà Gạo,Linh Sơn,Thạch Thất-Diện tích: 63,6-Đường nội khu rộng 7-8m-Cách QL21 chỉ hơn 100m-Đường 2 oto tránh nhau quay đầu thoải mãi-Đối diện là asean resort-Cách CNC 1,5km-Đầy đủ tiện ích sống xung quanh bán kính 1km-Đất mặt đường trục chính thông tứ tungLiên hệ mr.Hùng: 0387507522 (có zalo)",22/04/2022,Tin thường,batdongsan_so_com_vn_1673827019.8695743, 6, 1, 8, Đông nam
15 tỷ VNĐ,Nguyễn Đình Chiểu Hai Bà Trưng Hà Nội, 72m2, 4, 4,"- Cần bán nhà phố Nguyễn Đình Chiểu, quận Hai Bà Trưng, ngay cạnh công viên Thống Nhất, nhà vị trí rất đẹp, 2 thoáng ở cực thích. + Phố Nguyễn Đình Chiểu là con phố rất hiếm có nhà bán, nhà chỉ cách mặt phố vài bước chân, giáp với Trần Nhân Tông, Tuệ Tĩnh, Tô Hiến Thành, Lê Đại Hành, Đại Cồ Việt… đây là vị trí không thể đẹp hơn. + Nhà tự xây để ở nên rất tỉ mỉ mà chắc chắn, thiết kế đẹp không lỗi mốt, đầy đủ công năng sử dụng, vị trí 2 thoáng cho nên các phòng đều rất thoáng mát. + Nhà có thể vừa ở vừa kinh doanh như ( cafe, thời trang, spa… ) đều rất phù hợp. + Thiết kế 4 tầng, mỗi tầng 2 phòng rộng, thoáng mát. + Sổ đỏ, sẵn sàng sang tên. + Tài Chính: 15 tỷ ( Thương lượng ) + Quan tâm xin liên hệ: Minh Quang 0327085656 ( Anh chị em môi giới vui lòng không gọi điện, quảng cáo )",22/04/2022,Tin thường,batdongsan_so_com_vn_1673827020.8898444, 4,,,
"5,3 tỷ VNĐ",Trần Khát Chân Hai Bà Trưng Hà Nội, 52m2, 4, 4,"+ Cần bán nhà phố Trần Khát Chân, quận Hai Bà Trưng, vị trí cực kì đẹp, ngõ nông, ngay cạnh hồ Võ Thị Sáu, ô tô tránh sát nhà, bãi gửi oto  chưa tới 100m. + Khu vực an sinh rất tốt, tiện ích xung quanh nhiều vô kể, ngõ thông tứ tung, đi đường nào cũng đều đẹp cả. + Diện tích 52m2 xây 4 tầng, 4 ngủ, mặt tiền 4.5m, mặt tiền rộng hiếm có căn thứ 2. + Nhà có khoảng sân rộng, để trồng cây, nuôi chim thì rất tuyệt. + Sổ đỏ đẹp sẵn sàng sang tên. + Tài chính 5.3 tỷ ( Thương lượng ) + Quan tâm xin liên hệ: Minh Quang 0327085656 ( Anh chị em môi giới vui lòng không gọi điện, quảng cáo )",22/04/2022,Tin thường,batdongsan_so_com_vn_1673827021.9839191, 4,,,
"15,1 tỷ VNĐ",Hà Nội, 76m2,,,"Bán nhà Cù Chính Lan, lõi Hà Nội kinh doanh - LH: 0856 968 656.Diện tích 76m2, 6 tầng thang máy.Mặt tiền rộng: 5m.Giá chào bán 15.1 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Mô tả: - Chủ nhà chuyên gia về tư vấn xây dựng, xây nhà để ở siêu đẹp, thiết kế hiện đại, nội thất cao cấp. - Vị trí vô cùng đắc địa, phân lô, ô tô tránh, dừng đỗ thoải mái, kinh doanh đỉnh. - Xung quanh tiện ích đẳng cấp, hàng xóm dân trí cao, khu vực nhiều khách săn tìm. - Sổ vuông hoa hậu, cất két.Gọi ngay để đi xem nhà - 0856 968 656.Cám ơn các quý khách đã đọc tin chúc các quý khách tìm được căn nhà đẹp như ý.",22/04/2022,Tin thường,batdongsan_so_com_vn_1673827023.5058458,,,,
32 triệu VNĐ,"Quốc Lộ 6, Khu Công nghiệp Phú Nghĩa, xã Phú Nghĩa, huyện Chương Mĩ, Hà Nội", 153m2,,,"Cần tiền, bán gấp, đất chính chủ.Đất nằm trên trục đường Quốc lộ 6 - Đối diện khu công nghiệp Phú nghĩa.Mặt tiền 6,5m - sâu 23,61m.Mặt đường to, đất vuông đẹp ",22/04/2022,Tin thường,batdongsan_so_com_vn_1673827025.0227878,,,,
