price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Hướng,Mặt tiền,Số phòng ngủ,Số toilet,Lộ giới
5 tỷ VNĐ,"Trần Quốc Vượng, Cầu Giấy", 35m2, 6,"Làm ăn thua lỗ cần tiền trả nợ nên chủ nhà mong muốn bán gấp căn hộ Trần Quốc Vượng.+ Vị trí đắc địa, đi thông nhiều tuyến phố, trần thái tông, duy tân, phạm hùng, xuân thủy.+ Gần các trường đại học Sư Phạm, Đại học Quốc Gia, Đại học Ngoại ngữ, chỉ mấy phút ra các con đường lớn, Xuân thủy, Phạm Hùng, Tôn Thất Thuyết, Trần thái Tông.+Nhà Thiết kế và xây dựng khung cột bê tông chắc chắn, với thiết kế 6 tầng 4 phòng ngủ, phòng khách bếp và sân phơi.+ Diện tích 35 m2 sổ vuông đẹp sẵn giao dịch. Chủ nhà thiện chí bán, cần gặp khách mua, muốn bán trong thời gian sớm nhất.Liên hệ em Đức Anh để xem nhà - 0975517689",20/04/2022,Tin thường,batdongsan_so_com_vn_1673827139.9479182,,,,,
"4,6 tỷ VNĐ","Ngõ 110 Hoàng Cầu mới, Đống Đa, Hà Nội", 60m2, 5,"Chủ nhà cần bán cực gấp nhà 5 tầng trong tháng cực đẹp gần Xã Đàn, pháp lí rõ ràng 60 m2, ô tô đỗ cửa, 4,6 tỷ. Khu vực dân trí cao, an ninh tốt, giao thông thuận tiện, ngõ trước nhà rộng rãi, ô tô qua lại thoải mái. Liện hệ: E. Bình 0988884032 (miễn TG)",20/04/2022,Tin thường,batdongsan_so_com_vn_1673827140.925302, Đông nam, 5, 6, 4,
"5,3 tỷ VNĐ",Trần Quốc Vượng, 34m2, 6," Vị trí : Trần Quốc Vượng, ngõ rộng, 3 gác đỗ cửa, nhà lô góc 6 tầng thang máy chạy vù vù ..xung quanh các trường Đại Học lớn như Báo Chí, Sư Phạm, Quốc Gia, Thương Mại... - DT sổ 30m2, từ t2 đua ra 34m2, mặt tiền 6m. - Thiết kế : + Tầng 1 để xe . + Tầng 2,3,4,5 mỗi tầng 1 phòng. + Tầng 6 phòng bếp + sân phơi. - Trong tầm tài chính 5 tỷ nhà mới đẹp, có thang máy là cực hiếm . - Sổ đỏ đẹp chính chủ sẵn sàng giao dịch Liên hệ Đức Anh để xem nhà - 0975517689",20/04/2022,Tin thường,batdongsan_so_com_vn_1673827141.9535525,,,,,
"2,75 tỷ VNĐ",đất dương nội hà đông, 45m2,,"- Cần bán gấp đất nền thổ cư Dương Nội đẹp không tỳ vết vị trí 3 mặt tiền xây nhà sáng đẹp, hàng xóm AEONMALL, diện tích 45m2,mặt tiền 3,6mx12,5m giá 2,75 tỷ. - Vị trí trên đường Tiến Thành cách trường tiểu học Trần Quốc Toản 200m, cách Aeon Hà Đông 400m.- Khu đất dịch vụ Dương Nội nổi lên là khu đất dịch vụ đẹp nhất Hà Đông, hưởng trọn tiện ích KĐT mới Nam Cường hoành tráng, công viên Thiên Văn Học nguy nga, hạ tầng đồng bộ với các khu đô thị lớn như VINSMARTCITY Tây Mỗ, FLC garden city, An Hưng, GELEXIMCO Lê Trọng Tấn…- Từ lô đất giao thông thuận lợi ra Thiên Đường Bảo Sơn, Đại Lộ Thăng Long, Đường 70, Tố Hữu...- Sổ đỏ đầy đủ sẵn sàng giao dịch.Liên hệ: Mr Bằng 0866.682.966",20/04/2022,Tin thường,batdongsan_so_com_vn_1673827143.2540731, Tây nam, 3,,,
"5,9 tỷ VNĐ","Thái Hà, Trung Liệt, Đống Đa", 42m2, 5,"Bán nhà mặt ngõ Thái Hà cực đẹp, ngõ rộng thông thoáng phù hợp kinh doanh, hiếm gặp Mô tả: +Vị trí đẹp, nhà mặt ngõ, mặt tiền rộng rãi phù hợp kinh doanh +Nhà 5 tầng, thiết kế đẹp, kết cấu vững chắc, thông số lý tưởng -Tầng 1: Phòng khách và 1 vệ sinh -Tầng 2, 3, 4: Mỗi tầng 1 phòng và 1 vệ sinh -Tầng 5: Phòng thờ, sân phơi *Pháp lý: +Sổ đỏ chính chủ, vuông vắn, pháp lý chuẩn, sẵn sàng giao dịch, sang tên nhanh *Diện tích: 42m2 *Giá tiền: 5.9 tỷ (Có thương lượng) Liên hệ: Minh 0964 915 213 / 0389 609 210 Chúng tôi còn hàng trăm căn khác tại Hà Nội, hãy gọi điện ngay để được tư vấn miễn phí những căn nhà phù hợp với quý khách! Dịch vụ môi giới Bất Động Sản cùng nhiều dịch vụ khác theo tiêu chuẩn Nhật Bản. 0964 915 213 / 0389 609 210 (Minh)",20/04/2022,Tin thường,batdongsan_so_com_vn_1673827144.4698215,,, 3,,
"9,5 tỷ VNĐ",Phường Mỹ Đình, 143m2,,"Bán nhanh mảnh đất đường Lê Đức Thọ 143m2. Giá nhỉnh 60tr/m2. Đầu tư chia lô, hay chung cư mini tuyệt đẹp.+ Vị Trí Đắc địa. Trục đường chính ô tô tránh nhau, thông ra đường Nguyễn Hoàng…. + Phù hợp xây Tòa nhà văn phòng, cửa hàng kinh doanh…. + Hiện trạng có nhà C4, 05 phòng trọ. Dòng tiền 240tr/ năm.+ Sổ đỏ chính chủ sẵn sàng giao dịch.Giá: 9.5 TỷLiên hệ: Anh Đoàn:0962745289.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn 24/7.   ",20/04/2022,Tin thường,batdongsan_so_com_vn_1673827145.4711623,,,,,
"6,2 tỷ VNĐ","Khương Trung, Thanh Xuân", 54m2,,"Bán nhà Khương Trung cực đẹp, đầy đủ tiện ích, thoáng đãng, 50m ra mặt phố Mô tả: +Nhà lô góc, mặt tiền rộng, chỉ đi 50m ra mặt phố Khương Trung, tiện ích không thiếu thứ gì, giao thông thuận tiện +Tầng nào cũng có ban công thoáng đãng, cửa sổ nhiều ánh nắng tràn ngập +Nhà 4 tầng, móng chắc kiên cố có thể lên 2 tầng nữa -Tầng 1: Phòng khách, bếp, sân để xe và 1 vệ sinh -Tầng 2, 3: Mỗi tầng 2 phòng và 1 vệ sinh -Tầng 4: Phòng thờ, sân phơi *Pháp lý: +Sổ đỏ chính chủ, vuông vắn, pháp lý chuẩn, sẵn sàng giao dịch, sang tên nhanh *Diện tích: 54m2 *Giá tiền: 6.2 tỷ (Có thương lượng) Liên hệ: Minh 0964 915 213 / 0389 609 210 Chúng tôi còn hàng trăm căn khác tại Hà Nội, hãy gọi điện ngay để được tư vấn miễn phí những căn nhà phù hợp với quý khách! Dịch vụ môi giới Bất Động Sản cùng nhiều dịch vụ khác theo tiêu chuẩn Nhật Bản. 0964 915 213 / 0389 609 210 (Minh)",20/04/2022,Tin thường,batdongsan_so_com_vn_1673827146.4565253,,,,,
2 tỷ VNĐ,"Ngõ Văn chương, Phường Văn chương, Đống Đa", 35m2, 5," Chính chủ cần bán nhà Phố Tôn Đức Thắng, Đống Đa, vài bước ra hồ Văn Chương, diện tích 35m2, mặt tiền 4m, nhà 5 tầng. Nhà Trung tâm quận Đống Đa,  thông phố Tôn Đức Thắng, tiện lợi ra phố Khâm Thiên, ra ngã 5 Ô Chợ Dừa, đi đâu cũng tiện. Gần chợ, siêu thị tiện ích, bệnh viện, hồ sinh thái, khu vui chơi, giải trí, thuận lợi kinh doanh online, cách trường học các cấp chỉ vài phút đi bộ. Sổ đỏ đẹp, sẵn sàng giao dịch Giá thoả thuận Liên hệ Anh Minh, chuyên nhà đất thổ cư, Đống Đa, Thanh Xuân, sẵn sàng tư vấn miễn phí 24/7. ĐT: 0913 220 691.     ",20/04/2022,Tin thường,batdongsan_so_com_vn_1673827147.7341082,, 4, 4, 3,
2 tỷ VNĐ,"Ngõ Văn chương, Phường Văn chương, Đống Đa", 35m2, 5," Chính chủ cần bán nhà Phố Tôn Đức Thắng, Đống Đa, vài bước ra hồ Văn Chương, diện tích 35m2, mặt tiền 4m, nhà 5 tầng. Nhà Trung tâm quận Đống Đa,  thông phố Tôn Đức Thắng, tiện lợi ra phố Khâm Thiên, ra ngã 5 Ô Chợ Dừa, đi đâu cũng tiện. Gần chợ, siêu thị tiện ích, bệnh viện, hồ sinh thái, khu vui chơi, giải trí, thuận lợi kinh doanh online, cách trường học các cấp chỉ vài phút đi bộ. Sổ đỏ đẹp, sẵn sàng giao dịch Giá thoả thuận Liên hệ Anh Minh, chuyên nhà đất thổ cư, Đống Đa, Thanh Xuân, sẵn sàng tư vấn miễn phí 24/7. ĐT: 0913 220 691.     ",20/04/2022,Tin thường,batdongsan_so_com_vn_1673827148.862094,, 4, 4, 3,
"5,3 tỷ VNĐ","Kim Giang, Thanh Xuân", 50m2, 5,"Vị trí: Ngõ Kim Giang ô tô phi ầm ầm, sân rộng để vài chục xe máy không hết chỗ, lô góc kinh doanh thoáng vĩnh viễn.  + Thông số: 50m2 x 6 tầng x 6m mặt tiền, Giá chào 5.3 tỷ. Gọi ngay: em Nhung 03.678.19.123 + Nhà đi 5 bước đến chợ, kinh doanh tấp nập, cạnh đường đôi Thanh Liệt, siêu dự án The Manor, trường học xung quanh. Ô tô cách nhà 35m, ngõ ba gác tránh. Mô tả: Vị trí lô góc, ánh sáng ngập tràn. Thiết kế hiện đại đầy đủ tiện nghi, 8 ngủ rộng rãi.  + Sổ đỏ chính chủ, giao dịch ngay. Giá chỉ 5.95T có TL, khẳng định không có căn thứ 2.  Lh em Nhung : 03. 678.19.123 MIỄN PHÍ TOÀN BỘ TỪ XEM ĐẾN MUA ĐƯỢC NHÀ, nguồn hàng phong phú, tư vấn tận tâm. # Nguồn bất động sản phong phú thuộc các tuyến phố như vành đai Nguyễn Xiển, Linh Đàm, Pháp Vân, Giải Phóng, đường đôi Thanh Liệt, Cầu Bươu, Yên Xá, Đại Kim, Nghiêm Xuân Yên, Kim Văn Kim Lũ, Nguyễn Hữu Thọ, Khương Đình, Khương Trung, Thanh Xuân, Vũ Tông Phan, Đại Từ, Hoàng Đạo Thành …… Có rất nhiều các trường tiểu học, trung học xung quanh, đại học Thăng Long, công viên Chu Văn An, đại đô thị mới The Manor Central Park, Chợ Quang, Sân vận động lớn, ……",20/04/2022,Tin thường,batdongsan_so_com_vn_1673827149.9013183,, 6, 8, 8,
