price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Lộ giới
16 tỷ VNĐ,Hà Nội, 71m2,"Bán nhà phố Trung Kính ô tô vào nhà - SĐT: 0366 555 258.Nhà phân lô VIP sát mặt phố Trung Kính, ngõ rộng vỉa hè to ô tô tránh. Diện tích 71 m2, mặt tiền 6m, xây 7 tầng thang máy, thiết kế hiện đại, nội thất nhập khẩu, vào ở luôn.Khu dân trí cao, an ninh tốt, nhiều tiện ích, đất lành nhà nào ở cũng có lộc to.Sổ đỏ chính chủ, vuông vắn, không tranh chấp, pháp lý rõ ràng.Giá chào chỉ 16 tỷ thương lượng mạnh.Ai có nhu cầu liên hệ ngay - SĐT: 0366 555 258.",20/04/2022,Tin thường,batdongsan_so_com_vn_1673827233.2188125,,,,,
"19,3 tỷ VNĐ","hà đông, hà nội", 72m2,"
    
QUANG TRUNG 72 3 5.1 19.3 Tỷ Hà Đông


 Mô tả:
- Vị trí đắc địa nhà mặt phố lớn Quang Trung, lại là lô góc vỉa hè 12m 3 ÔTÔ đỗ cửa vào nhà, kinh doanh bắt chấp đa ngành nghề.
- Ngà thuộc tổ 7 phường, Phú La, Hà Đông Quận, nằm sát khu tập thể C/A Ba La vị trí gần ngã ba bông đỏ.
- Phía sau nhà có khe thoáng


 Thiết kế: 3 tầng khung cột BTCT chịu lực rất chắc chắn, móng khỏe vẫn lên tầng thoải mái hoặc xây tòa BULLDING thì cực đỉnh


_ tầng 1: Thông sàn KD + Bếp + Phòng thờ + vs
_ tầng 2: thiết kế 03 phòng rộng + vs
_ tầng 3: gồm 02 phòng + 01 PK ( phòng họp ) cực rộng và sang trọng + vs


 Nhà thiết kế rất quy mô các tầng đều có ban công cửa sổ, các phòng rất thông thoáng nhiều ánh sáng.
 Chủ để lại toàn bộ nội thất nhập khẩu xịn xò cho khách thiện chí
 Sổ đỏ cực đẹp không lỗi phong thủy SSGD
LH 0901999858

",20/04/2022,Tin thường,batdongsan_so_com_vn_1673827234.5552151,,,,,
16 tỷ VNĐ,Hà Nội, 74m2,"Bán nhà đường Trần Duy Hưng Cầu Giấy - LH: 0856 968 656.Phố VIP mặt ngõ kinh doanh bất chấp, ô tô tránh dừng đỗ ngày đêm, vỉa hè, thang máy.Xung quanh toàn toà nhà văn phòng 9 - 10 tầng, đường thông tứ tung, con ngõ vàng trong phố.Nhà đẹp chủ xây dựng tâm huyết, nội thất cao cấp, phòng nào cũng có cửa sổ thoáng sáng.Diện tích 74 m2, 6 tầng thang máy, mặt tiền 5 m, khu an ninh dân trí cao.Thiết kế:Tầng 1: Gara ô tô, khách, bếp, wc.Tầng 2, 3, 4, 5: Các phòng, wc.Tầng 6: Phòng thờ và sân phơi.Giao thông thuận tiện phố Đỗ Quang, Hoàng Ngân, Lê Văn Lương, Trung Kính, Trung Hòa… và các hệ thống thương mại, trường học các cấp.Sổ đỏ chính chủ.Giá chào bán chỉ 16 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Hỗ trợ miễn phí hoàn toàn cho khách hàng khi đi xem nhà, mua bán, làm việc trực tiếp với chủ nhà, hỗ trợ thủ tục pháp lý, sang tên, công chứng.Liên hệ ngay Mr. Bình Chuyên gia tư vấn BĐS nhà phố - 0856 968 656.",20/04/2022,Tin thường,batdongsan_so_com_vn_1673827235.5316026,,,,,
"2,7 tỷ VNĐ","đường Kim Ngưu, Hai Bà Trưng, Hà Nội", 26m2,"NHÀ DÂN MỚI ĐẸP, NGÕ TO, SỔ ĐỎ ĐẸP CHÍNH CHỦS = 26m2, 5 tầng, giá 2.7 tỷ có thương lượng. * Vị trí đẹp nhất trong tầm giá, cách đường ô tô 50m. * Nội thất đẹp tặng chủ mới. + Thiết kế mỗi tầng một phòng, công năng sử dụng hoàn hảo. + Sổ đỏ riêng vuông đẹp, chủ muốn bán gấp. Giao thông: Kim Ngưu, Minh Khai, Thanh Nhàn, Lạc Trung, Tam Trinh,... * Liên hệ tôi Bình, 0345752279 để được tư vấn và xem nhà miễn phí.* Lưu ý: Không tiếp Môi giới. ",20/04/2022,Tin thường,batdongsan_so_com_vn_1673827236.8640642, 4, 5, 3,,
"15,9 tỷ VNĐ",Hà Nội, 75m2,"Bán nhà phố Trung Kính Cầu Giấy - LH: 0856 968 656.PHÂN LÔ VIP - Ô TÔ TRÁNH - VỈA HÈ - KINH DOANH - VĂN PHÒNG - THANG MÁY - THÔNG Ô BÀN CỜ. - Nhà thuộc khu phân lô siêu hiếm nhà bán, khu vực nhiều khách tìm, ngõ thông tứ tung, vỉa hè rộng, ô tô tránh dừng đỗ ngày đêm. - Chủ nhà thiết kế và xây dựng cẩn thận, hệ thống trang thiết bị nội thất cao cấp. Toàn bộ cầu thang, cửa gỗ... dùng Lim ta nguyên tấm chắc nịch. - Mặt tiền rộng 5 m, diện tích 75 m2 thiết kế nhà không chê ở điểm nào, 6 tầng thang máy, cực thoáng sáng. - Sổ đỏ vuông, cất két sẵn sàng giao dịch. - Giá chào chỉ 15.9 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Liên hệ miễn phí 24/7 ngay - 0856 968 656.",20/04/2022,Tin thường,batdongsan_so_com_vn_1673827237.9052534,,,,,
4 tỷ VNĐ,"PHÚ DIỄN, NAM TỪ LIÊM, HÀ NỘI", 38m2,"+ Bán nhà 5 tầng mới đẹp lung linh tại Phúc Diễn, Nam Từ Liêm, 38m2, 3.5m mặt tiền, ngõ thông thoáng đi lại thuận tiện. + Nhà 5 tầng 1 tum, thiết kế đẹp, 300m ra đường Hồ Tùng Mậu, gần chợ, siêu thị, các trường Đại Học. + Thiết kế: Nhà dân tự xây kiên cố chắc chắn đầy đủ công năng sử dụng, phòng khách, 6 phòng ngủ to, chỗ để xe, sân phơi. + Sổ đẹp sẵn giao dịch. + Liên hệ Đức Anh để được xem nhà: 0975517689",20/04/2022,Tin thường,batdongsan_so_com_vn_1673827239.0581684, 3, 5,,,
7 tỷ VNĐ,"Hoa Bằng, Yên Hòa, Cầu Giấy", 55m2,"Bán nhà Hoa Bằng cực đẹp, kinh doanh vô đối, đường rộng thông thoáng, rất khó kiếm nhà tương tự Mô tả: +Vị trí đẹp ngay đầu ngõ ô tô tránh đỗ, thiết kế hiện đại đầy đủ công năng +Phù hợp kinh doanh bất chấp mọi loại hình +Nhà rộng rãi, mới xây, 5 tầng thông số lý tưởng *Pháp lý: +Sổ đỏ chính chủ, vuông vắn, pháp lý chuẩn, sẵn sàng giao dịch, sang tên nhanh *Diện tích: 55m2 *Giá tiền: 7 tỉ (Có thương lượng) Liên hệ: Minh 0964 915 213 / 0389 609 210 Chúng tôi còn hàng trăm căn khác tại Hà Nội, hãy gọi điện ngay để được tư vấn miễn phí những căn nhà phù hợp với quý khách! Dịch vụ môi giới Bất Động Sản cùng nhiều dịch vụ khác theo tiêu chuẩn Nhật Bản. 0964 915 213 / 0389 609 210 (Minh) ",19/04/2022,Tin thường,batdongsan_so_com_vn_1673827240.1432655,,,,,
"7,7 tỷ VNĐ","Vương Thừa Vũ, Thanh Xuân", 62m2,"+ Bán nhà phố Vương Thừa Vũ, Thanh Xuân, diện tích 62m2, mặt tiền 4m, 5 tầng khung cột bê tông chắc chắn, có thể nâng tầng và lắp thêm thang máy. + Nhà thuộc khu phân lô quân đội, dân trí cao. Ngõ rộng ô tô thông, trước nhà ô tô dừng đỗ, giao thông thuận tiện. Kinh doanh các loại hình như cửa hàng, văn phòng, cho thuê. Gần trung tâm Ngã Tư Sở ngay cạnh các tuyến phố lớn Trường Chinh, Khương Trung, Nguyễn Ngọc Nại. + Chủ để lại toàn bộ nội thất. + Khu vực yên tĩnh, an sinh tuyệt vời. + Sổ vuông phân lô, không lỗi phong thủy, sẵn sàng giao dịch. + Liên hệ: Phùng Trang  0975124520",19/04/2022,Tin thường,batdongsan_so_com_vn_1673827241.4224684, 4, 5, 5, 4,
"16,6 tỷ VNĐ","Nguyễn Khang, Yên Hòa, Cầu Giấy", 83m2,"Nhà Nguyễn Khang cực đẹp, kinh doanh cực VIP, đường rộng thông thoáng, rất khó kiếm nhà tương tự Mô tả: +Vị trí đẹp, nằm ngay đoạn giao Vũ Phạm Hàm, nhà mặt phố ô tô tránh đỗ, mặt tiền rộng 4.1m phù hợp kinh doanh bất chấp mọi loại hình +Nhà rộng rãi, 4 tầng thông số lý tưởng, mỗi tầng 2 phòng +Có thể vừa ở vừa kinh doanh, kết cấu chắc chắn có thể đập đi xây lên 8 tầng kèm thang máy *Pháp lý: +Sổ đỏ chính chủ, vuông vắn, pháp lý chuẩn, sẵn sàng giao dịch, sang tên nhanh *Diện tích: 83m2 *Giá tiền: 16.6 tỉ (Có thương lượng) Liên hệ: Minh 0964 915 213 / 0389 609 210 Chúng tôi còn hàng trăm căn khác tại Hà Nội, hãy gọi điện ngay để được tư vấn miễn phí những căn nhà phù hợp với quý khách! Dịch vụ môi giới Bất Động Sản cùng nhiều dịch vụ khác theo tiêu chuẩn Nhật Bản. 0964 915 213 / 0389 609 210 (Minh)",19/04/2022,Tin thường,batdongsan_so_com_vn_1673827242.635228,,,,,
"2,9 tỷ VNĐ","đường Lĩnh Nam, Hoàng Mai, Hà Nội", 35m2,"SỔ ĐỎ CHÍNH CHỦ VUÔNG ĐẸP, CẦN BÁN GẤP S = 35m, giá 2.9 tỷ có thương lượng. + Vị trí cực đẹp ô tô đỗ cổng, tiện ích trường, chợ không thiếu thứ gì. + Thiết kế 4 tầng, mỗi tầng một phòng, sân phơi rộng rãi. + Giao thông: Lĩnh Nam, Nam Dư, Tây Trà, Vĩnh Hưng,… + Nội thất đẹp, ở ngay. * Liên hệ: Tôi Bình, 0345752279 để được tư vấn và xem nhà miễn phí.* Lưu ý: Không tiếp Môi giới.",19/04/2022,Tin thường,batdongsan_so_com_vn_1673827243.8928583, 4, 4, 3, 3,
