price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Số tầng,Mặt tiền,Số phòng ngủ,Số toilet
"15,8 tỷ VNĐ",Hà Nội, 70m2,"Bán nhà có sổ đỏ phố Vọng - SĐT: 0366 555 258.Vị trí siêu đắc địa ô tô tránh nhau, kinh doanh sầm uất.Nhà đẹp lung linh 70 m2, 6 tầng thang máy, mặt tiền 5 m.Khu an ninh dân trí cao, hàng xóm thân thiện.Sổ đỏ chính chủ, sẵn sàng giao dịch.Giá chào chỉ 15.8 tỷ thương lượng mạnh.Để xem trực tiếp căn nhà liên hệ ngay em Thanh - SĐT: 0366 555 258.Cảm ơn anh chị đã xem tin.",19/04/2022,Tin thường,batdongsan_so_com_vn_1673827358.7892454,,,,
"8,6 tỷ VNĐ",Phường Mỹ Đình, 110m2,"Bán đất 110m2 tặng nhà C4 Đình Thôn Nam Từ Liêm. Ngõ thông ô tô qua cửa,  nhỉnh 70tr/m2+ Đường lớn, thông ra đường Phạm Hùng, Bến xe Mỹ Đình, Nguyễn Hoàng…  + Gần khu Đô thị Sông Đà, Doanh trại Quân đội, Trường học các cấp, An ninh cao, dân cư đông đúc tập trung nhiều sinh viên, kinh doanh buôn bán nhộn nhịp.+ Sổ đỏ chính chủ sẵn sang giao dịch.+ Giá: 8.6 tỷ.Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn 24/7.    ",19/04/2022,Tin thường,batdongsan_so_com_vn_1673827360.1516006,,,,
"15,7 tỷ VNĐ",Hà Nội, 76m2,"Bán nhà đường Võ Thị Sáu Hai Bà Trưng - LH: 0856 968 656. - Nhà đẹp và hiếm, ô tô đỗ cửa 24/24, an ninh dân trí cao, khu phân lô cán bộ cấp cao. - Tiện ích sống đầy đủ, không gian thoáng mát, đị bộ ra công viên Tuổi Trẻ. - Gần bệnh viện, chợ, trường học... đại học Bách Khoa, Xây Dựng, Kinh Tế Quốc Dân... - Hạ tầng phát triển mạnh, kết nối với các khu trung tâm thuận tiện. - Nhà 6 tầng thang máy, 76 m2, mặt tiền 5.2 m, thiết kế hiện đại, nội thất cao cấp. - Tầng 1: Gara để xe, phòng khách + bếp + wc. - Tầng 2, 3, 4, 5: Các phòng + wc. - Tầng 6: Phòng thờ + sân phơi.Sổ đỏ chính chủ.Giá chào chỉ 15.7 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Miễn trung gian, liên hệ ngay - 0856 968 656.",19/04/2022,Tin thường,batdongsan_so_com_vn_1673827361.2287185,,,,
16 tỷ VNĐ,Hà Nội, 76m2,"Bán nhà phố Tạ Quang Bửu quận Hai Bà Trưng - LH: 0856 968 656.Diện tích 76 m2, 6 tầng thang máy, mặt tiền 5.1 m.Tầng 1: Gara ô tô, kinh doanh, vệ sinh.Tầng 2, 3, 4, 5: Nhiều phòng, vệ sinh.Tầng 6: Phòng thờ sân phơi.Vị trí trung tâm kinh doanh sầm uất.Con phố văn minh, dân trí cao.Sổ đỏ chính chủ. Giá chào chỉ 16 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn (MTG).Liên hệ ngay 24/7 - 0856 968 656.",19/04/2022,Tin thường,batdongsan_so_com_vn_1673827362.3407438,,,,
"2,5 tỷ VNĐ",HỒ TÙNG MẬU, 30m2,"+ CẦN TIỀN BÁN GẤP NHÀ NGÕ 19 HỒ TÙNG MẬU, 4 TẦNG, DIỆN TÍCH: 32M2, 3.6M MẶT TIỀN.+ Ngõ thoáng, ô tô đỗ cửa, giao thông thuận tiện, đi bộ ra Hồ Tùng Mậu, cách trợ 100m.+ Nhà trong khu dân cư yên tĩnh, hàng xóm thân thiện.+ Chỉ hơn 2 tỷ có nhà đẹp ở ngay, thiết kế hiện đại, chủ tự xây tâm huyết, chắc chắn.+ Liên hệ Đức Anh 0975517689",18/04/2022,Tin thường,batdongsan_so_com_vn_1673827363.3580225, 4,,,
"1,85 tỷ VNĐ",Minh Khai - Hà Nội, 25m2,"Với tầm tài chính này gần như không có nhà mà mua, trung cư còn khó kiếm. Vậy mà ngay trung tâm thủ đô lại xuất hiện siêu phẩm này. Chủ nhà có công có việc chuyển công tác nên để lại căn tâm huyết bao năm thanh xuân. Nhà 5 tầng an sinh ngõ thông hè thoáng điện đường trường trạm đủ cả. Nhà đẹp như tranh  chủ dân thiết kế vẽ vời trăm kiểu, khách mua chỉ có việc xách vali về ở trong sung sướng. Cách đúng ba bước chân ra oto đỗ thiên thời địa lợi nhân hòa đủ cả.Minh Khai là tuyến phố vừa mới quy hoạch mở rộng tiện ích mọc lên khắp nơi. Thuận tiện di chuyển đi khắp các khu vực như Hoàng Mai, Đống Đa, Thanh Xuân,…. Lên Bờ hồ, Tây Hồ, Time City…Cũng như di chuyển sang các trường đại học lớn hàng đầu như Bách Khoa, Xây Dựng, Kinh Tế Quốc dân.Giá chào 1.85  tỷ có thương lượng cho khách hữu duyên. Chi tiết LH: Nhật Nhà Đất  0977194820 (Chuyên Nhà đất Thổ cư với nguồn hàng Hơn 6000 Căn Nhà  Lớn nhỏ Từ 1 – 100 Tỷ trên khắp địa bàn Hà Nội sẵn sàng giúp Khách hàng tìm được những căn nhà ưng ý nhất).Phương châm làm việc:-Tận Tâm, Uy tín , Chuyên nghiệp cái Tâm và cái Tầm đặt lên hàng đầu- Không kênh giá chủ nhà- Miễn phí toàn bộ dịch vụ: Dẫn khách xem nhà, tư vấn pháp lý. ",18/04/2022,Tin thường,batdongsan_so_com_vn_1673827364.4271958,,,,
"9,5 tỷ VNĐ",Lê Trọng Tấn-Thanh Xuân., 70m2,"+Vị trí cực đẹp.Ngõ ô tô , 2 ô tô tránh. Kinh doanh bất chấp, văn phòng thì tuyệt vời. + Nhà xây 4 tầng, chắc chắn, thiết kế hợp lý, có giếng trời, thoáng trước sau. + Vài bước chân ra Phố lê Trọng Tấn với đầy tiện nghi. + Sổ đỏ vuông đẹp, sẵn sàng giao dịch. ",18/04/2022,Tin thường,batdongsan_so_com_vn_1673827365.4275198, 4, 3, 4,
"2,7 tỷ VNĐ",Hồ Tùng Mậu, 30m2,"+ Chủ chuyển nhà cần bán gấp nhà khu Hồ Tùng Mậu 5 tầng, full nội thất, 100 ra ga đường sắt trên cao.+ Ngõ ngay sát Cầu Diễn, 300m ra KĐT Vinhomes Gardenia, cách Đại học Thương Mại 500m, đi bô ra chợ 2 phút.+ Nhà trong khu dân cư yên tĩnh, ô tô đỗ cổng.+ Chỉ hơn 2 tỷ có nhà đẹp ở ngay, thiết kế hiện đại, chủ tự xây tâm huyết, chắc chắn.+ Liên hệ Đức Anh 0975517689",18/04/2022,Tin thường,batdongsan_so_com_vn_1673827366.3709977, 4,,,
"2,7 tỷ VNĐ",Hồ Tùng Mậu, 30m2,"+ Chủ chuyển nhà cần bán gấp nhà khu Hồ Tùng Mậu 5 tầng, full nội thất, 100 ra ga đường sắt trên cao.+ Ngõ ngay sát Cầu Diễn, 300m ra KĐT Vinhomes Gardenia, cách Đại học Thương Mại 500m, đi bô ra chợ 2 phút.+ Nhà trong khu dân cư yên tĩnh, ô tô đỗ cổng.+ Chỉ hơn 2 tỷ có nhà đẹp ở ngay, thiết kế hiện đại, chủ tự xây tâm huyết, chắc chắn.+ Liên hệ Đức Anh 0975517689",18/04/2022,Tin thường,batdongsan_so_com_vn_1673827367.686483, 4,,,
"8,2 tỷ VNĐ",Phường Mỹ Đình, 85m2,"Bán mảnh đất tặng nhà C4 Mỹ Đình – Nam Từ Liêm 85m2, MT 6m, ô tô tránh  KD đỉnh, nhỉnh 90tr/m2.+ Vị Trí Đắc địa. Trục đường chính ô tô tránh nhau, thông ra đường Phạm Hùng, Bến xe Mỹ Đình, Nguyễn Hoàng. + Phù hợp xây Tòa nhà văn phòng, cửa hàng kinh doanh…. + Gần khu Đô thị, Doanh trại Quân đội, An ninh cao, dân cư đông đúc tập trung nhiều sinh viên, kinh doanh buôn bán nhộn nhịp.+ Sổ đỏ chính chủ sẵn sàng giao dịch.Giá: 8,2 TỷLiên hệ: Anh Đoàn:0962745289.+ Chuyên nhà đất – Đất thổ cư Tư vấn 24/7 miễn phí:",18/04/2022,Tin thường,batdongsan_so_com_vn_1673827368.7725782,,,,
